,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Birahane Sk. KOÇ Plaza,No:3 K:4/5 Bomonti Sisli,Istanbul,34360,Turkey,90 212 346 15 15,90 212 346 15 17,https://www.dagiholding.com,Asset Management,Financial Services,"Dagi Yatirim Holding A.S. engages in investment activities in Turkey. The company invests in industrial, commercial, agricultural, food, financial, real estate, construction, contracting, iron and steel, textile, petroleum, petroleum products, telecommunication, transportation, automotive, mining, energy production and distribution, natural gas distribution, and energy and natural gas wholesale sectors. It also invents in companies engaged in banking, financial institution, brokerage houses, insurance, investment partnership, factoring and leasing, and other businesses. The company was formerly known as TAC Yatirim Ortakligi A.S. and changed its name to Dagi Yatirim Holding A.S. in June 2012. Dagi Yatirim Holding A.S. was founded in 1994 and is headquartered in Istanbul, Turkey.",317,"{'maxAge': 1, 'name': 'Mr. Mehmet Selim Tuncbilek', 'title': 'Gen. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,13.1,13.1,12.86,13.25,13.1,13.1,12.86,13.25,1301961600,0.0,1520347,1520347,2918233,2189175,2189175,12.94,12.95,0,0,388500000,7.43,16.7,1.2857642,13.6494,11.872,0.0,0.0,TRY,367290112,0.0571,15314400,30000000,0.40295,0.0,0.722,17.936287,1672444800,1703980800,1688083200,17254848,-0.3,180:100,1217894400,1.216,80.905,IST,EQUITY,DAGHL.IS,DAGHL.IS,DAGI YATIRIM HOLDING,Dagi Yatirim Holding A.S.,957940200,Europe/Istanbul,TRT,10800000,12.95,none,41671808,1.389,4539787,4861908,0.405,1.169,302154944,22.459,9.207,0.01926,0.43577,15653208,57067476,59846568,0.07,0.03226,0.01502,0.009980001,TRY,
1,Birahane Sk. KOÇ Plaza,No:3 K:4/5 Bomonti Sisli,Istanbul,34360,Turkey,90 212 346 15 15,90 212 346 15 17,https://www.dagiholding.com,Asset Management,Financial Services,"Dagi Yatirim Holding A.S. engages in investment activities in Turkey. The company invests in industrial, commercial, agricultural, food, financial, real estate, construction, contracting, iron and steel, textile, petroleum, petroleum products, telecommunication, transportation, automotive, mining, energy production and distribution, natural gas distribution, and energy and natural gas wholesale sectors. It also invents in companies engaged in banking, financial institution, brokerage houses, insurance, investment partnership, factoring and leasing, and other businesses. The company was formerly known as TAC Yatirim Ortakligi A.S. and changed its name to Dagi Yatirim Holding A.S. in June 2012. Dagi Yatirim Holding A.S. was founded in 1994 and is headquartered in Istanbul, Turkey.",317,"{'maxAge': 1, 'name': 'Aysegul  Teker', 'title': 'Investor Relations Staff', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,13.1,13.1,12.86,13.25,13.1,13.1,12.86,13.25,1301961600,0.0,1520347,1520347,2918233,2189175,2189175,12.94,12.95,0,0,388500000,7.43,16.7,1.2857642,13.6494,11.872,0.0,0.0,TRY,367290112,0.0571,15314400,30000000,0.40295,0.0,0.722,17.936287,1672444800,1703980800,1688083200,17254848,-0.3,180:100,1217894400,1.216,80.905,IST,EQUITY,DAGHL.IS,DAGHL.IS,DAGI YATIRIM HOLDING,Dagi Yatirim Holding A.S.,957940200,Europe/Istanbul,TRT,10800000,12.95,none,41671808,1.389,4539787,4861908,0.405,1.169,302154944,22.459,9.207,0.01926,0.43577,15653208,57067476,59846568,0.07,0.03226,0.01502,0.009980001,TRY,
