,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Mahmutbey Merkez Mah. Tasocagi Cad. No:5,Bagcilar,Istanbul,Turkey,90 212 446 38 58,90 212 446 38 80,https://www.edip.com,REIT—Diversified,Real Estate,"Edip Gayrimenkul Yatirim Sanayi ve Ticaret A.S. operates as a construction company in Turkey. It constructs shopping Centers and offices. The company was formerly known as Edip Iplik Sanayi veTicaret A.S. and changed its name to Edip Gayrimenkul Yatirim Sanayi ve Ticaret A.S. in June 2009. Edip Gayrimenkul Yatirim Sanayi ve Ticaret A.S. was founded in 1971 and is based in Istanbul, Turkey.",44,"{'maxAge': 1, 'name': 'M. Vahit Ipekçi', 'title': 'Gen. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,16.77,17.42,15.1,17.8,16.77,17.42,15.1,17.8,1093305600,0.0,1.532579,1.1508054,11682017,11682017,4951736,6679486,6679486,15.71,15.72,0,0,1021800000,3.37,29.22,4.2438717,17.0944,10.42915,0.0,0.0,TRY,2349806336,3.35276,31132400,65000000,0.55996,0.0,7.675,2.0482085,1672444800,1703980800,1688083200,807245696,13.66,1:1000,1104710400,9.76,20.74,IST,EQUITY,EDIP.IS,EDIP.IS,EDIP GAYRIMENKUL,Edip Gayrimenkul Yatirim Sanayi ve Ticaret A.S.,957940200,Europe/Istanbul,TRT,10800000,15.72,none,24778456,0.381,113295696,1383334784,0.763,1.773,240770720,277.285,3.704,0.04433,8.43621,85913388,-116232320,72633456,0.937,0.54078996,0.47055,0.46855,TRY,
1,Mahmutbey Merkez Mah. Tasocagi Cad. No:5,Bagcilar,Istanbul,Turkey,90 212 446 38 58,90 212 446 38 80,https://www.edip.com,REIT—Diversified,Real Estate,"Edip Gayrimenkul Yatirim Sanayi ve Ticaret A.S. operates as a construction company in Turkey. It constructs shopping Centers and offices. The company was formerly known as Edip Iplik Sanayi veTicaret A.S. and changed its name to Edip Gayrimenkul Yatirim Sanayi ve Ticaret A.S. in June 2009. Edip Gayrimenkul Yatirim Sanayi ve Ticaret A.S. was founded in 1971 and is based in Istanbul, Turkey.",44,"{'maxAge': 1, 'name': 'Cengiz  Akkoç', 'title': 'Accounting & Fin. Mang. and Investor Relations Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,16.77,17.42,15.1,17.8,16.77,17.42,15.1,17.8,1093305600,0.0,1.532579,1.1508054,11682017,11682017,4951736,6679486,6679486,15.71,15.72,0,0,1021800000,3.37,29.22,4.2438717,17.0944,10.42915,0.0,0.0,TRY,2349806336,3.35276,31132400,65000000,0.55996,0.0,7.675,2.0482085,1672444800,1703980800,1688083200,807245696,13.66,1:1000,1104710400,9.76,20.74,IST,EQUITY,EDIP.IS,EDIP.IS,EDIP GAYRIMENKUL,Edip Gayrimenkul Yatirim Sanayi ve Ticaret A.S.,957940200,Europe/Istanbul,TRT,10800000,15.72,none,24778456,0.381,113295696,1383334784,0.763,1.773,240770720,277.285,3.704,0.04433,8.43621,85913388,-116232320,72633456,0.937,0.54078996,0.47055,0.46855,TRY,
