,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1555 Freedom Boulevard,200 West,Provo,UT,84604,United States,385 497 6955,https://sunworksusa.com,Solar,Technology,"Sunworks, Inc., through its subsidiaries, engages in the provision of photovoltaic and battery based power and storage systems for the commercial, agricultural, industrial, public works, and residential markets in the United States. It is also involved in the design, arrange financing, integrate, install, and manage systems ranging for residential homeowners, and commercial and public works projects. The company was formerly known as Solar3D, Inc. and changed its name to Sunworks, Inc. in March 2016. Sunworks, Inc. was incorporated in 2002 and is headquartered in Provo, Utah.",622,"{'maxAge': 1, 'name': 'Mr. Gaylon  Morris', 'age': 49, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 612638, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.705,0.71,0.67,0.7199,0.705,0.71,0.67,0.7199,0.0,1.948478,-0.8395062,1415723,1415723,1685429,1074270,1074270,0.6899,0.6993,1100,1300,30121756,0.67,3.94,0.18050057,1.17734,1.475975,0.0,0.0,USD,31817126,-0.18867001,43138695,44296700,4001513,5114837,1690761600,1693440000,0.090299994,0.01708,0.12104999,3.47,0.091400005,1.262,0.5388273,1672444800,1703980800,1688083200,-31485000,-0.84,-0.81,-0.08,1:7,1567123200,0.191,-1.017,NCM,EQUITY,SUNW,SUNW,"Sunworks, Inc.","Sunworks, Inc.",1268231400,America/New_York,EDT,-14400000,0.68,4.0,1.2,2.6,2.6,2.5,buy,2,4631000,0.105,-31274000,6332000,0.781,1.275,166879008,12.248,4.709,-0.19913,-0.52426,71314000,-8738125,-22372000,-0.048,0.38898,-0.18741,-0.20236,USD,
1,1555 Freedom Boulevard,200 West,Provo,UT,84604,United States,385 497 6955,https://sunworksusa.com,Solar,Technology,"Sunworks, Inc., through its subsidiaries, engages in the provision of photovoltaic and battery based power and storage systems for the commercial, agricultural, industrial, public works, and residential markets in the United States. It is also involved in the design, arrange financing, integrate, install, and manage systems ranging for residential homeowners, and commercial and public works projects. The company was formerly known as Solar3D, Inc. and changed its name to Sunworks, Inc. in March 2016. Sunworks, Inc. was incorporated in 2002 and is headquartered in Provo, Utah.",622,"{'maxAge': 1, 'name': 'Mr. Jason Lee Bonfigt CPA', 'age': 44, 'title': 'CFO & Treasurer', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 434048, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.705,0.71,0.67,0.7199,0.705,0.71,0.67,0.7199,0.0,1.948478,-0.8395062,1415723,1415723,1685429,1074270,1074270,0.6899,0.6993,1100,1300,30121756,0.67,3.94,0.18050057,1.17734,1.475975,0.0,0.0,USD,31817126,-0.18867001,43138695,44296700,4001513,5114837,1690761600,1693440000,0.090299994,0.01708,0.12104999,3.47,0.091400005,1.262,0.5388273,1672444800,1703980800,1688083200,-31485000,-0.84,-0.81,-0.08,1:7,1567123200,0.191,-1.017,NCM,EQUITY,SUNW,SUNW,"Sunworks, Inc.","Sunworks, Inc.",1268231400,America/New_York,EDT,-14400000,0.68,4.0,1.2,2.6,2.6,2.5,buy,2,4631000,0.105,-31274000,6332000,0.781,1.275,166879008,12.248,4.709,-0.19913,-0.52426,71314000,-8738125,-22372000,-0.048,0.38898,-0.18741,-0.20236,USD,
2,1555 Freedom Boulevard,200 West,Provo,UT,84604,United States,385 497 6955,https://sunworksusa.com,Solar,Technology,"Sunworks, Inc., through its subsidiaries, engages in the provision of photovoltaic and battery based power and storage systems for the commercial, agricultural, industrial, public works, and residential markets in the United States. It is also involved in the design, arrange financing, integrate, install, and manage systems ranging for residential homeowners, and commercial and public works projects. The company was formerly known as Solar3D, Inc. and changed its name to Sunworks, Inc. in March 2016. Sunworks, Inc. was incorporated in 2002 and is headquartered in Provo, Utah.",622,"{'maxAge': 1, 'name': 'Mr. Christopher Gardner Monahan', 'age': 60, 'title': 'Chief Legal Officer', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 331385, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.705,0.71,0.67,0.7199,0.705,0.71,0.67,0.7199,0.0,1.948478,-0.8395062,1415723,1415723,1685429,1074270,1074270,0.6899,0.6993,1100,1300,30121756,0.67,3.94,0.18050057,1.17734,1.475975,0.0,0.0,USD,31817126,-0.18867001,43138695,44296700,4001513,5114837,1690761600,1693440000,0.090299994,0.01708,0.12104999,3.47,0.091400005,1.262,0.5388273,1672444800,1703980800,1688083200,-31485000,-0.84,-0.81,-0.08,1:7,1567123200,0.191,-1.017,NCM,EQUITY,SUNW,SUNW,"Sunworks, Inc.","Sunworks, Inc.",1268231400,America/New_York,EDT,-14400000,0.68,4.0,1.2,2.6,2.6,2.5,buy,2,4631000,0.105,-31274000,6332000,0.781,1.275,166879008,12.248,4.709,-0.19913,-0.52426,71314000,-8738125,-22372000,-0.048,0.38898,-0.18741,-0.20236,USD,
3,1555 Freedom Boulevard,200 West,Provo,UT,84604,United States,385 497 6955,https://sunworksusa.com,Solar,Technology,"Sunworks, Inc., through its subsidiaries, engages in the provision of photovoltaic and battery based power and storage systems for the commercial, agricultural, industrial, public works, and residential markets in the United States. It is also involved in the design, arrange financing, integrate, install, and manage systems ranging for residential homeowners, and commercial and public works projects. The company was formerly known as Solar3D, Inc. and changed its name to Sunworks, Inc. in March 2016. Sunworks, Inc. was incorporated in 2002 and is headquartered in Provo, Utah.",622,"{'maxAge': 1, 'name': 'Ms. Krista  Mendoza', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.705,0.71,0.67,0.7199,0.705,0.71,0.67,0.7199,0.0,1.948478,-0.8395062,1415723,1415723,1685429,1074270,1074270,0.6899,0.6993,1100,1300,30121756,0.67,3.94,0.18050057,1.17734,1.475975,0.0,0.0,USD,31817126,-0.18867001,43138695,44296700,4001513,5114837,1690761600,1693440000,0.090299994,0.01708,0.12104999,3.47,0.091400005,1.262,0.5388273,1672444800,1703980800,1688083200,-31485000,-0.84,-0.81,-0.08,1:7,1567123200,0.191,-1.017,NCM,EQUITY,SUNW,SUNW,"Sunworks, Inc.","Sunworks, Inc.",1268231400,America/New_York,EDT,-14400000,0.68,4.0,1.2,2.6,2.6,2.5,buy,2,4631000,0.105,-31274000,6332000,0.781,1.275,166879008,12.248,4.709,-0.19913,-0.52426,71314000,-8738125,-22372000,-0.048,0.38898,-0.18741,-0.20236,USD,
4,1555 Freedom Boulevard,200 West,Provo,UT,84604,United States,385 497 6955,https://sunworksusa.com,Solar,Technology,"Sunworks, Inc., through its subsidiaries, engages in the provision of photovoltaic and battery based power and storage systems for the commercial, agricultural, industrial, public works, and residential markets in the United States. It is also involved in the design, arrange financing, integrate, install, and manage systems ranging for residential homeowners, and commercial and public works projects. The company was formerly known as Solar3D, Inc. and changed its name to Sunworks, Inc. in March 2016. Sunworks, Inc. was incorporated in 2002 and is headquartered in Provo, Utah.",622,"{'maxAge': 1, 'name': 'Mr. Paul C. McDonnel CPA', 'age': 66, 'title': 'Sr. VP of Fin. & Accounting', 'yearBorn': 1956, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.705,0.71,0.67,0.7199,0.705,0.71,0.67,0.7199,0.0,1.948478,-0.8395062,1415723,1415723,1685429,1074270,1074270,0.6899,0.6993,1100,1300,30121756,0.67,3.94,0.18050057,1.17734,1.475975,0.0,0.0,USD,31817126,-0.18867001,43138695,44296700,4001513,5114837,1690761600,1693440000,0.090299994,0.01708,0.12104999,3.47,0.091400005,1.262,0.5388273,1672444800,1703980800,1688083200,-31485000,-0.84,-0.81,-0.08,1:7,1567123200,0.191,-1.017,NCM,EQUITY,SUNW,SUNW,"Sunworks, Inc.","Sunworks, Inc.",1268231400,America/New_York,EDT,-14400000,0.68,4.0,1.2,2.6,2.6,2.5,buy,2,4631000,0.105,-31274000,6332000,0.781,1.275,166879008,12.248,4.709,-0.19913,-0.52426,71314000,-8738125,-22372000,-0.048,0.38898,-0.18741,-0.20236,USD,
5,1555 Freedom Boulevard,200 West,Provo,UT,84604,United States,385 497 6955,https://sunworksusa.com,Solar,Technology,"Sunworks, Inc., through its subsidiaries, engages in the provision of photovoltaic and battery based power and storage systems for the commercial, agricultural, industrial, public works, and residential markets in the United States. It is also involved in the design, arrange financing, integrate, install, and manage systems ranging for residential homeowners, and commercial and public works projects. The company was formerly known as Solar3D, Inc. and changed its name to Sunworks, Inc. in March 2016. Sunworks, Inc. was incorporated in 2002 and is headquartered in Provo, Utah.",622,"{'maxAge': 1, 'name': 'Mr. Gerald A. Nadler', 'age': 79, 'title': 'Chief Scientist', 'yearBorn': 1943, 'fiscalYear': 2008, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.705,0.71,0.67,0.7199,0.705,0.71,0.67,0.7199,0.0,1.948478,-0.8395062,1415723,1415723,1685429,1074270,1074270,0.6899,0.6993,1100,1300,30121756,0.67,3.94,0.18050057,1.17734,1.475975,0.0,0.0,USD,31817126,-0.18867001,43138695,44296700,4001513,5114837,1690761600,1693440000,0.090299994,0.01708,0.12104999,3.47,0.091400005,1.262,0.5388273,1672444800,1703980800,1688083200,-31485000,-0.84,-0.81,-0.08,1:7,1567123200,0.191,-1.017,NCM,EQUITY,SUNW,SUNW,"Sunworks, Inc.","Sunworks, Inc.",1268231400,America/New_York,EDT,-14400000,0.68,4.0,1.2,2.6,2.6,2.5,buy,2,4631000,0.105,-31274000,6332000,0.781,1.275,166879008,12.248,4.709,-0.19913,-0.52426,71314000,-8738125,-22372000,-0.048,0.38898,-0.18741,-0.20236,USD,
6,1555 Freedom Boulevard,200 West,Provo,UT,84604,United States,385 497 6955,https://sunworksusa.com,Solar,Technology,"Sunworks, Inc., through its subsidiaries, engages in the provision of photovoltaic and battery based power and storage systems for the commercial, agricultural, industrial, public works, and residential markets in the United States. It is also involved in the design, arrange financing, integrate, install, and manage systems ranging for residential homeowners, and commercial and public works projects. The company was formerly known as Solar3D, Inc. and changed its name to Sunworks, Inc. in March 2016. Sunworks, Inc. was incorporated in 2002 and is headquartered in Provo, Utah.",622,"{'maxAge': 1, 'name': 'Ms. Sarah  Willis', 'title': 'Sr. VP of Marketing & Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.705,0.71,0.67,0.7199,0.705,0.71,0.67,0.7199,0.0,1.948478,-0.8395062,1415723,1415723,1685429,1074270,1074270,0.6899,0.6993,1100,1300,30121756,0.67,3.94,0.18050057,1.17734,1.475975,0.0,0.0,USD,31817126,-0.18867001,43138695,44296700,4001513,5114837,1690761600,1693440000,0.090299994,0.01708,0.12104999,3.47,0.091400005,1.262,0.5388273,1672444800,1703980800,1688083200,-31485000,-0.84,-0.81,-0.08,1:7,1567123200,0.191,-1.017,NCM,EQUITY,SUNW,SUNW,"Sunworks, Inc.","Sunworks, Inc.",1268231400,America/New_York,EDT,-14400000,0.68,4.0,1.2,2.6,2.6,2.5,buy,2,4631000,0.105,-31274000,6332000,0.781,1.275,166879008,12.248,4.709,-0.19913,-0.52426,71314000,-8738125,-22372000,-0.048,0.38898,-0.18741,-0.20236,USD,
7,1555 Freedom Boulevard,200 West,Provo,UT,84604,United States,385 497 6955,https://sunworksusa.com,Solar,Technology,"Sunworks, Inc., through its subsidiaries, engages in the provision of photovoltaic and battery based power and storage systems for the commercial, agricultural, industrial, public works, and residential markets in the United States. It is also involved in the design, arrange financing, integrate, install, and manage systems ranging for residential homeowners, and commercial and public works projects. The company was formerly known as Solar3D, Inc. and changed its name to Sunworks, Inc. in March 2016. Sunworks, Inc. was incorporated in 2002 and is headquartered in Provo, Utah.",622,"{'maxAge': 1, 'name': 'Mr. Christopher S. Outwater', 'title': 'Director of Bus. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.705,0.71,0.67,0.7199,0.705,0.71,0.67,0.7199,0.0,1.948478,-0.8395062,1415723,1415723,1685429,1074270,1074270,0.6899,0.6993,1100,1300,30121756,0.67,3.94,0.18050057,1.17734,1.475975,0.0,0.0,USD,31817126,-0.18867001,43138695,44296700,4001513,5114837,1690761600,1693440000,0.090299994,0.01708,0.12104999,3.47,0.091400005,1.262,0.5388273,1672444800,1703980800,1688083200,-31485000,-0.84,-0.81,-0.08,1:7,1567123200,0.191,-1.017,NCM,EQUITY,SUNW,SUNW,"Sunworks, Inc.","Sunworks, Inc.",1268231400,America/New_York,EDT,-14400000,0.68,4.0,1.2,2.6,2.6,2.5,buy,2,4631000,0.105,-31274000,6332000,0.781,1.275,166879008,12.248,4.709,-0.19913,-0.52426,71314000,-8738125,-22372000,-0.048,0.38898,-0.18741,-0.20236,USD,
8,1555 Freedom Boulevard,200 West,Provo,UT,84604,United States,385 497 6955,https://sunworksusa.com,Solar,Technology,"Sunworks, Inc., through its subsidiaries, engages in the provision of photovoltaic and battery based power and storage systems for the commercial, agricultural, industrial, public works, and residential markets in the United States. It is also involved in the design, arrange financing, integrate, install, and manage systems ranging for residential homeowners, and commercial and public works projects. The company was formerly known as Solar3D, Inc. and changed its name to Sunworks, Inc. in March 2016. Sunworks, Inc. was incorporated in 2002 and is headquartered in Provo, Utah.",622,"{'maxAge': 1, 'name': 'Mr. Kyle  Kearney', 'title': 'Sr. VP of Commercial Sales', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.705,0.71,0.67,0.7199,0.705,0.71,0.67,0.7199,0.0,1.948478,-0.8395062,1415723,1415723,1685429,1074270,1074270,0.6899,0.6993,1100,1300,30121756,0.67,3.94,0.18050057,1.17734,1.475975,0.0,0.0,USD,31817126,-0.18867001,43138695,44296700,4001513,5114837,1690761600,1693440000,0.090299994,0.01708,0.12104999,3.47,0.091400005,1.262,0.5388273,1672444800,1703980800,1688083200,-31485000,-0.84,-0.81,-0.08,1:7,1567123200,0.191,-1.017,NCM,EQUITY,SUNW,SUNW,"Sunworks, Inc.","Sunworks, Inc.",1268231400,America/New_York,EDT,-14400000,0.68,4.0,1.2,2.6,2.6,2.5,buy,2,4631000,0.105,-31274000,6332000,0.781,1.275,166879008,12.248,4.709,-0.19913,-0.52426,71314000,-8738125,-22372000,-0.048,0.38898,-0.18741,-0.20236,USD,
9,1555 Freedom Boulevard,200 West,Provo,UT,84604,United States,385 497 6955,https://sunworksusa.com,Solar,Technology,"Sunworks, Inc., through its subsidiaries, engages in the provision of photovoltaic and battery based power and storage systems for the commercial, agricultural, industrial, public works, and residential markets in the United States. It is also involved in the design, arrange financing, integrate, install, and manage systems ranging for residential homeowners, and commercial and public works projects. The company was formerly known as Solar3D, Inc. and changed its name to Sunworks, Inc. in March 2016. Sunworks, Inc. was incorporated in 2002 and is headquartered in Provo, Utah.",622,"{'maxAge': 1, 'name': 'Mr. Ryan  Fowler', 'title': 'Sr. VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.705,0.71,0.67,0.7199,0.705,0.71,0.67,0.7199,0.0,1.948478,-0.8395062,1415723,1415723,1685429,1074270,1074270,0.6899,0.6993,1100,1300,30121756,0.67,3.94,0.18050057,1.17734,1.475975,0.0,0.0,USD,31817126,-0.18867001,43138695,44296700,4001513,5114837,1690761600,1693440000,0.090299994,0.01708,0.12104999,3.47,0.091400005,1.262,0.5388273,1672444800,1703980800,1688083200,-31485000,-0.84,-0.81,-0.08,1:7,1567123200,0.191,-1.017,NCM,EQUITY,SUNW,SUNW,"Sunworks, Inc.","Sunworks, Inc.",1268231400,America/New_York,EDT,-14400000,0.68,4.0,1.2,2.6,2.6,2.5,buy,2,4631000,0.105,-31274000,6332000,0.781,1.275,166879008,12.248,4.709,-0.19913,-0.52426,71314000,-8738125,-22372000,-0.048,0.38898,-0.18741,-0.20236,USD,
