,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Alexandria House,The Sweepstakes Ballsbridge Park Ballsbridge,Dublin,4,Ireland,353 1 662 9572,https://www.usoilandgas.us,Oil & Gas E&P,Energy,"U.S. Oil and Gas Plc explores for and develops oil and gas properties primarily in the Republic of Ireland and the United States. The company was incorporated in 2009 and is based in Dublin, Ireland.","{'maxAge': 1, 'name': 'Mr. Brian  McDonnell', 'age': 61, 'title': 'Exec. Chairman, CEO & Sec.', 'yearBorn': 1961, 'fiscalYear': 2021, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.717496,150,150,0,0,0,6,1e-06,3.95,3.95,3.95,0.0,0.0,USD,-271514,0.0,6091644,6015400,1.417,7.057163e-07,1627689600,1659225600,1427760000,-850820,-0.129,PNK,EQUITY,USOPY,USOPY,U.S. OIL & GAS PLC ADR EACH REP,U.S. Oil and Gas Plc,1368797400,America/New_York,EDT,-14400000,1e-06,none,271521,0.041,0,7.75,7.75,-0.05579,-0.08968,-735335,-549768,0.0,0.0,0.0,USD,
1,Alexandria House,The Sweepstakes Ballsbridge Park Ballsbridge,Dublin,4,Ireland,353 1 662 9572,https://www.usoilandgas.us,Oil & Gas E&P,Energy,"U.S. Oil and Gas Plc explores for and develops oil and gas properties primarily in the Republic of Ireland and the United States. The company was incorporated in 2009 and is based in Dublin, Ireland.","{'maxAge': 1, 'name': 'Dr. Karim  Akrawi', 'title': 'Exploration Director & Director', 'fiscalYear': 2021, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.717496,150,150,0,0,0,6,1e-06,3.95,3.95,3.95,0.0,0.0,USD,-271514,0.0,6091644,6015400,1.417,7.057163e-07,1627689600,1659225600,1427760000,-850820,-0.129,PNK,EQUITY,USOPY,USOPY,U.S. OIL & GAS PLC ADR EACH REP,U.S. Oil and Gas Plc,1368797400,America/New_York,EDT,-14400000,1e-06,none,271521,0.041,0,7.75,7.75,-0.05579,-0.08968,-735335,-549768,0.0,0.0,0.0,USD,
