,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Exchange Square,2 Gwen Lane Sandown,Johannesburg,2196,South Africa,27 11 520 7000,27 11 520 8584,https://www.jse.co.za,Financial Data & Stock Exchanges,Financial Services,"JSE Limited operates as a securities exchange in South Africa. It offers capital market, post-trade, and information services, as well as listing, trading, and issuer services. The company also provides market services in the areas of equities and bonds, as well as equity, bond, interest rate, commodity, and currency derivatives markets. It also offers post trade services, including clearing, risk management, and settlement services for the equity, bonds, and derivatives markets. The company was founded in 1887 and is based in Johannesburg, South Africa.","{'maxAge': 1, 'name': 'Dr. Leila  Fourie B.A., mCom; Ph.D., Ph.D.', 'age': 53, 'title': 'Group CEO & Exec. Director', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 997579, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,4,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,0.43,0.0877,1680048000,0.8054,0.131316,9.82,274,274,3806,30,30,0.0,0.0,0,0,421443424,4.55,7.03,0.15511535,4.83,5.4306,7.69,1.5661916,USD,-1327107328,0.29253998,68262803,82054600,0.030650001,0.71633005,49.397,0.09939875,1672444800,1703980800,1688083200,0.104,794825024,0.5,-0.488,-1.555,PNK,EQUITY,JSEJF,JSEJF,JSE LIMITED,JSE Limited,1190122200,America/New_York,EDT,-14400000,4.91,none,1888243968,23.068,853601024,159220000,0.048,1.037,2716967936,3.938,33.155,0.00782,0.20152001,2657223000,-2052077952,931777024,0.099,0.044,1.0,0.31417,0.29518998,ZAR,
1,One Exchange Square,2 Gwen Lane Sandown,Johannesburg,2196,South Africa,27 11 520 7000,27 11 520 8584,https://www.jse.co.za,Financial Data & Stock Exchanges,Financial Services,"JSE Limited operates as a securities exchange in South Africa. It offers capital market, post-trade, and information services, as well as listing, trading, and issuer services. The company also provides market services in the areas of equities and bonds, as well as equity, bond, interest rate, commodity, and currency derivatives markets. It also offers post trade services, including clearing, risk management, and settlement services for the equity, bonds, and derivatives markets. The company was founded in 1887 and is based in Johannesburg, South Africa.","{'maxAge': 1, 'name': 'Ms. Itumeleng  Monale B.Sc., M.B.A.', 'age': 43, 'title': 'Chief Operating Officer', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 318333, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,4,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,0.43,0.0877,1680048000,0.8054,0.131316,9.82,274,274,3806,30,30,0.0,0.0,0,0,421443424,4.55,7.03,0.15511535,4.83,5.4306,7.69,1.5661916,USD,-1327107328,0.29253998,68262803,82054600,0.030650001,0.71633005,49.397,0.09939875,1672444800,1703980800,1688083200,0.104,794825024,0.5,-0.488,-1.555,PNK,EQUITY,JSEJF,JSEJF,JSE LIMITED,JSE Limited,1190122200,America/New_York,EDT,-14400000,4.91,none,1888243968,23.068,853601024,159220000,0.048,1.037,2716967936,3.938,33.155,0.00782,0.20152001,2657223000,-2052077952,931777024,0.099,0.044,1.0,0.31417,0.29518998,ZAR,
2,One Exchange Square,2 Gwen Lane Sandown,Johannesburg,2196,South Africa,27 11 520 7000,27 11 520 8584,https://www.jse.co.za,Financial Data & Stock Exchanges,Financial Services,"JSE Limited operates as a securities exchange in South Africa. It offers capital market, post-trade, and information services, as well as listing, trading, and issuer services. The company also provides market services in the areas of equities and bonds, as well as equity, bond, interest rate, commodity, and currency derivatives markets. It also offers post trade services, including clearing, risk management, and settlement services for the equity, bonds, and derivatives markets. The company was founded in 1887 and is based in Johannesburg, South Africa.","{'maxAge': 1, 'name': 'T.  Tsoaeli', 'title': 'Chief Information Officer', 'fiscalYear': 2022, 'totalPay': 132196, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,4,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,0.43,0.0877,1680048000,0.8054,0.131316,9.82,274,274,3806,30,30,0.0,0.0,0,0,421443424,4.55,7.03,0.15511535,4.83,5.4306,7.69,1.5661916,USD,-1327107328,0.29253998,68262803,82054600,0.030650001,0.71633005,49.397,0.09939875,1672444800,1703980800,1688083200,0.104,794825024,0.5,-0.488,-1.555,PNK,EQUITY,JSEJF,JSEJF,JSE LIMITED,JSE Limited,1190122200,America/New_York,EDT,-14400000,4.91,none,1888243968,23.068,853601024,159220000,0.048,1.037,2716967936,3.938,33.155,0.00782,0.20152001,2657223000,-2052077952,931777024,0.099,0.044,1.0,0.31417,0.29518998,ZAR,
3,One Exchange Square,2 Gwen Lane Sandown,Johannesburg,2196,South Africa,27 11 520 7000,27 11 520 8584,https://www.jse.co.za,Financial Data & Stock Exchanges,Financial Services,"JSE Limited operates as a securities exchange in South Africa. It offers capital market, post-trade, and information services, as well as listing, trading, and issuer services. The company also provides market services in the areas of equities and bonds, as well as equity, bond, interest rate, commodity, and currency derivatives markets. It also offers post trade services, including clearing, risk management, and settlement services for the equity, bonds, and derivatives markets. The company was founded in 1887 and is based in Johannesburg, South Africa.","{'maxAge': 1, 'name': 'Ms. Vuyolwethu Seanele Lee BCom (Hons), MAP, MBA', 'age': 44, 'title': 'Director of Marketing & Corp. Affairs', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 272144, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,4,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,0.43,0.0877,1680048000,0.8054,0.131316,9.82,274,274,3806,30,30,0.0,0.0,0,0,421443424,4.55,7.03,0.15511535,4.83,5.4306,7.69,1.5661916,USD,-1327107328,0.29253998,68262803,82054600,0.030650001,0.71633005,49.397,0.09939875,1672444800,1703980800,1688083200,0.104,794825024,0.5,-0.488,-1.555,PNK,EQUITY,JSEJF,JSEJF,JSE LIMITED,JSE Limited,1190122200,America/New_York,EDT,-14400000,4.91,none,1888243968,23.068,853601024,159220000,0.048,1.037,2716967936,3.938,33.155,0.00782,0.20152001,2657223000,-2052077952,931777024,0.099,0.044,1.0,0.31417,0.29518998,ZAR,
4,One Exchange Square,2 Gwen Lane Sandown,Johannesburg,2196,South Africa,27 11 520 7000,27 11 520 8584,https://www.jse.co.za,Financial Data & Stock Exchanges,Financial Services,"JSE Limited operates as a securities exchange in South Africa. It offers capital market, post-trade, and information services, as well as listing, trading, and issuer services. The company also provides market services in the areas of equities and bonds, as well as equity, bond, interest rate, commodity, and currency derivatives markets. It also offers post trade services, including clearing, risk management, and settlement services for the equity, bonds, and derivatives markets. The company was founded in 1887 and is based in Johannesburg, South Africa.","{'maxAge': 1, 'name': 'Palesa  Ntoagae', 'age': 40, 'title': 'Director of HR', 'yearBorn': 1982, 'fiscalYear': 2022, 'totalPay': 278993, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,4,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,0.43,0.0877,1680048000,0.8054,0.131316,9.82,274,274,3806,30,30,0.0,0.0,0,0,421443424,4.55,7.03,0.15511535,4.83,5.4306,7.69,1.5661916,USD,-1327107328,0.29253998,68262803,82054600,0.030650001,0.71633005,49.397,0.09939875,1672444800,1703980800,1688083200,0.104,794825024,0.5,-0.488,-1.555,PNK,EQUITY,JSEJF,JSEJF,JSE LIMITED,JSE Limited,1190122200,America/New_York,EDT,-14400000,4.91,none,1888243968,23.068,853601024,159220000,0.048,1.037,2716967936,3.938,33.155,0.00782,0.20152001,2657223000,-2052077952,931777024,0.099,0.044,1.0,0.31417,0.29518998,ZAR,
5,One Exchange Square,2 Gwen Lane Sandown,Johannesburg,2196,South Africa,27 11 520 7000,27 11 520 8584,https://www.jse.co.za,Financial Data & Stock Exchanges,Financial Services,"JSE Limited operates as a securities exchange in South Africa. It offers capital market, post-trade, and information services, as well as listing, trading, and issuer services. The company also provides market services in the areas of equities and bonds, as well as equity, bond, interest rate, commodity, and currency derivatives markets. It also offers post trade services, including clearing, risk management, and settlement services for the equity, bonds, and derivatives markets. The company was founded in 1887 and is based in Johannesburg, South Africa.","{'maxAge': 1, 'name': 'Dr. Alicia  Greenwood', 'age': 50, 'title': 'CEO of JSE Clear & Director of Post-Trade and Information Services', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 391599, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,4,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,0.43,0.0877,1680048000,0.8054,0.131316,9.82,274,274,3806,30,30,0.0,0.0,0,0,421443424,4.55,7.03,0.15511535,4.83,5.4306,7.69,1.5661916,USD,-1327107328,0.29253998,68262803,82054600,0.030650001,0.71633005,49.397,0.09939875,1672444800,1703980800,1688083200,0.104,794825024,0.5,-0.488,-1.555,PNK,EQUITY,JSEJF,JSEJF,JSE LIMITED,JSE Limited,1190122200,America/New_York,EDT,-14400000,4.91,none,1888243968,23.068,853601024,159220000,0.048,1.037,2716967936,3.938,33.155,0.00782,0.20152001,2657223000,-2052077952,931777024,0.099,0.044,1.0,0.31417,0.29518998,ZAR,
6,One Exchange Square,2 Gwen Lane Sandown,Johannesburg,2196,South Africa,27 11 520 7000,27 11 520 8584,https://www.jse.co.za,Financial Data & Stock Exchanges,Financial Services,"JSE Limited operates as a securities exchange in South Africa. It offers capital market, post-trade, and information services, as well as listing, trading, and issuer services. The company also provides market services in the areas of equities and bonds, as well as equity, bond, interest rate, commodity, and currency derivatives markets. It also offers post trade services, including clearing, risk management, and settlement services for the equity, bonds, and derivatives markets. The company was founded in 1887 and is based in Johannesburg, South Africa.","{'maxAge': 1, 'name': 'Ms. Valdene J. Reddy', 'title': 'Director of Capital Markets', 'fiscalYear': 2022, 'totalPay': 450052, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,4,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,0.43,0.0877,1680048000,0.8054,0.131316,9.82,274,274,3806,30,30,0.0,0.0,0,0,421443424,4.55,7.03,0.15511535,4.83,5.4306,7.69,1.5661916,USD,-1327107328,0.29253998,68262803,82054600,0.030650001,0.71633005,49.397,0.09939875,1672444800,1703980800,1688083200,0.104,794825024,0.5,-0.488,-1.555,PNK,EQUITY,JSEJF,JSEJF,JSE LIMITED,JSE Limited,1190122200,America/New_York,EDT,-14400000,4.91,none,1888243968,23.068,853601024,159220000,0.048,1.037,2716967936,3.938,33.155,0.00782,0.20152001,2657223000,-2052077952,931777024,0.099,0.044,1.0,0.31417,0.29518998,ZAR,
7,One Exchange Square,2 Gwen Lane Sandown,Johannesburg,2196,South Africa,27 11 520 7000,27 11 520 8584,https://www.jse.co.za,Financial Data & Stock Exchanges,Financial Services,"JSE Limited operates as a securities exchange in South Africa. It offers capital market, post-trade, and information services, as well as listing, trading, and issuer services. The company also provides market services in the areas of equities and bonds, as well as equity, bond, interest rate, commodity, and currency derivatives markets. It also offers post trade services, including clearing, risk management, and settlement services for the equity, bonds, and derivatives markets. The company was founded in 1887 and is based in Johannesburg, South Africa.","{'maxAge': 1, 'name': 'Q.  Mthembu', 'title': 'Group Chief Risk Officer', 'fiscalYear': 2022, 'totalPay': 110163, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,4,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,0.43,0.0877,1680048000,0.8054,0.131316,9.82,274,274,3806,30,30,0.0,0.0,0,0,421443424,4.55,7.03,0.15511535,4.83,5.4306,7.69,1.5661916,USD,-1327107328,0.29253998,68262803,82054600,0.030650001,0.71633005,49.397,0.09939875,1672444800,1703980800,1688083200,0.104,794825024,0.5,-0.488,-1.555,PNK,EQUITY,JSEJF,JSEJF,JSE LIMITED,JSE Limited,1190122200,America/New_York,EDT,-14400000,4.91,none,1888243968,23.068,853601024,159220000,0.048,1.037,2716967936,3.938,33.155,0.00782,0.20152001,2657223000,-2052077952,931777024,0.099,0.044,1.0,0.31417,0.29518998,ZAR,
8,One Exchange Square,2 Gwen Lane Sandown,Johannesburg,2196,South Africa,27 11 520 7000,27 11 520 8584,https://www.jse.co.za,Financial Data & Stock Exchanges,Financial Services,"JSE Limited operates as a securities exchange in South Africa. It offers capital market, post-trade, and information services, as well as listing, trading, and issuer services. The company also provides market services in the areas of equities and bonds, as well as equity, bond, interest rate, commodity, and currency derivatives markets. It also offers post trade services, including clearing, risk management, and settlement services for the equity, bonds, and derivatives markets. The company was founded in 1887 and is based in Johannesburg, South Africa.","{'maxAge': 1, 'name': 'Ms. Fawzia  Suliman', 'age': 50, 'title': 'Group CFO & Exec. Director', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,4,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,0.43,0.0877,1680048000,0.8054,0.131316,9.82,274,274,3806,30,30,0.0,0.0,0,0,421443424,4.55,7.03,0.15511535,4.83,5.4306,7.69,1.5661916,USD,-1327107328,0.29253998,68262803,82054600,0.030650001,0.71633005,49.397,0.09939875,1672444800,1703980800,1688083200,0.104,794825024,0.5,-0.488,-1.555,PNK,EQUITY,JSEJF,JSEJF,JSE LIMITED,JSE Limited,1190122200,America/New_York,EDT,-14400000,4.91,none,1888243968,23.068,853601024,159220000,0.048,1.037,2716967936,3.938,33.155,0.00782,0.20152001,2657223000,-2052077952,931777024,0.099,0.044,1.0,0.31417,0.29518998,ZAR,
9,One Exchange Square,2 Gwen Lane Sandown,Johannesburg,2196,South Africa,27 11 520 7000,27 11 520 8584,https://www.jse.co.za,Financial Data & Stock Exchanges,Financial Services,"JSE Limited operates as a securities exchange in South Africa. It offers capital market, post-trade, and information services, as well as listing, trading, and issuer services. The company also provides market services in the areas of equities and bonds, as well as equity, bond, interest rate, commodity, and currency derivatives markets. It also offers post trade services, including clearing, risk management, and settlement services for the equity, bonds, and derivatives markets. The company was founded in 1887 and is based in Johannesburg, South Africa.","{'maxAge': 1, 'name': 'Romy  Foltan', 'title': 'Investor Relations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,3,1,1,1693526400,1672444800,86400,4,4.91,4.91,4.91,4.91,4.91,4.91,4.91,4.91,0.43,0.0877,1680048000,0.8054,0.131316,9.82,274,274,3806,30,30,0.0,0.0,0,0,421443424,4.55,7.03,0.15511535,4.83,5.4306,7.69,1.5661916,USD,-1327107328,0.29253998,68262803,82054600,0.030650001,0.71633005,49.397,0.09939875,1672444800,1703980800,1688083200,0.104,794825024,0.5,-0.488,-1.555,PNK,EQUITY,JSEJF,JSEJF,JSE LIMITED,JSE Limited,1190122200,America/New_York,EDT,-14400000,4.91,none,1888243968,23.068,853601024,159220000,0.048,1.037,2716967936,3.938,33.155,0.00782,0.20152001,2657223000,-2052077952,931777024,0.099,0.044,1.0,0.31417,0.29518998,ZAR,
