,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Herrjärva torg 4,Solna,170 67,Sweden,46 8 58 55 10 00,46 8  85 77 75,https://www.ncc.se,Engineering & Construction,Industrials,"NCC AB (publ) operates as a construction company in Sweden, Norway, Denmark, and Finland. It operates through five segments: NCC Infrastructure, NCC Building Sweden, NCC Building Nordic, NCC Industry, and NCC Property Development. The company builds residential buildings and offices, as well as constructs schools, hospitals, stores, and warehouses. It also designs and constructs infrastructure projects, such as tunnels, roads, and railways. In addition, the company produces stone materials and asphalt, as well as engages in the piling works and paving. Further, it develops and sells commercial properties in metropolitan regions. The company was incorporated in 1935 and is headquartered in Solna, Sweden.",12500,"{'maxAge': 1, 'name': 'Mr. Tomas  Carlsson', 'age': 57, 'title': 'Pres & CEO', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 24232000, 'exercisedValue': 0, 'unexercisedValue': 0}",4,8,2,9,6,1693526400,1672444800,86400,2,117.0,118.0,116.5,118.6,117.0,118.0,116.5,118.6,6.0,0.0513,1698969600,0.4342,4.0,1.128753,8.45152,8.427129,475100,475100,205143,147043,147043,117.1,117.3,0,0,11203923968,75.75,118.6,0.19517672,112.196,100.686,6.0,0.051282052,SEK,16521774080,0.02427,75459296,84678096,0.04572,0.52787,76.297,1.5308597,1672444800,1703980800,1688083200,0.063,1392999936,13.82,13.86,-2.64,0.288,8.22,STO,EQUITY,NCC-B.ST,NCC-B.ST,NCC AB ser. B,NCC AB (publ),946886400,Europe/Stockholm,CEST,7200000,116.8,160.0,130.0,139.0,135.0,1.6,buy,5,1044000000,10.698,2010000000,6167000064,0.756,1.324,57403998208,82.823,578.961,0.026519999,0.20228,3996000000,-647249984,1244000000,0.162,0.061,0.0759,0.03501,0.0238,SEK,
1,Herrjärva torg 4,Solna,170 67,Sweden,46 8 58 55 10 00,46 8  85 77 75,https://www.ncc.se,Engineering & Construction,Industrials,"NCC AB (publ) operates as a construction company in Sweden, Norway, Denmark, and Finland. It operates through five segments: NCC Infrastructure, NCC Building Sweden, NCC Building Nordic, NCC Industry, and NCC Property Development. The company builds residential buildings and offices, as well as constructs schools, hospitals, stores, and warehouses. It also designs and constructs infrastructure projects, such as tunnels, roads, and railways. In addition, the company produces stone materials and asphalt, as well as engages in the piling works and paving. Further, it develops and sells commercial properties in metropolitan regions. The company was incorporated in 1935 and is headquartered in Solna, Sweden.",12500,"{'maxAge': 1, 'name': 'Ms. Susanne  Lithander', 'age': 61, 'title': 'CFO and Head of Fin. & IT', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",4,8,2,9,6,1693526400,1672444800,86400,2,117.0,118.0,116.5,118.6,117.0,118.0,116.5,118.6,6.0,0.0513,1698969600,0.4342,4.0,1.128753,8.45152,8.427129,475100,475100,205143,147043,147043,117.1,117.3,0,0,11203923968,75.75,118.6,0.19517672,112.196,100.686,6.0,0.051282052,SEK,16521774080,0.02427,75459296,84678096,0.04572,0.52787,76.297,1.5308597,1672444800,1703980800,1688083200,0.063,1392999936,13.82,13.86,-2.64,0.288,8.22,STO,EQUITY,NCC-B.ST,NCC-B.ST,NCC AB ser. B,NCC AB (publ),946886400,Europe/Stockholm,CEST,7200000,116.8,160.0,130.0,139.0,135.0,1.6,buy,5,1044000000,10.698,2010000000,6167000064,0.756,1.324,57403998208,82.823,578.961,0.026519999,0.20228,3996000000,-647249984,1244000000,0.162,0.061,0.0759,0.03501,0.0238,SEK,
2,Herrjärva torg 4,Solna,170 67,Sweden,46 8 58 55 10 00,46 8  85 77 75,https://www.ncc.se,Engineering & Construction,Industrials,"NCC AB (publ) operates as a construction company in Sweden, Norway, Denmark, and Finland. It operates through five segments: NCC Infrastructure, NCC Building Sweden, NCC Building Nordic, NCC Industry, and NCC Property Development. The company builds residential buildings and offices, as well as constructs schools, hospitals, stores, and warehouses. It also designs and constructs infrastructure projects, such as tunnels, roads, and railways. In addition, the company produces stone materials and asphalt, as well as engages in the piling works and paving. Further, it develops and sells commercial properties in metropolitan regions. The company was incorporated in 1935 and is headquartered in Solna, Sweden.",12500,"{'maxAge': 1, 'name': 'Ms. Ann-Marie  Hedbeck', 'age': 50, 'title': 'Sr. Legal Counsel & Sec. of the Board', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",4,8,2,9,6,1693526400,1672444800,86400,2,117.0,118.0,116.5,118.6,117.0,118.0,116.5,118.6,6.0,0.0513,1698969600,0.4342,4.0,1.128753,8.45152,8.427129,475100,475100,205143,147043,147043,117.1,117.3,0,0,11203923968,75.75,118.6,0.19517672,112.196,100.686,6.0,0.051282052,SEK,16521774080,0.02427,75459296,84678096,0.04572,0.52787,76.297,1.5308597,1672444800,1703980800,1688083200,0.063,1392999936,13.82,13.86,-2.64,0.288,8.22,STO,EQUITY,NCC-B.ST,NCC-B.ST,NCC AB ser. B,NCC AB (publ),946886400,Europe/Stockholm,CEST,7200000,116.8,160.0,130.0,139.0,135.0,1.6,buy,5,1044000000,10.698,2010000000,6167000064,0.756,1.324,57403998208,82.823,578.961,0.026519999,0.20228,3996000000,-647249984,1244000000,0.162,0.061,0.0759,0.03501,0.0238,SEK,
3,Herrjärva torg 4,Solna,170 67,Sweden,46 8 58 55 10 00,46 8  85 77 75,https://www.ncc.se,Engineering & Construction,Industrials,"NCC AB (publ) operates as a construction company in Sweden, Norway, Denmark, and Finland. It operates through five segments: NCC Infrastructure, NCC Building Sweden, NCC Building Nordic, NCC Industry, and NCC Property Development. The company builds residential buildings and offices, as well as constructs schools, hospitals, stores, and warehouses. It also designs and constructs infrastructure projects, such as tunnels, roads, and railways. In addition, the company produces stone materials and asphalt, as well as engages in the piling works and paving. Further, it develops and sells commercial properties in metropolitan regions. The company was incorporated in 1935 and is headquartered in Solna, Sweden.",12500,"{'maxAge': 1, 'name': 'Ms. Maria  Grimberg', 'age': 53, 'title': 'Head of Communication', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",4,8,2,9,6,1693526400,1672444800,86400,2,117.0,118.0,116.5,118.6,117.0,118.0,116.5,118.6,6.0,0.0513,1698969600,0.4342,4.0,1.128753,8.45152,8.427129,475100,475100,205143,147043,147043,117.1,117.3,0,0,11203923968,75.75,118.6,0.19517672,112.196,100.686,6.0,0.051282052,SEK,16521774080,0.02427,75459296,84678096,0.04572,0.52787,76.297,1.5308597,1672444800,1703980800,1688083200,0.063,1392999936,13.82,13.86,-2.64,0.288,8.22,STO,EQUITY,NCC-B.ST,NCC-B.ST,NCC AB ser. B,NCC AB (publ),946886400,Europe/Stockholm,CEST,7200000,116.8,160.0,130.0,139.0,135.0,1.6,buy,5,1044000000,10.698,2010000000,6167000064,0.756,1.324,57403998208,82.823,578.961,0.026519999,0.20228,3996000000,-647249984,1244000000,0.162,0.061,0.0759,0.03501,0.0238,SEK,
4,Herrjärva torg 4,Solna,170 67,Sweden,46 8 58 55 10 00,46 8  85 77 75,https://www.ncc.se,Engineering & Construction,Industrials,"NCC AB (publ) operates as a construction company in Sweden, Norway, Denmark, and Finland. It operates through five segments: NCC Infrastructure, NCC Building Sweden, NCC Building Nordic, NCC Industry, and NCC Property Development. The company builds residential buildings and offices, as well as constructs schools, hospitals, stores, and warehouses. It also designs and constructs infrastructure projects, such as tunnels, roads, and railways. In addition, the company produces stone materials and asphalt, as well as engages in the piling works and paving. Further, it develops and sells commercial properties in metropolitan regions. The company was incorporated in 1935 and is headquartered in Solna, Sweden.",12500,"{'maxAge': 1, 'name': 'Ms. Marie  Reifeldt', 'age': 59, 'title': 'Head of Human Resource', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",4,8,2,9,6,1693526400,1672444800,86400,2,117.0,118.0,116.5,118.6,117.0,118.0,116.5,118.6,6.0,0.0513,1698969600,0.4342,4.0,1.128753,8.45152,8.427129,475100,475100,205143,147043,147043,117.1,117.3,0,0,11203923968,75.75,118.6,0.19517672,112.196,100.686,6.0,0.051282052,SEK,16521774080,0.02427,75459296,84678096,0.04572,0.52787,76.297,1.5308597,1672444800,1703980800,1688083200,0.063,1392999936,13.82,13.86,-2.64,0.288,8.22,STO,EQUITY,NCC-B.ST,NCC-B.ST,NCC AB ser. B,NCC AB (publ),946886400,Europe/Stockholm,CEST,7200000,116.8,160.0,130.0,139.0,135.0,1.6,buy,5,1044000000,10.698,2010000000,6167000064,0.756,1.324,57403998208,82.823,578.961,0.026519999,0.20228,3996000000,-647249984,1244000000,0.162,0.061,0.0759,0.03501,0.0238,SEK,
5,Herrjärva torg 4,Solna,170 67,Sweden,46 8 58 55 10 00,46 8  85 77 75,https://www.ncc.se,Engineering & Construction,Industrials,"NCC AB (publ) operates as a construction company in Sweden, Norway, Denmark, and Finland. It operates through five segments: NCC Infrastructure, NCC Building Sweden, NCC Building Nordic, NCC Industry, and NCC Property Development. The company builds residential buildings and offices, as well as constructs schools, hospitals, stores, and warehouses. It also designs and constructs infrastructure projects, such as tunnels, roads, and railways. In addition, the company produces stone materials and asphalt, as well as engages in the piling works and paving. Further, it develops and sells commercial properties in metropolitan regions. The company was incorporated in 1935 and is headquartered in Solna, Sweden.",12500,"{'maxAge': 1, 'name': 'Mr. Greeg  Nordqvist', 'age': 67, 'title': 'Sr. VP of Strategy, Merger & Acquisitions', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",4,8,2,9,6,1693526400,1672444800,86400,2,117.0,118.0,116.5,118.6,117.0,118.0,116.5,118.6,6.0,0.0513,1698969600,0.4342,4.0,1.128753,8.45152,8.427129,475100,475100,205143,147043,147043,117.1,117.3,0,0,11203923968,75.75,118.6,0.19517672,112.196,100.686,6.0,0.051282052,SEK,16521774080,0.02427,75459296,84678096,0.04572,0.52787,76.297,1.5308597,1672444800,1703980800,1688083200,0.063,1392999936,13.82,13.86,-2.64,0.288,8.22,STO,EQUITY,NCC-B.ST,NCC-B.ST,NCC AB ser. B,NCC AB (publ),946886400,Europe/Stockholm,CEST,7200000,116.8,160.0,130.0,139.0,135.0,1.6,buy,5,1044000000,10.698,2010000000,6167000064,0.756,1.324,57403998208,82.823,578.961,0.026519999,0.20228,3996000000,-647249984,1244000000,0.162,0.061,0.0759,0.03501,0.0238,SEK,
6,Herrjärva torg 4,Solna,170 67,Sweden,46 8 58 55 10 00,46 8  85 77 75,https://www.ncc.se,Engineering & Construction,Industrials,"NCC AB (publ) operates as a construction company in Sweden, Norway, Denmark, and Finland. It operates through five segments: NCC Infrastructure, NCC Building Sweden, NCC Building Nordic, NCC Industry, and NCC Property Development. The company builds residential buildings and offices, as well as constructs schools, hospitals, stores, and warehouses. It also designs and constructs infrastructure projects, such as tunnels, roads, and railways. In addition, the company produces stone materials and asphalt, as well as engages in the piling works and paving. Further, it develops and sells commercial properties in metropolitan regions. The company was incorporated in 1935 and is headquartered in Solna, Sweden.",12500,"{'maxAge': 1, 'name': 'Ms. Anna  Trane', 'age': 54, 'title': 'Head of Corp. Media Relations', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",4,8,2,9,6,1693526400,1672444800,86400,2,117.0,118.0,116.5,118.6,117.0,118.0,116.5,118.6,6.0,0.0513,1698969600,0.4342,4.0,1.128753,8.45152,8.427129,475100,475100,205143,147043,147043,117.1,117.3,0,0,11203923968,75.75,118.6,0.19517672,112.196,100.686,6.0,0.051282052,SEK,16521774080,0.02427,75459296,84678096,0.04572,0.52787,76.297,1.5308597,1672444800,1703980800,1688083200,0.063,1392999936,13.82,13.86,-2.64,0.288,8.22,STO,EQUITY,NCC-B.ST,NCC-B.ST,NCC AB ser. B,NCC AB (publ),946886400,Europe/Stockholm,CEST,7200000,116.8,160.0,130.0,139.0,135.0,1.6,buy,5,1044000000,10.698,2010000000,6167000064,0.756,1.324,57403998208,82.823,578.961,0.026519999,0.20228,3996000000,-647249984,1244000000,0.162,0.061,0.0759,0.03501,0.0238,SEK,
7,Herrjärva torg 4,Solna,170 67,Sweden,46 8 58 55 10 00,46 8  85 77 75,https://www.ncc.se,Engineering & Construction,Industrials,"NCC AB (publ) operates as a construction company in Sweden, Norway, Denmark, and Finland. It operates through five segments: NCC Infrastructure, NCC Building Sweden, NCC Building Nordic, NCC Industry, and NCC Property Development. The company builds residential buildings and offices, as well as constructs schools, hospitals, stores, and warehouses. It also designs and constructs infrastructure projects, such as tunnels, roads, and railways. In addition, the company produces stone materials and asphalt, as well as engages in the piling works and paving. Further, it develops and sells commercial properties in metropolitan regions. The company was incorporated in 1935 and is headquartered in Solna, Sweden.",12500,"{'maxAge': 1, 'name': 'Mr. Kenneth  Nilsson', 'age': 61, 'title': 'Head of Bus. Area Infrastructure', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",4,8,2,9,6,1693526400,1672444800,86400,2,117.0,118.0,116.5,118.6,117.0,118.0,116.5,118.6,6.0,0.0513,1698969600,0.4342,4.0,1.128753,8.45152,8.427129,475100,475100,205143,147043,147043,117.1,117.3,0,0,11203923968,75.75,118.6,0.19517672,112.196,100.686,6.0,0.051282052,SEK,16521774080,0.02427,75459296,84678096,0.04572,0.52787,76.297,1.5308597,1672444800,1703980800,1688083200,0.063,1392999936,13.82,13.86,-2.64,0.288,8.22,STO,EQUITY,NCC-B.ST,NCC-B.ST,NCC AB ser. B,NCC AB (publ),946886400,Europe/Stockholm,CEST,7200000,116.8,160.0,130.0,139.0,135.0,1.6,buy,5,1044000000,10.698,2010000000,6167000064,0.756,1.324,57403998208,82.823,578.961,0.026519999,0.20228,3996000000,-647249984,1244000000,0.162,0.061,0.0759,0.03501,0.0238,SEK,
8,Herrjärva torg 4,Solna,170 67,Sweden,46 8 58 55 10 00,46 8  85 77 75,https://www.ncc.se,Engineering & Construction,Industrials,"NCC AB (publ) operates as a construction company in Sweden, Norway, Denmark, and Finland. It operates through five segments: NCC Infrastructure, NCC Building Sweden, NCC Building Nordic, NCC Industry, and NCC Property Development. The company builds residential buildings and offices, as well as constructs schools, hospitals, stores, and warehouses. It also designs and constructs infrastructure projects, such as tunnels, roads, and railways. In addition, the company produces stone materials and asphalt, as well as engages in the piling works and paving. Further, it develops and sells commercial properties in metropolitan regions. The company was incorporated in 1935 and is headquartered in Solna, Sweden.",12500,"{'maxAge': 1, 'name': 'Anders  Esbjörnsson', 'title': 'Head Group Risk Management', 'exercisedValue': 0, 'unexercisedValue': 0}",4,8,2,9,6,1693526400,1672444800,86400,2,117.0,118.0,116.5,118.6,117.0,118.0,116.5,118.6,6.0,0.0513,1698969600,0.4342,4.0,1.128753,8.45152,8.427129,475100,475100,205143,147043,147043,117.1,117.3,0,0,11203923968,75.75,118.6,0.19517672,112.196,100.686,6.0,0.051282052,SEK,16521774080,0.02427,75459296,84678096,0.04572,0.52787,76.297,1.5308597,1672444800,1703980800,1688083200,0.063,1392999936,13.82,13.86,-2.64,0.288,8.22,STO,EQUITY,NCC-B.ST,NCC-B.ST,NCC AB ser. B,NCC AB (publ),946886400,Europe/Stockholm,CEST,7200000,116.8,160.0,130.0,139.0,135.0,1.6,buy,5,1044000000,10.698,2010000000,6167000064,0.756,1.324,57403998208,82.823,578.961,0.026519999,0.20228,3996000000,-647249984,1244000000,0.162,0.061,0.0759,0.03501,0.0238,SEK,
9,Herrjärva torg 4,Solna,170 67,Sweden,46 8 58 55 10 00,46 8  85 77 75,https://www.ncc.se,Engineering & Construction,Industrials,"NCC AB (publ) operates as a construction company in Sweden, Norway, Denmark, and Finland. It operates through five segments: NCC Infrastructure, NCC Building Sweden, NCC Building Nordic, NCC Industry, and NCC Property Development. The company builds residential buildings and offices, as well as constructs schools, hospitals, stores, and warehouses. It also designs and constructs infrastructure projects, such as tunnels, roads, and railways. In addition, the company produces stone materials and asphalt, as well as engages in the piling works and paving. Further, it develops and sells commercial properties in metropolitan regions. The company was incorporated in 1935 and is headquartered in Solna, Sweden.",12500,"{'maxAge': 1, 'name': 'Mr. Harald  Stjernström', 'age': 60, 'title': 'Project Mang. of Building Dept. & Employee Representative Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",4,8,2,9,6,1693526400,1672444800,86400,2,117.0,118.0,116.5,118.6,117.0,118.0,116.5,118.6,6.0,0.0513,1698969600,0.4342,4.0,1.128753,8.45152,8.427129,475100,475100,205143,147043,147043,117.1,117.3,0,0,11203923968,75.75,118.6,0.19517672,112.196,100.686,6.0,0.051282052,SEK,16521774080,0.02427,75459296,84678096,0.04572,0.52787,76.297,1.5308597,1672444800,1703980800,1688083200,0.063,1392999936,13.82,13.86,-2.64,0.288,8.22,STO,EQUITY,NCC-B.ST,NCC-B.ST,NCC AB ser. B,NCC AB (publ),946886400,Europe/Stockholm,CEST,7200000,116.8,160.0,130.0,139.0,135.0,1.6,buy,5,1044000000,10.698,2010000000,6167000064,0.756,1.324,57403998208,82.823,578.961,0.026519999,0.20228,3996000000,-647249984,1244000000,0.162,0.061,0.0759,0.03501,0.0238,SEK,
