,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,10 Kings Park Road,Level 2,West Perth,WA,6005,Australia,61 8 6430 3800,61 8 6430 3849,https://www.sandfire.com.au,Copper,Basic Materials,"Sandfire Resources Limited, a mining company, engages in the exploration, evaluation, and development of mineral tenements and projects. It primarily explores for copper, gold, silver, lead, and zinc deposits. Sandfire Resources Limited was incorporated in 2003 and is based in West Perth, Australia.",1334,"{'maxAge': 1, 'name': 'Mr. Brendan  Harris B.Sc., BSc, C.P.A.', 'age': 50, 'title': 'CEO, MD & Director', 'yearBorn': 1972, 'fiscalYear': 2023, 'totalPay': 460323, 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,8,1,3,1693526400,1703980800,86400,2,6.35,6.5,6.47,6.67,6.35,6.5,6.47,6.67,1647302400,0.0,1.492867,12.862745,2062285,2062285,1717107,1682561,1682561,6.56,6.6,0,0,2997211392,3.27,7.215,3.6980515,6.3414,6.14,0.0,0.0,AUD,3450144000,-0.06364,448083052,456892000,0.04532,0.65873003,3.8,1.7263157,1688083200,1719705600,1688083200,-51576000,-0.19,0.51,12.53,1:1,1248652800,4.257,14.402,ASX,EQUITY,SFR.AX,SFR.AX,SANDFIRE FPO,Sandfire Resources Limited,1078354800,Australia/Sydney,AEST,36000000,6.56,7.74,4.71,6.67,6.89,2.6,hold,15,141939008,0.311,239568000,596592000,0.78,1.073,810483968,34.395,1.855,-0.00242,-0.03156,454600000,-202109744,116622000,-0.39,0.5609,0.29559,-0.01534,USD,
1,10 Kings Park Road,Level 2,West Perth,WA,6005,Australia,61 8 6430 3800,61 8 6430 3849,https://www.sandfire.com.au,Copper,Basic Materials,"Sandfire Resources Limited, a mining company, engages in the exploration, evaluation, and development of mineral tenements and projects. It primarily explores for copper, gold, silver, lead, and zinc deposits. Sandfire Resources Limited was incorporated in 2003 and is based in West Perth, Australia.",1334,"{'maxAge': 1, 'name': 'Mr. Matthew Leslie Fitzgerald B.Com., B.Comm, CA', 'age': 43, 'title': 'Chief Financial Officer', 'yearBorn': 1979, 'fiscalYear': 2023, 'totalPay': 1504711, 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,8,1,3,1693526400,1703980800,86400,2,6.35,6.5,6.47,6.67,6.35,6.5,6.47,6.67,1647302400,0.0,1.492867,12.862745,2062285,2062285,1717107,1682561,1682561,6.56,6.6,0,0,2997211392,3.27,7.215,3.6980515,6.3414,6.14,0.0,0.0,AUD,3450144000,-0.06364,448083052,456892000,0.04532,0.65873003,3.8,1.7263157,1688083200,1719705600,1688083200,-51576000,-0.19,0.51,12.53,1:1,1248652800,4.257,14.402,ASX,EQUITY,SFR.AX,SFR.AX,SANDFIRE FPO,Sandfire Resources Limited,1078354800,Australia/Sydney,AEST,36000000,6.56,7.74,4.71,6.67,6.89,2.6,hold,15,141939008,0.311,239568000,596592000,0.78,1.073,810483968,34.395,1.855,-0.00242,-0.03156,454600000,-202109744,116622000,-0.39,0.5609,0.29559,-0.01534,USD,
2,10 Kings Park Road,Level 2,West Perth,WA,6005,Australia,61 8 6430 3800,61 8 6430 3849,https://www.sandfire.com.au,Copper,Basic Materials,"Sandfire Resources Limited, a mining company, engages in the exploration, evaluation, and development of mineral tenements and projects. It primarily explores for copper, gold, silver, lead, and zinc deposits. Sandfire Resources Limited was incorporated in 2003 and is based in West Perth, Australia.",1334,"{'maxAge': 1, 'name': 'Mr. Jason  Grace B.Sc.', 'age': 54, 'title': 'Chief Operating Officer', 'yearBorn': 1968, 'fiscalYear': 2023, 'totalPay': 1285283, 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,8,1,3,1693526400,1703980800,86400,2,6.35,6.5,6.47,6.67,6.35,6.5,6.47,6.67,1647302400,0.0,1.492867,12.862745,2062285,2062285,1717107,1682561,1682561,6.56,6.6,0,0,2997211392,3.27,7.215,3.6980515,6.3414,6.14,0.0,0.0,AUD,3450144000,-0.06364,448083052,456892000,0.04532,0.65873003,3.8,1.7263157,1688083200,1719705600,1688083200,-51576000,-0.19,0.51,12.53,1:1,1248652800,4.257,14.402,ASX,EQUITY,SFR.AX,SFR.AX,SANDFIRE FPO,Sandfire Resources Limited,1078354800,Australia/Sydney,AEST,36000000,6.56,7.74,4.71,6.67,6.89,2.6,hold,15,141939008,0.311,239568000,596592000,0.78,1.073,810483968,34.395,1.855,-0.00242,-0.03156,454600000,-202109744,116622000,-0.39,0.5609,0.29559,-0.01534,USD,
3,10 Kings Park Road,Level 2,West Perth,WA,6005,Australia,61 8 6430 3800,61 8 6430 3849,https://www.sandfire.com.au,Copper,Basic Materials,"Sandfire Resources Limited, a mining company, engages in the exploration, evaluation, and development of mineral tenements and projects. It primarily explores for copper, gold, silver, lead, and zinc deposits. Sandfire Resources Limited was incorporated in 2003 and is based in West Perth, Australia.",1334,"{'maxAge': 1, 'name': 'Mr. David  Wilson', 'title': 'Head of Bus. Devel. & Technical Services', 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,8,1,3,1693526400,1703980800,86400,2,6.35,6.5,6.47,6.67,6.35,6.5,6.47,6.67,1647302400,0.0,1.492867,12.862745,2062285,2062285,1717107,1682561,1682561,6.56,6.6,0,0,2997211392,3.27,7.215,3.6980515,6.3414,6.14,0.0,0.0,AUD,3450144000,-0.06364,448083052,456892000,0.04532,0.65873003,3.8,1.7263157,1688083200,1719705600,1688083200,-51576000,-0.19,0.51,12.53,1:1,1248652800,4.257,14.402,ASX,EQUITY,SFR.AX,SFR.AX,SANDFIRE FPO,Sandfire Resources Limited,1078354800,Australia/Sydney,AEST,36000000,6.56,7.74,4.71,6.67,6.89,2.6,hold,15,141939008,0.311,239568000,596592000,0.78,1.073,810483968,34.395,1.855,-0.00242,-0.03156,454600000,-202109744,116622000,-0.39,0.5609,0.29559,-0.01534,USD,
4,10 Kings Park Road,Level 2,West Perth,WA,6005,Australia,61 8 6430 3800,61 8 6430 3849,https://www.sandfire.com.au,Copper,Basic Materials,"Sandfire Resources Limited, a mining company, engages in the exploration, evaluation, and development of mineral tenements and projects. It primarily explores for copper, gold, silver, lead, and zinc deposits. Sandfire Resources Limited was incorporated in 2003 and is based in West Perth, Australia.",1334,"{'maxAge': 1, 'name': 'Mr. Ben  Crowley', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,8,1,3,1693526400,1703980800,86400,2,6.35,6.5,6.47,6.67,6.35,6.5,6.47,6.67,1647302400,0.0,1.492867,12.862745,2062285,2062285,1717107,1682561,1682561,6.56,6.6,0,0,2997211392,3.27,7.215,3.6980515,6.3414,6.14,0.0,0.0,AUD,3450144000,-0.06364,448083052,456892000,0.04532,0.65873003,3.8,1.7263157,1688083200,1719705600,1688083200,-51576000,-0.19,0.51,12.53,1:1,1248652800,4.257,14.402,ASX,EQUITY,SFR.AX,SFR.AX,SANDFIRE FPO,Sandfire Resources Limited,1078354800,Australia/Sydney,AEST,36000000,6.56,7.74,4.71,6.67,6.89,2.6,hold,15,141939008,0.311,239568000,596592000,0.78,1.073,810483968,34.395,1.855,-0.00242,-0.03156,454600000,-202109744,116622000,-0.39,0.5609,0.29559,-0.01534,USD,
5,10 Kings Park Road,Level 2,West Perth,WA,6005,Australia,61 8 6430 3800,61 8 6430 3849,https://www.sandfire.com.au,Copper,Basic Materials,"Sandfire Resources Limited, a mining company, engages in the exploration, evaluation, and development of mineral tenements and projects. It primarily explores for copper, gold, silver, lead, and zinc deposits. Sandfire Resources Limited was incorporated in 2003 and is based in West Perth, Australia.",1334,"{'maxAge': 1, 'name': 'Ms. Victoria  Twiss B.Com., L.L.B., M.B.A.', 'title': 'Gen. Counsel and Head of Legal, Risk & Compliance', 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,8,1,3,1693526400,1703980800,86400,2,6.35,6.5,6.47,6.67,6.35,6.5,6.47,6.67,1647302400,0.0,1.492867,12.862745,2062285,2062285,1717107,1682561,1682561,6.56,6.6,0,0,2997211392,3.27,7.215,3.6980515,6.3414,6.14,0.0,0.0,AUD,3450144000,-0.06364,448083052,456892000,0.04532,0.65873003,3.8,1.7263157,1688083200,1719705600,1688083200,-51576000,-0.19,0.51,12.53,1:1,1248652800,4.257,14.402,ASX,EQUITY,SFR.AX,SFR.AX,SANDFIRE FPO,Sandfire Resources Limited,1078354800,Australia/Sydney,AEST,36000000,6.56,7.74,4.71,6.67,6.89,2.6,hold,15,141939008,0.311,239568000,596592000,0.78,1.073,810483968,34.395,1.855,-0.00242,-0.03156,454600000,-202109744,116622000,-0.39,0.5609,0.29559,-0.01534,USD,
6,10 Kings Park Road,Level 2,West Perth,WA,6005,Australia,61 8 6430 3800,61 8 6430 3849,https://www.sandfire.com.au,Copper,Basic Materials,"Sandfire Resources Limited, a mining company, engages in the exploration, evaluation, and development of mineral tenements and projects. It primarily explores for copper, gold, silver, lead, and zinc deposits. Sandfire Resources Limited was incorporated in 2003 and is based in West Perth, Australia.",1334,"{'maxAge': 1, 'name': 'Mr. Scott  Browne B.Com.', 'age': 46, 'title': 'Chief People Officer', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,8,1,3,1693526400,1703980800,86400,2,6.35,6.5,6.47,6.67,6.35,6.5,6.47,6.67,1647302400,0.0,1.492867,12.862745,2062285,2062285,1717107,1682561,1682561,6.56,6.6,0,0,2997211392,3.27,7.215,3.6980515,6.3414,6.14,0.0,0.0,AUD,3450144000,-0.06364,448083052,456892000,0.04532,0.65873003,3.8,1.7263157,1688083200,1719705600,1688083200,-51576000,-0.19,0.51,12.53,1:1,1248652800,4.257,14.402,ASX,EQUITY,SFR.AX,SFR.AX,SANDFIRE FPO,Sandfire Resources Limited,1078354800,Australia/Sydney,AEST,36000000,6.56,7.74,4.71,6.67,6.89,2.6,hold,15,141939008,0.311,239568000,596592000,0.78,1.073,810483968,34.395,1.855,-0.00242,-0.03156,454600000,-202109744,116622000,-0.39,0.5609,0.29559,-0.01534,USD,
7,10 Kings Park Road,Level 2,West Perth,WA,6005,Australia,61 8 6430 3800,61 8 6430 3849,https://www.sandfire.com.au,Copper,Basic Materials,"Sandfire Resources Limited, a mining company, engages in the exploration, evaluation, and development of mineral tenements and projects. It primarily explores for copper, gold, silver, lead, and zinc deposits. Sandfire Resources Limited was incorporated in 2003 and is based in West Perth, Australia.",1334,"{'maxAge': 1, 'name': 'Ms. Samantha  Masters', 'title': 'Head of Health, Safety, Environment & Communities', 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,8,1,3,1693526400,1703980800,86400,2,6.35,6.5,6.47,6.67,6.35,6.5,6.47,6.67,1647302400,0.0,1.492867,12.862745,2062285,2062285,1717107,1682561,1682561,6.56,6.6,0,0,2997211392,3.27,7.215,3.6980515,6.3414,6.14,0.0,0.0,AUD,3450144000,-0.06364,448083052,456892000,0.04532,0.65873003,3.8,1.7263157,1688083200,1719705600,1688083200,-51576000,-0.19,0.51,12.53,1:1,1248652800,4.257,14.402,ASX,EQUITY,SFR.AX,SFR.AX,SANDFIRE FPO,Sandfire Resources Limited,1078354800,Australia/Sydney,AEST,36000000,6.56,7.74,4.71,6.67,6.89,2.6,hold,15,141939008,0.311,239568000,596592000,0.78,1.073,810483968,34.395,1.855,-0.00242,-0.03156,454600000,-202109744,116622000,-0.39,0.5609,0.29559,-0.01534,USD,
8,10 Kings Park Road,Level 2,West Perth,WA,6005,Australia,61 8 6430 3800,61 8 6430 3849,https://www.sandfire.com.au,Copper,Basic Materials,"Sandfire Resources Limited, a mining company, engages in the exploration, evaluation, and development of mineral tenements and projects. It primarily explores for copper, gold, silver, lead, and zinc deposits. Sandfire Resources Limited was incorporated in 2003 and is based in West Perth, Australia.",1334,"{'maxAge': 1, 'name': 'Mr. Richard  Holmes B.Sc.', 'age': 54, 'title': 'Chief Devel. Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,8,1,3,1693526400,1703980800,86400,2,6.35,6.5,6.47,6.67,6.35,6.5,6.47,6.67,1647302400,0.0,1.492867,12.862745,2062285,2062285,1717107,1682561,1682561,6.56,6.6,0,0,2997211392,3.27,7.215,3.6980515,6.3414,6.14,0.0,0.0,AUD,3450144000,-0.06364,448083052,456892000,0.04532,0.65873003,3.8,1.7263157,1688083200,1719705600,1688083200,-51576000,-0.19,0.51,12.53,1:1,1248652800,4.257,14.402,ASX,EQUITY,SFR.AX,SFR.AX,SANDFIRE FPO,Sandfire Resources Limited,1078354800,Australia/Sydney,AEST,36000000,6.56,7.74,4.71,6.67,6.89,2.6,hold,15,141939008,0.311,239568000,596592000,0.78,1.073,810483968,34.395,1.855,-0.00242,-0.03156,454600000,-202109744,116622000,-0.39,0.5609,0.29559,-0.01534,USD,
9,10 Kings Park Road,Level 2,West Perth,WA,6005,Australia,61 8 6430 3800,61 8 6430 3849,https://www.sandfire.com.au,Copper,Basic Materials,"Sandfire Resources Limited, a mining company, engages in the exploration, evaluation, and development of mineral tenements and projects. It primarily explores for copper, gold, silver, lead, and zinc deposits. Sandfire Resources Limited was incorporated in 2003 and is based in West Perth, Australia.",1334,"{'maxAge': 1, 'name': 'Ms. Sophie  Raven', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,1,8,1,3,1693526400,1703980800,86400,2,6.35,6.5,6.47,6.67,6.35,6.5,6.47,6.67,1647302400,0.0,1.492867,12.862745,2062285,2062285,1717107,1682561,1682561,6.56,6.6,0,0,2997211392,3.27,7.215,3.6980515,6.3414,6.14,0.0,0.0,AUD,3450144000,-0.06364,448083052,456892000,0.04532,0.65873003,3.8,1.7263157,1688083200,1719705600,1688083200,-51576000,-0.19,0.51,12.53,1:1,1248652800,4.257,14.402,ASX,EQUITY,SFR.AX,SFR.AX,SANDFIRE FPO,Sandfire Resources Limited,1078354800,Australia/Sydney,AEST,36000000,6.56,7.74,4.71,6.67,6.89,2.6,hold,15,141939008,0.311,239568000,596592000,0.78,1.073,810483968,34.395,1.855,-0.00242,-0.03156,454600000,-202109744,116622000,-0.39,0.5609,0.29559,-0.01534,USD,
