,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Heliosgatan 3,Stockholm,120 30,Sweden,46 84 49 25 00,https://www.firefly.se,Building Products & Equipment,Industrials,"Firefly AB (publ) develops and sells industrial fire prevention and protection systems for the process industry worldwide. The company offers customized fire prevention systems and components that monitors industrial manufacturing processes in various areas, such as wood processing, tissue paper, food, biofuel, thermal power plant and recycling. It also offers systems for monitoring infrastructure subway, train, road, and cable tunnel systems. The company also offers commissioning, technical support, maintenance, and training services, as well as spare parts management. In addition, it provides solutions to the wood panel, port facility, power generation, bioenergy, food, pulp and paper, and hygiene industries. The company sells its products and services directly to customers through distributors. The company was incorporated in 1967 and is based in Stockholm, Sweden.",129,"{'maxAge': 1, 'name': 'Mr. Lennart  Jansson', 'age': 64, 'title': 'MD, CEO & Director', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 3729000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,141.0,141.0,133.0,141.0,141.0,141.0,133.0,141.0,3.0,0.021300001,1682380800,0.5435,0.850225,24.816175,6799,6799,2932,3069,3069,135.5,137.5,0,0,810188992,67.0,149.0,1.9697866,120.45,106.8705,3.0,0.021276595,SEK,820077184,0.06046,2139139,6001400,0.68584,0.0,19.719,6.846189,1672444800,1703980800,1688083200,1.83,24868000,5.44,1.994,17.486,STO,EQUITY,FIRE.ST,FIRE.ST,Firefly AB,Firefly AB (publ),1197878400,Europe/Stockholm,CEST,7200000,135.0,none,38123000,6.352,46898000,0,1.367,2.228,411308000,68.535,0.12512,0.2324,134144000,24705124,40493000,1.846,0.455,0.34179002,0.114020005,0.10904,SEK,
1,Heliosgatan 3,Stockholm,120 30,Sweden,46 84 49 25 00,https://www.firefly.se,Building Products & Equipment,Industrials,"Firefly AB (publ) develops and sells industrial fire prevention and protection systems for the process industry worldwide. The company offers customized fire prevention systems and components that monitors industrial manufacturing processes in various areas, such as wood processing, tissue paper, food, biofuel, thermal power plant and recycling. It also offers systems for monitoring infrastructure subway, train, road, and cable tunnel systems. The company also offers commissioning, technical support, maintenance, and training services, as well as spare parts management. In addition, it provides solutions to the wood panel, port facility, power generation, bioenergy, food, pulp and paper, and hygiene industries. The company sells its products and services directly to customers through distributors. The company was incorporated in 1967 and is based in Stockholm, Sweden.",129,"{'maxAge': 1, 'name': 'Ms. Agneta  Thelander', 'age': 50, 'title': 'Chief Financial Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,141.0,141.0,133.0,141.0,141.0,141.0,133.0,141.0,3.0,0.021300001,1682380800,0.5435,0.850225,24.816175,6799,6799,2932,3069,3069,135.5,137.5,0,0,810188992,67.0,149.0,1.9697866,120.45,106.8705,3.0,0.021276595,SEK,820077184,0.06046,2139139,6001400,0.68584,0.0,19.719,6.846189,1672444800,1703980800,1688083200,1.83,24868000,5.44,1.994,17.486,STO,EQUITY,FIRE.ST,FIRE.ST,Firefly AB,Firefly AB (publ),1197878400,Europe/Stockholm,CEST,7200000,135.0,none,38123000,6.352,46898000,0,1.367,2.228,411308000,68.535,0.12512,0.2324,134144000,24705124,40493000,1.846,0.455,0.34179002,0.114020005,0.10904,SEK,
