,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3B Macquarie Street,Suite 2,Sydney,NSW,2000,Australia,61 2 9251 9088,https://www.keypetroleum.com.au,Oil & Gas E&P,Energy,"Key Petroleum Limited engages in the acquisition and exploration of petroleum permits in Australia. It primarily holds interests in the ATP 783, 920, and 924 assets in the Cooper Eromanga Basin, Queensland, as well as L7 and EP437 in the Perth Basin, Western Australia. The company was incorporated in 2006 and is based in Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. Louis Li  Chien M.B.A.', 'title': 'MD & Director', 'fiscalYear': 2022, 'totalPay': 200939, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.164789,Infinity,3999980,3999980,778578,2891519,2891519,0.001,0.002,0,0,1967930,0.001,0.002,Infinity,0.00143,0.0014425,0.0,0.0,AUD,1986306,0.05659,1168299891,1967929984,0.40633,0.0,0.001,1.0,1656547200,1688083200,1672444800,64865,0.0,1:1,1247097600,-3.071,ASX,EQUITY,KEY.AX,KEY.AX,KEY PETROL FPO,Key Petroleum Limited,1177459200,Australia/Sydney,AEST,36000000,0.001,none,966788,0.0,-646702,1202,4.285,4.285,0,0.051,0.0,-0.15071,0.028080001,10980,-95645,-684905,103.39,1.0,0.43578997,0.0,AUD,
1,3B Macquarie Street,Suite 2,Sydney,NSW,2000,Australia,61 2 9251 9088,https://www.keypetroleum.com.au,Oil & Gas E&P,Energy,"Key Petroleum Limited engages in the acquisition and exploration of petroleum permits in Australia. It primarily holds interests in the ATP 783, 920, and 924 assets in the Cooper Eromanga Basin, Queensland, as well as L7 and EP437 in the Perth Basin, Western Australia. The company was incorporated in 2006 and is based in Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. Ian Edward Gregory B.Bus, F Fin, FCIS, FGIA, M.A.I.C.D., MAICD', 'age': 67, 'title': 'Company Sec.', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.164789,Infinity,3999980,3999980,778578,2891519,2891519,0.001,0.002,0,0,1967930,0.001,0.002,Infinity,0.00143,0.0014425,0.0,0.0,AUD,1986306,0.05659,1168299891,1967929984,0.40633,0.0,0.001,1.0,1656547200,1688083200,1672444800,64865,0.0,1:1,1247097600,-3.071,ASX,EQUITY,KEY.AX,KEY.AX,KEY PETROL FPO,Key Petroleum Limited,1177459200,Australia/Sydney,AEST,36000000,0.001,none,966788,0.0,-646702,1202,4.285,4.285,0,0.051,0.0,-0.15071,0.028080001,10980,-95645,-684905,103.39,1.0,0.43578997,0.0,AUD,
