,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,140 – 4th Avenue SW,Suite 2240,Calgary,AB,T2P 3N3,Canada,403) 571-1530,https://www.questortech.com,Pollution & Treatment Controls,Industrials,"Questor Technology Inc., an environmental emissions reduction technology company, designs, manufactures, and services waste gas combustion systems in Canada and the United States. The company rents waste gas incineration systems. It offers its solutions for various oil and gas projects, as well as for landfill biogas, syngas, waste engine exhaust, geothermal and solar, and cement plant waste heat. The company was formerly known as Interglobe Gas Technology Inc. and changed its name to Questor Technology Inc. in September 1995. Questor Technology Inc. was founded in 1994 and is headquartered in Calgary, Canada.","{'maxAge': 1, 'name': 'Ms. Ann-Marie  Osinski C.A., CPA', 'title': 'CFO & Corp. Sec.', 'fiscalYear': 2022, 'totalPay': 225345, 'exercisedValue': 15834, 'unexercisedValue': 0}",1672444800,86400,4,0.93,0.94,0.9,0.94,0.93,0.94,0.9,0.94,0.0,1.741058,90.0,49400,49400,14495,29580,29580,0.9,0.91,0,0,25197390,0.77,1.4,3.4077034,0.866,0.93065,0.0,0.0,CAD,10804693,-0.21359,22703929,27997100,5954,1380,1690761600,1693440000,0.0002,0.18555,0.17074,0.35,1.025,0.8780488,1672444800,1703980800,1688083200,-1579327,-0.05,0.01,1.461,127.156,VAN,EQUITY,QST.V,QST.V,Questor Technology Inc.,Questor Technology Inc.,889626600,America/Toronto,EDT,-14400000,0.9,1.1,1.0,1.07,1.1,2.7,hold,3,14657312,0.524,84972,264659,3.919,4.697,7394244,0.924,0.265,-0.04581,-0.05395,2033774,891980,2071798,-0.097,0.34098,0.01149,-0.33354,CAD,
1,140 – 4th Avenue SW,Suite 2240,Calgary,AB,T2P 3N3,Canada,403) 571-1530,https://www.questortech.com,Pollution & Treatment Controls,Industrials,"Questor Technology Inc., an environmental emissions reduction technology company, designs, manufactures, and services waste gas combustion systems in Canada and the United States. The company rents waste gas incineration systems. It offers its solutions for various oil and gas projects, as well as for landfill biogas, syngas, waste engine exhaust, geothermal and solar, and cement plant waste heat. The company was formerly known as Interglobe Gas Technology Inc. and changed its name to Questor Technology Inc. in September 1995. Questor Technology Inc. was founded in 1994 and is headquartered in Calgary, Canada.","{'maxAge': 1, 'name': ""Mr. Derek  O'Malley-Keyes B.Sc., M.B.A., SPHR"", 'title': 'Interim Pres, CEO & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.93,0.94,0.9,0.94,0.93,0.94,0.9,0.94,0.0,1.741058,90.0,49400,49400,14495,29580,29580,0.9,0.91,0,0,25197390,0.77,1.4,3.4077034,0.866,0.93065,0.0,0.0,CAD,10804693,-0.21359,22703929,27997100,5954,1380,1690761600,1693440000,0.0002,0.18555,0.17074,0.35,1.025,0.8780488,1672444800,1703980800,1688083200,-1579327,-0.05,0.01,1.461,127.156,VAN,EQUITY,QST.V,QST.V,Questor Technology Inc.,Questor Technology Inc.,889626600,America/Toronto,EDT,-14400000,0.9,1.1,1.0,1.07,1.1,2.7,hold,3,14657312,0.524,84972,264659,3.919,4.697,7394244,0.924,0.265,-0.04581,-0.05395,2033774,891980,2071798,-0.097,0.34098,0.01149,-0.33354,CAD,
