,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,520 White Plains Road,Suite 500,Tarrytown,NY,10591,United States,888 888 6444,https://nightfood.com,Packaged Foods,Consumer Defensive,"Nightfood Holdings, Inc., through its subsidiaries, engages in the manufacture, marketing, and distribution of sleep-friendly snack food products in the United States. It offers ice cream, chips, and cookies under the Nightfood brand. The company sells its products through retailers and distributors. Nightfood Holdings, Inc. was founded in 2010 and is based in Tarrytown, New York.","{'maxAge': 1, 'name': 'Mr. Sean  Folkson', 'age': 53, 'title': 'Founder, Pres, CEO & Chairman', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 72000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.03,0.03,0.03,0.035,0.03,0.03,0.03,0.035,0.0,1.151106,0.65,166095,166095,314810,131540,131540,0.0,0.0,0,0,3920084,0.0122,0.19,17.30859,0.0184594,0.06291725,0.0,0.0,USD,4748550,0.0,104120104,120618000,0.14392,0.0,-0.008,1656547200,1688083200,1680220800,-6393560,-0.07,0.05,20.967,PNK,EQUITY,NGTF,NGTF,NIGHTFOOD HLDGS INC,"Nightfood Holdings, Inc.",1440682200,America/New_York,EDT,-14400000,0.0325,none,26661,0.0,855114,0.054,0.385,226482,0.002,-1.2820101,-42625,-1132011,-1336777,-0.917,-0.55425,0.0,-7.35156,USD,
1,520 White Plains Road,Suite 500,Tarrytown,NY,10591,United States,888 888 6444,https://nightfood.com,Packaged Foods,Consumer Defensive,"Nightfood Holdings, Inc., through its subsidiaries, engages in the manufacture, marketing, and distribution of sleep-friendly snack food products in the United States. It offers ice cream, chips, and cookies under the Nightfood brand. The company sells its products through retailers and distributors. Nightfood Holdings, Inc. was founded in 2010 and is based in Tarrytown, New York.","{'maxAge': 1, 'name': 'Mr. Mark V. Noffke', 'age': 66, 'title': 'Advisor', 'yearBorn': 1956, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.03,0.03,0.03,0.035,0.03,0.03,0.03,0.035,0.0,1.151106,0.65,166095,166095,314810,131540,131540,0.0,0.0,0,0,3920084,0.0122,0.19,17.30859,0.0184594,0.06291725,0.0,0.0,USD,4748550,0.0,104120104,120618000,0.14392,0.0,-0.008,1656547200,1688083200,1680220800,-6393560,-0.07,0.05,20.967,PNK,EQUITY,NGTF,NGTF,NIGHTFOOD HLDGS INC,"Nightfood Holdings, Inc.",1440682200,America/New_York,EDT,-14400000,0.0325,none,26661,0.0,855114,0.054,0.385,226482,0.002,-1.2820101,-42625,-1132011,-1336777,-0.917,-0.55425,0.0,-7.35156,USD,
