,address1,city,state,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,82 Richmond Street East,Toronto,ON,M5C 1P1,Canada,https://www.nevadazinc.com,Other Industrial Metals & Mining,Basic Materials,"Nevada Zinc Corporation, a mineral exploration company, explores for and develops mineral properties in the United States and Canada. The company primarily explores for zinc and lead. Its principal property is the 100% owned Lone Mountain zinc project comprising 202 unpatented lode mining claims covering an area of approximately 4,000 acres located in Eureka County, Nevada. The company was formerly known as Goldspike Exploration Inc. and changed its name to Nevada Zinc Corporation in March 2015. Nevada Zinc Corporation was incorporated in 2010 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Donald Henry Christie ASIA, C.A., C.P.A., CA, CPA, Dip App Fin, LLB, LLM', 'age': 67, 'title': 'CFO, Sec. & Director', 'yearBorn': 1955, 'fiscalYear': 2021, 'totalPay': 87000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.04,0.04,0.035,0.04,0.04,0.04,0.035,0.04,0.0,0.843109,16000,16000,34982,76160,76160,0.035,0.04,0,0,3544100,0.025,0.08,0.0348,0.045125,0.0,0.0,CAD,3482150,0.0,75690963,101260000,2236,83174,1690761600,1693440000,0.0,0.28397,0.0,0.09,-0.008,1672444800,1703980800,1688083200,-713879,-0.0,VAN,EQUITY,NZN.V,NZN.V,NEVADA ZINC CORPORATION,Nevada Zinc Corporation,1326724200,America/Toronto,EDT,-14400000,0.035,none,685,0.0,0,0.004,0.004,-3.2761,-191554,-376870,0.0,0.0,0.0,CAD,
1,82 Richmond Street East,Toronto,ON,M5C 1P1,Canada,https://www.nevadazinc.com,Other Industrial Metals & Mining,Basic Materials,"Nevada Zinc Corporation, a mineral exploration company, explores for and develops mineral properties in the United States and Canada. The company primarily explores for zinc and lead. Its principal property is the 100% owned Lone Mountain zinc project comprising 202 unpatented lode mining claims covering an area of approximately 4,000 acres located in Eureka County, Nevada. The company was formerly known as Goldspike Exploration Inc. and changed its name to Nevada Zinc Corporation in March 2015. Nevada Zinc Corporation was incorporated in 2010 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Michael H. Wilson B.Sc., M.Eng.', 'age': 60, 'title': 'CEO, Pres & Director', 'yearBorn': 1962, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.04,0.04,0.035,0.04,0.04,0.04,0.035,0.04,0.0,0.843109,16000,16000,34982,76160,76160,0.035,0.04,0,0,3544100,0.025,0.08,0.0348,0.045125,0.0,0.0,CAD,3482150,0.0,75690963,101260000,2236,83174,1690761600,1693440000,0.0,0.28397,0.0,0.09,-0.008,1672444800,1703980800,1688083200,-713879,-0.0,VAN,EQUITY,NZN.V,NZN.V,NEVADA ZINC CORPORATION,Nevada Zinc Corporation,1326724200,America/Toronto,EDT,-14400000,0.035,none,685,0.0,0,0.004,0.004,-3.2761,-191554,-376870,0.0,0.0,0.0,CAD,
