,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CMU-mfs-high-yield-municipal-trust.html#tab-overview,Asset Management,Financial Services,"MFS High Yield Municipal Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in tax-exempt bonds and tax-exempt notes. The fund benchmarks the performance of its portfolio against Barclays Municipal Bond Index. It was formerly known as Colonial Municipal Income Trust. MFS High Yield Municipal Trust was founded in March 19, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Robin Ann Stelmach', 'age': 61, 'title': 'Pres and Trustee', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.26,3.27,3.25,3.28,3.26,3.27,3.25,3.28,0.14,0.043,1694476800,5.11,0.501383,32285,32285,73046,50610,50610,3.2,3.31,800,800,92057224,2.88,3.4,11.348257,3.2828,3.2221,0.156,0.047852762,USD,161995952,-0.91062,28325300,349249,176727,1690761600,1693440000,0.0123000005,0.0,0.44082,6.47,3.691,0.88052016,1669766400,1701302400,1685491200,-7386940,-0.26,19.97,NYQ,EQUITY,CMU,CMU,MFS High Yield Municipal Trust,MFS High Yield Municipal Trust,543162600,America/New_York,EDT,-14400000,3.25,none,69938688,1.192,1.192,8112014,66.892,0.286,0.02248,-0.06688,7740467,4379133,9417240,0.097,1.0,0.0,0.82475996,USD,
1,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CMU-mfs-high-yield-municipal-trust.html#tab-overview,Asset Management,Financial Services,"MFS High Yield Municipal Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in tax-exempt bonds and tax-exempt notes. The fund benchmarks the performance of its portfolio against Barclays Municipal Bond Index. It was formerly known as Colonial Municipal Income Trust. MFS High Yield Municipal Trust was founded in March 19, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Thomas H. Connors', 'age': 62, 'title': 'VP, Sr. Counsel, Assistant Sec. and Assistant Clerk', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.26,3.27,3.25,3.28,3.26,3.27,3.25,3.28,0.14,0.043,1694476800,5.11,0.501383,32285,32285,73046,50610,50610,3.2,3.31,800,800,92057224,2.88,3.4,11.348257,3.2828,3.2221,0.156,0.047852762,USD,161995952,-0.91062,28325300,349249,176727,1690761600,1693440000,0.0123000005,0.0,0.44082,6.47,3.691,0.88052016,1669766400,1701302400,1685491200,-7386940,-0.26,19.97,NYQ,EQUITY,CMU,CMU,MFS High Yield Municipal Trust,MFS High Yield Municipal Trust,543162600,America/New_York,EDT,-14400000,3.25,none,69938688,1.192,1.192,8112014,66.892,0.286,0.02248,-0.06688,7740467,4379133,9417240,0.097,1.0,0.0,0.82475996,USD,
2,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CMU-mfs-high-yield-municipal-trust.html#tab-overview,Asset Management,Financial Services,"MFS High Yield Municipal Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in tax-exempt bonds and tax-exempt notes. The fund benchmarks the performance of its portfolio against Barclays Municipal Bond Index. It was formerly known as Colonial Municipal Income Trust. MFS High Yield Municipal Trust was founded in March 19, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Frank L. Tarantino', 'age': 78, 'title': 'Independent Sr. Officer', 'yearBorn': 1944, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.26,3.27,3.25,3.28,3.26,3.27,3.25,3.28,0.14,0.043,1694476800,5.11,0.501383,32285,32285,73046,50610,50610,3.2,3.31,800,800,92057224,2.88,3.4,11.348257,3.2828,3.2221,0.156,0.047852762,USD,161995952,-0.91062,28325300,349249,176727,1690761600,1693440000,0.0123000005,0.0,0.44082,6.47,3.691,0.88052016,1669766400,1701302400,1685491200,-7386940,-0.26,19.97,NYQ,EQUITY,CMU,CMU,MFS High Yield Municipal Trust,MFS High Yield Municipal Trust,543162600,America/New_York,EDT,-14400000,3.25,none,69938688,1.192,1.192,8112014,66.892,0.286,0.02248,-0.06688,7740467,4379133,9417240,0.097,1.0,0.0,0.82475996,USD,
3,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CMU-mfs-high-yield-municipal-trust.html#tab-overview,Asset Management,Financial Services,"MFS High Yield Municipal Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in tax-exempt bonds and tax-exempt notes. The fund benchmarks the performance of its portfolio against Barclays Municipal Bond Index. It was formerly known as Colonial Municipal Income Trust. MFS High Yield Municipal Trust was founded in March 19, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Richard S. Weitzel', 'age': 52, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.26,3.27,3.25,3.28,3.26,3.27,3.25,3.28,0.14,0.043,1694476800,5.11,0.501383,32285,32285,73046,50610,50610,3.2,3.31,800,800,92057224,2.88,3.4,11.348257,3.2828,3.2221,0.156,0.047852762,USD,161995952,-0.91062,28325300,349249,176727,1690761600,1693440000,0.0123000005,0.0,0.44082,6.47,3.691,0.88052016,1669766400,1701302400,1685491200,-7386940,-0.26,19.97,NYQ,EQUITY,CMU,CMU,MFS High Yield Municipal Trust,MFS High Yield Municipal Trust,543162600,America/New_York,EDT,-14400000,3.25,none,69938688,1.192,1.192,8112014,66.892,0.286,0.02248,-0.06688,7740467,4379133,9417240,0.097,1.0,0.0,0.82475996,USD,
4,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CMU-mfs-high-yield-municipal-trust.html#tab-overview,Asset Management,Financial Services,"MFS High Yield Municipal Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in tax-exempt bonds and tax-exempt notes. The fund benchmarks the performance of its portfolio against Barclays Municipal Bond Index. It was formerly known as Colonial Municipal Income Trust. MFS High Yield Municipal Trust was founded in March 19, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Kasey L. Philips', 'age': 51, 'title': 'Assistant Treasurer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.26,3.27,3.25,3.28,3.26,3.27,3.25,3.28,0.14,0.043,1694476800,5.11,0.501383,32285,32285,73046,50610,50610,3.2,3.31,800,800,92057224,2.88,3.4,11.348257,3.2828,3.2221,0.156,0.047852762,USD,161995952,-0.91062,28325300,349249,176727,1690761600,1693440000,0.0123000005,0.0,0.44082,6.47,3.691,0.88052016,1669766400,1701302400,1685491200,-7386940,-0.26,19.97,NYQ,EQUITY,CMU,CMU,MFS High Yield Municipal Trust,MFS High Yield Municipal Trust,543162600,America/New_York,EDT,-14400000,3.25,none,69938688,1.192,1.192,8112014,66.892,0.286,0.02248,-0.06688,7740467,4379133,9417240,0.097,1.0,0.0,0.82475996,USD,
5,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CMU-mfs-high-yield-municipal-trust.html#tab-overview,Asset Management,Financial Services,"MFS High Yield Municipal Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in tax-exempt bonds and tax-exempt notes. The fund benchmarks the performance of its portfolio against Barclays Municipal Bond Index. It was formerly known as Colonial Municipal Income Trust. MFS High Yield Municipal Trust was founded in March 19, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Brian E. Langenfeld', 'age': 49, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.26,3.27,3.25,3.28,3.26,3.27,3.25,3.28,0.14,0.043,1694476800,5.11,0.501383,32285,32285,73046,50610,50610,3.2,3.31,800,800,92057224,2.88,3.4,11.348257,3.2828,3.2221,0.156,0.047852762,USD,161995952,-0.91062,28325300,349249,176727,1690761600,1693440000,0.0123000005,0.0,0.44082,6.47,3.691,0.88052016,1669766400,1701302400,1685491200,-7386940,-0.26,19.97,NYQ,EQUITY,CMU,CMU,MFS High Yield Municipal Trust,MFS High Yield Municipal Trust,543162600,America/New_York,EDT,-14400000,3.25,none,69938688,1.192,1.192,8112014,66.892,0.286,0.02248,-0.06688,7740467,4379133,9417240,0.097,1.0,0.0,0.82475996,USD,
6,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CMU-mfs-high-yield-municipal-trust.html#tab-overview,Asset Management,Financial Services,"MFS High Yield Municipal Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in tax-exempt bonds and tax-exempt notes. The fund benchmarks the performance of its portfolio against Barclays Municipal Bond Index. It was formerly known as Colonial Municipal Income Trust. MFS High Yield Municipal Trust was founded in March 19, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Susan A. Pereira', 'age': 51, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.26,3.27,3.25,3.28,3.26,3.27,3.25,3.28,0.14,0.043,1694476800,5.11,0.501383,32285,32285,73046,50610,50610,3.2,3.31,800,800,92057224,2.88,3.4,11.348257,3.2828,3.2221,0.156,0.047852762,USD,161995952,-0.91062,28325300,349249,176727,1690761600,1693440000,0.0123000005,0.0,0.44082,6.47,3.691,0.88052016,1669766400,1701302400,1685491200,-7386940,-0.26,19.97,NYQ,EQUITY,CMU,CMU,MFS High Yield Municipal Trust,MFS High Yield Municipal Trust,543162600,America/New_York,EDT,-14400000,3.25,none,69938688,1.192,1.192,8112014,66.892,0.286,0.02248,-0.06688,7740467,4379133,9417240,0.097,1.0,0.0,0.82475996,USD,
7,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CMU-mfs-high-yield-municipal-trust.html#tab-overview,Asset Management,Financial Services,"MFS High Yield Municipal Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in tax-exempt bonds and tax-exempt notes. The fund benchmarks the performance of its portfolio against Barclays Municipal Bond Index. It was formerly known as Colonial Municipal Income Trust. MFS High Yield Municipal Trust was founded in March 19, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Ethan D. Corey', 'age': 58, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.26,3.27,3.25,3.28,3.26,3.27,3.25,3.28,0.14,0.043,1694476800,5.11,0.501383,32285,32285,73046,50610,50610,3.2,3.31,800,800,92057224,2.88,3.4,11.348257,3.2828,3.2221,0.156,0.047852762,USD,161995952,-0.91062,28325300,349249,176727,1690761600,1693440000,0.0123000005,0.0,0.44082,6.47,3.691,0.88052016,1669766400,1701302400,1685491200,-7386940,-0.26,19.97,NYQ,EQUITY,CMU,CMU,MFS High Yield Municipal Trust,MFS High Yield Municipal Trust,543162600,America/New_York,EDT,-14400000,3.25,none,69938688,1.192,1.192,8112014,66.892,0.286,0.02248,-0.06688,7740467,4379133,9417240,0.097,1.0,0.0,0.82475996,USD,
8,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CMU-mfs-high-yield-municipal-trust.html#tab-overview,Asset Management,Financial Services,"MFS High Yield Municipal Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in tax-exempt bonds and tax-exempt notes. The fund benchmarks the performance of its portfolio against Barclays Municipal Bond Index. It was formerly known as Colonial Municipal Income Trust. MFS High Yield Municipal Trust was founded in March 19, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Christopher R. Bohane', 'age': 48, 'title': 'Assistant Sec. and Assistant Clerk', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.26,3.27,3.25,3.28,3.26,3.27,3.25,3.28,0.14,0.043,1694476800,5.11,0.501383,32285,32285,73046,50610,50610,3.2,3.31,800,800,92057224,2.88,3.4,11.348257,3.2828,3.2221,0.156,0.047852762,USD,161995952,-0.91062,28325300,349249,176727,1690761600,1693440000,0.0123000005,0.0,0.44082,6.47,3.691,0.88052016,1669766400,1701302400,1685491200,-7386940,-0.26,19.97,NYQ,EQUITY,CMU,CMU,MFS High Yield Municipal Trust,MFS High Yield Municipal Trust,543162600,America/New_York,EDT,-14400000,3.25,none,69938688,1.192,1.192,8112014,66.892,0.286,0.02248,-0.06688,7740467,4379133,9417240,0.097,1.0,0.0,0.82475996,USD,
9,111 Huntington Avenue,Boston,MA,02199,United States,617 954 5000,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CMU-mfs-high-yield-municipal-trust.html#tab-overview,Asset Management,Financial Services,"MFS High Yield Municipal Trust is a close ended fixed income mutual fund launched and managed by Massachusetts Financial Services Company. The fund invests in fixed income markets of the United States. It primarily invests in tax-exempt bonds and tax-exempt notes. The fund benchmarks the performance of its portfolio against Barclays Municipal Bond Index. It was formerly known as Colonial Municipal Income Trust. MFS High Yield Municipal Trust was founded in March 19, 1987 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Maureen G. Newman', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,3.26,3.27,3.25,3.28,3.26,3.27,3.25,3.28,0.14,0.043,1694476800,5.11,0.501383,32285,32285,73046,50610,50610,3.2,3.31,800,800,92057224,2.88,3.4,11.348257,3.2828,3.2221,0.156,0.047852762,USD,161995952,-0.91062,28325300,349249,176727,1690761600,1693440000,0.0123000005,0.0,0.44082,6.47,3.691,0.88052016,1669766400,1701302400,1685491200,-7386940,-0.26,19.97,NYQ,EQUITY,CMU,CMU,MFS High Yield Municipal Trust,MFS High Yield Municipal Trust,543162600,America/New_York,EDT,-14400000,3.25,none,69938688,1.192,1.192,8112014,66.892,0.286,0.02248,-0.06688,7740467,4379133,9417240,0.097,1.0,0.0,0.82475996,USD,
