,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=NzZjZjM=&bid=OTA3YQ==&mid=NGNlN2E=&num=NWRhZWU=&kid=NTVhZGY=&fid=NTNiMDc=&rid=321-=edoc_dnuf,Asset Management,Financial Services,"Bancroft Fund Ltd. is a closed-ended equity mutual fund launched by GAMCO Investors, Inc. It is managed by Gabelli Funds, LLC. The fund invests in the public equity markets. It primarily invests in convertible securities including convertible debt and convertible preferred stocks. The fund invests in stocks of companies across market capitalization. It benchmarks the performance of its portfolio against S&P 500 Index, Bank of America Merrill Lynch All U.S. Convertibles Index, and Barclays Balanced U.S. Convertibles Index. The fund was formerly known as Bancroft Convertible Fund, Inc. Bancroft Fund Ltd. was formed on April 20, 1971 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Thomas Hall Dinsmore C.F.A., CFA', 'age': 69, 'title': 'Portfolio Mang.', 'yearBorn': 1953, 'fiscalYear': 2014, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1419984000,86400,2,16.01,16.01,15.9,16.127,16.01,16.01,15.9,16.127,1.28,0.08,1694649600,11.18,0.955394,13045,13045,14153,14770,14770,15.43,16.43,2200,1400,93637176,15.9,19.22,39.937206,17.0892,17.1164,4.13,0.25796378,USD,124103312,0.0,5878040,4925,7674,1690761600,1693440000,0.0008,0.03159,0.18410999,0.43,0.00090000004,19.887,0.80102587,1635638400,1667174400,1651276800,-30075848,-8.16,52.931,NYQ,EQUITY,BCV,BCV,12944,Bancroft Fund Ltd.,322151400,America/New_York,EDT,-14400000,15.93,none,4159,0.001,0,0.501,0.503,2344610,0.399,0.00147,-0.1506,3229488,-0.462,1.0,0.0,0.19163,USD,
1,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=NzZjZjM=&bid=OTA3YQ==&mid=NGNlN2E=&num=NWRhZWU=&kid=NTVhZGY=&fid=NTNiMDc=&rid=321-=edoc_dnuf,Asset Management,Financial Services,"Bancroft Fund Ltd. is a closed-ended equity mutual fund launched by GAMCO Investors, Inc. It is managed by Gabelli Funds, LLC. The fund invests in the public equity markets. It primarily invests in convertible securities including convertible debt and convertible preferred stocks. The fund invests in stocks of companies across market capitalization. It benchmarks the performance of its portfolio against S&P 500 Index, Bank of America Merrill Lynch All U.S. Convertibles Index, and Barclays Balanced U.S. Convertibles Index. The fund was formerly known as Bancroft Convertible Fund, Inc. Bancroft Fund Ltd. was formed on April 20, 1971 and is domiciled in the United States.","{'maxAge': 1, 'name': ""Ms. Jane Dinsmore O'Keeffe"", 'age': 67, 'title': 'Portfolio Mang.', 'yearBorn': 1955, 'fiscalYear': 2014, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1419984000,86400,2,16.01,16.01,15.9,16.127,16.01,16.01,15.9,16.127,1.28,0.08,1694649600,11.18,0.955394,13045,13045,14153,14770,14770,15.43,16.43,2200,1400,93637176,15.9,19.22,39.937206,17.0892,17.1164,4.13,0.25796378,USD,124103312,0.0,5878040,4925,7674,1690761600,1693440000,0.0008,0.03159,0.18410999,0.43,0.00090000004,19.887,0.80102587,1635638400,1667174400,1651276800,-30075848,-8.16,52.931,NYQ,EQUITY,BCV,BCV,12944,Bancroft Fund Ltd.,322151400,America/New_York,EDT,-14400000,15.93,none,4159,0.001,0,0.501,0.503,2344610,0.399,0.00147,-0.1506,3229488,-0.462,1.0,0.0,0.19163,USD,
2,One Corporate Center,Rye,NY,10580-1422,United States,914 921 5000,914 921 5118,https://www.gabelli.com/Template/fundinfo.cfm?tid=NzZjZjM=&bid=OTA3YQ==&mid=NGNlN2E=&num=NWRhZWU=&kid=NTVhZGY=&fid=NTNiMDc=&rid=321-=edoc_dnuf,Asset Management,Financial Services,"Bancroft Fund Ltd. is a closed-ended equity mutual fund launched by GAMCO Investors, Inc. It is managed by Gabelli Funds, LLC. The fund invests in the public equity markets. It primarily invests in convertible securities including convertible debt and convertible preferred stocks. The fund invests in stocks of companies across market capitalization. It benchmarks the performance of its portfolio against S&P 500 Index, Bank of America Merrill Lynch All U.S. Convertibles Index, and Barclays Balanced U.S. Convertibles Index. The fund was formerly known as Bancroft Convertible Fund, Inc. Bancroft Fund Ltd. was formed on April 20, 1971 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. James A. Dinsmore C.F.A., CFA', 'age': 39, 'title': 'Portfolio Mang.', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",1419984000,86400,2,16.01,16.01,15.9,16.127,16.01,16.01,15.9,16.127,1.28,0.08,1694649600,11.18,0.955394,13045,13045,14153,14770,14770,15.43,16.43,2200,1400,93637176,15.9,19.22,39.937206,17.0892,17.1164,4.13,0.25796378,USD,124103312,0.0,5878040,4925,7674,1690761600,1693440000,0.0008,0.03159,0.18410999,0.43,0.00090000004,19.887,0.80102587,1635638400,1667174400,1651276800,-30075848,-8.16,52.931,NYQ,EQUITY,BCV,BCV,12944,Bancroft Fund Ltd.,322151400,America/New_York,EDT,-14400000,15.93,none,4159,0.001,0,0.501,0.503,2344610,0.399,0.00147,-0.1506,3229488,-0.462,1.0,0.0,0.19163,USD,
