,address1,address2,city,country,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,144/1-2 Sri Bamphen Road,Chong Nonsi Subdistrict Yannawa District,Bangkok,Thailand,https://www.jackchia.co.th,Household & Personal Products,Consumer Defensive,"Jack Chia Industries (Thailand) Public Company Limited, together with its subsidiaries, manufactures and distributes pharmaceutical and cosmetic products in Thailand. It also offers medical equipment and other consumer products. The company sells its products under the Tigerplast, Kangaroo, Tabu, Thermaplast, and Jason brands. It also exports its products. The company was founded in 1966 and is based in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Vira  Aroonvatanaporn', 'title': 'Chairman and Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,81.5,81.5,81.5,82.0,81.5,81.5,81.5,82.0,4.0,0.049099997,1678838400,0.5457,4.79,0.161569,11.152797,1400,1400,284,510,510,81.5,82.25,0,0,1103624960,77.75,94.0,1.4314175,80.77,80.18625,4.0,0.049079753,THB,768316032,0.12835,3431295,13500000,0.83377,0.0,96.529,0.84689575,1672444800,1703980800,1688083200,0.484,98957688,7.33,0.997,5.406,SET,EQUITY,JCT.BK,JCT.BK,JCT_JACK CHIA INDUSTRIES,Jack Chia Industries (Thailand) Public Company Limited,946954800,Asia/Bangkok,ICT,25200000,81.75,none,332172992,24.605,142126816,239000,2.506,3.726,771001472,0.018,57.111,0.0495,0.07742,337189095,92124200,72165464,0.484,0.158,0.45014998,0.18434,0.15828,THB,
1,144/1-2 Sri Bamphen Road,Chong Nonsi Subdistrict Yannawa District,Bangkok,Thailand,https://www.jackchia.co.th,Household & Personal Products,Consumer Defensive,"Jack Chia Industries (Thailand) Public Company Limited, together with its subsidiaries, manufactures and distributes pharmaceutical and cosmetic products in Thailand. It also offers medical equipment and other consumer products. The company sells its products under the Tigerplast, Kangaroo, Tabu, Thermaplast, and Jason brands. It also exports its products. The company was founded in 1966 and is based in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Wiwat  Wiwethayanukool', 'title': 'Exec. Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,81.5,81.5,81.5,82.0,81.5,81.5,81.5,82.0,4.0,0.049099997,1678838400,0.5457,4.79,0.161569,11.152797,1400,1400,284,510,510,81.5,82.25,0,0,1103624960,77.75,94.0,1.4314175,80.77,80.18625,4.0,0.049079753,THB,768316032,0.12835,3431295,13500000,0.83377,0.0,96.529,0.84689575,1672444800,1703980800,1688083200,0.484,98957688,7.33,0.997,5.406,SET,EQUITY,JCT.BK,JCT.BK,JCT_JACK CHIA INDUSTRIES,Jack Chia Industries (Thailand) Public Company Limited,946954800,Asia/Bangkok,ICT,25200000,81.75,none,332172992,24.605,142126816,239000,2.506,3.726,771001472,0.018,57.111,0.0495,0.07742,337189095,92124200,72165464,0.484,0.158,0.45014998,0.18434,0.15828,THB,
