,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Poseidonos Avenue and Foivis 2 Street,Glyfada,Athens,166 74,Greece,30 210 89 17 960,https://www.dynagaspartners.com,Oil & Gas Midstream,Energy,"Dynagas LNG Partners LP, through its subsidiaries, operates in the seaborne transportation industry worldwide. The company owns and operates liquefied natural gas (LNG) carriers. Its fleet consisted of six LNG carriers with an aggregate carrying capacity of approximately 914,100 cubic meters. Dynagas GP LLC serves as the general partner of Dynagas LNG Partners LP. The company was incorporated in 2013 and is headquartered in Athens, Greece.","{'maxAge': 1, 'name': 'Mr. Tony  Lauritzen', 'age': 45, 'title': 'CEO & Director', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.79,2.62,2.62,2.7892,2.79,2.62,2.62,2.7892,1556755200,0.0,3.4177215,2.1774194,21919,21919,36322,15830,15830,2.63,2.78,1000,1100,99365944,2.08,3.5,0.71029454,2.7925,2.76827,0.0,0.0,USD,619372416,0.30767,17644188,36802200,1292,1358,1690761600,1693440000,0.0,0.52057,0.20857,0.06,0.0,8.564,0.31527323,1672444800,1703980800,1688083200,0.301,31478000,0.79,1.24,3.53,4.427,6.867,NYQ,EQUITY,DLNG,DLNG,Dynagas LNG Partners LP,Dynagas LNG Partners LP,1384353000,America/New_York,EDT,-14400000,2.7,1.0,strong_buy,52898000,1.436,90190000,442779008,1.702,3.138,139894000,100.135,3.798,0.03838,0.100930005,86133000,50723624,46726000,1.719,0.127,0.70633006,0.6447,0.41679,USD,
1,Poseidonos Avenue and Foivis 2 Street,Glyfada,Athens,166 74,Greece,30 210 89 17 960,https://www.dynagaspartners.com,Oil & Gas Midstream,Energy,"Dynagas LNG Partners LP, through its subsidiaries, operates in the seaborne transportation industry worldwide. The company owns and operates liquefied natural gas (LNG) carriers. Its fleet consisted of six LNG carriers with an aggregate carrying capacity of approximately 914,100 cubic meters. Dynagas GP LLC serves as the general partner of Dynagas LNG Partners LP. The company was incorporated in 2013 and is headquartered in Athens, Greece.","{'maxAge': 1, 'name': 'Mr. Michael  Gregos', 'age': 51, 'title': 'Chief Financial Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.79,2.62,2.62,2.7892,2.79,2.62,2.62,2.7892,1556755200,0.0,3.4177215,2.1774194,21919,21919,36322,15830,15830,2.63,2.78,1000,1100,99365944,2.08,3.5,0.71029454,2.7925,2.76827,0.0,0.0,USD,619372416,0.30767,17644188,36802200,1292,1358,1690761600,1693440000,0.0,0.52057,0.20857,0.06,0.0,8.564,0.31527323,1672444800,1703980800,1688083200,0.301,31478000,0.79,1.24,3.53,4.427,6.867,NYQ,EQUITY,DLNG,DLNG,Dynagas LNG Partners LP,Dynagas LNG Partners LP,1384353000,America/New_York,EDT,-14400000,2.7,1.0,strong_buy,52898000,1.436,90190000,442779008,1.702,3.138,139894000,100.135,3.798,0.03838,0.100930005,86133000,50723624,46726000,1.719,0.127,0.70633006,0.6447,0.41679,USD,
