,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Menara I & P Tower 1,"Level 12A No. 46, Jalan Dungun Damansara Heights",Kuala Lumpur,50490,Malaysia,60 3 2082 8400,60 3 2082 8578,https://www.petron.com.my,Oil & Gas Refining & Marketing,Energy,"Petron Malaysia Refining & Marketing Bhd engages in manufacturing and marketing of petroleum products in Peninsular Malaysia. It offers a range of petroleum products, which include gasoline, diesel, aviation fuel, lubricants, greases, and other products, as well as liquefied petroleum gas to residential and commercial customers. The company was founded in 1893 and is based in Kuala Lumpur, Malaysia. The company is a subsidiary of Petron Oil & Gas International Sdn. Bhd.",658,"{'maxAge': 1, 'name': 'Mr. Ramon S. Ang B.S.M.E', 'age': 68, 'title': 'Exec. Chairman', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.71,4.72,4.71,4.78,4.71,4.72,4.71,4.78,0.25,0.0529,1687132800,0.42369998,3.34,0.954787,8.01695,111300,111300,95719,87230,87230,4.73,4.74,0,0,1277100032,4.18,5.16,0.07590386,4.6058,4.5195,0.25,0.053078555,MYR,1543703040,0.0094800005,57969000,270000000,0.77891,0.03276,8.511,0.5557514,1672444800,1703980800,1688083200,-0.782,159468000,0.59,0.092,18.266,KLS,EQUITY,3042.KL,3042.KL,PETRONM,Petron Malaysia Refining & Marketing Bhd,946861200,Asia/Kuala_Lumpur,MYT,28800000,4.73,4.65,4.65,4.65,4.65,3.0,hold,1,427823008,1.585,84511000,694425984,0.67,1.175,16825230336,30.22,62.316,-0.0046200003,0.07084,532699000,431570496,719254976,-0.782,-0.276,0.00835,0.0050199996,-0.0023,MYR,
1,Menara I & P Tower 1,"Level 12A No. 46, Jalan Dungun Damansara Heights",Kuala Lumpur,50490,Malaysia,60 3 2082 8400,60 3 2082 8578,https://www.petron.com.my,Oil & Gas Refining & Marketing,Energy,"Petron Malaysia Refining & Marketing Bhd engages in manufacturing and marketing of petroleum products in Peninsular Malaysia. It offers a range of petroleum products, which include gasoline, diesel, aviation fuel, lubricants, greases, and other products, as well as liquefied petroleum gas to residential and commercial customers. The company was founded in 1893 and is based in Kuala Lumpur, Malaysia. The company is a subsidiary of Petron Oil & Gas International Sdn. Bhd.",658,"{'maxAge': 1, 'name': 'Mr. Lubin B. Nepomuceno', 'age': 71, 'title': 'CEO & Exec. Director', 'yearBorn': 1951, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.71,4.72,4.71,4.78,4.71,4.72,4.71,4.78,0.25,0.0529,1687132800,0.42369998,3.34,0.954787,8.01695,111300,111300,95719,87230,87230,4.73,4.74,0,0,1277100032,4.18,5.16,0.07590386,4.6058,4.5195,0.25,0.053078555,MYR,1543703040,0.0094800005,57969000,270000000,0.77891,0.03276,8.511,0.5557514,1672444800,1703980800,1688083200,-0.782,159468000,0.59,0.092,18.266,KLS,EQUITY,3042.KL,3042.KL,PETRONM,Petron Malaysia Refining & Marketing Bhd,946861200,Asia/Kuala_Lumpur,MYT,28800000,4.73,4.65,4.65,4.65,4.65,3.0,hold,1,427823008,1.585,84511000,694425984,0.67,1.175,16825230336,30.22,62.316,-0.0046200003,0.07084,532699000,431570496,719254976,-0.782,-0.276,0.00835,0.0050199996,-0.0023,MYR,
2,Menara I & P Tower 1,"Level 12A No. 46, Jalan Dungun Damansara Heights",Kuala Lumpur,50490,Malaysia,60 3 2082 8400,60 3 2082 8578,https://www.petron.com.my,Oil & Gas Refining & Marketing,Energy,"Petron Malaysia Refining & Marketing Bhd engages in manufacturing and marketing of petroleum products in Peninsular Malaysia. It offers a range of petroleum products, which include gasoline, diesel, aviation fuel, lubricants, greases, and other products, as well as liquefied petroleum gas to residential and commercial customers. The company was founded in 1893 and is based in Kuala Lumpur, Malaysia. The company is a subsidiary of Petron Oil & Gas International Sdn. Bhd.",658,"{'maxAge': 1, 'name': 'Mr. Mark Tristan D. Caparas', 'age': 38, 'title': 'VP & CFO', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.71,4.72,4.71,4.78,4.71,4.72,4.71,4.78,0.25,0.0529,1687132800,0.42369998,3.34,0.954787,8.01695,111300,111300,95719,87230,87230,4.73,4.74,0,0,1277100032,4.18,5.16,0.07590386,4.6058,4.5195,0.25,0.053078555,MYR,1543703040,0.0094800005,57969000,270000000,0.77891,0.03276,8.511,0.5557514,1672444800,1703980800,1688083200,-0.782,159468000,0.59,0.092,18.266,KLS,EQUITY,3042.KL,3042.KL,PETRONM,Petron Malaysia Refining & Marketing Bhd,946861200,Asia/Kuala_Lumpur,MYT,28800000,4.73,4.65,4.65,4.65,4.65,3.0,hold,1,427823008,1.585,84511000,694425984,0.67,1.175,16825230336,30.22,62.316,-0.0046200003,0.07084,532699000,431570496,719254976,-0.782,-0.276,0.00835,0.0050199996,-0.0023,MYR,
3,Menara I & P Tower 1,"Level 12A No. 46, Jalan Dungun Damansara Heights",Kuala Lumpur,50490,Malaysia,60 3 2082 8400,60 3 2082 8578,https://www.petron.com.my,Oil & Gas Refining & Marketing,Energy,"Petron Malaysia Refining & Marketing Bhd engages in manufacturing and marketing of petroleum products in Peninsular Malaysia. It offers a range of petroleum products, which include gasoline, diesel, aviation fuel, lubricants, greases, and other products, as well as liquefied petroleum gas to residential and commercial customers. The company was founded in 1893 and is based in Kuala Lumpur, Malaysia. The company is a subsidiary of Petron Oil & Gas International Sdn. Bhd.",658,"{'maxAge': 1, 'name': 'Mr. Manoj  Devadasan', 'age': 58, 'title': 'Gen. Counsel, Company Sec. & HR Mang. and Compliance Officer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.71,4.72,4.71,4.78,4.71,4.72,4.71,4.78,0.25,0.0529,1687132800,0.42369998,3.34,0.954787,8.01695,111300,111300,95719,87230,87230,4.73,4.74,0,0,1277100032,4.18,5.16,0.07590386,4.6058,4.5195,0.25,0.053078555,MYR,1543703040,0.0094800005,57969000,270000000,0.77891,0.03276,8.511,0.5557514,1672444800,1703980800,1688083200,-0.782,159468000,0.59,0.092,18.266,KLS,EQUITY,3042.KL,3042.KL,PETRONM,Petron Malaysia Refining & Marketing Bhd,946861200,Asia/Kuala_Lumpur,MYT,28800000,4.73,4.65,4.65,4.65,4.65,3.0,hold,1,427823008,1.585,84511000,694425984,0.67,1.175,16825230336,30.22,62.316,-0.0046200003,0.07084,532699000,431570496,719254976,-0.782,-0.276,0.00835,0.0050199996,-0.0023,MYR,
4,Menara I & P Tower 1,"Level 12A No. 46, Jalan Dungun Damansara Heights",Kuala Lumpur,50490,Malaysia,60 3 2082 8400,60 3 2082 8578,https://www.petron.com.my,Oil & Gas Refining & Marketing,Energy,"Petron Malaysia Refining & Marketing Bhd engages in manufacturing and marketing of petroleum products in Peninsular Malaysia. It offers a range of petroleum products, which include gasoline, diesel, aviation fuel, lubricants, greases, and other products, as well as liquefied petroleum gas to residential and commercial customers. The company was founded in 1893 and is based in Kuala Lumpur, Malaysia. The company is a subsidiary of Petron Oil & Gas International Sdn. Bhd.",658,"{'maxAge': 1, 'name': 'Ms. Aurora Tolentino Calderon', 'age': 68, 'title': 'Exec. Director', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.71,4.72,4.71,4.78,4.71,4.72,4.71,4.78,0.25,0.0529,1687132800,0.42369998,3.34,0.954787,8.01695,111300,111300,95719,87230,87230,4.73,4.74,0,0,1277100032,4.18,5.16,0.07590386,4.6058,4.5195,0.25,0.053078555,MYR,1543703040,0.0094800005,57969000,270000000,0.77891,0.03276,8.511,0.5557514,1672444800,1703980800,1688083200,-0.782,159468000,0.59,0.092,18.266,KLS,EQUITY,3042.KL,3042.KL,PETRONM,Petron Malaysia Refining & Marketing Bhd,946861200,Asia/Kuala_Lumpur,MYT,28800000,4.73,4.65,4.65,4.65,4.65,3.0,hold,1,427823008,1.585,84511000,694425984,0.67,1.175,16825230336,30.22,62.316,-0.0046200003,0.07084,532699000,431570496,719254976,-0.782,-0.276,0.00835,0.0050199996,-0.0023,MYR,
5,Menara I & P Tower 1,"Level 12A No. 46, Jalan Dungun Damansara Heights",Kuala Lumpur,50490,Malaysia,60 3 2082 8400,60 3 2082 8578,https://www.petron.com.my,Oil & Gas Refining & Marketing,Energy,"Petron Malaysia Refining & Marketing Bhd engages in manufacturing and marketing of petroleum products in Peninsular Malaysia. It offers a range of petroleum products, which include gasoline, diesel, aviation fuel, lubricants, greases, and other products, as well as liquefied petroleum gas to residential and commercial customers. The company was founded in 1893 and is based in Kuala Lumpur, Malaysia. The company is a subsidiary of Petron Oil & Gas International Sdn. Bhd.",658,"{'maxAge': 1, 'name': 'Mr. Mohd Nizam Mansor', 'age': 54, 'title': 'Head of Supply & Distribution', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.71,4.72,4.71,4.78,4.71,4.72,4.71,4.78,0.25,0.0529,1687132800,0.42369998,3.34,0.954787,8.01695,111300,111300,95719,87230,87230,4.73,4.74,0,0,1277100032,4.18,5.16,0.07590386,4.6058,4.5195,0.25,0.053078555,MYR,1543703040,0.0094800005,57969000,270000000,0.77891,0.03276,8.511,0.5557514,1672444800,1703980800,1688083200,-0.782,159468000,0.59,0.092,18.266,KLS,EQUITY,3042.KL,3042.KL,PETRONM,Petron Malaysia Refining & Marketing Bhd,946861200,Asia/Kuala_Lumpur,MYT,28800000,4.73,4.65,4.65,4.65,4.65,3.0,hold,1,427823008,1.585,84511000,694425984,0.67,1.175,16825230336,30.22,62.316,-0.0046200003,0.07084,532699000,431570496,719254976,-0.782,-0.276,0.00835,0.0050199996,-0.0023,MYR,
6,Menara I & P Tower 1,"Level 12A No. 46, Jalan Dungun Damansara Heights",Kuala Lumpur,50490,Malaysia,60 3 2082 8400,60 3 2082 8578,https://www.petron.com.my,Oil & Gas Refining & Marketing,Energy,"Petron Malaysia Refining & Marketing Bhd engages in manufacturing and marketing of petroleum products in Peninsular Malaysia. It offers a range of petroleum products, which include gasoline, diesel, aviation fuel, lubricants, greases, and other products, as well as liquefied petroleum gas to residential and commercial customers. The company was founded in 1893 and is based in Kuala Lumpur, Malaysia. The company is a subsidiary of Petron Oil & Gas International Sdn. Bhd.",658,"{'maxAge': 1, 'name': 'Mr. Sallehudin Raja Lope Ahmad', 'age': 57, 'title': 'Head of Refinery', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.71,4.72,4.71,4.78,4.71,4.72,4.71,4.78,0.25,0.0529,1687132800,0.42369998,3.34,0.954787,8.01695,111300,111300,95719,87230,87230,4.73,4.74,0,0,1277100032,4.18,5.16,0.07590386,4.6058,4.5195,0.25,0.053078555,MYR,1543703040,0.0094800005,57969000,270000000,0.77891,0.03276,8.511,0.5557514,1672444800,1703980800,1688083200,-0.782,159468000,0.59,0.092,18.266,KLS,EQUITY,3042.KL,3042.KL,PETRONM,Petron Malaysia Refining & Marketing Bhd,946861200,Asia/Kuala_Lumpur,MYT,28800000,4.73,4.65,4.65,4.65,4.65,3.0,hold,1,427823008,1.585,84511000,694425984,0.67,1.175,16825230336,30.22,62.316,-0.0046200003,0.07084,532699000,431570496,719254976,-0.782,-0.276,0.00835,0.0050199996,-0.0023,MYR,
7,Menara I & P Tower 1,"Level 12A No. 46, Jalan Dungun Damansara Heights",Kuala Lumpur,50490,Malaysia,60 3 2082 8400,60 3 2082 8578,https://www.petron.com.my,Oil & Gas Refining & Marketing,Energy,"Petron Malaysia Refining & Marketing Bhd engages in manufacturing and marketing of petroleum products in Peninsular Malaysia. It offers a range of petroleum products, which include gasoline, diesel, aviation fuel, lubricants, greases, and other products, as well as liquefied petroleum gas to residential and commercial customers. The company was founded in 1893 and is based in Kuala Lumpur, Malaysia. The company is a subsidiary of Petron Oil & Gas International Sdn. Bhd.",658,"{'maxAge': 1, 'name': 'Ms. Shaliza Mohd Sidek', 'age': 50, 'title': 'Head of Retail Bus.', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.71,4.72,4.71,4.78,4.71,4.72,4.71,4.78,0.25,0.0529,1687132800,0.42369998,3.34,0.954787,8.01695,111300,111300,95719,87230,87230,4.73,4.74,0,0,1277100032,4.18,5.16,0.07590386,4.6058,4.5195,0.25,0.053078555,MYR,1543703040,0.0094800005,57969000,270000000,0.77891,0.03276,8.511,0.5557514,1672444800,1703980800,1688083200,-0.782,159468000,0.59,0.092,18.266,KLS,EQUITY,3042.KL,3042.KL,PETRONM,Petron Malaysia Refining & Marketing Bhd,946861200,Asia/Kuala_Lumpur,MYT,28800000,4.73,4.65,4.65,4.65,4.65,3.0,hold,1,427823008,1.585,84511000,694425984,0.67,1.175,16825230336,30.22,62.316,-0.0046200003,0.07084,532699000,431570496,719254976,-0.782,-0.276,0.00835,0.0050199996,-0.0023,MYR,
8,Menara I & P Tower 1,"Level 12A No. 46, Jalan Dungun Damansara Heights",Kuala Lumpur,50490,Malaysia,60 3 2082 8400,60 3 2082 8578,https://www.petron.com.my,Oil & Gas Refining & Marketing,Energy,"Petron Malaysia Refining & Marketing Bhd engages in manufacturing and marketing of petroleum products in Peninsular Malaysia. It offers a range of petroleum products, which include gasoline, diesel, aviation fuel, lubricants, greases, and other products, as well as liquefied petroleum gas to residential and commercial customers. The company was founded in 1893 and is based in Kuala Lumpur, Malaysia. The company is a subsidiary of Petron Oil & Gas International Sdn. Bhd.",658,"{'maxAge': 1, 'name': 'Mr. Mohd Asri Bin Ibrahim', 'age': 48, 'title': 'Head of Commercial Bus.', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.71,4.72,4.71,4.78,4.71,4.72,4.71,4.78,0.25,0.0529,1687132800,0.42369998,3.34,0.954787,8.01695,111300,111300,95719,87230,87230,4.73,4.74,0,0,1277100032,4.18,5.16,0.07590386,4.6058,4.5195,0.25,0.053078555,MYR,1543703040,0.0094800005,57969000,270000000,0.77891,0.03276,8.511,0.5557514,1672444800,1703980800,1688083200,-0.782,159468000,0.59,0.092,18.266,KLS,EQUITY,3042.KL,3042.KL,PETRONM,Petron Malaysia Refining & Marketing Bhd,946861200,Asia/Kuala_Lumpur,MYT,28800000,4.73,4.65,4.65,4.65,4.65,3.0,hold,1,427823008,1.585,84511000,694425984,0.67,1.175,16825230336,30.22,62.316,-0.0046200003,0.07084,532699000,431570496,719254976,-0.782,-0.276,0.00835,0.0050199996,-0.0023,MYR,
9,Menara I & P Tower 1,"Level 12A No. 46, Jalan Dungun Damansara Heights",Kuala Lumpur,50490,Malaysia,60 3 2082 8400,60 3 2082 8578,https://www.petron.com.my,Oil & Gas Refining & Marketing,Energy,"Petron Malaysia Refining & Marketing Bhd engages in manufacturing and marketing of petroleum products in Peninsular Malaysia. It offers a range of petroleum products, which include gasoline, diesel, aviation fuel, lubricants, greases, and other products, as well as liquefied petroleum gas to residential and commercial customers. The company was founded in 1893 and is based in Kuala Lumpur, Malaysia. The company is a subsidiary of Petron Oil & Gas International Sdn. Bhd.",658,"{'maxAge': 1, 'name': 'Ms. Jacqueline L. Ang-Chai', 'age': 35, 'title': 'Exec. Director', 'yearBorn': 1987, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.71,4.72,4.71,4.78,4.71,4.72,4.71,4.78,0.25,0.0529,1687132800,0.42369998,3.34,0.954787,8.01695,111300,111300,95719,87230,87230,4.73,4.74,0,0,1277100032,4.18,5.16,0.07590386,4.6058,4.5195,0.25,0.053078555,MYR,1543703040,0.0094800005,57969000,270000000,0.77891,0.03276,8.511,0.5557514,1672444800,1703980800,1688083200,-0.782,159468000,0.59,0.092,18.266,KLS,EQUITY,3042.KL,3042.KL,PETRONM,Petron Malaysia Refining & Marketing Bhd,946861200,Asia/Kuala_Lumpur,MYT,28800000,4.73,4.65,4.65,4.65,4.65,3.0,hold,1,427823008,1.585,84511000,694425984,0.67,1.175,16825230336,30.22,62.316,-0.0046200003,0.07084,532699000,431570496,719254976,-0.782,-0.276,0.00835,0.0050199996,-0.0023,MYR,
