,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,888 Dunsmuir Street,Suite 888,Vancouver,BC,V6C 3K4,Canada,604 488 3900,https://www.newdestinymining.com,Other Industrial Metals & Mining,Basic Materials,"New Destiny Mining Corp., a junior mineral exploration company, engages in the acquisition, exploration, evaluation, and development of mineral resource properties in Canada. It has an option agreement to acquire a 100% interest in the Treasure Mountain Silver Property comprising approximately 9,500 hectares located in the east of Hope, British Columbia. The company was incorporated in 2009 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Allan J. Beaton P. Geo, P.Eng., P.Eng. Mining', 'age': 72, 'title': 'CEO & Director', 'yearBorn': 1950, 'fiscalYear': 2021, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,1.480209,5000,5000,29737,1290,1290,0.03,0.035,0,0,678171,0.02,0.13,0.0308,0.03915,0.0,0.0,CAD,684069,0.0,22010688,22605700,10000,501,1678838400,1685491200,0.0004,0.02632,0.0,1.16,-0.026,1656547200,1688083200,1680220800,-99779,-0.01,1:16,1470355200,VAN,EQUITY,NED.V,NED.V,NEW DESTINY MINING CORP.,New Destiny Mining Corp.,1295965800,America/Toronto,EDT,-14400000,0.03,none,351,0.0,6250,0.008,0.008,-5.90209,-38571,-64326,0.0,0.0,0.0,CAD,
1,888 Dunsmuir Street,Suite 888,Vancouver,BC,V6C 3K4,Canada,604 488 3900,https://www.newdestinymining.com,Other Industrial Metals & Mining,Basic Materials,"New Destiny Mining Corp., a junior mineral exploration company, engages in the acquisition, exploration, evaluation, and development of mineral resource properties in Canada. It has an option agreement to acquire a 100% interest in the Treasure Mountain Silver Property comprising approximately 9,500 hectares located in the east of Hope, British Columbia. The company was incorporated in 2009 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Barry  Brown', 'title': 'Pres, CFO & Director', 'fiscalYear': 2021, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,1.480209,5000,5000,29737,1290,1290,0.03,0.035,0,0,678171,0.02,0.13,0.0308,0.03915,0.0,0.0,CAD,684069,0.0,22010688,22605700,10000,501,1678838400,1685491200,0.0004,0.02632,0.0,1.16,-0.026,1656547200,1688083200,1680220800,-99779,-0.01,1:16,1470355200,VAN,EQUITY,NED.V,NED.V,NEW DESTINY MINING CORP.,New Destiny Mining Corp.,1295965800,America/Toronto,EDT,-14400000,0.03,none,351,0.0,6250,0.008,0.008,-5.90209,-38571,-64326,0.0,0.0,0.0,CAD,
