,address1,address2,city,state,zip,country,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Michael J. Cooper', 'age': 61, 'title': 'Pres, Chief Responsible Officer & Non Independent Director', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 1200000, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,21.06,20.43,20.43,21.19,21.06,20.43,20.43,21.19,0.5,0.023699999,1694649600,4.0909,1.207916,192.0909,10.61809,51465,51465,37467,32750,32750,20.91,21.14,904399872,19.25,31.62,2.4487846,20.427,23.43205,0.45,0.021367522,CAD,2560616448,0.01592,22634384,41244300,143376,105336,1690761600,1693440000,0.0034,0.45148,0.17897,3.21,35.264,0.59919465,1672444800,1703980800,1688083200,5879000,0.11,1.99,1:2,1593993600,6.933,47.511,TOR,EQUITY,DRM.TO,DRM.TO,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1369661400,America/Toronto,EDT,-14400000,21.13,45.0,28.0,36.5,36.5,1.5,strong_buy,2,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
1,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Ms. Deborah Joanne Starkman', 'age': 50, 'title': 'Chief Financial Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 840390, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,21.06,20.43,20.43,21.19,21.06,20.43,20.43,21.19,0.5,0.023699999,1694649600,4.0909,1.207916,192.0909,10.61809,51465,51465,37467,32750,32750,20.91,21.14,904399872,19.25,31.62,2.4487846,20.427,23.43205,0.45,0.021367522,CAD,2560616448,0.01592,22634384,41244300,143376,105336,1690761600,1693440000,0.0034,0.45148,0.17897,3.21,35.264,0.59919465,1672444800,1703980800,1688083200,5879000,0.11,1.99,1:2,1593993600,6.933,47.511,TOR,EQUITY,DRM.TO,DRM.TO,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1369661400,America/Toronto,EDT,-14400000,21.13,45.0,28.0,36.5,36.5,1.5,strong_buy,2,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
2,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Ms. P. Jane Gavan', 'age': 62, 'title': 'Pres of Asset Management & Non-Independent Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 1315390, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,21.06,20.43,20.43,21.19,21.06,20.43,20.43,21.19,0.5,0.023699999,1694649600,4.0909,1.207916,192.0909,10.61809,51465,51465,37467,32750,32750,20.91,21.14,904399872,19.25,31.62,2.4487846,20.427,23.43205,0.45,0.021367522,CAD,2560616448,0.01592,22634384,41244300,143376,105336,1690761600,1693440000,0.0034,0.45148,0.17897,3.21,35.264,0.59919465,1672444800,1703980800,1688083200,5879000,0.11,1.99,1:2,1593993600,6.933,47.511,TOR,EQUITY,DRM.TO,DRM.TO,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1369661400,America/Toronto,EDT,-14400000,21.13,45.0,28.0,36.5,36.5,1.5,strong_buy,2,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
3,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Bruce  Traversy', 'age': 56, 'title': 'Exec. VP of Industrial', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 915000, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,21.06,20.43,20.43,21.19,21.06,20.43,20.43,21.19,0.5,0.023699999,1694649600,4.0909,1.207916,192.0909,10.61809,51465,51465,37467,32750,32750,20.91,21.14,904399872,19.25,31.62,2.4487846,20.427,23.43205,0.45,0.021367522,CAD,2560616448,0.01592,22634384,41244300,143376,105336,1690761600,1693440000,0.0034,0.45148,0.17897,3.21,35.264,0.59919465,1672444800,1703980800,1688083200,5879000,0.11,1.99,1:2,1593993600,6.933,47.511,TOR,EQUITY,DRM.TO,DRM.TO,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1369661400,America/Toronto,EDT,-14400000,21.13,45.0,28.0,36.5,36.5,1.5,strong_buy,2,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
4,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Alexander  Sannikov', 'age': 36, 'title': 'Exec. VP of Industrial', 'yearBorn': 1986, 'fiscalYear': 2022, 'totalPay': 1155390, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,21.06,20.43,20.43,21.19,21.06,20.43,20.43,21.19,0.5,0.023699999,1694649600,4.0909,1.207916,192.0909,10.61809,51465,51465,37467,32750,32750,20.91,21.14,904399872,19.25,31.62,2.4487846,20.427,23.43205,0.45,0.021367522,CAD,2560616448,0.01592,22634384,41244300,143376,105336,1690761600,1693440000,0.0034,0.45148,0.17897,3.21,35.264,0.59919465,1672444800,1703980800,1688083200,5879000,0.11,1.99,1:2,1593993600,6.933,47.511,TOR,EQUITY,DRM.TO,DRM.TO,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1369661400,America/Toronto,EDT,-14400000,21.13,45.0,28.0,36.5,36.5,1.5,strong_buy,2,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
5,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Ms. Kim  Lefever', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,21.06,20.43,20.43,21.19,21.06,20.43,20.43,21.19,0.5,0.023699999,1694649600,4.0909,1.207916,192.0909,10.61809,51465,51465,37467,32750,32750,20.91,21.14,904399872,19.25,31.62,2.4487846,20.427,23.43205,0.45,0.021367522,CAD,2560616448,0.01592,22634384,41244300,143376,105336,1690761600,1693440000,0.0034,0.45148,0.17897,3.21,35.264,0.59919465,1672444800,1703980800,1688083200,5879000,0.11,1.99,1:2,1593993600,6.933,47.511,TOR,EQUITY,DRM.TO,DRM.TO,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1369661400,America/Toronto,EDT,-14400000,21.13,45.0,28.0,36.5,36.5,1.5,strong_buy,2,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
6,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Robert Michael-Lockwood Hughes', 'title': 'Gen. Counsel & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,21.06,20.43,20.43,21.19,21.06,20.43,20.43,21.19,0.5,0.023699999,1694649600,4.0909,1.207916,192.0909,10.61809,51465,51465,37467,32750,32750,20.91,21.14,904399872,19.25,31.62,2.4487846,20.427,23.43205,0.45,0.021367522,CAD,2560616448,0.01592,22634384,41244300,143376,105336,1690761600,1693440000,0.0034,0.45148,0.17897,3.21,35.264,0.59919465,1672444800,1703980800,1688083200,5879000,0.11,1.99,1:2,1593993600,6.933,47.511,TOR,EQUITY,DRM.TO,DRM.TO,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1369661400,America/Toronto,EDT,-14400000,21.13,45.0,28.0,36.5,36.5,1.5,strong_buy,2,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
7,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Jay  Jiang C.A.', 'title': 'Exec. VP of Corp. Devel. & Strategy', 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,21.06,20.43,20.43,21.19,21.06,20.43,20.43,21.19,0.5,0.023699999,1694649600,4.0909,1.207916,192.0909,10.61809,51465,51465,37467,32750,32750,20.91,21.14,904399872,19.25,31.62,2.4487846,20.427,23.43205,0.45,0.021367522,CAD,2560616448,0.01592,22634384,41244300,143376,105336,1690761600,1693440000,0.0034,0.45148,0.17897,3.21,35.264,0.59919465,1672444800,1703980800,1688083200,5879000,0.11,1.99,1:2,1593993600,6.933,47.511,TOR,EQUITY,DRM.TO,DRM.TO,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1369661400,America/Toronto,EDT,-14400000,21.13,45.0,28.0,36.5,36.5,1.5,strong_buy,2,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
8,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Jason  Lester', 'age': 61, 'title': 'Vice Chair of Devel.', 'yearBorn': 1961, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,21.06,20.43,20.43,21.19,21.06,20.43,20.43,21.19,0.5,0.023699999,1694649600,4.0909,1.207916,192.0909,10.61809,51465,51465,37467,32750,32750,20.91,21.14,904399872,19.25,31.62,2.4487846,20.427,23.43205,0.45,0.021367522,CAD,2560616448,0.01592,22634384,41244300,143376,105336,1690761600,1693440000,0.0034,0.45148,0.17897,3.21,35.264,0.59919465,1672444800,1703980800,1688083200,5879000,0.11,1.99,1:2,1593993600,6.933,47.511,TOR,EQUITY,DRM.TO,DRM.TO,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1369661400,America/Toronto,EDT,-14400000,21.13,45.0,28.0,36.5,36.5,1.5,strong_buy,2,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
9,State Street Financial Centre,"30 Adelaide Street East, Suite 1600",Toronto,ON,M5C 3H1,Canada,416 365 3545,https://dream.ca,Real Estate—Development,Real Estate,"Dream Unlimited Corp. formerly known as Dundee Realty Corporation is a real estate investment firm. The firm provides real estate asset management and advisory services including sourcing, acquiring, managing, and developing commercial and residential real estate primarily in Western Canada. It invests in the real estate markets across the globe. The firm also seeks to invest in renewable energy infrastructure and power projects with a focus on wind, hydro, and solar in North American. Dream Unlimited Corp. was founded in 1996 and is based in Toronto, Canada. Dream Unlimited Corp. (TSX:DRM) operates as a subsidiary of Sweet LP.","{'maxAge': 1, 'name': 'Mr. Brian D. Pauls', 'title': 'Exec. VP of Industrial', 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,3,10,5,1693526400,1672444800,86400,2,21.06,20.43,20.43,21.19,21.06,20.43,20.43,21.19,0.5,0.023699999,1694649600,4.0909,1.207916,192.0909,10.61809,51465,51465,37467,32750,32750,20.91,21.14,904399872,19.25,31.62,2.4487846,20.427,23.43205,0.45,0.021367522,CAD,2560616448,0.01592,22634384,41244300,143376,105336,1690761600,1693440000,0.0034,0.45148,0.17897,3.21,35.264,0.59919465,1672444800,1703980800,1688083200,5879000,0.11,1.99,1:2,1593993600,6.933,47.511,TOR,EQUITY,DRM.TO,DRM.TO,DREAM UNLIMITED CORP,Dream Unlimited Corp.,1369661400,America/Toronto,EDT,-14400000,21.13,45.0,28.0,36.5,36.5,1.5,strong_buy,2,90356000,2.111,53895000,1746573056,0.583,2.132,369326016,115.716,8.657,0.00753,0.00387,113607000,-64604624,-2348000,0.097,0.32345,0.14593,0.1257,CAD,
