,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Rodovia REgis Bittencourt, 4981 Km 280,",Gramado,Embu Das Artes,SP,06830-900,Brazil,55 11 2139 2600,https://sansuy.com.br,Auto Parts,Consumer Cyclical,"Sansuy S.A. engages in the manufacture and sale of flexible PVC plastics in Brazil. The company offers its products to agribusiness, aqua business, construction, architecture and decoration, transportation and logistics, coverings, visual communication, and industrialization. It also exports its products. The company was founded in 1966 and is headquartered in Embu das Artes, Brazil.",2154,"{'maxAge': 1, 'name': 'Mr. Toshio  Nakabayashi', 'title': 'CEO & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,11.51,0.0,11.51,11.51,11.51,0.0,11.51,11.51,0.0,1.006316,0,0,0,0,0,0.0,0.0,116635440,11.51,11.51,0.13528062,11.51,11.51,0.0,0.0,BRL,247410128,-0.34653,3052454,6200,0.06452,0.0,-241.525,1672444800,1703980800,1688083200,-298766016,-22.03,40:1,1595894400,0.287,47.643,SAO,EQUITY,SNSY6.SA,SNSY6.SA,SANSUY      PNB,Sansuy S.A.,1171540800,America/Sao_Paulo,BRT,-10800000,11.51,none,2348000,0.304,5193000,169276992,0.509,1.015,862174016,111.733,-0.00319,-236778880,42873000,0.018,0.23014,0.00602,-0.0027700001,BRL,
1,"Rodovia REgis Bittencourt, 4981 Km 280,",Gramado,Embu Das Artes,SP,06830-900,Brazil,55 11 2139 2600,https://sansuy.com.br,Auto Parts,Consumer Cyclical,"Sansuy S.A. engages in the manufacture and sale of flexible PVC plastics in Brazil. The company offers its products to agribusiness, aqua business, construction, architecture and decoration, transportation and logistics, coverings, visual communication, and industrialization. It also exports its products. The company was founded in 1966 and is headquartered in Embu das Artes, Brazil.",2154,"{'maxAge': 1, 'name': 'Mr. Yoshiyuki  Ono', 'title': 'Chief Investor Relations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,11.51,0.0,11.51,11.51,11.51,0.0,11.51,11.51,0.0,1.006316,0,0,0,0,0,0.0,0.0,116635440,11.51,11.51,0.13528062,11.51,11.51,0.0,0.0,BRL,247410128,-0.34653,3052454,6200,0.06452,0.0,-241.525,1672444800,1703980800,1688083200,-298766016,-22.03,40:1,1595894400,0.287,47.643,SAO,EQUITY,SNSY6.SA,SNSY6.SA,SANSUY      PNB,Sansuy S.A.,1171540800,America/Sao_Paulo,BRT,-10800000,11.51,none,2348000,0.304,5193000,169276992,0.509,1.015,862174016,111.733,-0.00319,-236778880,42873000,0.018,0.23014,0.00602,-0.0027700001,BRL,
