,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,283 George Street,Level 7,Sydney,NSW,2000,Australia,61 2 9299 2007,61 2 9299 7300,https://www.bountyoil.com,Oil & Gas E&P,Energy,"Bounty Oil & Gas NL engages in the exploration, development, production, and marketing of oil and gas projects in Australia. The company operates through Core Petroleum and Secondary segments. It also invests in listed shares and securities. The company was incorporated in 1999 and is based in Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. Philip F. Kelso', 'title': 'Chief Exec. Officer', 'fiscalYear': 2022, 'totalPay': 212181, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0299,0.02,0.0299,0.0299,0.0299,0.02,0.0299,0.0299,0.0,0.402402,400,400,151,44,44,40977948,0.0021,0.0299,18.86136,0.0090064,0.0087876,0.0,0.0,USD,38585832,-1.00696,1062604231,1370499968,0.27462,0.0,0.006,4.983333,1656547200,1688083200,1672444800,-2187705,-0.0,17.76,-347.313,PNK,EQUITY,BYOGF,BYOGF,BOUNTY OIL & GAS,Bounty Oil & Gas NL,1259159400,America/New_York,EDT,-14400000,0.0299,none,2392149,0.002,-111098,0,1.446,1.469,2172587,0.001,-0.11314999,-0.23188,971380,399050,-85300,0.321,0.53788,-0.05114,-1.03141,AUD,
1,283 George Street,Level 7,Sydney,NSW,2000,Australia,61 2 9299 2007,61 2 9299 7300,https://www.bountyoil.com,Oil & Gas E&P,Energy,"Bounty Oil & Gas NL engages in the exploration, development, production, and marketing of oil and gas projects in Australia. The company operates through Core Petroleum and Secondary segments. It also invests in listed shares and securities. The company was incorporated in 1999 and is based in Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. Sachin  Saraf', 'title': 'CFO, Financial Controller, Company Sec. & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0299,0.02,0.0299,0.0299,0.0299,0.02,0.0299,0.0299,0.0,0.402402,400,400,151,44,44,40977948,0.0021,0.0299,18.86136,0.0090064,0.0087876,0.0,0.0,USD,38585832,-1.00696,1062604231,1370499968,0.27462,0.0,0.006,4.983333,1656547200,1688083200,1672444800,-2187705,-0.0,17.76,-347.313,PNK,EQUITY,BYOGF,BYOGF,BOUNTY OIL & GAS,Bounty Oil & Gas NL,1259159400,America/New_York,EDT,-14400000,0.0299,none,2392149,0.002,-111098,0,1.446,1.469,2172587,0.001,-0.11314999,-0.23188,971380,399050,-85300,0.321,0.53788,-0.05114,-1.03141,AUD,
2,283 George Street,Level 7,Sydney,NSW,2000,Australia,61 2 9299 2007,61 2 9299 7300,https://www.bountyoil.com,Oil & Gas E&P,Energy,"Bounty Oil & Gas NL engages in the exploration, development, production, and marketing of oil and gas projects in Australia. The company operates through Core Petroleum and Secondary segments. It also invests in listed shares and securities. The company was incorporated in 1999 and is based in Sydney, Australia.","{'maxAge': 1, 'name': 'Mr. John Lloyd Kane Marshall BCom, BSc (Geology), MPetEng', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.0299,0.02,0.0299,0.0299,0.0299,0.02,0.0299,0.0299,0.0,0.402402,400,400,151,44,44,40977948,0.0021,0.0299,18.86136,0.0090064,0.0087876,0.0,0.0,USD,38585832,-1.00696,1062604231,1370499968,0.27462,0.0,0.006,4.983333,1656547200,1688083200,1672444800,-2187705,-0.0,17.76,-347.313,PNK,EQUITY,BYOGF,BYOGF,BOUNTY OIL & GAS,Bounty Oil & Gas NL,1259159400,America/New_York,EDT,-14400000,0.0299,none,2392149,0.002,-111098,0,1.446,1.469,2172587,0.001,-0.11314999,-0.23188,971380,399050,-85300,0.321,0.53788,-0.05114,-1.03141,AUD,
