,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Kuzguncuk, Gümüsyolu Cd. No:22",Üsküdar,Istanbul,34674,Turkey,90 216 970 95 36,90 216 428 68 00,https://www.artiyatirimholding.com.tr,Asset Management,Financial Services,"Arti Yatirim Holding A.S. invests in the energy, real estate, and finance sectors. The company was founded in 2006 and is based in Istanbul, Turkey.","{'maxAge': 1, 'name': 'Yalcin  Yalcinkaya', 'title': 'Chairman of the Management Board', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,6.05,5.5,5.5,6.05,6.05,5.5,5.5,6.05,0.0,0.59242,205621,205621,0,0,0,0.0,0.0,0,0,60500000,5.5,6.05,6.05,6.05,0.0,0.0,TRY,60675192,0.0,9900000,10000000,0.01,0.0,-0.155,1609372800,1640908800,1609372800,1541303,-0.53,1:1000,1104710400,50.617,IST,EQUITY,ARTI.IS,ARTI.IS,ARTI YATIRIM HOLDING,Arti Yatirim Holding A.S.,1148452200,Europe/Istanbul,TRT,10800000,6.05,none,20,0.0,1198720,175213,0.315,0.408,0.18042,-46768,2804656,0.0,0.0,0.0,TRY,
1,"Kuzguncuk, Gümüsyolu Cd. No:22",Üsküdar,Istanbul,34674,Turkey,90 216 970 95 36,90 216 428 68 00,https://www.artiyatirimholding.com.tr,Asset Management,Financial Services,"Arti Yatirim Holding A.S. invests in the energy, real estate, and finance sectors. The company was founded in 2006 and is based in Istanbul, Turkey.","{'maxAge': 1, 'name': 'Türkan  Eyibil', 'title': 'Financial Affairs and Accounting Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,6.05,5.5,5.5,6.05,6.05,5.5,5.5,6.05,0.0,0.59242,205621,205621,0,0,0,0.0,0.0,0,0,60500000,5.5,6.05,6.05,6.05,0.0,0.0,TRY,60675192,0.0,9900000,10000000,0.01,0.0,-0.155,1609372800,1640908800,1609372800,1541303,-0.53,1:1000,1104710400,50.617,IST,EQUITY,ARTI.IS,ARTI.IS,ARTI YATIRIM HOLDING,Arti Yatirim Holding A.S.,1148452200,Europe/Istanbul,TRT,10800000,6.05,none,20,0.0,1198720,175213,0.315,0.408,0.18042,-46768,2804656,0.0,0.0,0.0,TRY,
