,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3150 Sabre Drive,Southlake,TX,76092,United States,682 605 1000,https://www.sabre.com,Travel Services,Consumer Cyclical,"Sabre Corporation, through its subsidiaries, provides software and technology solutions for the travel industry worldwide. It operates in two segments, Travel Solutions and Hospitality Solutions. The Travel Solutions segment operates a business-to-business travel marketplace that offers travel content, such as inventory, prices, and availability from a range of travel suppliers, including airlines, hotels, car rental brands, rail carriers, cruise lines, and tour operators with a network of travel buyers comprising online and offline travel agencies, travel management companies, and corporate travel departments. This segment also provides a portfolio of software technology products and solutions through software-as-a-service (SaaS) and hosted delivery models to airlines and other travel suppliers. Its products include reservation systems for carriers, commercial and operations products, agency solutions, and data-driven intelligence solutions. The Hospitality Solutions segment provides software and solutions to hoteliers through SaaS and hosted delivery models. Sabre Corporation was incorporated in 2006 and is headquartered in Southlake, Texas.",7461,"{'maxAge': 1, 'name': 'Mr. Sean E. Menke', 'age': 53, 'title': 'Exec. Chairman', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 2534098, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,7,1,4,1693526400,1672444800,86400,4,4.76,4.75,4.6,4.78,4.76,4.75,4.6,4.78,1584576000,0.0,1.789764,15.399999,7649088,7649088,6562624,5785810,5785810,4.62,4.63,3000,4000,1535373824,2.99,7.92,0.55332834,4.6273,4.792125,0.0,0.0,USD,5654183424,-0.1868,329337339,332332000,37053534,44437676,1690761600,1693440000,0.111499995,0.021070002,1.04678,4.72,0.1584,-3.296,1672444800,1703980800,1688083200,-538787008,-1.6,0.3,0.08,2.038,-274.702,NMS,EQUITY,SABR,SABR,Sabre Corporation,Sabre Corporation,1397741400,America/New_York,EDT,-14400000,4.62,10.0,4.0,5.7,5.0,3.0,hold,5,709521984,2.135,-20583000,4801720832,1.28,1.496,2774797056,8.422,-0.0092400005,1496196000,35646752,-163815008,0.122,0.58377,-0.0074199997,-0.02691,USD,
1,3150 Sabre Drive,Southlake,TX,76092,United States,682 605 1000,https://www.sabre.com,Travel Services,Consumer Cyclical,"Sabre Corporation, through its subsidiaries, provides software and technology solutions for the travel industry worldwide. It operates in two segments, Travel Solutions and Hospitality Solutions. The Travel Solutions segment operates a business-to-business travel marketplace that offers travel content, such as inventory, prices, and availability from a range of travel suppliers, including airlines, hotels, car rental brands, rail carriers, cruise lines, and tour operators with a network of travel buyers comprising online and offline travel agencies, travel management companies, and corporate travel departments. This segment also provides a portfolio of software technology products and solutions through software-as-a-service (SaaS) and hosted delivery models to airlines and other travel suppliers. Its products include reservation systems for carriers, commercial and operations products, agency solutions, and data-driven intelligence solutions. The Hospitality Solutions segment provides software and solutions to hoteliers through SaaS and hosted delivery models. Sabre Corporation was incorporated in 2006 and is headquartered in Southlake, Texas.",7461,"{'maxAge': 1, 'name': 'Mr. Kurt J. Ekert', 'age': 51, 'title': 'CEO, Pres & Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1838861, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,7,1,4,1693526400,1672444800,86400,4,4.76,4.75,4.6,4.78,4.76,4.75,4.6,4.78,1584576000,0.0,1.789764,15.399999,7649088,7649088,6562624,5785810,5785810,4.62,4.63,3000,4000,1535373824,2.99,7.92,0.55332834,4.6273,4.792125,0.0,0.0,USD,5654183424,-0.1868,329337339,332332000,37053534,44437676,1690761600,1693440000,0.111499995,0.021070002,1.04678,4.72,0.1584,-3.296,1672444800,1703980800,1688083200,-538787008,-1.6,0.3,0.08,2.038,-274.702,NMS,EQUITY,SABR,SABR,Sabre Corporation,Sabre Corporation,1397741400,America/New_York,EDT,-14400000,4.62,10.0,4.0,5.7,5.0,3.0,hold,5,709521984,2.135,-20583000,4801720832,1.28,1.496,2774797056,8.422,-0.0092400005,1496196000,35646752,-163815008,0.122,0.58377,-0.0074199997,-0.02691,USD,
2,3150 Sabre Drive,Southlake,TX,76092,United States,682 605 1000,https://www.sabre.com,Travel Services,Consumer Cyclical,"Sabre Corporation, through its subsidiaries, provides software and technology solutions for the travel industry worldwide. It operates in two segments, Travel Solutions and Hospitality Solutions. The Travel Solutions segment operates a business-to-business travel marketplace that offers travel content, such as inventory, prices, and availability from a range of travel suppliers, including airlines, hotels, car rental brands, rail carriers, cruise lines, and tour operators with a network of travel buyers comprising online and offline travel agencies, travel management companies, and corporate travel departments. This segment also provides a portfolio of software technology products and solutions through software-as-a-service (SaaS) and hosted delivery models to airlines and other travel suppliers. Its products include reservation systems for carriers, commercial and operations products, agency solutions, and data-driven intelligence solutions. The Hospitality Solutions segment provides software and solutions to hoteliers through SaaS and hosted delivery models. Sabre Corporation was incorporated in 2006 and is headquartered in Southlake, Texas.",7461,"{'maxAge': 1, 'name': 'Mr. Michael O. Randolfi', 'age': 49, 'title': 'CFO & Exec. VP', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 784874, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,7,1,4,1693526400,1672444800,86400,4,4.76,4.75,4.6,4.78,4.76,4.75,4.6,4.78,1584576000,0.0,1.789764,15.399999,7649088,7649088,6562624,5785810,5785810,4.62,4.63,3000,4000,1535373824,2.99,7.92,0.55332834,4.6273,4.792125,0.0,0.0,USD,5654183424,-0.1868,329337339,332332000,37053534,44437676,1690761600,1693440000,0.111499995,0.021070002,1.04678,4.72,0.1584,-3.296,1672444800,1703980800,1688083200,-538787008,-1.6,0.3,0.08,2.038,-274.702,NMS,EQUITY,SABR,SABR,Sabre Corporation,Sabre Corporation,1397741400,America/New_York,EDT,-14400000,4.62,10.0,4.0,5.7,5.0,3.0,hold,5,709521984,2.135,-20583000,4801720832,1.28,1.496,2774797056,8.422,-0.0092400005,1496196000,35646752,-163815008,0.122,0.58377,-0.0074199997,-0.02691,USD,
3,3150 Sabre Drive,Southlake,TX,76092,United States,682 605 1000,https://www.sabre.com,Travel Services,Consumer Cyclical,"Sabre Corporation, through its subsidiaries, provides software and technology solutions for the travel industry worldwide. It operates in two segments, Travel Solutions and Hospitality Solutions. The Travel Solutions segment operates a business-to-business travel marketplace that offers travel content, such as inventory, prices, and availability from a range of travel suppliers, including airlines, hotels, car rental brands, rail carriers, cruise lines, and tour operators with a network of travel buyers comprising online and offline travel agencies, travel management companies, and corporate travel departments. This segment also provides a portfolio of software technology products and solutions through software-as-a-service (SaaS) and hosted delivery models to airlines and other travel suppliers. Its products include reservation systems for carriers, commercial and operations products, agency solutions, and data-driven intelligence solutions. The Hospitality Solutions segment provides software and solutions to hoteliers through SaaS and hosted delivery models. Sabre Corporation was incorporated in 2006 and is headquartered in Southlake, Texas.",7461,"{'maxAge': 1, 'name': 'Mr. Scott Albert Wilson', 'age': 54, 'title': 'Pres of Hospitality Solutions', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1153035, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,7,1,4,1693526400,1672444800,86400,4,4.76,4.75,4.6,4.78,4.76,4.75,4.6,4.78,1584576000,0.0,1.789764,15.399999,7649088,7649088,6562624,5785810,5785810,4.62,4.63,3000,4000,1535373824,2.99,7.92,0.55332834,4.6273,4.792125,0.0,0.0,USD,5654183424,-0.1868,329337339,332332000,37053534,44437676,1690761600,1693440000,0.111499995,0.021070002,1.04678,4.72,0.1584,-3.296,1672444800,1703980800,1688083200,-538787008,-1.6,0.3,0.08,2.038,-274.702,NMS,EQUITY,SABR,SABR,Sabre Corporation,Sabre Corporation,1397741400,America/New_York,EDT,-14400000,4.62,10.0,4.0,5.7,5.0,3.0,hold,5,709521984,2.135,-20583000,4801720832,1.28,1.496,2774797056,8.422,-0.0092400005,1496196000,35646752,-163815008,0.122,0.58377,-0.0074199997,-0.02691,USD,
4,3150 Sabre Drive,Southlake,TX,76092,United States,682 605 1000,https://www.sabre.com,Travel Services,Consumer Cyclical,"Sabre Corporation, through its subsidiaries, provides software and technology solutions for the travel industry worldwide. It operates in two segments, Travel Solutions and Hospitality Solutions. The Travel Solutions segment operates a business-to-business travel marketplace that offers travel content, such as inventory, prices, and availability from a range of travel suppliers, including airlines, hotels, car rental brands, rail carriers, cruise lines, and tour operators with a network of travel buyers comprising online and offline travel agencies, travel management companies, and corporate travel departments. This segment also provides a portfolio of software technology products and solutions through software-as-a-service (SaaS) and hosted delivery models to airlines and other travel suppliers. Its products include reservation systems for carriers, commercial and operations products, agency solutions, and data-driven intelligence solutions. The Hospitality Solutions segment provides software and solutions to hoteliers through SaaS and hosted delivery models. Sabre Corporation was incorporated in 2006 and is headquartered in Southlake, Texas.",7461,"{'maxAge': 1, 'name': 'Mr. Joseph  DiFonzo', 'age': 56, 'title': 'Chief Information Officer', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,7,1,4,1693526400,1672444800,86400,4,4.76,4.75,4.6,4.78,4.76,4.75,4.6,4.78,1584576000,0.0,1.789764,15.399999,7649088,7649088,6562624,5785810,5785810,4.62,4.63,3000,4000,1535373824,2.99,7.92,0.55332834,4.6273,4.792125,0.0,0.0,USD,5654183424,-0.1868,329337339,332332000,37053534,44437676,1690761600,1693440000,0.111499995,0.021070002,1.04678,4.72,0.1584,-3.296,1672444800,1703980800,1688083200,-538787008,-1.6,0.3,0.08,2.038,-274.702,NMS,EQUITY,SABR,SABR,Sabre Corporation,Sabre Corporation,1397741400,America/New_York,EDT,-14400000,4.62,10.0,4.0,5.7,5.0,3.0,hold,5,709521984,2.135,-20583000,4801720832,1.28,1.496,2774797056,8.422,-0.0092400005,1496196000,35646752,-163815008,0.122,0.58377,-0.0074199997,-0.02691,USD,
5,3150 Sabre Drive,Southlake,TX,76092,United States,682 605 1000,https://www.sabre.com,Travel Services,Consumer Cyclical,"Sabre Corporation, through its subsidiaries, provides software and technology solutions for the travel industry worldwide. It operates in two segments, Travel Solutions and Hospitality Solutions. The Travel Solutions segment operates a business-to-business travel marketplace that offers travel content, such as inventory, prices, and availability from a range of travel suppliers, including airlines, hotels, car rental brands, rail carriers, cruise lines, and tour operators with a network of travel buyers comprising online and offline travel agencies, travel management companies, and corporate travel departments. This segment also provides a portfolio of software technology products and solutions through software-as-a-service (SaaS) and hosted delivery models to airlines and other travel suppliers. Its products include reservation systems for carriers, commercial and operations products, agency solutions, and data-driven intelligence solutions. The Hospitality Solutions segment provides software and solutions to hoteliers through SaaS and hosted delivery models. Sabre Corporation was incorporated in 2006 and is headquartered in Southlake, Texas.",7461,"{'maxAge': 1, 'name': 'Mr. Kevin William Crissey', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,7,1,4,1693526400,1672444800,86400,4,4.76,4.75,4.6,4.78,4.76,4.75,4.6,4.78,1584576000,0.0,1.789764,15.399999,7649088,7649088,6562624,5785810,5785810,4.62,4.63,3000,4000,1535373824,2.99,7.92,0.55332834,4.6273,4.792125,0.0,0.0,USD,5654183424,-0.1868,329337339,332332000,37053534,44437676,1690761600,1693440000,0.111499995,0.021070002,1.04678,4.72,0.1584,-3.296,1672444800,1703980800,1688083200,-538787008,-1.6,0.3,0.08,2.038,-274.702,NMS,EQUITY,SABR,SABR,Sabre Corporation,Sabre Corporation,1397741400,America/New_York,EDT,-14400000,4.62,10.0,4.0,5.7,5.0,3.0,hold,5,709521984,2.135,-20583000,4801720832,1.28,1.496,2774797056,8.422,-0.0092400005,1496196000,35646752,-163815008,0.122,0.58377,-0.0074199997,-0.02691,USD,
6,3150 Sabre Drive,Southlake,TX,76092,United States,682 605 1000,https://www.sabre.com,Travel Services,Consumer Cyclical,"Sabre Corporation, through its subsidiaries, provides software and technology solutions for the travel industry worldwide. It operates in two segments, Travel Solutions and Hospitality Solutions. The Travel Solutions segment operates a business-to-business travel marketplace that offers travel content, such as inventory, prices, and availability from a range of travel suppliers, including airlines, hotels, car rental brands, rail carriers, cruise lines, and tour operators with a network of travel buyers comprising online and offline travel agencies, travel management companies, and corporate travel departments. This segment also provides a portfolio of software technology products and solutions through software-as-a-service (SaaS) and hosted delivery models to airlines and other travel suppliers. Its products include reservation systems for carriers, commercial and operations products, agency solutions, and data-driven intelligence solutions. The Hospitality Solutions segment provides software and solutions to hoteliers through SaaS and hosted delivery models. Sabre Corporation was incorporated in 2006 and is headquartered in Southlake, Texas.",7461,"{'maxAge': 1, 'name': 'Ms. Ann J. Bruder', 'age': 58, 'title': 'Exec. VP & Chief Legal Officer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,7,1,4,1693526400,1672444800,86400,4,4.76,4.75,4.6,4.78,4.76,4.75,4.6,4.78,1584576000,0.0,1.789764,15.399999,7649088,7649088,6562624,5785810,5785810,4.62,4.63,3000,4000,1535373824,2.99,7.92,0.55332834,4.6273,4.792125,0.0,0.0,USD,5654183424,-0.1868,329337339,332332000,37053534,44437676,1690761600,1693440000,0.111499995,0.021070002,1.04678,4.72,0.1584,-3.296,1672444800,1703980800,1688083200,-538787008,-1.6,0.3,0.08,2.038,-274.702,NMS,EQUITY,SABR,SABR,Sabre Corporation,Sabre Corporation,1397741400,America/New_York,EDT,-14400000,4.62,10.0,4.0,5.7,5.0,3.0,hold,5,709521984,2.135,-20583000,4801720832,1.28,1.496,2774797056,8.422,-0.0092400005,1496196000,35646752,-163815008,0.122,0.58377,-0.0074199997,-0.02691,USD,
7,3150 Sabre Drive,Southlake,TX,76092,United States,682 605 1000,https://www.sabre.com,Travel Services,Consumer Cyclical,"Sabre Corporation, through its subsidiaries, provides software and technology solutions for the travel industry worldwide. It operates in two segments, Travel Solutions and Hospitality Solutions. The Travel Solutions segment operates a business-to-business travel marketplace that offers travel content, such as inventory, prices, and availability from a range of travel suppliers, including airlines, hotels, car rental brands, rail carriers, cruise lines, and tour operators with a network of travel buyers comprising online and offline travel agencies, travel management companies, and corporate travel departments. This segment also provides a portfolio of software technology products and solutions through software-as-a-service (SaaS) and hosted delivery models to airlines and other travel suppliers. Its products include reservation systems for carriers, commercial and operations products, agency solutions, and data-driven intelligence solutions. The Hospitality Solutions segment provides software and solutions to hoteliers through SaaS and hosted delivery models. Sabre Corporation was incorporated in 2006 and is headquartered in Southlake, Texas.",7461,"{'maxAge': 1, 'name': 'Ms. Kristin  Hays', 'age': 51, 'title': 'Chief Communications & Corp. Responsibility Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,7,1,4,1693526400,1672444800,86400,4,4.76,4.75,4.6,4.78,4.76,4.75,4.6,4.78,1584576000,0.0,1.789764,15.399999,7649088,7649088,6562624,5785810,5785810,4.62,4.63,3000,4000,1535373824,2.99,7.92,0.55332834,4.6273,4.792125,0.0,0.0,USD,5654183424,-0.1868,329337339,332332000,37053534,44437676,1690761600,1693440000,0.111499995,0.021070002,1.04678,4.72,0.1584,-3.296,1672444800,1703980800,1688083200,-538787008,-1.6,0.3,0.08,2.038,-274.702,NMS,EQUITY,SABR,SABR,Sabre Corporation,Sabre Corporation,1397741400,America/New_York,EDT,-14400000,4.62,10.0,4.0,5.7,5.0,3.0,hold,5,709521984,2.135,-20583000,4801720832,1.28,1.496,2774797056,8.422,-0.0092400005,1496196000,35646752,-163815008,0.122,0.58377,-0.0074199997,-0.02691,USD,
8,3150 Sabre Drive,Southlake,TX,76092,United States,682 605 1000,https://www.sabre.com,Travel Services,Consumer Cyclical,"Sabre Corporation, through its subsidiaries, provides software and technology solutions for the travel industry worldwide. It operates in two segments, Travel Solutions and Hospitality Solutions. The Travel Solutions segment operates a business-to-business travel marketplace that offers travel content, such as inventory, prices, and availability from a range of travel suppliers, including airlines, hotels, car rental brands, rail carriers, cruise lines, and tour operators with a network of travel buyers comprising online and offline travel agencies, travel management companies, and corporate travel departments. This segment also provides a portfolio of software technology products and solutions through software-as-a-service (SaaS) and hosted delivery models to airlines and other travel suppliers. Its products include reservation systems for carriers, commercial and operations products, agency solutions, and data-driven intelligence solutions. The Hospitality Solutions segment provides software and solutions to hoteliers through SaaS and hosted delivery models. Sabre Corporation was incorporated in 2006 and is headquartered in Southlake, Texas.",7461,"{'maxAge': 1, 'name': 'Mr. Rodolfo  Silva', 'title': 'Global Head of Corp. Sales & Account Management', 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,7,1,4,1693526400,1672444800,86400,4,4.76,4.75,4.6,4.78,4.76,4.75,4.6,4.78,1584576000,0.0,1.789764,15.399999,7649088,7649088,6562624,5785810,5785810,4.62,4.63,3000,4000,1535373824,2.99,7.92,0.55332834,4.6273,4.792125,0.0,0.0,USD,5654183424,-0.1868,329337339,332332000,37053534,44437676,1690761600,1693440000,0.111499995,0.021070002,1.04678,4.72,0.1584,-3.296,1672444800,1703980800,1688083200,-538787008,-1.6,0.3,0.08,2.038,-274.702,NMS,EQUITY,SABR,SABR,Sabre Corporation,Sabre Corporation,1397741400,America/New_York,EDT,-14400000,4.62,10.0,4.0,5.7,5.0,3.0,hold,5,709521984,2.135,-20583000,4801720832,1.28,1.496,2774797056,8.422,-0.0092400005,1496196000,35646752,-163815008,0.122,0.58377,-0.0074199997,-0.02691,USD,
9,3150 Sabre Drive,Southlake,TX,76092,United States,682 605 1000,https://www.sabre.com,Travel Services,Consumer Cyclical,"Sabre Corporation, through its subsidiaries, provides software and technology solutions for the travel industry worldwide. It operates in two segments, Travel Solutions and Hospitality Solutions. The Travel Solutions segment operates a business-to-business travel marketplace that offers travel content, such as inventory, prices, and availability from a range of travel suppliers, including airlines, hotels, car rental brands, rail carriers, cruise lines, and tour operators with a network of travel buyers comprising online and offline travel agencies, travel management companies, and corporate travel departments. This segment also provides a portfolio of software technology products and solutions through software-as-a-service (SaaS) and hosted delivery models to airlines and other travel suppliers. Its products include reservation systems for carriers, commercial and operations products, agency solutions, and data-driven intelligence solutions. The Hospitality Solutions segment provides software and solutions to hoteliers through SaaS and hosted delivery models. Sabre Corporation was incorporated in 2006 and is headquartered in Southlake, Texas.",7461,"{'maxAge': 1, 'name': 'Mr. Shawn G. Williams', 'age': 49, 'title': 'Exec. VP & Chief People Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",2,6,7,1,4,1693526400,1672444800,86400,4,4.76,4.75,4.6,4.78,4.76,4.75,4.6,4.78,1584576000,0.0,1.789764,15.399999,7649088,7649088,6562624,5785810,5785810,4.62,4.63,3000,4000,1535373824,2.99,7.92,0.55332834,4.6273,4.792125,0.0,0.0,USD,5654183424,-0.1868,329337339,332332000,37053534,44437676,1690761600,1693440000,0.111499995,0.021070002,1.04678,4.72,0.1584,-3.296,1672444800,1703980800,1688083200,-538787008,-1.6,0.3,0.08,2.038,-274.702,NMS,EQUITY,SABR,SABR,Sabre Corporation,Sabre Corporation,1397741400,America/New_York,EDT,-14400000,4.62,10.0,4.0,5.7,5.0,3.0,hold,5,709521984,2.135,-20583000,4801720832,1.28,1.496,2774797056,8.422,-0.0092400005,1496196000,35646752,-163815008,0.122,0.58377,-0.0074199997,-0.02691,USD,
