,address1,address2,city,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Kerry Center,Renmin South Road Luohu District,Shenzhen,China,https://www.kaisagroup.com,Real Estate—Development,Real Estate,"Kaisa Group Holdings Ltd., an investment holding company, engages in the property investment, development, and management businesses in the People's Republic of China. It develops commercial properties, such as office buildings, retail stores, and car parks. The company is also involved in the hotel and catering, cinema, and department stores and cultural center operations, as well as waterway passenger and cargo transportation, and healthcare business. Kaisa Group Holdings Ltd. was founded in 1999 and is headquartered in Shenzhen, China.",15679,"{'maxAge': 1, 'name': 'Mr. Ying Shing  Kwok', 'age': 58, 'title': 'Founder & Exec. Chairman', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 480902, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.29,0.29,0.275,0.3,0.29,0.29,0.275,0.3,1638144000,0.0,0.786786,3545000,3545000,7132654,18121787,18121787,0.275,0.28,0,0,1964331648,0.165,0.84,0.076962516,0.22996,0.469345,0.0,0.0,HKD,160645611520,-0.48450002,2942077019,7015470080,0.25607002,0.0028,-0.063,1672444800,1703980800,1688083200,-12444473344,-1.84,6.294,-40.429,HKG,EQUITY,1638.HK,1638.HK,KAISA GROUP,Kaisa Group Holdings Ltd.,1260322200,Asia/Hong_Kong,HKT,28800000,0.28,5.0,sell,2253294080,0.321,-3973524992,138172891136,0.251,0.948,25523226624,583.772,3.638,-0.00994,-0.37071,0.01,0.07816,-0.15568,-0.16659,CNY,
1,Kerry Center,Renmin South Road Luohu District,Shenzhen,China,https://www.kaisagroup.com,Real Estate—Development,Real Estate,"Kaisa Group Holdings Ltd., an investment holding company, engages in the property investment, development, and management businesses in the People's Republic of China. It develops commercial properties, such as office buildings, retail stores, and car parks. The company is also involved in the hotel and catering, cinema, and department stores and cultural center operations, as well as waterway passenger and cargo transportation, and healthcare business. Kaisa Group Holdings Ltd. was founded in 1999 and is headquartered in Shenzhen, China.",15679,"{'maxAge': 1, 'name': 'Mr. Fan  Mai', 'age': 43, 'title': 'Exec. Vice Chairman & CEO', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 1144600, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.29,0.29,0.275,0.3,0.29,0.29,0.275,0.3,1638144000,0.0,0.786786,3545000,3545000,7132654,18121787,18121787,0.275,0.28,0,0,1964331648,0.165,0.84,0.076962516,0.22996,0.469345,0.0,0.0,HKD,160645611520,-0.48450002,2942077019,7015470080,0.25607002,0.0028,-0.063,1672444800,1703980800,1688083200,-12444473344,-1.84,6.294,-40.429,HKG,EQUITY,1638.HK,1638.HK,KAISA GROUP,Kaisa Group Holdings Ltd.,1260322200,Asia/Hong_Kong,HKT,28800000,0.28,5.0,sell,2253294080,0.321,-3973524992,138172891136,0.251,0.948,25523226624,583.772,3.638,-0.00994,-0.37071,0.01,0.07816,-0.15568,-0.16659,CNY,
2,Kerry Center,Renmin South Road Luohu District,Shenzhen,China,https://www.kaisagroup.com,Real Estate—Development,Real Estate,"Kaisa Group Holdings Ltd., an investment holding company, engages in the property investment, development, and management businesses in the People's Republic of China. It develops commercial properties, such as office buildings, retail stores, and car parks. The company is also involved in the hotel and catering, cinema, and department stores and cultural center operations, as well as waterway passenger and cargo transportation, and healthcare business. Kaisa Group Holdings Ltd. was founded in 1999 and is headquartered in Shenzhen, China.",15679,"{'maxAge': 1, 'name': 'Mr. Yuenan  Sun', 'age': 59, 'title': 'Exec. Vice Chairman', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1549498, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.29,0.29,0.275,0.3,0.29,0.29,0.275,0.3,1638144000,0.0,0.786786,3545000,3545000,7132654,18121787,18121787,0.275,0.28,0,0,1964331648,0.165,0.84,0.076962516,0.22996,0.469345,0.0,0.0,HKD,160645611520,-0.48450002,2942077019,7015470080,0.25607002,0.0028,-0.063,1672444800,1703980800,1688083200,-12444473344,-1.84,6.294,-40.429,HKG,EQUITY,1638.HK,1638.HK,KAISA GROUP,Kaisa Group Holdings Ltd.,1260322200,Asia/Hong_Kong,HKT,28800000,0.28,5.0,sell,2253294080,0.321,-3973524992,138172891136,0.251,0.948,25523226624,583.772,3.638,-0.00994,-0.37071,0.01,0.07816,-0.15568,-0.16659,CNY,
3,Kerry Center,Renmin South Road Luohu District,Shenzhen,China,https://www.kaisagroup.com,Real Estate—Development,Real Estate,"Kaisa Group Holdings Ltd., an investment holding company, engages in the property investment, development, and management businesses in the People's Republic of China. It develops commercial properties, such as office buildings, retail stores, and car parks. The company is also involved in the hotel and catering, cinema, and department stores and cultural center operations, as well as waterway passenger and cargo transportation, and healthcare business. Kaisa Group Holdings Ltd. was founded in 1999 and is headquartered in Shenzhen, China.",15679,"{'maxAge': 1, 'name': 'Mr. Haiming  Li', 'age': 47, 'title': 'Co-Pres, COO & Exec. Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 813507, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.29,0.29,0.275,0.3,0.29,0.29,0.275,0.3,1638144000,0.0,0.786786,3545000,3545000,7132654,18121787,18121787,0.275,0.28,0,0,1964331648,0.165,0.84,0.076962516,0.22996,0.469345,0.0,0.0,HKD,160645611520,-0.48450002,2942077019,7015470080,0.25607002,0.0028,-0.063,1672444800,1703980800,1688083200,-12444473344,-1.84,6.294,-40.429,HKG,EQUITY,1638.HK,1638.HK,KAISA GROUP,Kaisa Group Holdings Ltd.,1260322200,Asia/Hong_Kong,HKT,28800000,0.28,5.0,sell,2253294080,0.321,-3973524992,138172891136,0.251,0.948,25523226624,583.772,3.638,-0.00994,-0.37071,0.01,0.07816,-0.15568,-0.16659,CNY,
4,Kerry Center,Renmin South Road Luohu District,Shenzhen,China,https://www.kaisagroup.com,Real Estate—Development,Real Estate,"Kaisa Group Holdings Ltd., an investment holding company, engages in the property investment, development, and management businesses in the People's Republic of China. It develops commercial properties, such as office buildings, retail stores, and car parks. The company is also involved in the hotel and catering, cinema, and department stores and cultural center operations, as well as waterway passenger and cargo transportation, and healthcare business. Kaisa Group Holdings Ltd. was founded in 1999 and is headquartered in Shenzhen, China.",15679,"{'maxAge': 1, 'name': 'Mr. Hiu Kwan  Kwok', 'age': 30, 'title': 'Co-Pres, Chairman of Shanghai Region & Exec. Director', 'yearBorn': 1992, 'fiscalYear': 2022, 'totalPay': 90160, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.29,0.29,0.275,0.3,0.29,0.29,0.275,0.3,1638144000,0.0,0.786786,3545000,3545000,7132654,18121787,18121787,0.275,0.28,0,0,1964331648,0.165,0.84,0.076962516,0.22996,0.469345,0.0,0.0,HKD,160645611520,-0.48450002,2942077019,7015470080,0.25607002,0.0028,-0.063,1672444800,1703980800,1688083200,-12444473344,-1.84,6.294,-40.429,HKG,EQUITY,1638.HK,1638.HK,KAISA GROUP,Kaisa Group Holdings Ltd.,1260322200,Asia/Hong_Kong,HKT,28800000,0.28,5.0,sell,2253294080,0.321,-3973524992,138172891136,0.251,0.948,25523226624,583.772,3.638,-0.00994,-0.37071,0.01,0.07816,-0.15568,-0.16659,CNY,
5,Kerry Center,Renmin South Road Luohu District,Shenzhen,China,https://www.kaisagroup.com,Real Estate—Development,Real Estate,"Kaisa Group Holdings Ltd., an investment holding company, engages in the property investment, development, and management businesses in the People's Republic of China. It develops commercial properties, such as office buildings, retail stores, and car parks. The company is also involved in the hotel and catering, cinema, and department stores and cultural center operations, as well as waterway passenger and cargo transportation, and healthcare business. Kaisa Group Holdings Ltd. was founded in 1999 and is headquartered in Shenzhen, China.",15679,"{'maxAge': 1, 'name': 'Ms. Tingting  Luo', 'age': 38, 'title': 'Chief Financial Officer', 'yearBorn': 1984, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.29,0.29,0.275,0.3,0.29,0.29,0.275,0.3,1638144000,0.0,0.786786,3545000,3545000,7132654,18121787,18121787,0.275,0.28,0,0,1964331648,0.165,0.84,0.076962516,0.22996,0.469345,0.0,0.0,HKD,160645611520,-0.48450002,2942077019,7015470080,0.25607002,0.0028,-0.063,1672444800,1703980800,1688083200,-12444473344,-1.84,6.294,-40.429,HKG,EQUITY,1638.HK,1638.HK,KAISA GROUP,Kaisa Group Holdings Ltd.,1260322200,Asia/Hong_Kong,HKT,28800000,0.28,5.0,sell,2253294080,0.321,-3973524992,138172891136,0.251,0.948,25523226624,583.772,3.638,-0.00994,-0.37071,0.01,0.07816,-0.15568,-0.16659,CNY,
6,Kerry Center,Renmin South Road Luohu District,Shenzhen,China,https://www.kaisagroup.com,Real Estate—Development,Real Estate,"Kaisa Group Holdings Ltd., an investment holding company, engages in the property investment, development, and management businesses in the People's Republic of China. It develops commercial properties, such as office buildings, retail stores, and car parks. The company is also involved in the hotel and catering, cinema, and department stores and cultural center operations, as well as waterway passenger and cargo transportation, and healthcare business. Kaisa Group Holdings Ltd. was founded in 1999 and is headquartered in Shenzhen, China.",15679,"{'maxAge': 1, 'name': 'Ms. Ling  Chen', 'age': 46, 'title': 'VP & CTO', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.29,0.29,0.275,0.3,0.29,0.29,0.275,0.3,1638144000,0.0,0.786786,3545000,3545000,7132654,18121787,18121787,0.275,0.28,0,0,1964331648,0.165,0.84,0.076962516,0.22996,0.469345,0.0,0.0,HKD,160645611520,-0.48450002,2942077019,7015470080,0.25607002,0.0028,-0.063,1672444800,1703980800,1688083200,-12444473344,-1.84,6.294,-40.429,HKG,EQUITY,1638.HK,1638.HK,KAISA GROUP,Kaisa Group Holdings Ltd.,1260322200,Asia/Hong_Kong,HKT,28800000,0.28,5.0,sell,2253294080,0.321,-3973524992,138172891136,0.251,0.948,25523226624,583.772,3.638,-0.00994,-0.37071,0.01,0.07816,-0.15568,-0.16659,CNY,
7,Kerry Center,Renmin South Road Luohu District,Shenzhen,China,https://www.kaisagroup.com,Real Estate—Development,Real Estate,"Kaisa Group Holdings Ltd., an investment holding company, engages in the property investment, development, and management businesses in the People's Republic of China. It develops commercial properties, such as office buildings, retail stores, and car parks. The company is also involved in the hotel and catering, cinema, and department stores and cultural center operations, as well as waterway passenger and cargo transportation, and healthcare business. Kaisa Group Holdings Ltd. was founded in 1999 and is headquartered in Shenzhen, China.",15679,"{'maxAge': 1, 'name': 'Joanne  Mo', 'title': 'Corp. Fin. & IR', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.29,0.29,0.275,0.3,0.29,0.29,0.275,0.3,1638144000,0.0,0.786786,3545000,3545000,7132654,18121787,18121787,0.275,0.28,0,0,1964331648,0.165,0.84,0.076962516,0.22996,0.469345,0.0,0.0,HKD,160645611520,-0.48450002,2942077019,7015470080,0.25607002,0.0028,-0.063,1672444800,1703980800,1688083200,-12444473344,-1.84,6.294,-40.429,HKG,EQUITY,1638.HK,1638.HK,KAISA GROUP,Kaisa Group Holdings Ltd.,1260322200,Asia/Hong_Kong,HKT,28800000,0.28,5.0,sell,2253294080,0.321,-3973524992,138172891136,0.251,0.948,25523226624,583.772,3.638,-0.00994,-0.37071,0.01,0.07816,-0.15568,-0.16659,CNY,
8,Kerry Center,Renmin South Road Luohu District,Shenzhen,China,https://www.kaisagroup.com,Real Estate—Development,Real Estate,"Kaisa Group Holdings Ltd., an investment holding company, engages in the property investment, development, and management businesses in the People's Republic of China. It develops commercial properties, such as office buildings, retail stores, and car parks. The company is also involved in the hotel and catering, cinema, and department stores and cultural center operations, as well as waterway passenger and cargo transportation, and healthcare business. Kaisa Group Holdings Ltd. was founded in 1999 and is headquartered in Shenzhen, China.",15679,"{'maxAge': 1, 'name': 'Mr. Binhong  Xie', 'age': 39, 'title': 'Sr. VP & Chief Human Resource Officer', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.29,0.29,0.275,0.3,0.29,0.29,0.275,0.3,1638144000,0.0,0.786786,3545000,3545000,7132654,18121787,18121787,0.275,0.28,0,0,1964331648,0.165,0.84,0.076962516,0.22996,0.469345,0.0,0.0,HKD,160645611520,-0.48450002,2942077019,7015470080,0.25607002,0.0028,-0.063,1672444800,1703980800,1688083200,-12444473344,-1.84,6.294,-40.429,HKG,EQUITY,1638.HK,1638.HK,KAISA GROUP,Kaisa Group Holdings Ltd.,1260322200,Asia/Hong_Kong,HKT,28800000,0.28,5.0,sell,2253294080,0.321,-3973524992,138172891136,0.251,0.948,25523226624,583.772,3.638,-0.00994,-0.37071,0.01,0.07816,-0.15568,-0.16659,CNY,
9,Kerry Center,Renmin South Road Luohu District,Shenzhen,China,https://www.kaisagroup.com,Real Estate—Development,Real Estate,"Kaisa Group Holdings Ltd., an investment holding company, engages in the property investment, development, and management businesses in the People's Republic of China. It develops commercial properties, such as office buildings, retail stores, and car parks. The company is also involved in the hotel and catering, cinema, and department stores and cultural center operations, as well as waterway passenger and cargo transportation, and healthcare business. Kaisa Group Holdings Ltd. was founded in 1999 and is headquartered in Shenzhen, China.",15679,"{'maxAge': 1, 'name': 'Mr. Wei  Song', 'age': 37, 'title': 'Sr. VP', 'yearBorn': 1985, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.29,0.29,0.275,0.3,0.29,0.29,0.275,0.3,1638144000,0.0,0.786786,3545000,3545000,7132654,18121787,18121787,0.275,0.28,0,0,1964331648,0.165,0.84,0.076962516,0.22996,0.469345,0.0,0.0,HKD,160645611520,-0.48450002,2942077019,7015470080,0.25607002,0.0028,-0.063,1672444800,1703980800,1688083200,-12444473344,-1.84,6.294,-40.429,HKG,EQUITY,1638.HK,1638.HK,KAISA GROUP,Kaisa Group Holdings Ltd.,1260322200,Asia/Hong_Kong,HKT,28800000,0.28,5.0,sell,2253294080,0.321,-3973524992,138172891136,0.251,0.948,25523226624,583.772,3.638,-0.00994,-0.37071,0.01,0.07816,-0.15568,-0.16659,CNY,
