,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Mainzer Landstrasse 11-17,Frankfurt am Main,60329,Germany,+49 69 910 12371,https://fundsus.deutscheam.com/EN/products/european_equity_fund.jsp,Asset Management,Financial Services,"The European Equity Fund, Inc. is a closed ended equity mutual fund launched by Deutsche Investment Management Americas Inc. The fund is managed by Deutsche Asset Management International GmbH. It invests in the public equity markets of Europe. The fund seeks to invest in the stocks of companies operating across diversified sectors. It primarily invests in equity or equity-linked securities of companies. The fund seeks to benchmark the performance of its portfolio against the MSCI-EMU Index. It was formerly known as Germany Fund Inc. The European Equity Fund, Inc. was formed on July 23, 1986 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Alyssa  Asbury', 'title': 'Assistant Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.16,8.16,8.1551,8.18,8.16,8.16,8.1551,8.18,0.18,0.0218,1683849600,0.096999995,1.61,4.4590163,20901,20901,4312,4350,4350,8.13,8.55,1100,900,56076580,6.06,8.93,28.331507,8.4736,8.37105,0.177,0.021691177,USD,55870708,6.32279,6872130,49,8489,1689292800,1692057600,0.0,0.0013,0.5489,0.01,0.0,10.051,0.81185955,1672444800,1703980800,1688083200,12514704,1.83,28.227,NYQ,EQUITY,EEA,EEA,"The European Equity Fund, Inc.","The European Equity Fund, Inc.",522077400,America/New_York,EDT,-14400000,8.16,none,205889,0.03,0,1.841,1.841,1979301,0.288,0.00909,0.19503,2047339,-0.043,1.0,0.0,0.47547,USD,
1,Mainzer Landstrasse 11-17,Frankfurt am Main,60329,Germany,+49 69 910 12371,https://fundsus.deutscheam.com/EN/products/european_equity_fund.jsp,Asset Management,Financial Services,"The European Equity Fund, Inc. is a closed ended equity mutual fund launched by Deutsche Investment Management Americas Inc. The fund is managed by Deutsche Asset Management International GmbH. It invests in the public equity markets of Europe. The fund seeks to invest in the stocks of companies operating across diversified sectors. It primarily invests in equity or equity-linked securities of companies. The fund seeks to benchmark the performance of its portfolio against the MSCI-EMU Index. It was formerly known as Germany Fund Inc. The European Equity Fund, Inc. was formed on July 23, 1986 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Gerd  Kirsten CFA', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.16,8.16,8.1551,8.18,8.16,8.16,8.1551,8.18,0.18,0.0218,1683849600,0.096999995,1.61,4.4590163,20901,20901,4312,4350,4350,8.13,8.55,1100,900,56076580,6.06,8.93,28.331507,8.4736,8.37105,0.177,0.021691177,USD,55870708,6.32279,6872130,49,8489,1689292800,1692057600,0.0,0.0013,0.5489,0.01,0.0,10.051,0.81185955,1672444800,1703980800,1688083200,12514704,1.83,28.227,NYQ,EQUITY,EEA,EEA,"The European Equity Fund, Inc.","The European Equity Fund, Inc.",522077400,America/New_York,EDT,-14400000,8.16,none,205889,0.03,0,1.841,1.841,1979301,0.288,0.00909,0.19503,2047339,-0.043,1.0,0.0,0.47547,USD,
