,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,9-7125 Pacific Circle,Mississauga,ON,L5T2A5,Canada,866-557-5745,https://www.usarealestateholding.com,Real Estate Services,Real Estate,"USA Real Estate Holding Company, a development stage company, focuses on purchasing commercial or other real estate properties, including land in the United States. The company, through its subsidiary, USA Real Estate Inc., intends to acquire retail outlets and the land they sit upon in the Midwest and Rocky Mountain states. USA Real Estate Holding Company was founded in 2007 and is based in Mississauga, Canada.","{'maxAge': 1, 'name': 'Mr. James  Miller', 'age': 62, 'title': 'Principal Financial Officer, Sec., Treasurer and Director', 'yearBorn': 1960, 'fiscalYear': 2010, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1293753600,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.650414,100,100,4,0,0,0.0,0.0,0,0,8,0.0001,0.0002,0.0001,0.0001,0.0,0.0,USD,0.0,82000,0.0,6.0000002e-05,1293753600,1325289600,1301529600,-35716,1:50000,1433289600,PNK,EQUITY,USTC,USTC,USA REAL ESTATE HOLDING CO,USA Real Estate Holding Company,1365168600,America/New_York,EDT,-14400000,0.0001,none,568,88398,0.005,0.005,-57.09207,-6754,-20147,0.0,0.0,0.0,USD,
1,9-7125 Pacific Circle,Mississauga,ON,L5T2A5,Canada,866-557-5745,https://www.usarealestateholding.com,Real Estate Services,Real Estate,"USA Real Estate Holding Company, a development stage company, focuses on purchasing commercial or other real estate properties, including land in the United States. The company, through its subsidiary, USA Real Estate Inc., intends to acquire retail outlets and the land they sit upon in the Midwest and Rocky Mountain states. USA Real Estate Holding Company was founded in 2007 and is based in Mississauga, Canada.","{'maxAge': 1, 'name': 'Mr. Richard  Maddox', 'age': 70, 'title': 'VP and Director', 'yearBorn': 1952, 'fiscalYear': 2010, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1293753600,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.650414,100,100,4,0,0,0.0,0.0,0,0,8,0.0001,0.0002,0.0001,0.0001,0.0,0.0,USD,0.0,82000,0.0,6.0000002e-05,1293753600,1325289600,1301529600,-35716,1:50000,1433289600,PNK,EQUITY,USTC,USTC,USA REAL ESTATE HOLDING CO,USA Real Estate Holding Company,1365168600,America/New_York,EDT,-14400000,0.0001,none,568,88398,0.005,0.005,-57.09207,-6754,-20147,0.0,0.0,0.0,USD,
