,address1,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,O.S.B. 6.Cadde No:11,Kayseri,Turkey,90 352 321 11 32,90 352 321 11 32,https://www.oylum.com,Confectioners,Consumer Defensive,"Oylum Sinai Yatirimlar Anonim Sirketi provides biscuits, wafers, sandwich biscuits, coated wafers, and marshmallows. The company was founded in 1969 and is based in Kayseri, Turkey.",221,"{'maxAge': 1, 'name': 'Ms. Yener  Büyüknalbant', 'title': 'Chairman of Directors and Gen. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.59,8.63,8.63,9.44,8.59,8.63,8.63,9.44,0.0,-0.142619,94.399994,13241011,13241011,11682179,8810254,8810254,9.43,9.44,0,0,802399936,3.12,9.6,2.2060301,6.6948,4.7259,0.0,0.0,TRY,808563648,0.19471,68810050,85000000,0.16874,0.0,3.465,2.7243867,1672444800,1703980800,1688083200,3.626,70821392,0.1,2.223,12.091,IST,EQUITY,OYLUM.IS,OYLUM.IS,OYLUM SINAI YATIRIMLAR,Oylum Sinai Yatirimlar Anonim Sirketi,1336113000,Europe/Istanbul,TRT,10800000,9.44,none,134413536,1.581,66871672,140577152,1.253,1.761,363730272,47.733,4.279,0.10538,0.34118998,37693820,-56087648,12492779,3.558,0.879,0.21681,0.18385,0.16912001,TRY,
1,O.S.B. 6.Cadde No:11,Kayseri,Turkey,90 352 321 11 32,90 352 321 11 32,https://www.oylum.com,Confectioners,Consumer Defensive,"Oylum Sinai Yatirimlar Anonim Sirketi provides biscuits, wafers, sandwich biscuits, coated wafers, and marshmallows. The company was founded in 1969 and is based in Kayseri, Turkey.",221,"{'maxAge': 1, 'name': 'Ms. Serap  Durmus', 'title': 'Sr. Mang. of Investor Relations Unit', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.59,8.63,8.63,9.44,8.59,8.63,8.63,9.44,0.0,-0.142619,94.399994,13241011,13241011,11682179,8810254,8810254,9.43,9.44,0,0,802399936,3.12,9.6,2.2060301,6.6948,4.7259,0.0,0.0,TRY,808563648,0.19471,68810050,85000000,0.16874,0.0,3.465,2.7243867,1672444800,1703980800,1688083200,3.626,70821392,0.1,2.223,12.091,IST,EQUITY,OYLUM.IS,OYLUM.IS,OYLUM SINAI YATIRIMLAR,Oylum Sinai Yatirimlar Anonim Sirketi,1336113000,Europe/Istanbul,TRT,10800000,9.44,none,134413536,1.581,66871672,140577152,1.253,1.761,363730272,47.733,4.279,0.10538,0.34118998,37693820,-56087648,12492779,3.558,0.879,0.21681,0.18385,0.16912001,TRY,
