,address1,address2,city,zip,country,phone,fax,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,35 Baita Zhong Road,Yujiang County,Yingtan,335200,China,86 70 1588 1082,86 70 1588 1086,Shell Companies,Financial Services,"Jade Art Group Inc., through its subsidiary, JiangXi SheTai Jade Industrial Company Limited, engages in the sale and distribution of raw jade in China. It also involves in jade processing, carving, and polishing activities. The company's products are used as decorative construction material in commercial and residential markets, and high-end jewelry. Jade Art Group Inc. is based in Yingtan, China.",35,"{'maxAge': 1, 'name': 'Mr. Hua-Cai  Song', 'age': 59, 'title': 'Chief Exec. Officer and Director', 'yearBorn': 1963, 'fiscalYear': 2009, 'totalPay': 11324, 'exercisedValue': 0, 'unexercisedValue': 0}",1262217600,86400,4,0.009,0.0089,0.0072,0.0089,0.009,0.0089,0.0072,0.0089,0.0,1.357883,0.18,23200,23200,35150,21174,21174,0.0812,0.098,5000,5000,639840,0.004,0.0168,0.034139454,0.0077092,0.0088625,0.0,0.0,USD,-15550904,0.45964,79980000,0.0,0.0,1.071,0.006722689,1262217600,1293753600,1285804800,-0.963,8614488,0.04,1:3,1210809600,-0.83,-1.015,PNK,EQUITY,JADA,JADA,JADE ART GROUP INC,Jade Art Group Inc.,1193146200,America/New_York,EDT,-14400000,0.0072,none,16270724,0.203,15328446,0,11.453,11.585,18741952,0.234,0.09483,0.10899,20599110,10735537,11377901,-0.963,-0.782,0.77475,0.81787,0.66442,USD,
1,35 Baita Zhong Road,Yujiang County,Yingtan,335200,China,86 70 1588 1082,86 70 1588 1086,Shell Companies,Financial Services,"Jade Art Group Inc., through its subsidiary, JiangXi SheTai Jade Industrial Company Limited, engages in the sale and distribution of raw jade in China. It also involves in jade processing, carving, and polishing activities. The company's products are used as decorative construction material in commercial and residential markets, and high-end jewelry. Jade Art Group Inc. is based in Yingtan, China.",35,"{'maxAge': 1, 'name': 'Mr. Chen-Qing  Luo', 'age': 49, 'title': 'Chief Financial Officer, Principal Accounting Officer and Sec.', 'yearBorn': 1973, 'fiscalYear': 2009, 'totalPay': 9860, 'exercisedValue': 0, 'unexercisedValue': 0}",1262217600,86400,4,0.009,0.0089,0.0072,0.0089,0.009,0.0089,0.0072,0.0089,0.0,1.357883,0.18,23200,23200,35150,21174,21174,0.0812,0.098,5000,5000,639840,0.004,0.0168,0.034139454,0.0077092,0.0088625,0.0,0.0,USD,-15550904,0.45964,79980000,0.0,0.0,1.071,0.006722689,1262217600,1293753600,1285804800,-0.963,8614488,0.04,1:3,1210809600,-0.83,-1.015,PNK,EQUITY,JADA,JADA,JADE ART GROUP INC,Jade Art Group Inc.,1193146200,America/New_York,EDT,-14400000,0.0072,none,16270724,0.203,15328446,0,11.453,11.585,18741952,0.234,0.09483,0.10899,20599110,10735537,11377901,-0.963,-0.782,0.77475,0.81787,0.66442,USD,
