,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,7-8 Kendrick Mews,1st Floor South Kensington,London,SW7 3HG,United Kingdom,44 0 20 7581 4477,44 0 20 7589 7806,https://www.tiger-rf.com,Asset Management,Financial Services,"Tiger Royalties and investments Plc is a venture capital firm specializing in early stage, incubation and seed-financing. It can also invest in mature companies. It prefers to invest in the minerals, oil and gas, natural resource exploration and development sector, and in the companies have developed or are applying new technologies that are becoming available to the resource sector. The firm invests globally. It typically invests between £0.15 million ($0.24 million) and £0.3 million ($0.48 million). It makes investments in both, public and private companies. The firm primarily invests through equity. It was formerly known as Crediton Minerals PLC and previously operates as a gold exploration company. Tiger Resource plc is based in London, United Kingdom.",4,"{'maxAge': 1, 'name': 'Mr. Colin  Bird C.ENG, FIMMM, P.Eng.', 'age': 79, 'title': 'CEO & Exec. Chairman', 'yearBorn': 1943, 'fiscalYear': 2022, 'totalPay': 36000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.15,0.1,0.1,0.1,0.15,0.1,0.1,0.1,0.0,0.075075,100000,100000,2765,5000,5000,0.1,0.2,0,0,809443,0.0015,0.3,-5.063861,0.1435,0.15486625,0.0,0.0,GBp,652061,0.0,250226111,539628992,0.56745,0.189,0.001,150.0,1672444800,1703980800,1672444800,-456962,-0.0,-4.079,LSE,EQUITY,TIR.L,TIR.L,Tiger Royalties and Investments,Tiger Royalties and investments Plc,980150400,Europe/London,BST,3600000,0.15,none,150631,0.0,0,0.92,0.946,-159847,-0.0,-0.34539002,-0.72183,-159847,-160058,-139087,0.0,0.0,2.63164,GBP,
1,7-8 Kendrick Mews,1st Floor South Kensington,London,SW7 3HG,United Kingdom,44 0 20 7581 4477,44 0 20 7589 7806,https://www.tiger-rf.com,Asset Management,Financial Services,"Tiger Royalties and investments Plc is a venture capital firm specializing in early stage, incubation and seed-financing. It can also invest in mature companies. It prefers to invest in the minerals, oil and gas, natural resource exploration and development sector, and in the companies have developed or are applying new technologies that are becoming available to the resource sector. The firm invests globally. It typically invests between £0.15 million ($0.24 million) and £0.3 million ($0.48 million). It makes investments in both, public and private companies. The firm primarily invests through equity. It was formerly known as Crediton Minerals PLC and previously operates as a gold exploration company. Tiger Resource plc is based in London, United Kingdom.",4,"{'maxAge': 1, 'name': 'Mr. Raju  Samtani BA Hons, CIMA', 'age': 54, 'title': 'Fin. Director, Company Sec. & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 30000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.15,0.1,0.1,0.1,0.15,0.1,0.1,0.1,0.0,0.075075,100000,100000,2765,5000,5000,0.1,0.2,0,0,809443,0.0015,0.3,-5.063861,0.1435,0.15486625,0.0,0.0,GBp,652061,0.0,250226111,539628992,0.56745,0.189,0.001,150.0,1672444800,1703980800,1672444800,-456962,-0.0,-4.079,LSE,EQUITY,TIR.L,TIR.L,Tiger Royalties and Investments,Tiger Royalties and investments Plc,980150400,Europe/London,BST,3600000,0.15,none,150631,0.0,0,0.92,0.946,-159847,-0.0,-0.34539002,-0.72183,-159847,-160058,-139087,0.0,0.0,2.63164,GBP,
