,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,6269 Caledon Road,King George,VA,22485,United States,703 789 3344,https://www.freeflowplc.com,Auto Parts,Consumer Cyclical,"Free Flow, Inc. sells used auto parts through internet network to auto body and mechanic shops. The company was incorporated in 2011 and is based in King George, Virginia.",3,"{'maxAge': 1, 'name': 'Mr. Sabir  Saleem', 'age': 74, 'title': 'Pres, CEO, CFO, Sec., Treasurer & Director', 'yearBorn': 1948, 'fiscalYear': 2022, 'totalPay': 48716, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.252,0.252,0.252,0.252,0.252,0.252,0.252,0.252,0.0,-2.267634,3,3,6,0,0,0.0,0.0,0,0,6520979,0.252,1.18,92.56443,0.252,0.4046245,0.0,0.0,USD,9028640,-1.39088,7887020,25876900,0.72316,0.0,-0.07,1672444800,1703980800,1688083200,-97985,-0.01,128.16,-48.263,PNK,EQUITY,FFLO,FFLO,FREEFLOW INC,"Free Flow, Inc.",1434720600,America/New_York,EDT,-14400000,0.252,none,1962,0.0,-187072,1708687,9.173,9.173,70448,0.003,-0.2057,-392,-173769,-125739,-0.955,-0.25201,-2.65546,-3.61272,USD,
1,6269 Caledon Road,King George,VA,22485,United States,703 789 3344,https://www.freeflowplc.com,Auto Parts,Consumer Cyclical,"Free Flow, Inc. sells used auto parts through internet network to auto body and mechanic shops. The company was incorporated in 2011 and is based in King George, Virginia.",3,"{'maxAge': 1, 'name': 'Mr. Jeff K. Russell', 'title': 'Member of Advisory Board', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.252,0.252,0.252,0.252,0.252,0.252,0.252,0.252,0.0,-2.267634,3,3,6,0,0,0.0,0.0,0,0,6520979,0.252,1.18,92.56443,0.252,0.4046245,0.0,0.0,USD,9028640,-1.39088,7887020,25876900,0.72316,0.0,-0.07,1672444800,1703980800,1688083200,-97985,-0.01,128.16,-48.263,PNK,EQUITY,FFLO,FFLO,FREEFLOW INC,"Free Flow, Inc.",1434720600,America/New_York,EDT,-14400000,0.252,none,1962,0.0,-187072,1708687,9.173,9.173,70448,0.003,-0.2057,-392,-173769,-125739,-0.955,-0.25201,-2.65546,-3.61272,USD,
