,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Dorey Court,Ground Floor Admiral Park,Saint Peter Port,GY1 2HT,Guernsey,44 0 1481 702400,https://www.roundhillmusicroyaltyfund.com,Entertainment,Communication Services,"Round Hill Music Royalty Fund Limited invests in music intellectual property. It owns and operates a portfolio of 51 catalogues of music copyright properties. The company was incorporated in 2020 and is based in Saint Peter Port, the Channel Islands.","{'maxAge': 1, 'name': 'Mr. Joshua  Gruss', 'title': 'Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.14,1.13,1.13,1.14,1.14,1.13,1.13,1.14,0.04,0.0395,1694044800,4.875,0.147518,114.0,2574822,2574822,2482846,13215538,13215538,1.13,1.15,464687936,0.615,1.15,10.650218,0.76335,0.7405375,0.045,0.039473686,USD,448289632,0.01132,369064401,407620992,0.09458999,0.77931,0.929,1.2271259,1672444800,1703980800,1672444800,493797,0.01,10.274,19.159,LSE,EQUITY,RHM.L,RHM.L,ROUND HILL MUSIC ROYALTY FUND L,Round Hill Music Royalty Fund Limited,1605254400,Europe/London,BST,3600000,1.14,1.5,strong_buy,10881314,0.027,23398858,90273664,1.779,1.995,43631776,23.837,0.107,0.00753,0.00127,34888191,-74355048,14348504,0.7996,0.53628,0.13158,USD,
1,Dorey Court,Ground Floor Admiral Park,Saint Peter Port,GY1 2HT,Guernsey,44 0 1481 702400,https://www.roundhillmusicroyaltyfund.com,Entertainment,Communication Services,"Round Hill Music Royalty Fund Limited invests in music intellectual property. It owns and operates a portfolio of 51 catalogues of music copyright properties. The company was incorporated in 2020 and is based in Saint Peter Port, the Channel Islands.","{'maxAge': 1, 'name': 'Ms. Amanda  Siconolfi', 'title': 'Chief Financial Officer of Fin. & Investments', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.14,1.13,1.13,1.14,1.14,1.13,1.13,1.14,0.04,0.0395,1694044800,4.875,0.147518,114.0,2574822,2574822,2482846,13215538,13215538,1.13,1.15,464687936,0.615,1.15,10.650218,0.76335,0.7405375,0.045,0.039473686,USD,448289632,0.01132,369064401,407620992,0.09458999,0.77931,0.929,1.2271259,1672444800,1703980800,1672444800,493797,0.01,10.274,19.159,LSE,EQUITY,RHM.L,RHM.L,ROUND HILL MUSIC ROYALTY FUND L,Round Hill Music Royalty Fund Limited,1605254400,Europe/London,BST,3600000,1.14,1.5,strong_buy,10881314,0.027,23398858,90273664,1.779,1.995,43631776,23.837,0.107,0.00753,0.00127,34888191,-74355048,14348504,0.7996,0.53628,0.13158,USD,
2,Dorey Court,Ground Floor Admiral Park,Saint Peter Port,GY1 2HT,Guernsey,44 0 1481 702400,https://www.roundhillmusicroyaltyfund.com,Entertainment,Communication Services,"Round Hill Music Royalty Fund Limited invests in music intellectual property. It owns and operates a portfolio of 51 catalogues of music copyright properties. The company was incorporated in 2020 and is based in Saint Peter Port, the Channel Islands.","{'maxAge': 1, 'name': 'Ms. Shannon K Farley', 'title': 'CFO of Funds and Financial Operations & Chief Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.14,1.13,1.13,1.14,1.14,1.13,1.13,1.14,0.04,0.0395,1694044800,4.875,0.147518,114.0,2574822,2574822,2482846,13215538,13215538,1.13,1.15,464687936,0.615,1.15,10.650218,0.76335,0.7405375,0.045,0.039473686,USD,448289632,0.01132,369064401,407620992,0.09458999,0.77931,0.929,1.2271259,1672444800,1703980800,1672444800,493797,0.01,10.274,19.159,LSE,EQUITY,RHM.L,RHM.L,ROUND HILL MUSIC ROYALTY FUND L,Round Hill Music Royalty Fund Limited,1605254400,Europe/London,BST,3600000,1.14,1.5,strong_buy,10881314,0.027,23398858,90273664,1.779,1.995,43631776,23.837,0.107,0.00753,0.00127,34888191,-74355048,14348504,0.7996,0.53628,0.13158,USD,
3,Dorey Court,Ground Floor Admiral Park,Saint Peter Port,GY1 2HT,Guernsey,44 0 1481 702400,https://www.roundhillmusicroyaltyfund.com,Entertainment,Communication Services,"Round Hill Music Royalty Fund Limited invests in music intellectual property. It owns and operates a portfolio of 51 catalogues of music copyright properties. The company was incorporated in 2020 and is based in Saint Peter Port, the Channel Islands.","{'maxAge': 1, 'name': 'Mr. Steve  Clark', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.14,1.13,1.13,1.14,1.14,1.13,1.13,1.14,0.04,0.0395,1694044800,4.875,0.147518,114.0,2574822,2574822,2482846,13215538,13215538,1.13,1.15,464687936,0.615,1.15,10.650218,0.76335,0.7405375,0.045,0.039473686,USD,448289632,0.01132,369064401,407620992,0.09458999,0.77931,0.929,1.2271259,1672444800,1703980800,1672444800,493797,0.01,10.274,19.159,LSE,EQUITY,RHM.L,RHM.L,ROUND HILL MUSIC ROYALTY FUND L,Round Hill Music Royalty Fund Limited,1605254400,Europe/London,BST,3600000,1.14,1.5,strong_buy,10881314,0.027,23398858,90273664,1.779,1.995,43631776,23.837,0.107,0.00753,0.00127,34888191,-74355048,14348504,0.7996,0.53628,0.13158,USD,
4,Dorey Court,Ground Floor Admiral Park,Saint Peter Port,GY1 2HT,Guernsey,44 0 1481 702400,https://www.roundhillmusicroyaltyfund.com,Entertainment,Communication Services,"Round Hill Music Royalty Fund Limited invests in music intellectual property. It owns and operates a portfolio of 51 catalogues of music copyright properties. The company was incorporated in 2020 and is based in Saint Peter Port, the Channel Islands.","{'maxAge': 1, 'name': 'Ms. Neitra  Scott', 'title': 'Sr. VP & Head of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.14,1.13,1.13,1.14,1.14,1.13,1.13,1.14,0.04,0.0395,1694044800,4.875,0.147518,114.0,2574822,2574822,2482846,13215538,13215538,1.13,1.15,464687936,0.615,1.15,10.650218,0.76335,0.7405375,0.045,0.039473686,USD,448289632,0.01132,369064401,407620992,0.09458999,0.77931,0.929,1.2271259,1672444800,1703980800,1672444800,493797,0.01,10.274,19.159,LSE,EQUITY,RHM.L,RHM.L,ROUND HILL MUSIC ROYALTY FUND L,Round Hill Music Royalty Fund Limited,1605254400,Europe/London,BST,3600000,1.14,1.5,strong_buy,10881314,0.027,23398858,90273664,1.779,1.995,43631776,23.837,0.107,0.00753,0.00127,34888191,-74355048,14348504,0.7996,0.53628,0.13158,USD,
5,Dorey Court,Ground Floor Admiral Park,Saint Peter Port,GY1 2HT,Guernsey,44 0 1481 702400,https://www.roundhillmusicroyaltyfund.com,Entertainment,Communication Services,"Round Hill Music Royalty Fund Limited invests in music intellectual property. It owns and operates a portfolio of 51 catalogues of music copyright properties. The company was incorporated in 2020 and is based in Saint Peter Port, the Channel Islands.","{'maxAge': 1, 'name': 'Ms. Marisa  Baldi', 'title': 'Chief Creative Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.14,1.13,1.13,1.14,1.14,1.13,1.13,1.14,0.04,0.0395,1694044800,4.875,0.147518,114.0,2574822,2574822,2482846,13215538,13215538,1.13,1.15,464687936,0.615,1.15,10.650218,0.76335,0.7405375,0.045,0.039473686,USD,448289632,0.01132,369064401,407620992,0.09458999,0.77931,0.929,1.2271259,1672444800,1703980800,1672444800,493797,0.01,10.274,19.159,LSE,EQUITY,RHM.L,RHM.L,ROUND HILL MUSIC ROYALTY FUND L,Round Hill Music Royalty Fund Limited,1605254400,Europe/London,BST,3600000,1.14,1.5,strong_buy,10881314,0.027,23398858,90273664,1.779,1.995,43631776,23.837,0.107,0.00753,0.00127,34888191,-74355048,14348504,0.7996,0.53628,0.13158,USD,
6,Dorey Court,Ground Floor Admiral Park,Saint Peter Port,GY1 2HT,Guernsey,44 0 1481 702400,https://www.roundhillmusicroyaltyfund.com,Entertainment,Communication Services,"Round Hill Music Royalty Fund Limited invests in music intellectual property. It owns and operates a portfolio of 51 catalogues of music copyright properties. The company was incorporated in 2020 and is based in Saint Peter Port, the Channel Islands.","{'maxAge': 1, 'name': 'Mr. Steve  Nalbert', 'title': 'Head of Creative Licensing', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.14,1.13,1.13,1.14,1.14,1.13,1.13,1.14,0.04,0.0395,1694044800,4.875,0.147518,114.0,2574822,2574822,2482846,13215538,13215538,1.13,1.15,464687936,0.615,1.15,10.650218,0.76335,0.7405375,0.045,0.039473686,USD,448289632,0.01132,369064401,407620992,0.09458999,0.77931,0.929,1.2271259,1672444800,1703980800,1672444800,493797,0.01,10.274,19.159,LSE,EQUITY,RHM.L,RHM.L,ROUND HILL MUSIC ROYALTY FUND L,Round Hill Music Royalty Fund Limited,1605254400,Europe/London,BST,3600000,1.14,1.5,strong_buy,10881314,0.027,23398858,90273664,1.779,1.995,43631776,23.837,0.107,0.00753,0.00127,34888191,-74355048,14348504,0.7996,0.53628,0.13158,USD,
7,Dorey Court,Ground Floor Admiral Park,Saint Peter Port,GY1 2HT,Guernsey,44 0 1481 702400,https://www.roundhillmusicroyaltyfund.com,Entertainment,Communication Services,"Round Hill Music Royalty Fund Limited invests in music intellectual property. It owns and operates a portfolio of 51 catalogues of music copyright properties. The company was incorporated in 2020 and is based in Saint Peter Port, the Channel Islands.","{'maxAge': 1, 'name': 'Mr. John  Baldi', 'title': 'Head of Creative Services - Zync', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.14,1.13,1.13,1.14,1.14,1.13,1.13,1.14,0.04,0.0395,1694044800,4.875,0.147518,114.0,2574822,2574822,2482846,13215538,13215538,1.13,1.15,464687936,0.615,1.15,10.650218,0.76335,0.7405375,0.045,0.039473686,USD,448289632,0.01132,369064401,407620992,0.09458999,0.77931,0.929,1.2271259,1672444800,1703980800,1672444800,493797,0.01,10.274,19.159,LSE,EQUITY,RHM.L,RHM.L,ROUND HILL MUSIC ROYALTY FUND L,Round Hill Music Royalty Fund Limited,1605254400,Europe/London,BST,3600000,1.14,1.5,strong_buy,10881314,0.027,23398858,90273664,1.779,1.995,43631776,23.837,0.107,0.00753,0.00127,34888191,-74355048,14348504,0.7996,0.53628,0.13158,USD,
8,Dorey Court,Ground Floor Admiral Park,Saint Peter Port,GY1 2HT,Guernsey,44 0 1481 702400,https://www.roundhillmusicroyaltyfund.com,Entertainment,Communication Services,"Round Hill Music Royalty Fund Limited invests in music intellectual property. It owns and operates a portfolio of 51 catalogues of music copyright properties. The company was incorporated in 2020 and is based in Saint Peter Port, the Channel Islands.","{'maxAge': 1, 'name': 'Mr. Joe  Calitri', 'title': 'Pres of Round Hill Records', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.14,1.13,1.13,1.14,1.14,1.13,1.13,1.14,0.04,0.0395,1694044800,4.875,0.147518,114.0,2574822,2574822,2482846,13215538,13215538,1.13,1.15,464687936,0.615,1.15,10.650218,0.76335,0.7405375,0.045,0.039473686,USD,448289632,0.01132,369064401,407620992,0.09458999,0.77931,0.929,1.2271259,1672444800,1703980800,1672444800,493797,0.01,10.274,19.159,LSE,EQUITY,RHM.L,RHM.L,ROUND HILL MUSIC ROYALTY FUND L,Round Hill Music Royalty Fund Limited,1605254400,Europe/London,BST,3600000,1.14,1.5,strong_buy,10881314,0.027,23398858,90273664,1.779,1.995,43631776,23.837,0.107,0.00753,0.00127,34888191,-74355048,14348504,0.7996,0.53628,0.13158,USD,
9,Dorey Court,Ground Floor Admiral Park,Saint Peter Port,GY1 2HT,Guernsey,44 0 1481 702400,https://www.roundhillmusicroyaltyfund.com,Entertainment,Communication Services,"Round Hill Music Royalty Fund Limited invests in music intellectual property. It owns and operates a portfolio of 51 catalogues of music copyright properties. The company was incorporated in 2020 and is based in Saint Peter Port, the Channel Islands.","{'maxAge': 1, 'name': 'Mr. Mike  Whelan', 'title': 'Sr. VP & GM - Nashville', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,1.14,1.13,1.13,1.14,1.14,1.13,1.13,1.14,0.04,0.0395,1694044800,4.875,0.147518,114.0,2574822,2574822,2482846,13215538,13215538,1.13,1.15,464687936,0.615,1.15,10.650218,0.76335,0.7405375,0.045,0.039473686,USD,448289632,0.01132,369064401,407620992,0.09458999,0.77931,0.929,1.2271259,1672444800,1703980800,1672444800,493797,0.01,10.274,19.159,LSE,EQUITY,RHM.L,RHM.L,ROUND HILL MUSIC ROYALTY FUND L,Round Hill Music Royalty Fund Limited,1605254400,Europe/London,BST,3600000,1.14,1.5,strong_buy,10881314,0.027,23398858,90273664,1.779,1.995,43631776,23.837,0.107,0.00753,0.00127,34888191,-74355048,14348504,0.7996,0.53628,0.13158,USD,
