,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,7 rue du Cirque,Paris,75008,France,33 1 43 17 20 20,https://www.airfranceklm.com,Airlines,Industrials,"Air France-KLM SA, together with its subsidiaries, provides passenger and cargo transportation services and aeronautical maintenance in Metropolitan France, Benelux, rest of Europe, and internationally. The company operates through three segments: Airframe maintenance, Engine Maintenance, and Component Support. It offers airframe maintenance, electronic, mechanical, pneumatic, hydraulic, and other services. The company was founded in 1919 and is headquartered in Paris, France.",74580,"{'maxAge': 1, 'name': 'Mr. Benjamin M. Smith', 'age': 51, 'title': 'CEO & Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 2376633, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,9,10,6,1693526400,1672444800,86400,4,1.4103,1.39,1.34,1.39,1.4103,1.39,1.34,1.39,1656460800,0.0,1.746621,1.6728395,4.672414,98789,98789,87543,38690,38690,0.0,0.0,0,0,3606481664,1.21,2.0,0.12353503,1.6418,1.68295,0.0,0.0,USD,7064352256,0.04165,113895747,2569750016,256183,211105,1194566400,1197331200,0.0005,0.0,0.00378,2.58,-14.864,1672444800,1703980800,1688083200,0.864,1060000000,0.81,0.29,-0.77,0.242,2.432,PNK,EQUITY,AFLYY,AFLYY,AIR FRANCE-KLM SPON ADR EACH RE,Air France-KLM SA,1083763800,America/New_York,EDT,-14400000,1.355,17.0,17.0,17.0,17.0,4.0,underperform,1,6790000128,26.427,2904999936,12952000512,0.541,0.676,29194000384,113.305,0.026349999,5182000000,2828800000,4116000000,-0.267,0.137,0.20436001,0.09951,0.04843,EUR,
1,7 rue du Cirque,Paris,75008,France,33 1 43 17 20 20,https://www.airfranceklm.com,Airlines,Industrials,"Air France-KLM SA, together with its subsidiaries, provides passenger and cargo transportation services and aeronautical maintenance in Metropolitan France, Benelux, rest of Europe, and internationally. The company operates through three segments: Airframe maintenance, Engine Maintenance, and Component Support. It offers airframe maintenance, electronic, mechanical, pneumatic, hydraulic, and other services. The company was founded in 1919 and is headquartered in Paris, France.",74580,"{'maxAge': 1, 'name': 'Mr. Steven  Zaat', 'age': 52, 'title': 'Chief Financial Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,9,10,6,1693526400,1672444800,86400,4,1.4103,1.39,1.34,1.39,1.4103,1.39,1.34,1.39,1656460800,0.0,1.746621,1.6728395,4.672414,98789,98789,87543,38690,38690,0.0,0.0,0,0,3606481664,1.21,2.0,0.12353503,1.6418,1.68295,0.0,0.0,USD,7064352256,0.04165,113895747,2569750016,256183,211105,1194566400,1197331200,0.0005,0.0,0.00378,2.58,-14.864,1672444800,1703980800,1688083200,0.864,1060000000,0.81,0.29,-0.77,0.242,2.432,PNK,EQUITY,AFLYY,AFLYY,AIR FRANCE-KLM SPON ADR EACH RE,Air France-KLM SA,1083763800,America/New_York,EDT,-14400000,1.355,17.0,17.0,17.0,17.0,4.0,underperform,1,6790000128,26.427,2904999936,12952000512,0.541,0.676,29194000384,113.305,0.026349999,5182000000,2828800000,4116000000,-0.267,0.137,0.20436001,0.09951,0.04843,EUR,
2,7 rue du Cirque,Paris,75008,France,33 1 43 17 20 20,https://www.airfranceklm.com,Airlines,Industrials,"Air France-KLM SA, together with its subsidiaries, provides passenger and cargo transportation services and aeronautical maintenance in Metropolitan France, Benelux, rest of Europe, and internationally. The company operates through three segments: Airframe maintenance, Engine Maintenance, and Component Support. It offers airframe maintenance, electronic, mechanical, pneumatic, hydraulic, and other services. The company was founded in 1919 and is headquartered in Paris, France.",74580,"{'maxAge': 1, 'name': 'Mr. Eric  Schramm', 'age': 63, 'title': 'Exec. VP of Operations and Accountable Mang.', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,9,10,6,1693526400,1672444800,86400,4,1.4103,1.39,1.34,1.39,1.4103,1.39,1.34,1.39,1656460800,0.0,1.746621,1.6728395,4.672414,98789,98789,87543,38690,38690,0.0,0.0,0,0,3606481664,1.21,2.0,0.12353503,1.6418,1.68295,0.0,0.0,USD,7064352256,0.04165,113895747,2569750016,256183,211105,1194566400,1197331200,0.0005,0.0,0.00378,2.58,-14.864,1672444800,1703980800,1688083200,0.864,1060000000,0.81,0.29,-0.77,0.242,2.432,PNK,EQUITY,AFLYY,AFLYY,AIR FRANCE-KLM SPON ADR EACH RE,Air France-KLM SA,1083763800,America/New_York,EDT,-14400000,1.355,17.0,17.0,17.0,17.0,4.0,underperform,1,6790000128,26.427,2904999936,12952000512,0.541,0.676,29194000384,113.305,0.026349999,5182000000,2828800000,4116000000,-0.267,0.137,0.20436001,0.09951,0.04843,EUR,
3,7 rue du Cirque,Paris,75008,France,33 1 43 17 20 20,https://www.airfranceklm.com,Airlines,Industrials,"Air France-KLM SA, together with its subsidiaries, provides passenger and cargo transportation services and aeronautical maintenance in Metropolitan France, Benelux, rest of Europe, and internationally. The company operates through three segments: Airframe maintenance, Engine Maintenance, and Component Support. It offers airframe maintenance, electronic, mechanical, pneumatic, hydraulic, and other services. The company was founded in 1919 and is headquartered in Paris, France.",74580,"{'maxAge': 1, 'name': 'Mr. Olivier  Gall', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,9,10,6,1693526400,1672444800,86400,4,1.4103,1.39,1.34,1.39,1.4103,1.39,1.34,1.39,1656460800,0.0,1.746621,1.6728395,4.672414,98789,98789,87543,38690,38690,0.0,0.0,0,0,3606481664,1.21,2.0,0.12353503,1.6418,1.68295,0.0,0.0,USD,7064352256,0.04165,113895747,2569750016,256183,211105,1194566400,1197331200,0.0005,0.0,0.00378,2.58,-14.864,1672444800,1703980800,1688083200,0.864,1060000000,0.81,0.29,-0.77,0.242,2.432,PNK,EQUITY,AFLYY,AFLYY,AIR FRANCE-KLM SPON ADR EACH RE,Air France-KLM SA,1083763800,America/New_York,EDT,-14400000,1.355,17.0,17.0,17.0,17.0,4.0,underperform,1,6790000128,26.427,2904999936,12952000512,0.541,0.676,29194000384,113.305,0.026349999,5182000000,2828800000,4116000000,-0.267,0.137,0.20436001,0.09951,0.04843,EUR,
4,7 rue du Cirque,Paris,75008,France,33 1 43 17 20 20,https://www.airfranceklm.com,Airlines,Industrials,"Air France-KLM SA, together with its subsidiaries, provides passenger and cargo transportation services and aeronautical maintenance in Metropolitan France, Benelux, rest of Europe, and internationally. The company operates through three segments: Airframe maintenance, Engine Maintenance, and Component Support. It offers airframe maintenance, electronic, mechanical, pneumatic, hydraulic, and other services. The company was founded in 1919 and is headquartered in Paris, France.",74580,"{'maxAge': 1, 'name': 'Ms. Constance  Thio', 'age': 51, 'title': 'Exec. VP of HR & Sustainability', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,9,10,6,1693526400,1672444800,86400,4,1.4103,1.39,1.34,1.39,1.4103,1.39,1.34,1.39,1656460800,0.0,1.746621,1.6728395,4.672414,98789,98789,87543,38690,38690,0.0,0.0,0,0,3606481664,1.21,2.0,0.12353503,1.6418,1.68295,0.0,0.0,USD,7064352256,0.04165,113895747,2569750016,256183,211105,1194566400,1197331200,0.0005,0.0,0.00378,2.58,-14.864,1672444800,1703980800,1688083200,0.864,1060000000,0.81,0.29,-0.77,0.242,2.432,PNK,EQUITY,AFLYY,AFLYY,AIR FRANCE-KLM SPON ADR EACH RE,Air France-KLM SA,1083763800,America/New_York,EDT,-14400000,1.355,17.0,17.0,17.0,17.0,4.0,underperform,1,6790000128,26.427,2904999936,12952000512,0.541,0.676,29194000384,113.305,0.026349999,5182000000,2828800000,4116000000,-0.267,0.137,0.20436001,0.09951,0.04843,EUR,
5,7 rue du Cirque,Paris,75008,France,33 1 43 17 20 20,https://www.airfranceklm.com,Airlines,Industrials,"Air France-KLM SA, together with its subsidiaries, provides passenger and cargo transportation services and aeronautical maintenance in Metropolitan France, Benelux, rest of Europe, and internationally. The company operates through three segments: Airframe maintenance, Engine Maintenance, and Component Support. It offers airframe maintenance, electronic, mechanical, pneumatic, hydraulic, and other services. The company was founded in 1919 and is headquartered in Paris, France.",74580,"{'maxAge': 1, 'name': 'Mr. Jean-Christophe  Lalanne', 'age': 60, 'title': 'Exec. VP of Information Technology', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,9,10,6,1693526400,1672444800,86400,4,1.4103,1.39,1.34,1.39,1.4103,1.39,1.34,1.39,1656460800,0.0,1.746621,1.6728395,4.672414,98789,98789,87543,38690,38690,0.0,0.0,0,0,3606481664,1.21,2.0,0.12353503,1.6418,1.68295,0.0,0.0,USD,7064352256,0.04165,113895747,2569750016,256183,211105,1194566400,1197331200,0.0005,0.0,0.00378,2.58,-14.864,1672444800,1703980800,1688083200,0.864,1060000000,0.81,0.29,-0.77,0.242,2.432,PNK,EQUITY,AFLYY,AFLYY,AIR FRANCE-KLM SPON ADR EACH RE,Air France-KLM SA,1083763800,America/New_York,EDT,-14400000,1.355,17.0,17.0,17.0,17.0,4.0,underperform,1,6790000128,26.427,2904999936,12952000512,0.541,0.676,29194000384,113.305,0.026349999,5182000000,2828800000,4116000000,-0.267,0.137,0.20436001,0.09951,0.04843,EUR,
6,7 rue du Cirque,Paris,75008,France,33 1 43 17 20 20,https://www.airfranceklm.com,Airlines,Industrials,"Air France-KLM SA, together with its subsidiaries, provides passenger and cargo transportation services and aeronautical maintenance in Metropolitan France, Benelux, rest of Europe, and internationally. The company operates through three segments: Airframe maintenance, Engine Maintenance, and Component Support. It offers airframe maintenance, electronic, mechanical, pneumatic, hydraulic, and other services. The company was founded in 1919 and is headquartered in Paris, France.",74580,"{'maxAge': 1, 'name': 'Mr. Henri  de Peyrelongue', 'age': 56, 'title': 'Exec. VP of Commercial Sales', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,9,10,6,1693526400,1672444800,86400,4,1.4103,1.39,1.34,1.39,1.4103,1.39,1.34,1.39,1656460800,0.0,1.746621,1.6728395,4.672414,98789,98789,87543,38690,38690,0.0,0.0,0,0,3606481664,1.21,2.0,0.12353503,1.6418,1.68295,0.0,0.0,USD,7064352256,0.04165,113895747,2569750016,256183,211105,1194566400,1197331200,0.0005,0.0,0.00378,2.58,-14.864,1672444800,1703980800,1688083200,0.864,1060000000,0.81,0.29,-0.77,0.242,2.432,PNK,EQUITY,AFLYY,AFLYY,AIR FRANCE-KLM SPON ADR EACH RE,Air France-KLM SA,1083763800,America/New_York,EDT,-14400000,1.355,17.0,17.0,17.0,17.0,4.0,underperform,1,6790000128,26.427,2904999936,12952000512,0.541,0.676,29194000384,113.305,0.026349999,5182000000,2828800000,4116000000,-0.267,0.137,0.20436001,0.09951,0.04843,EUR,
7,7 rue du Cirque,Paris,75008,France,33 1 43 17 20 20,https://www.airfranceklm.com,Airlines,Industrials,"Air France-KLM SA, together with its subsidiaries, provides passenger and cargo transportation services and aeronautical maintenance in Metropolitan France, Benelux, rest of Europe, and internationally. The company operates through three segments: Airframe maintenance, Engine Maintenance, and Component Support. It offers airframe maintenance, electronic, mechanical, pneumatic, hydraulic, and other services. The company was founded in 1919 and is headquartered in Paris, France.",74580,"{'maxAge': 1, 'name': 'Mr. Henri  Hourcade', 'title': 'Sr. VP of Caribbean & Indian Ocean, Central and South America', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,9,10,6,1693526400,1672444800,86400,4,1.4103,1.39,1.34,1.39,1.4103,1.39,1.34,1.39,1656460800,0.0,1.746621,1.6728395,4.672414,98789,98789,87543,38690,38690,0.0,0.0,0,0,3606481664,1.21,2.0,0.12353503,1.6418,1.68295,0.0,0.0,USD,7064352256,0.04165,113895747,2569750016,256183,211105,1194566400,1197331200,0.0005,0.0,0.00378,2.58,-14.864,1672444800,1703980800,1688083200,0.864,1060000000,0.81,0.29,-0.77,0.242,2.432,PNK,EQUITY,AFLYY,AFLYY,AIR FRANCE-KLM SPON ADR EACH RE,Air France-KLM SA,1083763800,America/New_York,EDT,-14400000,1.355,17.0,17.0,17.0,17.0,4.0,underperform,1,6790000128,26.427,2904999936,12952000512,0.541,0.676,29194000384,113.305,0.026349999,5182000000,2828800000,4116000000,-0.267,0.137,0.20436001,0.09951,0.04843,EUR,
8,7 rue du Cirque,Paris,75008,France,33 1 43 17 20 20,https://www.airfranceklm.com,Airlines,Industrials,"Air France-KLM SA, together with its subsidiaries, provides passenger and cargo transportation services and aeronautical maintenance in Metropolitan France, Benelux, rest of Europe, and internationally. The company operates through three segments: Airframe maintenance, Engine Maintenance, and Component Support. It offers airframe maintenance, electronic, mechanical, pneumatic, hydraulic, and other services. The company was founded in 1919 and is headquartered in Paris, France.",74580,"{'maxAge': 1, 'name': 'Mr. Barry Ter Voert', 'title': 'Sr. VP of Europe', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,9,10,6,1693526400,1672444800,86400,4,1.4103,1.39,1.34,1.39,1.4103,1.39,1.34,1.39,1656460800,0.0,1.746621,1.6728395,4.672414,98789,98789,87543,38690,38690,0.0,0.0,0,0,3606481664,1.21,2.0,0.12353503,1.6418,1.68295,0.0,0.0,USD,7064352256,0.04165,113895747,2569750016,256183,211105,1194566400,1197331200,0.0005,0.0,0.00378,2.58,-14.864,1672444800,1703980800,1688083200,0.864,1060000000,0.81,0.29,-0.77,0.242,2.432,PNK,EQUITY,AFLYY,AFLYY,AIR FRANCE-KLM SPON ADR EACH RE,Air France-KLM SA,1083763800,America/New_York,EDT,-14400000,1.355,17.0,17.0,17.0,17.0,4.0,underperform,1,6790000128,26.427,2904999936,12952000512,0.541,0.676,29194000384,113.305,0.026349999,5182000000,2828800000,4116000000,-0.267,0.137,0.20436001,0.09951,0.04843,EUR,
9,7 rue du Cirque,Paris,75008,France,33 1 43 17 20 20,https://www.airfranceklm.com,Airlines,Industrials,"Air France-KLM SA, together with its subsidiaries, provides passenger and cargo transportation services and aeronautical maintenance in Metropolitan France, Benelux, rest of Europe, and internationally. The company operates through three segments: Airframe maintenance, Engine Maintenance, and Component Support. It offers airframe maintenance, electronic, mechanical, pneumatic, hydraulic, and other services. The company was founded in 1919 and is headquartered in Paris, France.",74580,"{'maxAge': 1, 'name': 'Ms. Anne  Brachet', 'age': 58, 'title': 'Exec. VP of Engineering & Maintenance', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,9,10,6,1693526400,1672444800,86400,4,1.4103,1.39,1.34,1.39,1.4103,1.39,1.34,1.39,1656460800,0.0,1.746621,1.6728395,4.672414,98789,98789,87543,38690,38690,0.0,0.0,0,0,3606481664,1.21,2.0,0.12353503,1.6418,1.68295,0.0,0.0,USD,7064352256,0.04165,113895747,2569750016,256183,211105,1194566400,1197331200,0.0005,0.0,0.00378,2.58,-14.864,1672444800,1703980800,1688083200,0.864,1060000000,0.81,0.29,-0.77,0.242,2.432,PNK,EQUITY,AFLYY,AFLYY,AIR FRANCE-KLM SPON ADR EACH RE,Air France-KLM SA,1083763800,America/New_York,EDT,-14400000,1.355,17.0,17.0,17.0,17.0,4.0,underperform,1,6790000128,26.427,2904999936,12952000512,0.541,0.676,29194000384,113.305,0.026349999,5182000000,2828800000,4116000000,-0.267,0.137,0.20436001,0.09951,0.04843,EUR,
