,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,399 Park Avenue,22nd Floor,New York,NY,10022,United States,212 359 7300,212 359 7301,https://www.tetragoninv.com,Asset Management,Financial Services,"Tetragon Financial Group Limited is a close ended feeder fund launched and managed by Tetragon Financial Management LP. The fund invests its entire corpus in Tetragon Financial Group Master Fund Limited. It was formerly known as Tetragon Credit Income Fund Limited. Tetragon Financial Group Limited was formed on June 23, 2005 and is domiciled in the Guernsey, Channel Islands.","{'maxAge': 1, 'name': 'Mr. Olivier  Blechner', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.1,10.15,9.76,10.15,10.1,10.15,9.76,10.15,0.44,0.0444,1690934400,0.2491,5.26,0.490615,5.59322,6379,6379,4162,6125,6125,0.0,0.0,0,0,832589952,8.3,10.6,3.1826832,9.8878,9.9743,0.44,0.043564353,USD,1101090048,0.60627,84100000,0.20167999,0.03305,32.925,0.30068338,1672444800,1703980800,1688083200,158600000,1.77,53:52,1456704000,4.209,AMS,EQUITY,TFG.AS,TFG.AS,TETRAGON FINANCIAL GROUP,Tetragon Financial Group Limited,1176966000,Europe/Amsterdam,CEST,7200000,9.9,1.5,strong_buy,31500000,0.375,300000000,3.17,3.451,261600000,10.834,2.905,0.0364,0.05827,61700000,130212496,-53000000,1.0,0.0,0.67164004,USD,
1,399 Park Avenue,22nd Floor,New York,NY,10022,United States,212 359 7300,212 359 7301,https://www.tetragoninv.com,Asset Management,Financial Services,"Tetragon Financial Group Limited is a close ended feeder fund launched and managed by Tetragon Financial Management LP. The fund invests its entire corpus in Tetragon Financial Group Master Fund Limited. It was formerly known as Tetragon Credit Income Fund Limited. Tetragon Financial Group Limited was formed on June 23, 2005 and is domiciled in the Guernsey, Channel Islands.","{'maxAge': 1, 'name': 'Mr. Michael  Pang', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.1,10.15,9.76,10.15,10.1,10.15,9.76,10.15,0.44,0.0444,1690934400,0.2491,5.26,0.490615,5.59322,6379,6379,4162,6125,6125,0.0,0.0,0,0,832589952,8.3,10.6,3.1826832,9.8878,9.9743,0.44,0.043564353,USD,1101090048,0.60627,84100000,0.20167999,0.03305,32.925,0.30068338,1672444800,1703980800,1688083200,158600000,1.77,53:52,1456704000,4.209,AMS,EQUITY,TFG.AS,TFG.AS,TETRAGON FINANCIAL GROUP,Tetragon Financial Group Limited,1176966000,Europe/Amsterdam,CEST,7200000,9.9,1.5,strong_buy,31500000,0.375,300000000,3.17,3.451,261600000,10.834,2.905,0.0364,0.05827,61700000,130212496,-53000000,1.0,0.0,0.67164004,USD,
