,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,25 First Street,2nd Floor,Cambridge,MA,02141,United States,888 482 7768,617 812 5820,https://www.hubspot.com,Software—Application,Technology,"HubSpot, Inc. provides a cloud-based customer relationship management (CRM) platform for businesses in the Americas, Europe, and the Asia Pacific. The company's CRM platform includes marketing, sales, service, and content management systems, as well as integrated applications, such as search engine optimization, blogging, website content management, messaging, chatbots, social media, marketing automation, email, predictive lead scoring, sales productivity, knowledge base, commerce, conversation routing, video hosting, ticketing and helpdesk tools, customer NPS surveys, analytics, and reporting. It also offers professional services to educate and train customers on how to leverage its CRM platform, as well as phone and/or email and chat-based support services. The company serves mid-market business-to-business companies. HubSpot, Inc. was incorporated in 2005 and is headquartered in Cambridge, Massachusetts.",7136,"{'maxAge': 1, 'name': 'Mr. Brian  Halligan J.D.', 'age': 54, 'title': 'Co-Founder & Exec. Chairperson', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1243, 'exercisedValue': 34546912, 'unexercisedValue': 26194384}",5,7,4,4,5,1693526400,1672444800,86400,2,513.52,507.52,502.0,512.57,513.52,507.52,502.0,512.57,0.0,1.578146,79.46273,681936,681936,483827,450320,450320,492.62,521.89,1000,800,25594828800,245.03,581.4,13.163539,528.729,431.883,0.0,0.0,USD,24865681408,-0.105059996,47928186,50015300,1141452,940438,1690761600,1693440000,0.0228,0.04223,0.92434,1.99,0.0238,21.718,23.562943,1672444800,1703980800,1688083200,-204275008,-4.09,6.44,2.24,12.789,-275.294,NYQ,EQUITY,HUBS,HUBS,"HubSpot, Inc.","HubSpot, Inc.",1412861400,America/New_York,EDT,-14400000,511.74,695.0,280.0,593.0,600.0,1.8,buy,27,1529144960,30.574,-90324000,799984000,2.048,2.251,1944372992,73.904,39.688,-0.02911,-0.20909001,1416710000,351506368,307640992,0.255,0.82939005,-0.04645,-0.05992,USD,2.5287
1,25 First Street,2nd Floor,Cambridge,MA,02141,United States,888 482 7768,617 812 5820,https://www.hubspot.com,Software—Application,Technology,"HubSpot, Inc. provides a cloud-based customer relationship management (CRM) platform for businesses in the Americas, Europe, and the Asia Pacific. The company's CRM platform includes marketing, sales, service, and content management systems, as well as integrated applications, such as search engine optimization, blogging, website content management, messaging, chatbots, social media, marketing automation, email, predictive lead scoring, sales productivity, knowledge base, commerce, conversation routing, video hosting, ticketing and helpdesk tools, customer NPS surveys, analytics, and reporting. It also offers professional services to educate and train customers on how to leverage its CRM platform, as well as phone and/or email and chat-based support services. The company serves mid-market business-to-business companies. HubSpot, Inc. was incorporated in 2005 and is headquartered in Cambridge, Massachusetts.",7136,"{'maxAge': 1, 'name': 'Ms. Yamini  Rangan', 'age': 48, 'title': 'CEO, Pres & Director', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 27287, 'exercisedValue': 0, 'unexercisedValue': 780394}",5,7,4,4,5,1693526400,1672444800,86400,2,513.52,507.52,502.0,512.57,513.52,507.52,502.0,512.57,0.0,1.578146,79.46273,681936,681936,483827,450320,450320,492.62,521.89,1000,800,25594828800,245.03,581.4,13.163539,528.729,431.883,0.0,0.0,USD,24865681408,-0.105059996,47928186,50015300,1141452,940438,1690761600,1693440000,0.0228,0.04223,0.92434,1.99,0.0238,21.718,23.562943,1672444800,1703980800,1688083200,-204275008,-4.09,6.44,2.24,12.789,-275.294,NYQ,EQUITY,HUBS,HUBS,"HubSpot, Inc.","HubSpot, Inc.",1412861400,America/New_York,EDT,-14400000,511.74,695.0,280.0,593.0,600.0,1.8,buy,27,1529144960,30.574,-90324000,799984000,2.048,2.251,1944372992,73.904,39.688,-0.02911,-0.20909001,1416710000,351506368,307640992,0.255,0.82939005,-0.04645,-0.05992,USD,2.5287
2,25 First Street,2nd Floor,Cambridge,MA,02141,United States,888 482 7768,617 812 5820,https://www.hubspot.com,Software—Application,Technology,"HubSpot, Inc. provides a cloud-based customer relationship management (CRM) platform for businesses in the Americas, Europe, and the Asia Pacific. The company's CRM platform includes marketing, sales, service, and content management systems, as well as integrated applications, such as search engine optimization, blogging, website content management, messaging, chatbots, social media, marketing automation, email, predictive lead scoring, sales productivity, knowledge base, commerce, conversation routing, video hosting, ticketing and helpdesk tools, customer NPS surveys, analytics, and reporting. It also offers professional services to educate and train customers on how to leverage its CRM platform, as well as phone and/or email and chat-based support services. The company serves mid-market business-to-business companies. HubSpot, Inc. was incorporated in 2005 and is headquartered in Cambridge, Massachusetts.",7136,"{'maxAge': 1, 'name': 'Mr. Dharmesh  Shah', 'age': 54, 'title': 'Co-Founder, CTO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1243, 'exercisedValue': 0, 'unexercisedValue': 17709416}",5,7,4,4,5,1693526400,1672444800,86400,2,513.52,507.52,502.0,512.57,513.52,507.52,502.0,512.57,0.0,1.578146,79.46273,681936,681936,483827,450320,450320,492.62,521.89,1000,800,25594828800,245.03,581.4,13.163539,528.729,431.883,0.0,0.0,USD,24865681408,-0.105059996,47928186,50015300,1141452,940438,1690761600,1693440000,0.0228,0.04223,0.92434,1.99,0.0238,21.718,23.562943,1672444800,1703980800,1688083200,-204275008,-4.09,6.44,2.24,12.789,-275.294,NYQ,EQUITY,HUBS,HUBS,"HubSpot, Inc.","HubSpot, Inc.",1412861400,America/New_York,EDT,-14400000,511.74,695.0,280.0,593.0,600.0,1.8,buy,27,1529144960,30.574,-90324000,799984000,2.048,2.251,1944372992,73.904,39.688,-0.02911,-0.20909001,1416710000,351506368,307640992,0.255,0.82939005,-0.04645,-0.05992,USD,2.5287
3,25 First Street,2nd Floor,Cambridge,MA,02141,United States,888 482 7768,617 812 5820,https://www.hubspot.com,Software—Application,Technology,"HubSpot, Inc. provides a cloud-based customer relationship management (CRM) platform for businesses in the Americas, Europe, and the Asia Pacific. The company's CRM platform includes marketing, sales, service, and content management systems, as well as integrated applications, such as search engine optimization, blogging, website content management, messaging, chatbots, social media, marketing automation, email, predictive lead scoring, sales productivity, knowledge base, commerce, conversation routing, video hosting, ticketing and helpdesk tools, customer NPS surveys, analytics, and reporting. It also offers professional services to educate and train customers on how to leverage its CRM platform, as well as phone and/or email and chat-based support services. The company serves mid-market business-to-business companies. HubSpot, Inc. was incorporated in 2005 and is headquartered in Cambridge, Massachusetts.",7136,"{'maxAge': 1, 'name': 'Ms. Kathryn A. Bueker', 'age': 51, 'title': 'CFO & Treasurer', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 576281, 'exercisedValue': 0, 'unexercisedValue': 2877040}",5,7,4,4,5,1693526400,1672444800,86400,2,513.52,507.52,502.0,512.57,513.52,507.52,502.0,512.57,0.0,1.578146,79.46273,681936,681936,483827,450320,450320,492.62,521.89,1000,800,25594828800,245.03,581.4,13.163539,528.729,431.883,0.0,0.0,USD,24865681408,-0.105059996,47928186,50015300,1141452,940438,1690761600,1693440000,0.0228,0.04223,0.92434,1.99,0.0238,21.718,23.562943,1672444800,1703980800,1688083200,-204275008,-4.09,6.44,2.24,12.789,-275.294,NYQ,EQUITY,HUBS,HUBS,"HubSpot, Inc.","HubSpot, Inc.",1412861400,America/New_York,EDT,-14400000,511.74,695.0,280.0,593.0,600.0,1.8,buy,27,1529144960,30.574,-90324000,799984000,2.048,2.251,1944372992,73.904,39.688,-0.02911,-0.20909001,1416710000,351506368,307640992,0.255,0.82939005,-0.04645,-0.05992,USD,2.5287
4,25 First Street,2nd Floor,Cambridge,MA,02141,United States,888 482 7768,617 812 5820,https://www.hubspot.com,Software—Application,Technology,"HubSpot, Inc. provides a cloud-based customer relationship management (CRM) platform for businesses in the Americas, Europe, and the Asia Pacific. The company's CRM platform includes marketing, sales, service, and content management systems, as well as integrated applications, such as search engine optimization, blogging, website content management, messaging, chatbots, social media, marketing automation, email, predictive lead scoring, sales productivity, knowledge base, commerce, conversation routing, video hosting, ticketing and helpdesk tools, customer NPS surveys, analytics, and reporting. It also offers professional services to educate and train customers on how to leverage its CRM platform, as well as phone and/or email and chat-based support services. The company serves mid-market business-to-business companies. HubSpot, Inc. was incorporated in 2005 and is headquartered in Cambridge, Massachusetts.",7136,"{'maxAge': 1, 'name': 'Ms. Alyssa Harvey Dawson', 'age': 52, 'title': 'Chief Legal Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 169481, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,4,4,5,1693526400,1672444800,86400,2,513.52,507.52,502.0,512.57,513.52,507.52,502.0,512.57,0.0,1.578146,79.46273,681936,681936,483827,450320,450320,492.62,521.89,1000,800,25594828800,245.03,581.4,13.163539,528.729,431.883,0.0,0.0,USD,24865681408,-0.105059996,47928186,50015300,1141452,940438,1690761600,1693440000,0.0228,0.04223,0.92434,1.99,0.0238,21.718,23.562943,1672444800,1703980800,1688083200,-204275008,-4.09,6.44,2.24,12.789,-275.294,NYQ,EQUITY,HUBS,HUBS,"HubSpot, Inc.","HubSpot, Inc.",1412861400,America/New_York,EDT,-14400000,511.74,695.0,280.0,593.0,600.0,1.8,buy,27,1529144960,30.574,-90324000,799984000,2.048,2.251,1944372992,73.904,39.688,-0.02911,-0.20909001,1416710000,351506368,307640992,0.255,0.82939005,-0.04645,-0.05992,USD,2.5287
5,25 First Street,2nd Floor,Cambridge,MA,02141,United States,888 482 7768,617 812 5820,https://www.hubspot.com,Software—Application,Technology,"HubSpot, Inc. provides a cloud-based customer relationship management (CRM) platform for businesses in the Americas, Europe, and the Asia Pacific. The company's CRM platform includes marketing, sales, service, and content management systems, as well as integrated applications, such as search engine optimization, blogging, website content management, messaging, chatbots, social media, marketing automation, email, predictive lead scoring, sales productivity, knowledge base, commerce, conversation routing, video hosting, ticketing and helpdesk tools, customer NPS surveys, analytics, and reporting. It also offers professional services to educate and train customers on how to leverage its CRM platform, as well as phone and/or email and chat-based support services. The company serves mid-market business-to-business companies. HubSpot, Inc. was incorporated in 2005 and is headquartered in Cambridge, Massachusetts.",7136,"{'maxAge': 1, 'name': 'Mr. Charles  MacGlashing', 'title': 'Corp. Treasure & Sr. Director of IR', 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,4,4,5,1693526400,1672444800,86400,2,513.52,507.52,502.0,512.57,513.52,507.52,502.0,512.57,0.0,1.578146,79.46273,681936,681936,483827,450320,450320,492.62,521.89,1000,800,25594828800,245.03,581.4,13.163539,528.729,431.883,0.0,0.0,USD,24865681408,-0.105059996,47928186,50015300,1141452,940438,1690761600,1693440000,0.0228,0.04223,0.92434,1.99,0.0238,21.718,23.562943,1672444800,1703980800,1688083200,-204275008,-4.09,6.44,2.24,12.789,-275.294,NYQ,EQUITY,HUBS,HUBS,"HubSpot, Inc.","HubSpot, Inc.",1412861400,America/New_York,EDT,-14400000,511.74,695.0,280.0,593.0,600.0,1.8,buy,27,1529144960,30.574,-90324000,799984000,2.048,2.251,1944372992,73.904,39.688,-0.02911,-0.20909001,1416710000,351506368,307640992,0.255,0.82939005,-0.04645,-0.05992,USD,2.5287
6,25 First Street,2nd Floor,Cambridge,MA,02141,United States,888 482 7768,617 812 5820,https://www.hubspot.com,Software—Application,Technology,"HubSpot, Inc. provides a cloud-based customer relationship management (CRM) platform for businesses in the Americas, Europe, and the Asia Pacific. The company's CRM platform includes marketing, sales, service, and content management systems, as well as integrated applications, such as search engine optimization, blogging, website content management, messaging, chatbots, social media, marketing automation, email, predictive lead scoring, sales productivity, knowledge base, commerce, conversation routing, video hosting, ticketing and helpdesk tools, customer NPS surveys, analytics, and reporting. It also offers professional services to educate and train customers on how to leverage its CRM platform, as well as phone and/or email and chat-based support services. The company serves mid-market business-to-business companies. HubSpot, Inc. was incorporated in 2005 and is headquartered in Cambridge, Massachusetts.",7136,"{'maxAge': 1, 'name': 'Ms. Kathleen Ann Burke', 'age': 40, 'title': 'Chief People Officer', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,4,4,5,1693526400,1672444800,86400,2,513.52,507.52,502.0,512.57,513.52,507.52,502.0,512.57,0.0,1.578146,79.46273,681936,681936,483827,450320,450320,492.62,521.89,1000,800,25594828800,245.03,581.4,13.163539,528.729,431.883,0.0,0.0,USD,24865681408,-0.105059996,47928186,50015300,1141452,940438,1690761600,1693440000,0.0228,0.04223,0.92434,1.99,0.0238,21.718,23.562943,1672444800,1703980800,1688083200,-204275008,-4.09,6.44,2.24,12.789,-275.294,NYQ,EQUITY,HUBS,HUBS,"HubSpot, Inc.","HubSpot, Inc.",1412861400,America/New_York,EDT,-14400000,511.74,695.0,280.0,593.0,600.0,1.8,buy,27,1529144960,30.574,-90324000,799984000,2.048,2.251,1944372992,73.904,39.688,-0.02911,-0.20909001,1416710000,351506368,307640992,0.255,0.82939005,-0.04645,-0.05992,USD,2.5287
7,25 First Street,2nd Floor,Cambridge,MA,02141,United States,888 482 7768,617 812 5820,https://www.hubspot.com,Software—Application,Technology,"HubSpot, Inc. provides a cloud-based customer relationship management (CRM) platform for businesses in the Americas, Europe, and the Asia Pacific. The company's CRM platform includes marketing, sales, service, and content management systems, as well as integrated applications, such as search engine optimization, blogging, website content management, messaging, chatbots, social media, marketing automation, email, predictive lead scoring, sales productivity, knowledge base, commerce, conversation routing, video hosting, ticketing and helpdesk tools, customer NPS surveys, analytics, and reporting. It also offers professional services to educate and train customers on how to leverage its CRM platform, as well as phone and/or email and chat-based support services. The company serves mid-market business-to-business companies. HubSpot, Inc. was incorporated in 2005 and is headquartered in Cambridge, Massachusetts.",7136,"{'maxAge': 1, 'name': 'Mr. Christian  Kinnear', 'title': 'VP & MD of EMEA', 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,4,4,5,1693526400,1672444800,86400,2,513.52,507.52,502.0,512.57,513.52,507.52,502.0,512.57,0.0,1.578146,79.46273,681936,681936,483827,450320,450320,492.62,521.89,1000,800,25594828800,245.03,581.4,13.163539,528.729,431.883,0.0,0.0,USD,24865681408,-0.105059996,47928186,50015300,1141452,940438,1690761600,1693440000,0.0228,0.04223,0.92434,1.99,0.0238,21.718,23.562943,1672444800,1703980800,1688083200,-204275008,-4.09,6.44,2.24,12.789,-275.294,NYQ,EQUITY,HUBS,HUBS,"HubSpot, Inc.","HubSpot, Inc.",1412861400,America/New_York,EDT,-14400000,511.74,695.0,280.0,593.0,600.0,1.8,buy,27,1529144960,30.574,-90324000,799984000,2.048,2.251,1944372992,73.904,39.688,-0.02911,-0.20909001,1416710000,351506368,307640992,0.255,0.82939005,-0.04645,-0.05992,USD,2.5287
8,25 First Street,2nd Floor,Cambridge,MA,02141,United States,888 482 7768,617 812 5820,https://www.hubspot.com,Software—Application,Technology,"HubSpot, Inc. provides a cloud-based customer relationship management (CRM) platform for businesses in the Americas, Europe, and the Asia Pacific. The company's CRM platform includes marketing, sales, service, and content management systems, as well as integrated applications, such as search engine optimization, blogging, website content management, messaging, chatbots, social media, marketing automation, email, predictive lead scoring, sales productivity, knowledge base, commerce, conversation routing, video hosting, ticketing and helpdesk tools, customer NPS surveys, analytics, and reporting. It also offers professional services to educate and train customers on how to leverage its CRM platform, as well as phone and/or email and chat-based support services. The company serves mid-market business-to-business companies. HubSpot, Inc. was incorporated in 2005 and is headquartered in Cambridge, Massachusetts.",7136,"{'maxAge': 1, 'name': 'Mr. Whitney  Sorenson', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,4,4,5,1693526400,1672444800,86400,2,513.52,507.52,502.0,512.57,513.52,507.52,502.0,512.57,0.0,1.578146,79.46273,681936,681936,483827,450320,450320,492.62,521.89,1000,800,25594828800,245.03,581.4,13.163539,528.729,431.883,0.0,0.0,USD,24865681408,-0.105059996,47928186,50015300,1141452,940438,1690761600,1693440000,0.0228,0.04223,0.92434,1.99,0.0238,21.718,23.562943,1672444800,1703980800,1688083200,-204275008,-4.09,6.44,2.24,12.789,-275.294,NYQ,EQUITY,HUBS,HUBS,"HubSpot, Inc.","HubSpot, Inc.",1412861400,America/New_York,EDT,-14400000,511.74,695.0,280.0,593.0,600.0,1.8,buy,27,1529144960,30.574,-90324000,799984000,2.048,2.251,1944372992,73.904,39.688,-0.02911,-0.20909001,1416710000,351506368,307640992,0.255,0.82939005,-0.04645,-0.05992,USD,2.5287
9,25 First Street,2nd Floor,Cambridge,MA,02141,United States,888 482 7768,617 812 5820,https://www.hubspot.com,Software—Application,Technology,"HubSpot, Inc. provides a cloud-based customer relationship management (CRM) platform for businesses in the Americas, Europe, and the Asia Pacific. The company's CRM platform includes marketing, sales, service, and content management systems, as well as integrated applications, such as search engine optimization, blogging, website content management, messaging, chatbots, social media, marketing automation, email, predictive lead scoring, sales productivity, knowledge base, commerce, conversation routing, video hosting, ticketing and helpdesk tools, customer NPS surveys, analytics, and reporting. It also offers professional services to educate and train customers on how to leverage its CRM platform, as well as phone and/or email and chat-based support services. The company serves mid-market business-to-business companies. HubSpot, Inc. was incorporated in 2005 and is headquartered in Cambridge, Massachusetts.",7136,"{'maxAge': 1, 'name': 'Mr. Robert  Giglio', 'title': 'Chief Customer Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,7,4,4,5,1693526400,1672444800,86400,2,513.52,507.52,502.0,512.57,513.52,507.52,502.0,512.57,0.0,1.578146,79.46273,681936,681936,483827,450320,450320,492.62,521.89,1000,800,25594828800,245.03,581.4,13.163539,528.729,431.883,0.0,0.0,USD,24865681408,-0.105059996,47928186,50015300,1141452,940438,1690761600,1693440000,0.0228,0.04223,0.92434,1.99,0.0238,21.718,23.562943,1672444800,1703980800,1688083200,-204275008,-4.09,6.44,2.24,12.789,-275.294,NYQ,EQUITY,HUBS,HUBS,"HubSpot, Inc.","HubSpot, Inc.",1412861400,America/New_York,EDT,-14400000,511.74,695.0,280.0,593.0,600.0,1.8,buy,27,1529144960,30.574,-90324000,799984000,2.048,2.251,1944372992,73.904,39.688,-0.02911,-0.20909001,1416710000,351506368,307640992,0.255,0.82939005,-0.04645,-0.05992,USD,2.5287
