,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3950 Cambridge Research Park,Waterbeach,Cambridge,CB25 9PE,United Kingdom,44 1223 423 663,https://www.xaar.com,Computer Hardware,Technology,"Xaar plc designs, develops, manufactures, markets, and sells printheads and associated products in Europe, the Middle East, Africa, Asia, and the Americas. It operates through four segments: Printhead, Product Print Systems, Digital Imaging, and Ink Supply Systems segments. The company offers print head products; digital imaging solutions, comprising digital inkjet label presses and digital pathology scanners; industrial ink management and supply systems for digital inkjet; electronic products; industrial printing machines; and system components, such as ink system test kit, print manager, hydra ink supply system, midas ink supply system, inkjet development system, head personality card 1000, and 2001+ head personality card. Its products are used in 3D printing, ceramic tile decoration, coding and marking, decorative laminates, direct-to-shape, functional fluid deposition, glass printing, graphics, primary labels, textiles, packaging, and product printing. The company was founded in 1990 and is headquartered in Cambridge, the United Kingdom.",444,"{'maxAge': 1, 'name': 'Dr. Robert John Mills', 'age': 53, 'title': 'CEO & Exec. Director', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 731953, 'exercisedValue': 0, 'unexercisedValue': 433048}",2,8,8,1,8,1693526400,1672444800,86400,4,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,1536796800,0.0,1.852852,77.333336,4000,4000,0,0,0,185972832,2.2,2.5,2.5552037,2.32,2.2887,0.0,0.0,USD,181218368,0.02242,68200308,78585600,0.052610002,0.78636,0.92,2.521739,1672444800,1703980800,1672444800,-0.933,1791000,0.03,2.49,32.564,PNK,EQUITY,XAARF,XAARF,XAAR,Xaar plc,1363181400,America/New_York,EDT,-14400000,2.32,none,9063000,0.116,5565000,9211000,0.972,2.465,72782000,12.834,0.939,0.01159,0.02548,28644000,-10788875,-5505000,-0.937,0.098,0.39356,0.07646,0.025969999,GBP,
1,3950 Cambridge Research Park,Waterbeach,Cambridge,CB25 9PE,United Kingdom,44 1223 423 663,https://www.xaar.com,Computer Hardware,Technology,"Xaar plc designs, develops, manufactures, markets, and sells printheads and associated products in Europe, the Middle East, Africa, Asia, and the Americas. It operates through four segments: Printhead, Product Print Systems, Digital Imaging, and Ink Supply Systems segments. The company offers print head products; digital imaging solutions, comprising digital inkjet label presses and digital pathology scanners; industrial ink management and supply systems for digital inkjet; electronic products; industrial printing machines; and system components, such as ink system test kit, print manager, hydra ink supply system, midas ink supply system, inkjet development system, head personality card 1000, and 2001+ head personality card. Its products are used in 3D printing, ceramic tile decoration, coding and marking, decorative laminates, direct-to-shape, functional fluid deposition, glass printing, graphics, primary labels, textiles, packaging, and product printing. The company was founded in 1990 and is headquartered in Cambridge, the United Kingdom.",444,"{'maxAge': 1, 'name': 'Mr. Ian Alan Tichias', 'age': 53, 'title': 'CFO & Exec. Director', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 461960, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,8,1,8,1693526400,1672444800,86400,4,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,1536796800,0.0,1.852852,77.333336,4000,4000,0,0,0,185972832,2.2,2.5,2.5552037,2.32,2.2887,0.0,0.0,USD,181218368,0.02242,68200308,78585600,0.052610002,0.78636,0.92,2.521739,1672444800,1703980800,1672444800,-0.933,1791000,0.03,2.49,32.564,PNK,EQUITY,XAARF,XAARF,XAAR,Xaar plc,1363181400,America/New_York,EDT,-14400000,2.32,none,9063000,0.116,5565000,9211000,0.972,2.465,72782000,12.834,0.939,0.01159,0.02548,28644000,-10788875,-5505000,-0.937,0.098,0.39356,0.07646,0.025969999,GBP,
2,3950 Cambridge Research Park,Waterbeach,Cambridge,CB25 9PE,United Kingdom,44 1223 423 663,https://www.xaar.com,Computer Hardware,Technology,"Xaar plc designs, develops, manufactures, markets, and sells printheads and associated products in Europe, the Middle East, Africa, Asia, and the Americas. It operates through four segments: Printhead, Product Print Systems, Digital Imaging, and Ink Supply Systems segments. The company offers print head products; digital imaging solutions, comprising digital inkjet label presses and digital pathology scanners; industrial ink management and supply systems for digital inkjet; electronic products; industrial printing machines; and system components, such as ink system test kit, print manager, hydra ink supply system, midas ink supply system, inkjet development system, head personality card 1000, and 2001+ head personality card. Its products are used in 3D printing, ceramic tile decoration, coding and marking, decorative laminates, direct-to-shape, functional fluid deposition, glass printing, graphics, primary labels, textiles, packaging, and product printing. The company was founded in 1990 and is headquartered in Cambridge, the United Kingdom.",444,"{'maxAge': 1, 'name': 'Julia Alison Crane', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,8,1,8,1693526400,1672444800,86400,4,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,1536796800,0.0,1.852852,77.333336,4000,4000,0,0,0,185972832,2.2,2.5,2.5552037,2.32,2.2887,0.0,0.0,USD,181218368,0.02242,68200308,78585600,0.052610002,0.78636,0.92,2.521739,1672444800,1703980800,1672444800,-0.933,1791000,0.03,2.49,32.564,PNK,EQUITY,XAARF,XAARF,XAAR,Xaar plc,1363181400,America/New_York,EDT,-14400000,2.32,none,9063000,0.116,5565000,9211000,0.972,2.465,72782000,12.834,0.939,0.01159,0.02548,28644000,-10788875,-5505000,-0.937,0.098,0.39356,0.07646,0.025969999,GBP,
