,address1,address2,city,state,zip,country,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,595 Burrard Street,Suite 3123,Vancouver,BC,V7X 1J1,Canada,Other Precious Metals & Mining,Basic Materials,"Golden Harp Resources Inc. engages in the acquisition, exploration, and development of mineral properties in Canada. The company explores for gold and base metals. It holds an interest in the Copper Hill project that covers 145 square kilometers in the prolific Abitibi Greenstone Belt in Northern Ontario. Golden Harp Resources Inc. was incorporated in 2006 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Shaun  Maskerine', 'age': 55, 'title': 'Pres, CEO & Director', 'yearBorn': 1967, 'fiscalYear': 2021, 'totalPay': 30000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.0,1.269909,30,30,803,0,0,0.07,0.12,2247562,0.07,0.12,0.0762,0.08065,0.0,0.0,CAD,2240916,0.0,2911641,29967500,250,287,1690761600,1693440000,0.0,0.90283996,0.0,1.72,-0.01,1656547200,1688083200,1680220800,-1443907,-0.05,1:10,1391040000,VAN,EQUITY,GHR.V,GHR.V,GOLDEN HARP RESOURCES INC,Golden Harp Resources Inc.,1204641000,America/Toronto,EDT,-14400000,0.075,none,6645,0.0,0,0.028,0.038,-1.26192,-3.2408302,486437,-66302,0.0,0.0,0.0,CAD,
1,595 Burrard Street,Suite 3123,Vancouver,BC,V7X 1J1,Canada,Other Precious Metals & Mining,Basic Materials,"Golden Harp Resources Inc. engages in the acquisition, exploration, and development of mineral properties in Canada. The company explores for gold and base metals. It holds an interest in the Copper Hill project that covers 145 square kilometers in the prolific Abitibi Greenstone Belt in Northern Ontario. Golden Harp Resources Inc. was incorporated in 2006 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Kyle Rayner Takeuchi', 'title': 'CFO & Director', 'fiscalYear': 2021, 'totalPay': 30000, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.0,1.269909,30,30,803,0,0,0.07,0.12,2247562,0.07,0.12,0.0762,0.08065,0.0,0.0,CAD,2240916,0.0,2911641,29967500,250,287,1690761600,1693440000,0.0,0.90283996,0.0,1.72,-0.01,1656547200,1688083200,1680220800,-1443907,-0.05,1:10,1391040000,VAN,EQUITY,GHR.V,GHR.V,GOLDEN HARP RESOURCES INC,Golden Harp Resources Inc.,1204641000,America/Toronto,EDT,-14400000,0.075,none,6645,0.0,0,0.028,0.038,-1.26192,-3.2408302,486437,-66302,0.0,0.0,0.0,CAD,
