,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,401 Wilshire Boulevard,Suite 700,Santa Monica,CA,90401-1452,United States,310 394 6000,310 395 2791,https://www.macerich.com,REIT—Retail,Real Estate,"Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of high-quality retail real estate in densely populated and attractive U.S. markets, Macerich's portfolio is concentrated in California, the Pacific Northwest, Phoenix/Scottsdale, and the Metro New York to Washington, D.C. corridor. Developing and managing properties that serve as community cornerstones, Macerich currently owns 47 million square feet of real estate consisting primarily of interests in 44 regional town centers. Macerich is firmly dedicated to advancing environmental goals, social good and sound corporate governance. A recognized leader in sustainability, Macerich has achieved a #1 Global Real Estate Sustainability Benchmark (GRESB) ranking for the North American retail sector for eight consecutive years (2015-2022).",650,"{'maxAge': 1, 'name': ""Mr. Thomas E. O'Hern CPA"", 'age': 66, 'title': 'CEO & Director', 'yearBorn': 1956, 'fiscalYear': 2022, 'totalPay': 2869417, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,12.15,12.01,11.935,12.26,12.15,12.01,11.935,12.26,0.68,0.055999998,1692230400,9.8,2.149723,-305.75,3871563,3871563,1881753,1419740,1419740,11.99,12.16,3100,900,2742345216,7.4,14.51,3.3181102,12.0738,11.41285,0.66,0.05432099,USD,7124897280,-0.10551,213301401,215256000,17521872,21042012,1690761600,1693440000,0.08140001,0.0073400005,0.86294,12.18,0.116000004,12.668,0.96542466,1672444800,1703980800,1688083200,-88062000,-0.4,-0.04,-214.29,1014:1000,1265846400,8.621,17.168,NYQ,EQUITY,MAC,MAC,Macerich Company (The),The Macerich Company,763309800,America/New_York,EDT,-14400000,12.23,18.0,8.0,11.73,12.0,3.4,hold,11,92465000,0.43,415020992,4524362240,0.296,0.401,826478016,161.065,3.839,0.0091,-0.028180001,475158000,440656640,360808992,-0.024,0.52554,0.50216,0.14104,USD,
1,401 Wilshire Boulevard,Suite 700,Santa Monica,CA,90401-1452,United States,310 394 6000,310 395 2791,https://www.macerich.com,REIT—Retail,Real Estate,"Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of high-quality retail real estate in densely populated and attractive U.S. markets, Macerich's portfolio is concentrated in California, the Pacific Northwest, Phoenix/Scottsdale, and the Metro New York to Washington, D.C. corridor. Developing and managing properties that serve as community cornerstones, Macerich currently owns 47 million square feet of real estate consisting primarily of interests in 44 regional town centers. Macerich is firmly dedicated to advancing environmental goals, social good and sound corporate governance. A recognized leader in sustainability, Macerich has achieved a #1 Global Real Estate Sustainability Benchmark (GRESB) ranking for the North American retail sector for eight consecutive years (2015-2022).",650,"{'maxAge': 1, 'name': 'Mr. Edward C. Coppola', 'age': 67, 'title': 'Pres & Director', 'yearBorn': 1955, 'fiscalYear': 2022, 'totalPay': 2698736, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,12.15,12.01,11.935,12.26,12.15,12.01,11.935,12.26,0.68,0.055999998,1692230400,9.8,2.149723,-305.75,3871563,3871563,1881753,1419740,1419740,11.99,12.16,3100,900,2742345216,7.4,14.51,3.3181102,12.0738,11.41285,0.66,0.05432099,USD,7124897280,-0.10551,213301401,215256000,17521872,21042012,1690761600,1693440000,0.08140001,0.0073400005,0.86294,12.18,0.116000004,12.668,0.96542466,1672444800,1703980800,1688083200,-88062000,-0.4,-0.04,-214.29,1014:1000,1265846400,8.621,17.168,NYQ,EQUITY,MAC,MAC,Macerich Company (The),The Macerich Company,763309800,America/New_York,EDT,-14400000,12.23,18.0,8.0,11.73,12.0,3.4,hold,11,92465000,0.43,415020992,4524362240,0.296,0.401,826478016,161.065,3.839,0.0091,-0.028180001,475158000,440656640,360808992,-0.024,0.52554,0.50216,0.14104,USD,
2,401 Wilshire Boulevard,Suite 700,Santa Monica,CA,90401-1452,United States,310 394 6000,310 395 2791,https://www.macerich.com,REIT—Retail,Real Estate,"Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of high-quality retail real estate in densely populated and attractive U.S. markets, Macerich's portfolio is concentrated in California, the Pacific Northwest, Phoenix/Scottsdale, and the Metro New York to Washington, D.C. corridor. Developing and managing properties that serve as community cornerstones, Macerich currently owns 47 million square feet of real estate consisting primarily of interests in 44 regional town centers. Macerich is firmly dedicated to advancing environmental goals, social good and sound corporate governance. A recognized leader in sustainability, Macerich has achieved a #1 Global Real Estate Sustainability Benchmark (GRESB) ranking for the North American retail sector for eight consecutive years (2015-2022).",650,"{'maxAge': 1, 'name': 'Mr. Scott W. Kingsmore', 'age': 54, 'title': 'Sr. EVP, CFO & Treasurer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1210649, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,12.15,12.01,11.935,12.26,12.15,12.01,11.935,12.26,0.68,0.055999998,1692230400,9.8,2.149723,-305.75,3871563,3871563,1881753,1419740,1419740,11.99,12.16,3100,900,2742345216,7.4,14.51,3.3181102,12.0738,11.41285,0.66,0.05432099,USD,7124897280,-0.10551,213301401,215256000,17521872,21042012,1690761600,1693440000,0.08140001,0.0073400005,0.86294,12.18,0.116000004,12.668,0.96542466,1672444800,1703980800,1688083200,-88062000,-0.4,-0.04,-214.29,1014:1000,1265846400,8.621,17.168,NYQ,EQUITY,MAC,MAC,Macerich Company (The),The Macerich Company,763309800,America/New_York,EDT,-14400000,12.23,18.0,8.0,11.73,12.0,3.4,hold,11,92465000,0.43,415020992,4524362240,0.296,0.401,826478016,161.065,3.839,0.0091,-0.028180001,475158000,440656640,360808992,-0.024,0.52554,0.50216,0.14104,USD,
3,401 Wilshire Boulevard,Suite 700,Santa Monica,CA,90401-1452,United States,310 394 6000,310 395 2791,https://www.macerich.com,REIT—Retail,Real Estate,"Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of high-quality retail real estate in densely populated and attractive U.S. markets, Macerich's portfolio is concentrated in California, the Pacific Northwest, Phoenix/Scottsdale, and the Metro New York to Washington, D.C. corridor. Developing and managing properties that serve as community cornerstones, Macerich currently owns 47 million square feet of real estate consisting primarily of interests in 44 regional town centers. Macerich is firmly dedicated to advancing environmental goals, social good and sound corporate governance. A recognized leader in sustainability, Macerich has achieved a #1 Global Real Estate Sustainability Benchmark (GRESB) ranking for the North American retail sector for eight consecutive years (2015-2022).",650,"{'maxAge': 1, 'name': 'Ms. Ann C. Menard', 'age': 58, 'title': 'Sr. EVP, Chief Legal Officer & Sec.', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1204611, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,12.15,12.01,11.935,12.26,12.15,12.01,11.935,12.26,0.68,0.055999998,1692230400,9.8,2.149723,-305.75,3871563,3871563,1881753,1419740,1419740,11.99,12.16,3100,900,2742345216,7.4,14.51,3.3181102,12.0738,11.41285,0.66,0.05432099,USD,7124897280,-0.10551,213301401,215256000,17521872,21042012,1690761600,1693440000,0.08140001,0.0073400005,0.86294,12.18,0.116000004,12.668,0.96542466,1672444800,1703980800,1688083200,-88062000,-0.4,-0.04,-214.29,1014:1000,1265846400,8.621,17.168,NYQ,EQUITY,MAC,MAC,Macerich Company (The),The Macerich Company,763309800,America/New_York,EDT,-14400000,12.23,18.0,8.0,11.73,12.0,3.4,hold,11,92465000,0.43,415020992,4524362240,0.296,0.401,826478016,161.065,3.839,0.0091,-0.028180001,475158000,440656640,360808992,-0.024,0.52554,0.50216,0.14104,USD,
4,401 Wilshire Boulevard,Suite 700,Santa Monica,CA,90401-1452,United States,310 394 6000,310 395 2791,https://www.macerich.com,REIT—Retail,Real Estate,"Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of high-quality retail real estate in densely populated and attractive U.S. markets, Macerich's portfolio is concentrated in California, the Pacific Northwest, Phoenix/Scottsdale, and the Metro New York to Washington, D.C. corridor. Developing and managing properties that serve as community cornerstones, Macerich currently owns 47 million square feet of real estate consisting primarily of interests in 44 regional town centers. Macerich is firmly dedicated to advancing environmental goals, social good and sound corporate governance. A recognized leader in sustainability, Macerich has achieved a #1 Global Real Estate Sustainability Benchmark (GRESB) ranking for the North American retail sector for eight consecutive years (2015-2022).",650,"{'maxAge': 1, 'name': 'Mr. Douglas J. Healey', 'age': 59, 'title': 'Sr. EVP & Head of Leasing', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 1155541, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,12.15,12.01,11.935,12.26,12.15,12.01,11.935,12.26,0.68,0.055999998,1692230400,9.8,2.149723,-305.75,3871563,3871563,1881753,1419740,1419740,11.99,12.16,3100,900,2742345216,7.4,14.51,3.3181102,12.0738,11.41285,0.66,0.05432099,USD,7124897280,-0.10551,213301401,215256000,17521872,21042012,1690761600,1693440000,0.08140001,0.0073400005,0.86294,12.18,0.116000004,12.668,0.96542466,1672444800,1703980800,1688083200,-88062000,-0.4,-0.04,-214.29,1014:1000,1265846400,8.621,17.168,NYQ,EQUITY,MAC,MAC,Macerich Company (The),The Macerich Company,763309800,America/New_York,EDT,-14400000,12.23,18.0,8.0,11.73,12.0,3.4,hold,11,92465000,0.43,415020992,4524362240,0.296,0.401,826478016,161.065,3.839,0.0091,-0.028180001,475158000,440656640,360808992,-0.024,0.52554,0.50216,0.14104,USD,
5,401 Wilshire Boulevard,Suite 700,Santa Monica,CA,90401-1452,United States,310 394 6000,310 395 2791,https://www.macerich.com,REIT—Retail,Real Estate,"Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of high-quality retail real estate in densely populated and attractive U.S. markets, Macerich's portfolio is concentrated in California, the Pacific Northwest, Phoenix/Scottsdale, and the Metro New York to Washington, D.C. corridor. Developing and managing properties that serve as community cornerstones, Macerich currently owns 47 million square feet of real estate consisting primarily of interests in 44 regional town centers. Macerich is firmly dedicated to advancing environmental goals, social good and sound corporate governance. A recognized leader in sustainability, Macerich has achieved a #1 Global Real Estate Sustainability Benchmark (GRESB) ranking for the North American retail sector for eight consecutive years (2015-2022).",650,"{'maxAge': 1, 'name': 'Mr. Christopher J. Zecchini', 'age': 58, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,12.15,12.01,11.935,12.26,12.15,12.01,11.935,12.26,0.68,0.055999998,1692230400,9.8,2.149723,-305.75,3871563,3871563,1881753,1419740,1419740,11.99,12.16,3100,900,2742345216,7.4,14.51,3.3181102,12.0738,11.41285,0.66,0.05432099,USD,7124897280,-0.10551,213301401,215256000,17521872,21042012,1690761600,1693440000,0.08140001,0.0073400005,0.86294,12.18,0.116000004,12.668,0.96542466,1672444800,1703980800,1688083200,-88062000,-0.4,-0.04,-214.29,1014:1000,1265846400,8.621,17.168,NYQ,EQUITY,MAC,MAC,Macerich Company (The),The Macerich Company,763309800,America/New_York,EDT,-14400000,12.23,18.0,8.0,11.73,12.0,3.4,hold,11,92465000,0.43,415020992,4524362240,0.296,0.401,826478016,161.065,3.839,0.0091,-0.028180001,475158000,440656640,360808992,-0.024,0.52554,0.50216,0.14104,USD,
6,401 Wilshire Boulevard,Suite 700,Santa Monica,CA,90401-1452,United States,310 394 6000,310 395 2791,https://www.macerich.com,REIT—Retail,Real Estate,"Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of high-quality retail real estate in densely populated and attractive U.S. markets, Macerich's portfolio is concentrated in California, the Pacific Northwest, Phoenix/Scottsdale, and the Metro New York to Washington, D.C. corridor. Developing and managing properties that serve as community cornerstones, Macerich currently owns 47 million square feet of real estate consisting primarily of interests in 44 regional town centers. Macerich is firmly dedicated to advancing environmental goals, social good and sound corporate governance. A recognized leader in sustainability, Macerich has achieved a #1 Global Real Estate Sustainability Benchmark (GRESB) ranking for the North American retail sector for eight consecutive years (2015-2022).",650,"{'maxAge': 1, 'name': 'Samantha  Greening', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,12.15,12.01,11.935,12.26,12.15,12.01,11.935,12.26,0.68,0.055999998,1692230400,9.8,2.149723,-305.75,3871563,3871563,1881753,1419740,1419740,11.99,12.16,3100,900,2742345216,7.4,14.51,3.3181102,12.0738,11.41285,0.66,0.05432099,USD,7124897280,-0.10551,213301401,215256000,17521872,21042012,1690761600,1693440000,0.08140001,0.0073400005,0.86294,12.18,0.116000004,12.668,0.96542466,1672444800,1703980800,1688083200,-88062000,-0.4,-0.04,-214.29,1014:1000,1265846400,8.621,17.168,NYQ,EQUITY,MAC,MAC,Macerich Company (The),The Macerich Company,763309800,America/New_York,EDT,-14400000,12.23,18.0,8.0,11.73,12.0,3.4,hold,11,92465000,0.43,415020992,4524362240,0.296,0.401,826478016,161.065,3.839,0.0091,-0.028180001,475158000,440656640,360808992,-0.024,0.52554,0.50216,0.14104,USD,
7,401 Wilshire Boulevard,Suite 700,Santa Monica,CA,90401-1452,United States,310 394 6000,310 395 2791,https://www.macerich.com,REIT—Retail,Real Estate,"Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of high-quality retail real estate in densely populated and attractive U.S. markets, Macerich's portfolio is concentrated in California, the Pacific Northwest, Phoenix/Scottsdale, and the Metro New York to Washington, D.C. corridor. Developing and managing properties that serve as community cornerstones, Macerich currently owns 47 million square feet of real estate consisting primarily of interests in 44 regional town centers. Macerich is firmly dedicated to advancing environmental goals, social good and sound corporate governance. A recognized leader in sustainability, Macerich has achieved a #1 Global Real Estate Sustainability Benchmark (GRESB) ranking for the North American retail sector for eight consecutive years (2015-2022).",650,"{'maxAge': 1, 'name': 'Ms. Olivia Bartel Leigh', 'title': 'Exec. VP of Portfolio Operations & People', 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,12.15,12.01,11.935,12.26,12.15,12.01,11.935,12.26,0.68,0.055999998,1692230400,9.8,2.149723,-305.75,3871563,3871563,1881753,1419740,1419740,11.99,12.16,3100,900,2742345216,7.4,14.51,3.3181102,12.0738,11.41285,0.66,0.05432099,USD,7124897280,-0.10551,213301401,215256000,17521872,21042012,1690761600,1693440000,0.08140001,0.0073400005,0.86294,12.18,0.116000004,12.668,0.96542466,1672444800,1703980800,1688083200,-88062000,-0.4,-0.04,-214.29,1014:1000,1265846400,8.621,17.168,NYQ,EQUITY,MAC,MAC,Macerich Company (The),The Macerich Company,763309800,America/New_York,EDT,-14400000,12.23,18.0,8.0,11.73,12.0,3.4,hold,11,92465000,0.43,415020992,4524362240,0.296,0.401,826478016,161.065,3.839,0.0091,-0.028180001,475158000,440656640,360808992,-0.024,0.52554,0.50216,0.14104,USD,
8,401 Wilshire Boulevard,Suite 700,Santa Monica,CA,90401-1452,United States,310 394 6000,310 395 2791,https://www.macerich.com,REIT—Retail,Real Estate,"Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of high-quality retail real estate in densely populated and attractive U.S. markets, Macerich's portfolio is concentrated in California, the Pacific Northwest, Phoenix/Scottsdale, and the Metro New York to Washington, D.C. corridor. Developing and managing properties that serve as community cornerstones, Macerich currently owns 47 million square feet of real estate consisting primarily of interests in 44 regional town centers. Macerich is firmly dedicated to advancing environmental goals, social good and sound corporate governance. A recognized leader in sustainability, Macerich has achieved a #1 Global Real Estate Sustainability Benchmark (GRESB) ranking for the North American retail sector for eight consecutive years (2015-2022).",650,"{'maxAge': 1, 'name': 'Mr. Robert F. Beffa', 'age': 62, 'title': 'Sr. VP of Real Estate', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,12.15,12.01,11.935,12.26,12.15,12.01,11.935,12.26,0.68,0.055999998,1692230400,9.8,2.149723,-305.75,3871563,3871563,1881753,1419740,1419740,11.99,12.16,3100,900,2742345216,7.4,14.51,3.3181102,12.0738,11.41285,0.66,0.05432099,USD,7124897280,-0.10551,213301401,215256000,17521872,21042012,1690761600,1693440000,0.08140001,0.0073400005,0.86294,12.18,0.116000004,12.668,0.96542466,1672444800,1703980800,1688083200,-88062000,-0.4,-0.04,-214.29,1014:1000,1265846400,8.621,17.168,NYQ,EQUITY,MAC,MAC,Macerich Company (The),The Macerich Company,763309800,America/New_York,EDT,-14400000,12.23,18.0,8.0,11.73,12.0,3.4,hold,11,92465000,0.43,415020992,4524362240,0.296,0.401,826478016,161.065,3.839,0.0091,-0.028180001,475158000,440656640,360808992,-0.024,0.52554,0.50216,0.14104,USD,
9,401 Wilshire Boulevard,Suite 700,Santa Monica,CA,90401-1452,United States,310 394 6000,310 395 2791,https://www.macerich.com,REIT—Retail,Real Estate,"Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of high-quality retail real estate in densely populated and attractive U.S. markets, Macerich's portfolio is concentrated in California, the Pacific Northwest, Phoenix/Scottsdale, and the Metro New York to Washington, D.C. corridor. Developing and managing properties that serve as community cornerstones, Macerich currently owns 47 million square feet of real estate consisting primarily of interests in 44 regional town centers. Macerich is firmly dedicated to advancing environmental goals, social good and sound corporate governance. A recognized leader in sustainability, Macerich has achieved a #1 Global Real Estate Sustainability Benchmark (GRESB) ranking for the North American retail sector for eight consecutive years (2015-2022).",650,"{'maxAge': 1, 'name': 'Mr. Kenneth L. Volk', 'age': 59, 'title': 'Exec. VP of Bus. Devel.', 'yearBorn': 1963, 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",4,1,1,4,2,1693526400,1672444800,86400,2,12.15,12.01,11.935,12.26,12.15,12.01,11.935,12.26,0.68,0.055999998,1692230400,9.8,2.149723,-305.75,3871563,3871563,1881753,1419740,1419740,11.99,12.16,3100,900,2742345216,7.4,14.51,3.3181102,12.0738,11.41285,0.66,0.05432099,USD,7124897280,-0.10551,213301401,215256000,17521872,21042012,1690761600,1693440000,0.08140001,0.0073400005,0.86294,12.18,0.116000004,12.668,0.96542466,1672444800,1703980800,1688083200,-88062000,-0.4,-0.04,-214.29,1014:1000,1265846400,8.621,17.168,NYQ,EQUITY,MAC,MAC,Macerich Company (The),The Macerich Company,763309800,America/New_York,EDT,-14400000,12.23,18.0,8.0,11.73,12.0,3.4,hold,11,92465000,0.43,415020992,4524362240,0.296,0.401,826478016,161.065,3.839,0.0091,-0.028180001,475158000,440656640,360808992,-0.024,0.52554,0.50216,0.14104,USD,
