,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,665 Anderson Street,Winnemucca,NV,89445,United States,775 625 3600,https://www.paramountnevada.com,Gold,Basic Materials,"Paramount Gold Nevada Corp., together with its subsidiaries, engages in the acquisition, exploration, and development of precious metal properties in the United States. The company primarily explores for gold and silver ores. It holds principal interest in the Sleeper gold project with 2,322 unpatented mining claims totaling approximately 38,300 acres located in Humbolt County, Nevada. The company also holds 100% interest in the Grassy Mountain gold project with 442 federal mining claims and 3 patented lode claims covering approximately 9,300 acres located in Malheur County, Oregon. Paramount Gold Nevada Corp. was founded in 1992 and is headquartered in Winnemucca, Nevada.",7,"{'maxAge': 1, 'name': 'Ms. Rachel Louise Goldman', 'age': 49, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 232000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.31,0.31,0.3001,0.3174,0.31,0.31,0.3001,0.3174,0.0,1.77697,-3.3444443,53514,53514,130420,337430,337430,0.28,0.34,800,800,16792398,0.24,0.425,0.31236,0.332435,0.0,0.0,USD,19737740,0.0,41449571,55788700,231479,220428,1690761600,1693440000,0.0041,0.25965,0.06475,2.58,0.0042,0.865,0.34797686,1656547200,1688083200,1680220800,-6794573,-0.14,-0.09,-3.401,ASE,EQUITY,PZG,PZG,Paramount Gold Nevada Corp.,Paramount Gold Nevada Corp.,1428672600,America/New_York,EDT,-14400000,0.301,1.75,1.75,1.75,1.75,2.0,buy,1,590505,0.012,-5803833,5301603,0.065,0.13,12.459,-0.07139,-0.14965999,-640349,-287003,-5151044,0.0,0.0,0.0,USD,
1,665 Anderson Street,Winnemucca,NV,89445,United States,775 625 3600,https://www.paramountnevada.com,Gold,Basic Materials,"Paramount Gold Nevada Corp., together with its subsidiaries, engages in the acquisition, exploration, and development of precious metal properties in the United States. The company primarily explores for gold and silver ores. It holds principal interest in the Sleeper gold project with 2,322 unpatented mining claims totaling approximately 38,300 acres located in Humbolt County, Nevada. The company also holds 100% interest in the Grassy Mountain gold project with 442 federal mining claims and 3 patented lode claims covering approximately 9,300 acres located in Malheur County, Oregon. Paramount Gold Nevada Corp. was founded in 1992 and is headquartered in Winnemucca, Nevada.",7,"{'maxAge': 1, 'name': 'Mr. Glen Alex Van Treek', 'age': 57, 'title': 'Pres, COO & Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 232000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.31,0.31,0.3001,0.3174,0.31,0.31,0.3001,0.3174,0.0,1.77697,-3.3444443,53514,53514,130420,337430,337430,0.28,0.34,800,800,16792398,0.24,0.425,0.31236,0.332435,0.0,0.0,USD,19737740,0.0,41449571,55788700,231479,220428,1690761600,1693440000,0.0041,0.25965,0.06475,2.58,0.0042,0.865,0.34797686,1656547200,1688083200,1680220800,-6794573,-0.14,-0.09,-3.401,ASE,EQUITY,PZG,PZG,Paramount Gold Nevada Corp.,Paramount Gold Nevada Corp.,1428672600,America/New_York,EDT,-14400000,0.301,1.75,1.75,1.75,1.75,2.0,buy,1,590505,0.012,-5803833,5301603,0.065,0.13,12.459,-0.07139,-0.14965999,-640349,-287003,-5151044,0.0,0.0,0.0,USD,
2,665 Anderson Street,Winnemucca,NV,89445,United States,775 625 3600,https://www.paramountnevada.com,Gold,Basic Materials,"Paramount Gold Nevada Corp., together with its subsidiaries, engages in the acquisition, exploration, and development of precious metal properties in the United States. The company primarily explores for gold and silver ores. It holds principal interest in the Sleeper gold project with 2,322 unpatented mining claims totaling approximately 38,300 acres located in Humbolt County, Nevada. The company also holds 100% interest in the Grassy Mountain gold project with 442 federal mining claims and 3 patented lode claims covering approximately 9,300 acres located in Malheur County, Oregon. Paramount Gold Nevada Corp. was founded in 1992 and is headquartered in Winnemucca, Nevada.",7,"{'maxAge': 1, 'name': 'Mr. Carlo A. Buffone CMA', 'age': 51, 'title': 'Chief Financial Officer', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 232000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.31,0.31,0.3001,0.3174,0.31,0.31,0.3001,0.3174,0.0,1.77697,-3.3444443,53514,53514,130420,337430,337430,0.28,0.34,800,800,16792398,0.24,0.425,0.31236,0.332435,0.0,0.0,USD,19737740,0.0,41449571,55788700,231479,220428,1690761600,1693440000,0.0041,0.25965,0.06475,2.58,0.0042,0.865,0.34797686,1656547200,1688083200,1680220800,-6794573,-0.14,-0.09,-3.401,ASE,EQUITY,PZG,PZG,Paramount Gold Nevada Corp.,Paramount Gold Nevada Corp.,1428672600,America/New_York,EDT,-14400000,0.301,1.75,1.75,1.75,1.75,2.0,buy,1,590505,0.012,-5803833,5301603,0.065,0.13,12.459,-0.07139,-0.14965999,-640349,-287003,-5151044,0.0,0.0,0.0,USD,
