,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,89 Vibhavadi Rangsit Road,Chom Phon Chatuchak District,Bangkok,10900,Thailand,66 2 545 2424,66 2 545 4053,https://www.thaiairways.com,Airlines,Industrials,"Thai Airways International Public Company Limited, together with its subsidiaries, engages in the operation of airlines. It operates through three segments: Air Transportation Activities, Business Units, and Other Activities. The Air Transportation Activities segment provides passenger, freight, and mail services. The Business Units segment offers cargo and mail commercial, ground customer, ground support equipment, and catering services. The Other Activities segment provides transportation supporting activities, which include flight management services, sale of duty-free goods, and sale of souvenir products from maintenance division. In addition, it provides tourism, specialized personnel, and information technology services for the travel sector. The company was founded in 1959 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Peraphon  Thawornsupacharoen', 'age': 62, 'title': 'Chairman of the Exec. Board', 'yearBorn': 1960, 'fiscalYear': 2019, 'totalPay': 25617, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,4,0.0065,0.0065,0.0065,0.01,0.0065,0.0065,0.0065,0.01,1363132800,0.0,1.052526,0.023809524,14548,14548,67975,23666,23666,219002992,0.0006,0.5185,0.0014576162,0.007648,0.0062243,0.0,0.0,USD,106282196992,0.13958,1138031794,0,0.0,0.01633,-25.801,1672444800,1703980800,1688083200,20970981376,0.42,0.707,3.194,PNK,EQUITY,TAWNF,TAWNF,THAI AIRWAY INTL PUBLIC CO,Thai Airways International Public Company Limited,1373895000,America/New_York,EDT,-14400000,0.01,none,54505992192,24.971,33279473664,160702251008,0.974,1.139,150247358464,68.833,0.1025,26402442222,24332021760,47055540224,0.723,0.36334,0.2215,0.21728,THB,
1,89 Vibhavadi Rangsit Road,Chom Phon Chatuchak District,Bangkok,10900,Thailand,66 2 545 2424,66 2 545 4053,https://www.thaiairways.com,Airlines,Industrials,"Thai Airways International Public Company Limited, together with its subsidiaries, engages in the operation of airlines. It operates through three segments: Air Transportation Activities, Business Units, and Other Activities. The Air Transportation Activities segment provides passenger, freight, and mail services. The Business Units segment offers cargo and mail commercial, ground customer, ground support equipment, and catering services. The Other Activities segment provides transportation supporting activities, which include flight management services, sale of duty-free goods, and sale of souvenir products from maintenance division. In addition, it provides tourism, specialized personnel, and information technology services for the travel sector. The company was founded in 1959 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Chai  Eamsiri', 'age': 58, 'title': 'Chief Exec. Officer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,4,0.0065,0.0065,0.0065,0.01,0.0065,0.0065,0.0065,0.01,1363132800,0.0,1.052526,0.023809524,14548,14548,67975,23666,23666,219002992,0.0006,0.5185,0.0014576162,0.007648,0.0062243,0.0,0.0,USD,106282196992,0.13958,1138031794,0,0.0,0.01633,-25.801,1672444800,1703980800,1688083200,20970981376,0.42,0.707,3.194,PNK,EQUITY,TAWNF,TAWNF,THAI AIRWAY INTL PUBLIC CO,Thai Airways International Public Company Limited,1373895000,America/New_York,EDT,-14400000,0.01,none,54505992192,24.971,33279473664,160702251008,0.974,1.139,150247358464,68.833,0.1025,26402442222,24332021760,47055540224,0.723,0.36334,0.2215,0.21728,THB,
2,89 Vibhavadi Rangsit Road,Chom Phon Chatuchak District,Bangkok,10900,Thailand,66 2 545 2424,66 2 545 4053,https://www.thaiairways.com,Airlines,Industrials,"Thai Airways International Public Company Limited, together with its subsidiaries, engages in the operation of airlines. It operates through three segments: Air Transportation Activities, Business Units, and Other Activities. The Air Transportation Activities segment provides passenger, freight, and mail services. The Business Units segment offers cargo and mail commercial, ground customer, ground support equipment, and catering services. The Other Activities segment provides transportation supporting activities, which include flight management services, sale of duty-free goods, and sale of souvenir products from maintenance division. In addition, it provides tourism, specialized personnel, and information technology services for the travel sector. The company was founded in 1959 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Ms. Cherdchome  Therdsteerasukdi', 'title': 'Chief of Fin. & Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,4,0.0065,0.0065,0.0065,0.01,0.0065,0.0065,0.0065,0.01,1363132800,0.0,1.052526,0.023809524,14548,14548,67975,23666,23666,219002992,0.0006,0.5185,0.0014576162,0.007648,0.0062243,0.0,0.0,USD,106282196992,0.13958,1138031794,0,0.0,0.01633,-25.801,1672444800,1703980800,1688083200,20970981376,0.42,0.707,3.194,PNK,EQUITY,TAWNF,TAWNF,THAI AIRWAY INTL PUBLIC CO,Thai Airways International Public Company Limited,1373895000,America/New_York,EDT,-14400000,0.01,none,54505992192,24.971,33279473664,160702251008,0.974,1.139,150247358464,68.833,0.1025,26402442222,24332021760,47055540224,0.723,0.36334,0.2215,0.21728,THB,
3,89 Vibhavadi Rangsit Road,Chom Phon Chatuchak District,Bangkok,10900,Thailand,66 2 545 2424,66 2 545 4053,https://www.thaiairways.com,Airlines,Industrials,"Thai Airways International Public Company Limited, together with its subsidiaries, engages in the operation of airlines. It operates through three segments: Air Transportation Activities, Business Units, and Other Activities. The Air Transportation Activities segment provides passenger, freight, and mail services. The Business Units segment offers cargo and mail commercial, ground customer, ground support equipment, and catering services. The Other Activities segment provides transportation supporting activities, which include flight management services, sale of duty-free goods, and sale of souvenir products from maintenance division. In addition, it provides tourism, specialized personnel, and information technology services for the travel sector. The company was founded in 1959 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Squadron leader Soradej  Namruangsri', 'age': 61, 'title': 'Exec. VP of Operations', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,4,0.0065,0.0065,0.0065,0.01,0.0065,0.0065,0.0065,0.01,1363132800,0.0,1.052526,0.023809524,14548,14548,67975,23666,23666,219002992,0.0006,0.5185,0.0014576162,0.007648,0.0062243,0.0,0.0,USD,106282196992,0.13958,1138031794,0,0.0,0.01633,-25.801,1672444800,1703980800,1688083200,20970981376,0.42,0.707,3.194,PNK,EQUITY,TAWNF,TAWNF,THAI AIRWAY INTL PUBLIC CO,Thai Airways International Public Company Limited,1373895000,America/New_York,EDT,-14400000,0.01,none,54505992192,24.971,33279473664,160702251008,0.974,1.139,150247358464,68.833,0.1025,26402442222,24332021760,47055540224,0.723,0.36334,0.2215,0.21728,THB,
4,89 Vibhavadi Rangsit Road,Chom Phon Chatuchak District,Bangkok,10900,Thailand,66 2 545 2424,66 2 545 4053,https://www.thaiairways.com,Airlines,Industrials,"Thai Airways International Public Company Limited, together with its subsidiaries, engages in the operation of airlines. It operates through three segments: Air Transportation Activities, Business Units, and Other Activities. The Air Transportation Activities segment provides passenger, freight, and mail services. The Business Units segment offers cargo and mail commercial, ground customer, ground support equipment, and catering services. The Other Activities segment provides transportation supporting activities, which include flight management services, sale of duty-free goods, and sale of souvenir products from maintenance division. In addition, it provides tourism, specialized personnel, and information technology services for the travel sector. The company was founded in 1959 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Surachai  Piencharoensak', 'age': 62, 'title': 'Exec. VP of Technical Department', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,4,0.0065,0.0065,0.0065,0.01,0.0065,0.0065,0.0065,0.01,1363132800,0.0,1.052526,0.023809524,14548,14548,67975,23666,23666,219002992,0.0006,0.5185,0.0014576162,0.007648,0.0062243,0.0,0.0,USD,106282196992,0.13958,1138031794,0,0.0,0.01633,-25.801,1672444800,1703980800,1688083200,20970981376,0.42,0.707,3.194,PNK,EQUITY,TAWNF,TAWNF,THAI AIRWAY INTL PUBLIC CO,Thai Airways International Public Company Limited,1373895000,America/New_York,EDT,-14400000,0.01,none,54505992192,24.971,33279473664,160702251008,0.974,1.139,150247358464,68.833,0.1025,26402442222,24332021760,47055540224,0.723,0.36334,0.2215,0.21728,THB,
5,89 Vibhavadi Rangsit Road,Chom Phon Chatuchak District,Bangkok,10900,Thailand,66 2 545 2424,66 2 545 4053,https://www.thaiairways.com,Airlines,Industrials,"Thai Airways International Public Company Limited, together with its subsidiaries, engages in the operation of airlines. It operates through three segments: Air Transportation Activities, Business Units, and Other Activities. The Air Transportation Activities segment provides passenger, freight, and mail services. The Business Units segment offers cargo and mail commercial, ground customer, ground support equipment, and catering services. The Other Activities segment provides transportation supporting activities, which include flight management services, sale of duty-free goods, and sale of souvenir products from maintenance division. In addition, it provides tourism, specialized personnel, and information technology services for the travel sector. The company was founded in 1959 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Ms. Pamon-Montri  Rhatchaya', 'title': 'Managing Director of Customer Services Department', 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,4,0.0065,0.0065,0.0065,0.01,0.0065,0.0065,0.0065,0.01,1363132800,0.0,1.052526,0.023809524,14548,14548,67975,23666,23666,219002992,0.0006,0.5185,0.0014576162,0.007648,0.0062243,0.0,0.0,USD,106282196992,0.13958,1138031794,0,0.0,0.01633,-25.801,1672444800,1703980800,1688083200,20970981376,0.42,0.707,3.194,PNK,EQUITY,TAWNF,TAWNF,THAI AIRWAY INTL PUBLIC CO,Thai Airways International Public Company Limited,1373895000,America/New_York,EDT,-14400000,0.01,none,54505992192,24.971,33279473664,160702251008,0.974,1.139,150247358464,68.833,0.1025,26402442222,24332021760,47055540224,0.723,0.36334,0.2215,0.21728,THB,
6,89 Vibhavadi Rangsit Road,Chom Phon Chatuchak District,Bangkok,10900,Thailand,66 2 545 2424,66 2 545 4053,https://www.thaiairways.com,Airlines,Industrials,"Thai Airways International Public Company Limited, together with its subsidiaries, engages in the operation of airlines. It operates through three segments: Air Transportation Activities, Business Units, and Other Activities. The Air Transportation Activities segment provides passenger, freight, and mail services. The Business Units segment offers cargo and mail commercial, ground customer, ground support equipment, and catering services. The Other Activities segment provides transportation supporting activities, which include flight management services, sale of duty-free goods, and sale of souvenir products from maintenance division. In addition, it provides tourism, specialized personnel, and information technology services for the travel sector. The company was founded in 1959 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Kobchai  Srivilas', 'title': 'Sr. Exec. VP and Advisor for Special Project', 'fiscalYear': 2010, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,4,0.0065,0.0065,0.0065,0.01,0.0065,0.0065,0.0065,0.01,1363132800,0.0,1.052526,0.023809524,14548,14548,67975,23666,23666,219002992,0.0006,0.5185,0.0014576162,0.007648,0.0062243,0.0,0.0,USD,106282196992,0.13958,1138031794,0,0.0,0.01633,-25.801,1672444800,1703980800,1688083200,20970981376,0.42,0.707,3.194,PNK,EQUITY,TAWNF,TAWNF,THAI AIRWAY INTL PUBLIC CO,Thai Airways International Public Company Limited,1373895000,America/New_York,EDT,-14400000,0.01,none,54505992192,24.971,33279473664,160702251008,0.974,1.139,150247358464,68.833,0.1025,26402442222,24332021760,47055540224,0.723,0.36334,0.2215,0.21728,THB,
7,89 Vibhavadi Rangsit Road,Chom Phon Chatuchak District,Bangkok,10900,Thailand,66 2 545 2424,66 2 545 4053,https://www.thaiairways.com,Airlines,Industrials,"Thai Airways International Public Company Limited, together with its subsidiaries, engages in the operation of airlines. It operates through three segments: Air Transportation Activities, Business Units, and Other Activities. The Air Transportation Activities segment provides passenger, freight, and mail services. The Business Units segment offers cargo and mail commercial, ground customer, ground support equipment, and catering services. The Other Activities segment provides transportation supporting activities, which include flight management services, sale of duty-free goods, and sale of souvenir products from maintenance division. In addition, it provides tourism, specialized personnel, and information technology services for the travel sector. The company was founded in 1959 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Ms. Suvimol  Bualerd', 'age': 60, 'title': 'Exec. VP of HR', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,4,0.0065,0.0065,0.0065,0.01,0.0065,0.0065,0.0065,0.01,1363132800,0.0,1.052526,0.023809524,14548,14548,67975,23666,23666,219002992,0.0006,0.5185,0.0014576162,0.007648,0.0062243,0.0,0.0,USD,106282196992,0.13958,1138031794,0,0.0,0.01633,-25.801,1672444800,1703980800,1688083200,20970981376,0.42,0.707,3.194,PNK,EQUITY,TAWNF,TAWNF,THAI AIRWAY INTL PUBLIC CO,Thai Airways International Public Company Limited,1373895000,America/New_York,EDT,-14400000,0.01,none,54505992192,24.971,33279473664,160702251008,0.974,1.139,150247358464,68.833,0.1025,26402442222,24332021760,47055540224,0.723,0.36334,0.2215,0.21728,THB,
8,89 Vibhavadi Rangsit Road,Chom Phon Chatuchak District,Bangkok,10900,Thailand,66 2 545 2424,66 2 545 4053,https://www.thaiairways.com,Airlines,Industrials,"Thai Airways International Public Company Limited, together with its subsidiaries, engages in the operation of airlines. It operates through three segments: Air Transportation Activities, Business Units, and Other Activities. The Air Transportation Activities segment provides passenger, freight, and mail services. The Business Units segment offers cargo and mail commercial, ground customer, ground support equipment, and catering services. The Other Activities segment provides transportation supporting activities, which include flight management services, sale of duty-free goods, and sale of souvenir products from maintenance division. In addition, it provides tourism, specialized personnel, and information technology services for the travel sector. The company was founded in 1959 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Wiwat  Piyawiroj', 'age': 56, 'title': 'Exec. VP of Commercial', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,4,0.0065,0.0065,0.0065,0.01,0.0065,0.0065,0.0065,0.01,1363132800,0.0,1.052526,0.023809524,14548,14548,67975,23666,23666,219002992,0.0006,0.5185,0.0014576162,0.007648,0.0062243,0.0,0.0,USD,106282196992,0.13958,1138031794,0,0.0,0.01633,-25.801,1672444800,1703980800,1688083200,20970981376,0.42,0.707,3.194,PNK,EQUITY,TAWNF,TAWNF,THAI AIRWAY INTL PUBLIC CO,Thai Airways International Public Company Limited,1373895000,America/New_York,EDT,-14400000,0.01,none,54505992192,24.971,33279473664,160702251008,0.974,1.139,150247358464,68.833,0.1025,26402442222,24332021760,47055540224,0.723,0.36334,0.2215,0.21728,THB,
9,89 Vibhavadi Rangsit Road,Chom Phon Chatuchak District,Bangkok,10900,Thailand,66 2 545 2424,66 2 545 4053,https://www.thaiairways.com,Airlines,Industrials,"Thai Airways International Public Company Limited, together with its subsidiaries, engages in the operation of airlines. It operates through three segments: Air Transportation Activities, Business Units, and Other Activities. The Air Transportation Activities segment provides passenger, freight, and mail services. The Business Units segment offers cargo and mail commercial, ground customer, ground support equipment, and catering services. The Other Activities segment provides transportation supporting activities, which include flight management services, sale of duty-free goods, and sale of souvenir products from maintenance division. In addition, it provides tourism, specialized personnel, and information technology services for the travel sector. The company was founded in 1959 and is headquartered in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Krittaphon  Chantalitanon', 'age': 62, 'title': 'Exec. VP of Corp. Strategy & Sustainable Devel.', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1577750400,86400,4,0.0065,0.0065,0.0065,0.01,0.0065,0.0065,0.0065,0.01,1363132800,0.0,1.052526,0.023809524,14548,14548,67975,23666,23666,219002992,0.0006,0.5185,0.0014576162,0.007648,0.0062243,0.0,0.0,USD,106282196992,0.13958,1138031794,0,0.0,0.01633,-25.801,1672444800,1703980800,1688083200,20970981376,0.42,0.707,3.194,PNK,EQUITY,TAWNF,TAWNF,THAI AIRWAY INTL PUBLIC CO,Thai Airways International Public Company Limited,1373895000,America/New_York,EDT,-14400000,0.01,none,54505992192,24.971,33279473664,160702251008,0.974,1.139,150247358464,68.833,0.1025,26402442222,24332021760,47055540224,0.723,0.36334,0.2215,0.21728,THB,
