,address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,15-17 Old Aberdeen Place,West Perth,WA,6005,Australia,61 8 6245 0870,61 8 9322 5230,https://www.vikingmines.com,Gold,Gold,Basic Materials,Basic Materials,"Viking Mines Limited operates as a mineral exploration company in Australia. Its flagship project is the First Hit gold property located in the Eastern Goldfields of Western Australia. The company was formerly known as Viking Ashanti Limited. Viking Mines Limited was incorporated in 2007 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Mr. Julian  Woodcock', 'age': 43, 'title': 'MD, CEO & Exec. Director', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 276066, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,1.917792,156280,156280,874766,374204,374204,0.009,0.01,0,0,10252600,0.007,0.015,367.9647,0.01036,0.010165,0.0,0.0,AUD,6530659,0.0,789736064,1025260032,0.47479,0.0,1025260032,0.007,1.4285713,1656547200,1688083200,1672444800,-1465217,-0.0,234.385,-6.483,0.25,0.14113986,ASX,EQUITY,VKA.AX,VKA.AX,VIKINGMINE FPO,Viking Mines Limited,1273622400,Australia/Sydney,AEST,3cee6f80-a0ba-33ac-af14-a41abb8fe167,finmb_99997945,36000000,0.01,none,3826446,0.004,-1007325,104521,7.835,7.873,27863,1.368,0.0,-0.117740005,-0.1769,4155806,-1412146,-1998808,-0.999,1.0,0.0,-61.536697,AUD,
1,15-17 Old Aberdeen Place,West Perth,WA,6005,Australia,61 8 6245 0870,61 8 9322 5230,https://www.vikingmines.com,Gold,Gold,Basic Materials,Basic Materials,"Viking Mines Limited operates as a mineral exploration company in Australia. Its flagship project is the First Hit gold property located in the Eastern Goldfields of Western Australia. The company was formerly known as Viking Ashanti Limited. Viking Mines Limited was incorporated in 2007 and is based in West Perth, Australia.","{'maxAge': 1, 'name': 'Ms. Sarah  Wilson', 'title': 'Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,1.917792,156280,156280,874766,374204,374204,0.009,0.01,0,0,10252600,0.007,0.015,367.9647,0.01036,0.010165,0.0,0.0,AUD,6530659,0.0,789736064,1025260032,0.47479,0.0,1025260032,0.007,1.4285713,1656547200,1688083200,1672444800,-1465217,-0.0,234.385,-6.483,0.25,0.14113986,ASX,EQUITY,VKA.AX,VKA.AX,VIKINGMINE FPO,Viking Mines Limited,1273622400,Australia/Sydney,AEST,3cee6f80-a0ba-33ac-af14-a41abb8fe167,finmb_99997945,36000000,0.01,none,3826446,0.004,-1007325,104521,7.835,7.873,27863,1.368,0.0,-0.117740005,-0.1769,4155806,-1412146,-1998808,-0.999,1.0,0.0,-61.536697,AUD,
