,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1 Turnbull Close,Pemulwuy,NSW,2145,Australia,61 2 8624 8077,61 2 8624 8095,https://www.supplynetwork.com.au,Auto Parts,Consumer Cyclical,"Supply Network Limited provides aftermarket parts to the commercial vehicle industry in Australia and New Zealand. The company sells truck and bus parts under the Multispares brand name, as well as offers a range of services comprising parts interpreting, procurement, supply management, and problem solving. The company was incorporated in 1986 and is headquartered in Pemulwuy, Australia.","{'maxAge': 1, 'name': 'Mr. Geoffrey David Huston Stewart', 'title': 'MD & Exec. Director', 'fiscalYear': 2023, 'totalPay': 661959, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,15.19,15.15,15.0,15.34,15.19,15.15,15.0,15.34,0.56,0.0367,1694995200,0.6026,2.94,0.254879,23.121212,18.385542,11422,11422,28810,143618,143618,15.26,15.29,0,0,634135424,9.91,15.8,2.5138168,14.8194,13.387825,0.48,0.031599738,AUD,678252736,0.10864,17444135,41555400,0.68911004,0.05085,1.872,8.15171,1688083200,1719705600,1688083200,0.394,27407000,0.66,0.83,-24.4,1:1,701654400,2.689,15.918,ASX,EQUITY,SNL.AX,SNL.AX,SUPPLY NET FPO,Supply Network Limited,570668400,Australia/Sydney,AEST,36000000,15.26,15.8,15.8,15.8,15.8,1.5,strong_buy,1,7758000,0.187,42608000,51875000,0.771,2.49,252260000,66.688,6.122,0.16565001,0.39976,106695000,11563298,19027000,0.372,0.304,0.42296,0.1689,0.16167,AUD,
1,1 Turnbull Close,Pemulwuy,NSW,2145,Australia,61 2 8624 8077,61 2 8624 8095,https://www.supplynetwork.com.au,Auto Parts,Consumer Cyclical,"Supply Network Limited provides aftermarket parts to the commercial vehicle industry in Australia and New Zealand. The company sells truck and bus parts under the Multispares brand name, as well as offers a range of services comprising parts interpreting, procurement, supply management, and problem solving. The company was incorporated in 1986 and is headquartered in Pemulwuy, Australia.","{'maxAge': 1, 'name': 'Mr. Robert A. Coleman', 'title': 'CFO & Company Sec.', 'fiscalYear': 2023, 'totalPay': 343673, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,15.19,15.15,15.0,15.34,15.19,15.15,15.0,15.34,0.56,0.0367,1694995200,0.6026,2.94,0.254879,23.121212,18.385542,11422,11422,28810,143618,143618,15.26,15.29,0,0,634135424,9.91,15.8,2.5138168,14.8194,13.387825,0.48,0.031599738,AUD,678252736,0.10864,17444135,41555400,0.68911004,0.05085,1.872,8.15171,1688083200,1719705600,1688083200,0.394,27407000,0.66,0.83,-24.4,1:1,701654400,2.689,15.918,ASX,EQUITY,SNL.AX,SNL.AX,SUPPLY NET FPO,Supply Network Limited,570668400,Australia/Sydney,AEST,36000000,15.26,15.8,15.8,15.8,15.8,1.5,strong_buy,1,7758000,0.187,42608000,51875000,0.771,2.49,252260000,66.688,6.122,0.16565001,0.39976,106695000,11563298,19027000,0.372,0.304,0.42296,0.1689,0.16167,AUD,
