,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,33 Kingsway,London,WC2B 6UF,United Kingdom,44 2075 165 000,https://www.ascential.com,Advertising Agencies,Communication Services,"Ascential plc provides specialist information, analytics, events, and e-commerce optimization platforms in the United Kingdom, rest of Europe, the United States, Canada, China, rest of the Asia Pacific, the Middle East, Africa, and Latin America. The company operates through four segments: Digital Commerce, Product Design, Marketing, and Retail & Financial Services. It offers industry-specific business intelligence, insights, and forecasting through data and digital subscription tools and events. The company was formerly known as Trident Floatco PLC and changed its name to Ascential plc in January 2016. Ascential plc was incorporated in 2016 and is based in London, the United Kingdom.",1991,"{'maxAge': 1, 'name': 'Mr. Duncan Anthony Painter', 'age': 52, 'title': 'CEO & Director', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 948000, 'exercisedValue': 0, 'unexercisedValue': 40758}",5,2,3,1,2,1693526400,1672444800,86400,2,207.0,208.2,204.2,210.2,207.0,208.2,204.2,210.2,1589414400,0.0,1.196696,12.590325,1501595,1501595,1326702,2094882,2094882,204.6,487.0,0,0,927868672,172.4,285.0,1.7693911,208.588,230.85,0.0,0.0,GBp,1167194624,-0.18383,378048054,450860000,0.06752,0.94324,1.664,123.55769,1672444800,1703980800,1672444800,-95500000,-0.22,16.33,1.24,2.226,13.928,LSE,EQUITY,ASCL.L,ASCL.L,ASCENTIAL PLC ORD 1P,Ascential plc,1455004800,Europe/London,BST,3600000,205.6,365.0,230.0,312.14,320.0,2.0,buy,7,84500000,0.193,83800000,328000000,0.923,0.951,524400000,43.623,1.192,0.021140002,-0.13457,312400000,82812496,53200000,0.352,0.59573,0.1598,0.09706,GBP,
1,33 Kingsway,London,WC2B 6UF,United Kingdom,44 2075 165 000,https://www.ascential.com,Advertising Agencies,Communication Services,"Ascential plc provides specialist information, analytics, events, and e-commerce optimization platforms in the United Kingdom, rest of Europe, the United States, Canada, China, rest of the Asia Pacific, the Middle East, Africa, and Latin America. The company operates through four segments: Digital Commerce, Product Design, Marketing, and Retail & Financial Services. It offers industry-specific business intelligence, insights, and forecasting through data and digital subscription tools and events. The company was formerly known as Trident Floatco PLC and changed its name to Ascential plc in January 2016. Ascential plc was incorporated in 2016 and is based in London, the United Kingdom.",1991,"{'maxAge': 1, 'name': 'Ms. Amanda Jane Gradden', 'age': 54, 'title': 'CFO & Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 702000, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,3,1,2,1693526400,1672444800,86400,2,207.0,208.2,204.2,210.2,207.0,208.2,204.2,210.2,1589414400,0.0,1.196696,12.590325,1501595,1501595,1326702,2094882,2094882,204.6,487.0,0,0,927868672,172.4,285.0,1.7693911,208.588,230.85,0.0,0.0,GBp,1167194624,-0.18383,378048054,450860000,0.06752,0.94324,1.664,123.55769,1672444800,1703980800,1672444800,-95500000,-0.22,16.33,1.24,2.226,13.928,LSE,EQUITY,ASCL.L,ASCL.L,ASCENTIAL PLC ORD 1P,Ascential plc,1455004800,Europe/London,BST,3600000,205.6,365.0,230.0,312.14,320.0,2.0,buy,7,84500000,0.193,83800000,328000000,0.923,0.951,524400000,43.623,1.192,0.021140002,-0.13457,312400000,82812496,53200000,0.352,0.59573,0.1598,0.09706,GBP,
2,33 Kingsway,London,WC2B 6UF,United Kingdom,44 2075 165 000,https://www.ascential.com,Advertising Agencies,Communication Services,"Ascential plc provides specialist information, analytics, events, and e-commerce optimization platforms in the United Kingdom, rest of Europe, the United States, Canada, China, rest of the Asia Pacific, the Middle East, Africa, and Latin America. The company operates through four segments: Digital Commerce, Product Design, Marketing, and Retail & Financial Services. It offers industry-specific business intelligence, insights, and forecasting through data and digital subscription tools and events. The company was formerly known as Trident Floatco PLC and changed its name to Ascential plc in January 2016. Ascential plc was incorporated in 2016 and is based in London, the United Kingdom.",1991,"{'maxAge': 1, 'name': 'Mr. Paul Scott Harrison', 'age': 58, 'title': 'COO & Exec. Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 749000, 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,3,1,2,1693526400,1672444800,86400,2,207.0,208.2,204.2,210.2,207.0,208.2,204.2,210.2,1589414400,0.0,1.196696,12.590325,1501595,1501595,1326702,2094882,2094882,204.6,487.0,0,0,927868672,172.4,285.0,1.7693911,208.588,230.85,0.0,0.0,GBp,1167194624,-0.18383,378048054,450860000,0.06752,0.94324,1.664,123.55769,1672444800,1703980800,1672444800,-95500000,-0.22,16.33,1.24,2.226,13.928,LSE,EQUITY,ASCL.L,ASCL.L,ASCENTIAL PLC ORD 1P,Ascential plc,1455004800,Europe/London,BST,3600000,205.6,365.0,230.0,312.14,320.0,2.0,buy,7,84500000,0.193,83800000,328000000,0.923,0.951,524400000,43.623,1.192,0.021140002,-0.13457,312400000,82812496,53200000,0.352,0.59573,0.1598,0.09706,GBP,
3,33 Kingsway,London,WC2B 6UF,United Kingdom,44 2075 165 000,https://www.ascential.com,Advertising Agencies,Communication Services,"Ascential plc provides specialist information, analytics, events, and e-commerce optimization platforms in the United Kingdom, rest of Europe, the United States, Canada, China, rest of the Asia Pacific, the Middle East, Africa, and Latin America. The company operates through four segments: Digital Commerce, Product Design, Marketing, and Retail & Financial Services. It offers industry-specific business intelligence, insights, and forecasting through data and digital subscription tools and events. The company was formerly known as Trident Floatco PLC and changed its name to Ascential plc in January 2016. Ascential plc was incorporated in 2016 and is based in London, the United Kingdom.",1991,"{'maxAge': 1, 'name': 'Mr. Sean  Harley', 'title': 'Chief Information Officer & Pres of Siberia', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,3,1,2,1693526400,1672444800,86400,2,207.0,208.2,204.2,210.2,207.0,208.2,204.2,210.2,1589414400,0.0,1.196696,12.590325,1501595,1501595,1326702,2094882,2094882,204.6,487.0,0,0,927868672,172.4,285.0,1.7693911,208.588,230.85,0.0,0.0,GBp,1167194624,-0.18383,378048054,450860000,0.06752,0.94324,1.664,123.55769,1672444800,1703980800,1672444800,-95500000,-0.22,16.33,1.24,2.226,13.928,LSE,EQUITY,ASCL.L,ASCL.L,ASCENTIAL PLC ORD 1P,Ascential plc,1455004800,Europe/London,BST,3600000,205.6,365.0,230.0,312.14,320.0,2.0,buy,7,84500000,0.193,83800000,328000000,0.923,0.951,524400000,43.623,1.192,0.021140002,-0.13457,312400000,82812496,53200000,0.352,0.59573,0.1598,0.09706,GBP,
4,33 Kingsway,London,WC2B 6UF,United Kingdom,44 2075 165 000,https://www.ascential.com,Advertising Agencies,Communication Services,"Ascential plc provides specialist information, analytics, events, and e-commerce optimization platforms in the United Kingdom, rest of Europe, the United States, Canada, China, rest of the Asia Pacific, the Middle East, Africa, and Latin America. The company operates through four segments: Digital Commerce, Product Design, Marketing, and Retail & Financial Services. It offers industry-specific business intelligence, insights, and forecasting through data and digital subscription tools and events. The company was formerly known as Trident Floatco PLC and changed its name to Ascential plc in January 2016. Ascential plc was incorporated in 2016 and is based in London, the United Kingdom.",1991,"{'maxAge': 1, 'name': 'Rory  Elliott', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,3,1,2,1693526400,1672444800,86400,2,207.0,208.2,204.2,210.2,207.0,208.2,204.2,210.2,1589414400,0.0,1.196696,12.590325,1501595,1501595,1326702,2094882,2094882,204.6,487.0,0,0,927868672,172.4,285.0,1.7693911,208.588,230.85,0.0,0.0,GBp,1167194624,-0.18383,378048054,450860000,0.06752,0.94324,1.664,123.55769,1672444800,1703980800,1672444800,-95500000,-0.22,16.33,1.24,2.226,13.928,LSE,EQUITY,ASCL.L,ASCL.L,ASCENTIAL PLC ORD 1P,Ascential plc,1455004800,Europe/London,BST,3600000,205.6,365.0,230.0,312.14,320.0,2.0,buy,7,84500000,0.193,83800000,328000000,0.923,0.951,524400000,43.623,1.192,0.021140002,-0.13457,312400000,82812496,53200000,0.352,0.59573,0.1598,0.09706,GBP,
5,33 Kingsway,London,WC2B 6UF,United Kingdom,44 2075 165 000,https://www.ascential.com,Advertising Agencies,Communication Services,"Ascential plc provides specialist information, analytics, events, and e-commerce optimization platforms in the United Kingdom, rest of Europe, the United States, Canada, China, rest of the Asia Pacific, the Middle East, Africa, and Latin America. The company operates through four segments: Digital Commerce, Product Design, Marketing, and Retail & Financial Services. It offers industry-specific business intelligence, insights, and forecasting through data and digital subscription tools and events. The company was formerly known as Trident Floatco PLC and changed its name to Ascential plc in January 2016. Ascential plc was incorporated in 2016 and is based in London, the United Kingdom.",1991,"{'maxAge': 1, 'name': 'Ms. Tracey  Gray', 'title': 'Chief People Officer & EVP of People', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,3,1,2,1693526400,1672444800,86400,2,207.0,208.2,204.2,210.2,207.0,208.2,204.2,210.2,1589414400,0.0,1.196696,12.590325,1501595,1501595,1326702,2094882,2094882,204.6,487.0,0,0,927868672,172.4,285.0,1.7693911,208.588,230.85,0.0,0.0,GBp,1167194624,-0.18383,378048054,450860000,0.06752,0.94324,1.664,123.55769,1672444800,1703980800,1672444800,-95500000,-0.22,16.33,1.24,2.226,13.928,LSE,EQUITY,ASCL.L,ASCL.L,ASCENTIAL PLC ORD 1P,Ascential plc,1455004800,Europe/London,BST,3600000,205.6,365.0,230.0,312.14,320.0,2.0,buy,7,84500000,0.193,83800000,328000000,0.923,0.951,524400000,43.623,1.192,0.021140002,-0.13457,312400000,82812496,53200000,0.352,0.59573,0.1598,0.09706,GBP,
6,33 Kingsway,London,WC2B 6UF,United Kingdom,44 2075 165 000,https://www.ascential.com,Advertising Agencies,Communication Services,"Ascential plc provides specialist information, analytics, events, and e-commerce optimization platforms in the United Kingdom, rest of Europe, the United States, Canada, China, rest of the Asia Pacific, the Middle East, Africa, and Latin America. The company operates through four segments: Digital Commerce, Product Design, Marketing, and Retail & Financial Services. It offers industry-specific business intelligence, insights, and forecasting through data and digital subscription tools and events. The company was formerly known as Trident Floatco PLC and changed its name to Ascential plc in January 2016. Ascential plc was incorporated in 2016 and is based in London, the United Kingdom.",1991,"{'maxAge': 1, 'name': 'Mr. Philip  Thomas', 'title': 'Chief Exec. of Futures, Intelligence & Events', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,3,1,2,1693526400,1672444800,86400,2,207.0,208.2,204.2,210.2,207.0,208.2,204.2,210.2,1589414400,0.0,1.196696,12.590325,1501595,1501595,1326702,2094882,2094882,204.6,487.0,0,0,927868672,172.4,285.0,1.7693911,208.588,230.85,0.0,0.0,GBp,1167194624,-0.18383,378048054,450860000,0.06752,0.94324,1.664,123.55769,1672444800,1703980800,1672444800,-95500000,-0.22,16.33,1.24,2.226,13.928,LSE,EQUITY,ASCL.L,ASCL.L,ASCENTIAL PLC ORD 1P,Ascential plc,1455004800,Europe/London,BST,3600000,205.6,365.0,230.0,312.14,320.0,2.0,buy,7,84500000,0.193,83800000,328000000,0.923,0.951,524400000,43.623,1.192,0.021140002,-0.13457,312400000,82812496,53200000,0.352,0.59573,0.1598,0.09706,GBP,
7,33 Kingsway,London,WC2B 6UF,United Kingdom,44 2075 165 000,https://www.ascential.com,Advertising Agencies,Communication Services,"Ascential plc provides specialist information, analytics, events, and e-commerce optimization platforms in the United Kingdom, rest of Europe, the United States, Canada, China, rest of the Asia Pacific, the Middle East, Africa, and Latin America. The company operates through four segments: Digital Commerce, Product Design, Marketing, and Retail & Financial Services. It offers industry-specific business intelligence, insights, and forecasting through data and digital subscription tools and events. The company was formerly known as Trident Floatco PLC and changed its name to Ascential plc in January 2016. Ascential plc was incorporated in 2016 and is based in London, the United Kingdom.",1991,"{'maxAge': 1, 'name': 'Mr. David  Davies', 'title': 'Chief Content Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,3,1,2,1693526400,1672444800,86400,2,207.0,208.2,204.2,210.2,207.0,208.2,204.2,210.2,1589414400,0.0,1.196696,12.590325,1501595,1501595,1326702,2094882,2094882,204.6,487.0,0,0,927868672,172.4,285.0,1.7693911,208.588,230.85,0.0,0.0,GBp,1167194624,-0.18383,378048054,450860000,0.06752,0.94324,1.664,123.55769,1672444800,1703980800,1672444800,-95500000,-0.22,16.33,1.24,2.226,13.928,LSE,EQUITY,ASCL.L,ASCL.L,ASCENTIAL PLC ORD 1P,Ascential plc,1455004800,Europe/London,BST,3600000,205.6,365.0,230.0,312.14,320.0,2.0,buy,7,84500000,0.193,83800000,328000000,0.923,0.951,524400000,43.623,1.192,0.021140002,-0.13457,312400000,82812496,53200000,0.352,0.59573,0.1598,0.09706,GBP,
8,33 Kingsway,London,WC2B 6UF,United Kingdom,44 2075 165 000,https://www.ascential.com,Advertising Agencies,Communication Services,"Ascential plc provides specialist information, analytics, events, and e-commerce optimization platforms in the United Kingdom, rest of Europe, the United States, Canada, China, rest of the Asia Pacific, the Middle East, Africa, and Latin America. The company operates through four segments: Digital Commerce, Product Design, Marketing, and Retail & Financial Services. It offers industry-specific business intelligence, insights, and forecasting through data and digital subscription tools and events. The company was formerly known as Trident Floatco PLC and changed its name to Ascential plc in January 2016. Ascential plc was incorporated in 2016 and is based in London, the United Kingdom.",1991,"{'maxAge': 1, 'name': 'Mr. Marc  Payne', 'title': 'Chief Strategy Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,3,1,2,1693526400,1672444800,86400,2,207.0,208.2,204.2,210.2,207.0,208.2,204.2,210.2,1589414400,0.0,1.196696,12.590325,1501595,1501595,1326702,2094882,2094882,204.6,487.0,0,0,927868672,172.4,285.0,1.7693911,208.588,230.85,0.0,0.0,GBp,1167194624,-0.18383,378048054,450860000,0.06752,0.94324,1.664,123.55769,1672444800,1703980800,1672444800,-95500000,-0.22,16.33,1.24,2.226,13.928,LSE,EQUITY,ASCL.L,ASCL.L,ASCENTIAL PLC ORD 1P,Ascential plc,1455004800,Europe/London,BST,3600000,205.6,365.0,230.0,312.14,320.0,2.0,buy,7,84500000,0.193,83800000,328000000,0.923,0.951,524400000,43.623,1.192,0.021140002,-0.13457,312400000,82812496,53200000,0.352,0.59573,0.1598,0.09706,GBP,
9,33 Kingsway,London,WC2B 6UF,United Kingdom,44 2075 165 000,https://www.ascential.com,Advertising Agencies,Communication Services,"Ascential plc provides specialist information, analytics, events, and e-commerce optimization platforms in the United Kingdom, rest of Europe, the United States, Canada, China, rest of the Asia Pacific, the Middle East, Africa, and Latin America. The company operates through four segments: Digital Commerce, Product Design, Marketing, and Retail & Financial Services. It offers industry-specific business intelligence, insights, and forecasting through data and digital subscription tools and events. The company was formerly known as Trident Floatco PLC and changed its name to Ascential plc in January 2016. Ascential plc was incorporated in 2016 and is based in London, the United Kingdom.",1991,"{'maxAge': 1, 'name': 'Mr. Stuart  Carnegie', 'title': 'Chief Product Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,2,3,1,2,1693526400,1672444800,86400,2,207.0,208.2,204.2,210.2,207.0,208.2,204.2,210.2,1589414400,0.0,1.196696,12.590325,1501595,1501595,1326702,2094882,2094882,204.6,487.0,0,0,927868672,172.4,285.0,1.7693911,208.588,230.85,0.0,0.0,GBp,1167194624,-0.18383,378048054,450860000,0.06752,0.94324,1.664,123.55769,1672444800,1703980800,1672444800,-95500000,-0.22,16.33,1.24,2.226,13.928,LSE,EQUITY,ASCL.L,ASCL.L,ASCENTIAL PLC ORD 1P,Ascential plc,1455004800,Europe/London,BST,3600000,205.6,365.0,230.0,312.14,320.0,2.0,buy,7,84500000,0.193,83800000,328000000,0.923,0.951,524400000,43.623,1.192,0.021140002,-0.13457,312400000,82812496,53200000,0.352,0.59573,0.1598,0.09706,GBP,
