,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,8051 Congress Avenue,Boca Raton,FL,33487-1307,United States,561 995 7670,561 998 3448,https://www.sbasite.com,REIT—Specialty,Real Estate,"SBA Communications Corporation is a leading independent owner and operator of wireless communications infrastructure including towers, buildings, rooftops, distributed antenna systems (DAS) and small cells. With a portfolio of more than 39,000 communications sites in 16 markets throughout the Americas, Africa and the Philippines, SBA is listed on NASDAQ under the symbol SBAC. Our organization is part of the S&P 500 and is one of the top Real Estate Investment Trusts (REITs) by market capitalization.",1834,"{'maxAge': 1, 'name': 'Mr. Steven E. Bernstein II', 'age': 61, 'title': 'Founder & Independent Chairman', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 219583, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,3,8,6,1693526400,1672444800,86400,2,218.82,219.44,217.0,219.885,218.82,219.44,217.0,219.885,3.4,0.0156,1692748800,0.671,0.512448,46.913975,36.297836,903950,903950,937977,696460,696460,212.81,223.57,900,1100,23643750400,210.93,312.34,8.706338,225.1824,252.4165,3.12,0.014258293,USD,38390919168,0.18712,106997593,108383000,2478330,1733019,1690761600,1693440000,0.0229,0.0123000005,0.96797997,3.03,0.0276,-46.985,1672444800,1703980800,1688083200,1.93,508153984,4.65,6.01,2.68,14.137,22.071,NMS,EQUITY,SBAC,SBAC,SBA Communications Corporation,SBA Communications Corporation,929539800,America/New_York,EDT,-14400000,218.15,330.0,245.0,286.12,285.0,2.2,buy,17,179168992,1.653,1739442048,14888823808,0.517,0.672,2715694080,25.123,0.061739996,1937997000,1214392448,1419203968,1.922,0.041,0.74439,0.64051,0.37499002,USD,1.6634
1,8051 Congress Avenue,Boca Raton,FL,33487-1307,United States,561 995 7670,561 998 3448,https://www.sbasite.com,REIT—Specialty,Real Estate,"SBA Communications Corporation is a leading independent owner and operator of wireless communications infrastructure including towers, buildings, rooftops, distributed antenna systems (DAS) and small cells. With a portfolio of more than 39,000 communications sites in 16 markets throughout the Americas, Africa and the Philippines, SBA is listed on NASDAQ under the symbol SBAC. Our organization is part of the S&P 500 and is one of the top Real Estate Investment Trusts (REITs) by market capitalization.",1834,"{'maxAge': 1, 'name': 'Mr. Jeffrey A. Stoops', 'age': 62, 'title': 'CEO, Pres & Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 3433064, 'exercisedValue': 0, 'unexercisedValue': 28008304}",3,9,3,8,6,1693526400,1672444800,86400,2,218.82,219.44,217.0,219.885,218.82,219.44,217.0,219.885,3.4,0.0156,1692748800,0.671,0.512448,46.913975,36.297836,903950,903950,937977,696460,696460,212.81,223.57,900,1100,23643750400,210.93,312.34,8.706338,225.1824,252.4165,3.12,0.014258293,USD,38390919168,0.18712,106997593,108383000,2478330,1733019,1690761600,1693440000,0.0229,0.0123000005,0.96797997,3.03,0.0276,-46.985,1672444800,1703980800,1688083200,1.93,508153984,4.65,6.01,2.68,14.137,22.071,NMS,EQUITY,SBAC,SBAC,SBA Communications Corporation,SBA Communications Corporation,929539800,America/New_York,EDT,-14400000,218.15,330.0,245.0,286.12,285.0,2.2,buy,17,179168992,1.653,1739442048,14888823808,0.517,0.672,2715694080,25.123,0.061739996,1937997000,1214392448,1419203968,1.922,0.041,0.74439,0.64051,0.37499002,USD,1.6634
2,8051 Congress Avenue,Boca Raton,FL,33487-1307,United States,561 995 7670,561 998 3448,https://www.sbasite.com,REIT—Specialty,Real Estate,"SBA Communications Corporation is a leading independent owner and operator of wireless communications infrastructure including towers, buildings, rooftops, distributed antenna systems (DAS) and small cells. With a portfolio of more than 39,000 communications sites in 16 markets throughout the Americas, Africa and the Philippines, SBA is listed on NASDAQ under the symbol SBAC. Our organization is part of the S&P 500 and is one of the top Real Estate Investment Trusts (REITs) by market capitalization.",1834,"{'maxAge': 1, 'name': 'Mr. Brendan Thomas Cavanagh CPA', 'age': 50, 'title': 'CFO & Exec. VP', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 1692148, 'exercisedValue': 0, 'unexercisedValue': 10314056}",3,9,3,8,6,1693526400,1672444800,86400,2,218.82,219.44,217.0,219.885,218.82,219.44,217.0,219.885,3.4,0.0156,1692748800,0.671,0.512448,46.913975,36.297836,903950,903950,937977,696460,696460,212.81,223.57,900,1100,23643750400,210.93,312.34,8.706338,225.1824,252.4165,3.12,0.014258293,USD,38390919168,0.18712,106997593,108383000,2478330,1733019,1690761600,1693440000,0.0229,0.0123000005,0.96797997,3.03,0.0276,-46.985,1672444800,1703980800,1688083200,1.93,508153984,4.65,6.01,2.68,14.137,22.071,NMS,EQUITY,SBAC,SBAC,SBA Communications Corporation,SBA Communications Corporation,929539800,America/New_York,EDT,-14400000,218.15,330.0,245.0,286.12,285.0,2.2,buy,17,179168992,1.653,1739442048,14888823808,0.517,0.672,2715694080,25.123,0.061739996,1937997000,1214392448,1419203968,1.922,0.041,0.74439,0.64051,0.37499002,USD,1.6634
3,8051 Congress Avenue,Boca Raton,FL,33487-1307,United States,561 995 7670,561 998 3448,https://www.sbasite.com,REIT—Specialty,Real Estate,"SBA Communications Corporation is a leading independent owner and operator of wireless communications infrastructure including towers, buildings, rooftops, distributed antenna systems (DAS) and small cells. With a portfolio of more than 39,000 communications sites in 16 markets throughout the Americas, Africa and the Philippines, SBA is listed on NASDAQ under the symbol SBAC. Our organization is part of the S&P 500 and is one of the top Real Estate Investment Trusts (REITs) by market capitalization.",1834,"{'maxAge': 1, 'name': 'Mr. Jason V. Silberstein', 'age': 53, 'title': 'Exec. VP of Site Leasing', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1425851, 'exercisedValue': 4459265, 'unexercisedValue': 13658154}",3,9,3,8,6,1693526400,1672444800,86400,2,218.82,219.44,217.0,219.885,218.82,219.44,217.0,219.885,3.4,0.0156,1692748800,0.671,0.512448,46.913975,36.297836,903950,903950,937977,696460,696460,212.81,223.57,900,1100,23643750400,210.93,312.34,8.706338,225.1824,252.4165,3.12,0.014258293,USD,38390919168,0.18712,106997593,108383000,2478330,1733019,1690761600,1693440000,0.0229,0.0123000005,0.96797997,3.03,0.0276,-46.985,1672444800,1703980800,1688083200,1.93,508153984,4.65,6.01,2.68,14.137,22.071,NMS,EQUITY,SBAC,SBAC,SBA Communications Corporation,SBA Communications Corporation,929539800,America/New_York,EDT,-14400000,218.15,330.0,245.0,286.12,285.0,2.2,buy,17,179168992,1.653,1739442048,14888823808,0.517,0.672,2715694080,25.123,0.061739996,1937997000,1214392448,1419203968,1.922,0.041,0.74439,0.64051,0.37499002,USD,1.6634
4,8051 Congress Avenue,Boca Raton,FL,33487-1307,United States,561 995 7670,561 998 3448,https://www.sbasite.com,REIT—Specialty,Real Estate,"SBA Communications Corporation is a leading independent owner and operator of wireless communications infrastructure including towers, buildings, rooftops, distributed antenna systems (DAS) and small cells. With a portfolio of more than 39,000 communications sites in 16 markets throughout the Americas, Africa and the Philippines, SBA is listed on NASDAQ under the symbol SBAC. Our organization is part of the S&P 500 and is one of the top Real Estate Investment Trusts (REITs) by market capitalization.",1834,"{'maxAge': 1, 'name': 'Mr. Mark R. Ciarfella', 'age': 56, 'title': 'Exec. VP of Operations', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,3,8,6,1693526400,1672444800,86400,2,218.82,219.44,217.0,219.885,218.82,219.44,217.0,219.885,3.4,0.0156,1692748800,0.671,0.512448,46.913975,36.297836,903950,903950,937977,696460,696460,212.81,223.57,900,1100,23643750400,210.93,312.34,8.706338,225.1824,252.4165,3.12,0.014258293,USD,38390919168,0.18712,106997593,108383000,2478330,1733019,1690761600,1693440000,0.0229,0.0123000005,0.96797997,3.03,0.0276,-46.985,1672444800,1703980800,1688083200,1.93,508153984,4.65,6.01,2.68,14.137,22.071,NMS,EQUITY,SBAC,SBAC,SBA Communications Corporation,SBA Communications Corporation,929539800,America/New_York,EDT,-14400000,218.15,330.0,245.0,286.12,285.0,2.2,buy,17,179168992,1.653,1739442048,14888823808,0.517,0.672,2715694080,25.123,0.061739996,1937997000,1214392448,1419203968,1.922,0.041,0.74439,0.64051,0.37499002,USD,1.6634
5,8051 Congress Avenue,Boca Raton,FL,33487-1307,United States,561 995 7670,561 998 3448,https://www.sbasite.com,REIT—Specialty,Real Estate,"SBA Communications Corporation is a leading independent owner and operator of wireless communications infrastructure including towers, buildings, rooftops, distributed antenna systems (DAS) and small cells. With a portfolio of more than 39,000 communications sites in 16 markets throughout the Americas, Africa and the Philippines, SBA is listed on NASDAQ under the symbol SBAC. Our organization is part of the S&P 500 and is one of the top Real Estate Investment Trusts (REITs) by market capitalization.",1834,"{'maxAge': 1, 'name': 'Mr. Brian D. Lazarus CPA, CPA', 'age': 50, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,3,8,6,1693526400,1672444800,86400,2,218.82,219.44,217.0,219.885,218.82,219.44,217.0,219.885,3.4,0.0156,1692748800,0.671,0.512448,46.913975,36.297836,903950,903950,937977,696460,696460,212.81,223.57,900,1100,23643750400,210.93,312.34,8.706338,225.1824,252.4165,3.12,0.014258293,USD,38390919168,0.18712,106997593,108383000,2478330,1733019,1690761600,1693440000,0.0229,0.0123000005,0.96797997,3.03,0.0276,-46.985,1672444800,1703980800,1688083200,1.93,508153984,4.65,6.01,2.68,14.137,22.071,NMS,EQUITY,SBAC,SBAC,SBA Communications Corporation,SBA Communications Corporation,929539800,America/New_York,EDT,-14400000,218.15,330.0,245.0,286.12,285.0,2.2,buy,17,179168992,1.653,1739442048,14888823808,0.517,0.672,2715694080,25.123,0.061739996,1937997000,1214392448,1419203968,1.922,0.041,0.74439,0.64051,0.37499002,USD,1.6634
6,8051 Congress Avenue,Boca Raton,FL,33487-1307,United States,561 995 7670,561 998 3448,https://www.sbasite.com,REIT—Specialty,Real Estate,"SBA Communications Corporation is a leading independent owner and operator of wireless communications infrastructure including towers, buildings, rooftops, distributed antenna systems (DAS) and small cells. With a portfolio of more than 39,000 communications sites in 16 markets throughout the Americas, Africa and the Philippines, SBA is listed on NASDAQ under the symbol SBAC. Our organization is part of the S&P 500 and is one of the top Real Estate Investment Trusts (REITs) by market capitalization.",1834,"{'maxAge': 1, 'name': 'Dr. Dipan D. Patel Ph.D.', 'age': 47, 'title': 'Exec. VP of Strategy, Technology & New Bus. Initiatives', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,3,8,6,1693526400,1672444800,86400,2,218.82,219.44,217.0,219.885,218.82,219.44,217.0,219.885,3.4,0.0156,1692748800,0.671,0.512448,46.913975,36.297836,903950,903950,937977,696460,696460,212.81,223.57,900,1100,23643750400,210.93,312.34,8.706338,225.1824,252.4165,3.12,0.014258293,USD,38390919168,0.18712,106997593,108383000,2478330,1733019,1690761600,1693440000,0.0229,0.0123000005,0.96797997,3.03,0.0276,-46.985,1672444800,1703980800,1688083200,1.93,508153984,4.65,6.01,2.68,14.137,22.071,NMS,EQUITY,SBAC,SBAC,SBA Communications Corporation,SBA Communications Corporation,929539800,America/New_York,EDT,-14400000,218.15,330.0,245.0,286.12,285.0,2.2,buy,17,179168992,1.653,1739442048,14888823808,0.517,0.672,2715694080,25.123,0.061739996,1937997000,1214392448,1419203968,1.922,0.041,0.74439,0.64051,0.37499002,USD,1.6634
7,8051 Congress Avenue,Boca Raton,FL,33487-1307,United States,561 995 7670,561 998 3448,https://www.sbasite.com,REIT—Specialty,Real Estate,"SBA Communications Corporation is a leading independent owner and operator of wireless communications infrastructure including towers, buildings, rooftops, distributed antenna systems (DAS) and small cells. With a portfolio of more than 39,000 communications sites in 16 markets throughout the Americas, Africa and the Philippines, SBA is listed on NASDAQ under the symbol SBAC. Our organization is part of the S&P 500 and is one of the top Real Estate Investment Trusts (REITs) by market capitalization.",1834,"{'maxAge': 1, 'name': 'Mr. Elvis T. Clemetson', 'title': 'Sr. VP & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,3,8,6,1693526400,1672444800,86400,2,218.82,219.44,217.0,219.885,218.82,219.44,217.0,219.885,3.4,0.0156,1692748800,0.671,0.512448,46.913975,36.297836,903950,903950,937977,696460,696460,212.81,223.57,900,1100,23643750400,210.93,312.34,8.706338,225.1824,252.4165,3.12,0.014258293,USD,38390919168,0.18712,106997593,108383000,2478330,1733019,1690761600,1693440000,0.0229,0.0123000005,0.96797997,3.03,0.0276,-46.985,1672444800,1703980800,1688083200,1.93,508153984,4.65,6.01,2.68,14.137,22.071,NMS,EQUITY,SBAC,SBAC,SBA Communications Corporation,SBA Communications Corporation,929539800,America/New_York,EDT,-14400000,218.15,330.0,245.0,286.12,285.0,2.2,buy,17,179168992,1.653,1739442048,14888823808,0.517,0.672,2715694080,25.123,0.061739996,1937997000,1214392448,1419203968,1.922,0.041,0.74439,0.64051,0.37499002,USD,1.6634
8,8051 Congress Avenue,Boca Raton,FL,33487-1307,United States,561 995 7670,561 998 3448,https://www.sbasite.com,REIT—Specialty,Real Estate,"SBA Communications Corporation is a leading independent owner and operator of wireless communications infrastructure including towers, buildings, rooftops, distributed antenna systems (DAS) and small cells. With a portfolio of more than 39,000 communications sites in 16 markets throughout the Americas, Africa and the Philippines, SBA is listed on NASDAQ under the symbol SBAC. Our organization is part of the S&P 500 and is one of the top Real Estate Investment Trusts (REITs) by market capitalization.",1834,"{'maxAge': 1, 'name': 'Mr. Joshua  Koenig', 'age': 41, 'title': 'Exec. VP, Chief Admin. Officer & Gen. Counsel', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,3,8,6,1693526400,1672444800,86400,2,218.82,219.44,217.0,219.885,218.82,219.44,217.0,219.885,3.4,0.0156,1692748800,0.671,0.512448,46.913975,36.297836,903950,903950,937977,696460,696460,212.81,223.57,900,1100,23643750400,210.93,312.34,8.706338,225.1824,252.4165,3.12,0.014258293,USD,38390919168,0.18712,106997593,108383000,2478330,1733019,1690761600,1693440000,0.0229,0.0123000005,0.96797997,3.03,0.0276,-46.985,1672444800,1703980800,1688083200,1.93,508153984,4.65,6.01,2.68,14.137,22.071,NMS,EQUITY,SBAC,SBAC,SBA Communications Corporation,SBA Communications Corporation,929539800,America/New_York,EDT,-14400000,218.15,330.0,245.0,286.12,285.0,2.2,buy,17,179168992,1.653,1739442048,14888823808,0.517,0.672,2715694080,25.123,0.061739996,1937997000,1214392448,1419203968,1.922,0.041,0.74439,0.64051,0.37499002,USD,1.6634
9,8051 Congress Avenue,Boca Raton,FL,33487-1307,United States,561 995 7670,561 998 3448,https://www.sbasite.com,REIT—Specialty,Real Estate,"SBA Communications Corporation is a leading independent owner and operator of wireless communications infrastructure including towers, buildings, rooftops, distributed antenna systems (DAS) and small cells. With a portfolio of more than 39,000 communications sites in 16 markets throughout the Americas, Africa and the Philippines, SBA is listed on NASDAQ under the symbol SBAC. Our organization is part of the S&P 500 and is one of the top Real Estate Investment Trusts (REITs) by market capitalization.",1834,"{'maxAge': 1, 'name': 'Ms. Michelle  Eisner', 'age': 61, 'title': 'Sr. VP & Chief HR Officer', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",3,9,3,8,6,1693526400,1672444800,86400,2,218.82,219.44,217.0,219.885,218.82,219.44,217.0,219.885,3.4,0.0156,1692748800,0.671,0.512448,46.913975,36.297836,903950,903950,937977,696460,696460,212.81,223.57,900,1100,23643750400,210.93,312.34,8.706338,225.1824,252.4165,3.12,0.014258293,USD,38390919168,0.18712,106997593,108383000,2478330,1733019,1690761600,1693440000,0.0229,0.0123000005,0.96797997,3.03,0.0276,-46.985,1672444800,1703980800,1688083200,1.93,508153984,4.65,6.01,2.68,14.137,22.071,NMS,EQUITY,SBAC,SBAC,SBA Communications Corporation,SBA Communications Corporation,929539800,America/New_York,EDT,-14400000,218.15,330.0,245.0,286.12,285.0,2.2,buy,17,179168992,1.653,1739442048,14888823808,0.517,0.672,2715694080,25.123,0.061739996,1937997000,1214392448,1419203968,1.922,0.041,0.74439,0.64051,0.37499002,USD,1.6634
