,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1735 Market Street,15th Floor,Philadelphia,PA,19103,United States,610 208 2000,610 208 3716,https://www.carpentertechnology.com,Metal Fabrication,Industrials,"Carpenter Technology Corporation engages in the manufacture, fabrication, and distribution of specialty metals in the United States, Europe, the Asia Pacific, Mexico, Canada, and internationally. It operates in two segments, Specialty Alloys Operations and Performance Engineered Products. The company offers specialty alloys, including titanium alloys, powder metals, stainless steels, alloy steels, and tool steels, as well as additives, and metal powders and parts. It serves to aerospace, defense, medical, transportation, energy, industrial, and consumer markets. The company was founded in 1889 and is headquartered in Philadelphia, Pennsylvania.",4500,"{'maxAge': 1, 'name': 'Mr. Tony R. Thene', 'age': 62, 'title': 'Pres, CEO & Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 1528992, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,2,5,3,1693526400,1672444800,86400,2,69.33,68.98,66.51,68.98,69.33,68.98,66.51,68.98,0.8,0.0119,1692576000,0.7018,2.26,1.781466,58.78947,13.991649,1155101,1155101,391500,632120,632120,66.67,66.82,900,800,3273792768,31.02,71.19,1.2836894,59.399,49.48805,0.8,0.011539016,USD,3974990592,0.022119999,47830951,48848000,1191436,1307589,1690761600,1693440000,0.024400001,0.023629999,0.95614,3.35,0.0251,28.705,2.3347847,1688083200,1719705600,1688083200,13.769,56000000,1.14,4.79,0.83,2:1,1195171200,1.559,16.716,NYQ,EQUITY,CRS,CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,99153000,America/New_York,EDT,-14400000,67.02,100.0,72.0,81.67,73.0,1.8,buy,3,44500000,0.911,237800000,745699968,1.253,2.79,2550299904,53.413,52.26,0.0257,0.04137,-79375000,14700000,13.548,0.345,0.13226,0.09324,0.048270002,USD,
1,1735 Market Street,15th Floor,Philadelphia,PA,19103,United States,610 208 2000,610 208 3716,https://www.carpentertechnology.com,Metal Fabrication,Industrials,"Carpenter Technology Corporation engages in the manufacture, fabrication, and distribution of specialty metals in the United States, Europe, the Asia Pacific, Mexico, Canada, and internationally. It operates in two segments, Specialty Alloys Operations and Performance Engineered Products. The company offers specialty alloys, including titanium alloys, powder metals, stainless steels, alloy steels, and tool steels, as well as additives, and metal powders and parts. It serves to aerospace, defense, medical, transportation, energy, industrial, and consumer markets. The company was founded in 1889 and is headquartered in Philadelphia, Pennsylvania.",4500,"{'maxAge': 1, 'name': 'Mr. Timothy  Lain', 'age': 50, 'title': 'Sr. VP & CFO', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 724689, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,2,5,3,1693526400,1672444800,86400,2,69.33,68.98,66.51,68.98,69.33,68.98,66.51,68.98,0.8,0.0119,1692576000,0.7018,2.26,1.781466,58.78947,13.991649,1155101,1155101,391500,632120,632120,66.67,66.82,900,800,3273792768,31.02,71.19,1.2836894,59.399,49.48805,0.8,0.011539016,USD,3974990592,0.022119999,47830951,48848000,1191436,1307589,1690761600,1693440000,0.024400001,0.023629999,0.95614,3.35,0.0251,28.705,2.3347847,1688083200,1719705600,1688083200,13.769,56000000,1.14,4.79,0.83,2:1,1195171200,1.559,16.716,NYQ,EQUITY,CRS,CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,99153000,America/New_York,EDT,-14400000,67.02,100.0,72.0,81.67,73.0,1.8,buy,3,44500000,0.911,237800000,745699968,1.253,2.79,2550299904,53.413,52.26,0.0257,0.04137,-79375000,14700000,13.548,0.345,0.13226,0.09324,0.048270002,USD,
2,1735 Market Street,15th Floor,Philadelphia,PA,19103,United States,610 208 2000,610 208 3716,https://www.carpentertechnology.com,Metal Fabrication,Industrials,"Carpenter Technology Corporation engages in the manufacture, fabrication, and distribution of specialty metals in the United States, Europe, the Asia Pacific, Mexico, Canada, and internationally. It operates in two segments, Specialty Alloys Operations and Performance Engineered Products. The company offers specialty alloys, including titanium alloys, powder metals, stainless steels, alloy steels, and tool steels, as well as additives, and metal powders and parts. It serves to aerospace, defense, medical, transportation, energy, industrial, and consumer markets. The company was founded in 1889 and is headquartered in Philadelphia, Pennsylvania.",4500,"{'maxAge': 1, 'name': 'Mr. James D. Dee', 'age': 64, 'title': 'Sr. VP, Gen. Counsel, Sec., Chief Governance Officer & Chief Compliance Officer', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 628172, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,2,5,3,1693526400,1672444800,86400,2,69.33,68.98,66.51,68.98,69.33,68.98,66.51,68.98,0.8,0.0119,1692576000,0.7018,2.26,1.781466,58.78947,13.991649,1155101,1155101,391500,632120,632120,66.67,66.82,900,800,3273792768,31.02,71.19,1.2836894,59.399,49.48805,0.8,0.011539016,USD,3974990592,0.022119999,47830951,48848000,1191436,1307589,1690761600,1693440000,0.024400001,0.023629999,0.95614,3.35,0.0251,28.705,2.3347847,1688083200,1719705600,1688083200,13.769,56000000,1.14,4.79,0.83,2:1,1195171200,1.559,16.716,NYQ,EQUITY,CRS,CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,99153000,America/New_York,EDT,-14400000,67.02,100.0,72.0,81.67,73.0,1.8,buy,3,44500000,0.911,237800000,745699968,1.253,2.79,2550299904,53.413,52.26,0.0257,0.04137,-79375000,14700000,13.548,0.345,0.13226,0.09324,0.048270002,USD,
3,1735 Market Street,15th Floor,Philadelphia,PA,19103,United States,610 208 2000,610 208 3716,https://www.carpentertechnology.com,Metal Fabrication,Industrials,"Carpenter Technology Corporation engages in the manufacture, fabrication, and distribution of specialty metals in the United States, Europe, the Asia Pacific, Mexico, Canada, and internationally. It operates in two segments, Specialty Alloys Operations and Performance Engineered Products. The company offers specialty alloys, including titanium alloys, powder metals, stainless steels, alloy steels, and tool steels, as well as additives, and metal powders and parts. It serves to aerospace, defense, medical, transportation, energy, industrial, and consumer markets. The company was founded in 1889 and is headquartered in Philadelphia, Pennsylvania.",4500,"{'maxAge': 1, 'name': 'Mr. Brian J. Malloy', 'age': 55, 'title': 'Sr. VP & Group Pres of Specialty Alloys Operations Segment', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 668348, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,2,5,3,1693526400,1672444800,86400,2,69.33,68.98,66.51,68.98,69.33,68.98,66.51,68.98,0.8,0.0119,1692576000,0.7018,2.26,1.781466,58.78947,13.991649,1155101,1155101,391500,632120,632120,66.67,66.82,900,800,3273792768,31.02,71.19,1.2836894,59.399,49.48805,0.8,0.011539016,USD,3974990592,0.022119999,47830951,48848000,1191436,1307589,1690761600,1693440000,0.024400001,0.023629999,0.95614,3.35,0.0251,28.705,2.3347847,1688083200,1719705600,1688083200,13.769,56000000,1.14,4.79,0.83,2:1,1195171200,1.559,16.716,NYQ,EQUITY,CRS,CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,99153000,America/New_York,EDT,-14400000,67.02,100.0,72.0,81.67,73.0,1.8,buy,3,44500000,0.911,237800000,745699968,1.253,2.79,2550299904,53.413,52.26,0.0257,0.04137,-79375000,14700000,13.548,0.345,0.13226,0.09324,0.048270002,USD,
4,1735 Market Street,15th Floor,Philadelphia,PA,19103,United States,610 208 2000,610 208 3716,https://www.carpentertechnology.com,Metal Fabrication,Industrials,"Carpenter Technology Corporation engages in the manufacture, fabrication, and distribution of specialty metals in the United States, Europe, the Asia Pacific, Mexico, Canada, and internationally. It operates in two segments, Specialty Alloys Operations and Performance Engineered Products. The company offers specialty alloys, including titanium alloys, powder metals, stainless steels, alloy steels, and tool steels, as well as additives, and metal powders and parts. It serves to aerospace, defense, medical, transportation, energy, industrial, and consumer markets. The company was founded in 1889 and is headquartered in Philadelphia, Pennsylvania.",4500,"{'maxAge': 1, 'name': 'Mr. David  Graf', 'age': 51, 'title': 'VP & Group Pres of Performance Engineered Products Segment', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 618780, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,2,5,3,1693526400,1672444800,86400,2,69.33,68.98,66.51,68.98,69.33,68.98,66.51,68.98,0.8,0.0119,1692576000,0.7018,2.26,1.781466,58.78947,13.991649,1155101,1155101,391500,632120,632120,66.67,66.82,900,800,3273792768,31.02,71.19,1.2836894,59.399,49.48805,0.8,0.011539016,USD,3974990592,0.022119999,47830951,48848000,1191436,1307589,1690761600,1693440000,0.024400001,0.023629999,0.95614,3.35,0.0251,28.705,2.3347847,1688083200,1719705600,1688083200,13.769,56000000,1.14,4.79,0.83,2:1,1195171200,1.559,16.716,NYQ,EQUITY,CRS,CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,99153000,America/New_York,EDT,-14400000,67.02,100.0,72.0,81.67,73.0,1.8,buy,3,44500000,0.911,237800000,745699968,1.253,2.79,2550299904,53.413,52.26,0.0257,0.04137,-79375000,14700000,13.548,0.345,0.13226,0.09324,0.048270002,USD,
5,1735 Market Street,15th Floor,Philadelphia,PA,19103,United States,610 208 2000,610 208 3716,https://www.carpentertechnology.com,Metal Fabrication,Industrials,"Carpenter Technology Corporation engages in the manufacture, fabrication, and distribution of specialty metals in the United States, Europe, the Asia Pacific, Mexico, Canada, and internationally. It operates in two segments, Specialty Alloys Operations and Performance Engineered Products. The company offers specialty alloys, including titanium alloys, powder metals, stainless steels, alloy steels, and tool steels, as well as additives, and metal powders and parts. It serves to aerospace, defense, medical, transportation, energy, industrial, and consumer markets. The company was founded in 1889 and is headquartered in Philadelphia, Pennsylvania.",4500,"{'maxAge': 1, 'name': 'Ms. Elizabeth A. Socci', 'title': 'VP, Controller & Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,2,5,3,1693526400,1672444800,86400,2,69.33,68.98,66.51,68.98,69.33,68.98,66.51,68.98,0.8,0.0119,1692576000,0.7018,2.26,1.781466,58.78947,13.991649,1155101,1155101,391500,632120,632120,66.67,66.82,900,800,3273792768,31.02,71.19,1.2836894,59.399,49.48805,0.8,0.011539016,USD,3974990592,0.022119999,47830951,48848000,1191436,1307589,1690761600,1693440000,0.024400001,0.023629999,0.95614,3.35,0.0251,28.705,2.3347847,1688083200,1719705600,1688083200,13.769,56000000,1.14,4.79,0.83,2:1,1195171200,1.559,16.716,NYQ,EQUITY,CRS,CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,99153000,America/New_York,EDT,-14400000,67.02,100.0,72.0,81.67,73.0,1.8,buy,3,44500000,0.911,237800000,745699968,1.253,2.79,2550299904,53.413,52.26,0.0257,0.04137,-79375000,14700000,13.548,0.345,0.13226,0.09324,0.048270002,USD,
6,1735 Market Street,15th Floor,Philadelphia,PA,19103,United States,610 208 2000,610 208 3716,https://www.carpentertechnology.com,Metal Fabrication,Industrials,"Carpenter Technology Corporation engages in the manufacture, fabrication, and distribution of specialty metals in the United States, Europe, the Asia Pacific, Mexico, Canada, and internationally. It operates in two segments, Specialty Alloys Operations and Performance Engineered Products. The company offers specialty alloys, including titanium alloys, powder metals, stainless steels, alloy steels, and tool steels, as well as additives, and metal powders and parts. It serves to aerospace, defense, medical, transportation, energy, industrial, and consumer markets. The company was founded in 1889 and is headquartered in Philadelphia, Pennsylvania.",4500,"{'maxAge': 1, 'name': 'Dr. Suniti  Moudgil', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,2,5,3,1693526400,1672444800,86400,2,69.33,68.98,66.51,68.98,69.33,68.98,66.51,68.98,0.8,0.0119,1692576000,0.7018,2.26,1.781466,58.78947,13.991649,1155101,1155101,391500,632120,632120,66.67,66.82,900,800,3273792768,31.02,71.19,1.2836894,59.399,49.48805,0.8,0.011539016,USD,3974990592,0.022119999,47830951,48848000,1191436,1307589,1690761600,1693440000,0.024400001,0.023629999,0.95614,3.35,0.0251,28.705,2.3347847,1688083200,1719705600,1688083200,13.769,56000000,1.14,4.79,0.83,2:1,1195171200,1.559,16.716,NYQ,EQUITY,CRS,CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,99153000,America/New_York,EDT,-14400000,67.02,100.0,72.0,81.67,73.0,1.8,buy,3,44500000,0.911,237800000,745699968,1.253,2.79,2550299904,53.413,52.26,0.0257,0.04137,-79375000,14700000,13.548,0.345,0.13226,0.09324,0.048270002,USD,
7,1735 Market Street,15th Floor,Philadelphia,PA,19103,United States,610 208 2000,610 208 3716,https://www.carpentertechnology.com,Metal Fabrication,Industrials,"Carpenter Technology Corporation engages in the manufacture, fabrication, and distribution of specialty metals in the United States, Europe, the Asia Pacific, Mexico, Canada, and internationally. It operates in two segments, Specialty Alloys Operations and Performance Engineered Products. The company offers specialty alloys, including titanium alloys, powder metals, stainless steels, alloy steels, and tool steels, as well as additives, and metal powders and parts. It serves to aerospace, defense, medical, transportation, energy, industrial, and consumer markets. The company was founded in 1889 and is headquartered in Philadelphia, Pennsylvania.",4500,"{'maxAge': 1, 'name': 'Ms. Rachelle H. Thompson', 'title': 'VP & Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,2,5,3,1693526400,1672444800,86400,2,69.33,68.98,66.51,68.98,69.33,68.98,66.51,68.98,0.8,0.0119,1692576000,0.7018,2.26,1.781466,58.78947,13.991649,1155101,1155101,391500,632120,632120,66.67,66.82,900,800,3273792768,31.02,71.19,1.2836894,59.399,49.48805,0.8,0.011539016,USD,3974990592,0.022119999,47830951,48848000,1191436,1307589,1690761600,1693440000,0.024400001,0.023629999,0.95614,3.35,0.0251,28.705,2.3347847,1688083200,1719705600,1688083200,13.769,56000000,1.14,4.79,0.83,2:1,1195171200,1.559,16.716,NYQ,EQUITY,CRS,CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,99153000,America/New_York,EDT,-14400000,67.02,100.0,72.0,81.67,73.0,1.8,buy,3,44500000,0.911,237800000,745699968,1.253,2.79,2550299904,53.413,52.26,0.0257,0.04137,-79375000,14700000,13.548,0.345,0.13226,0.09324,0.048270002,USD,
8,1735 Market Street,15th Floor,Philadelphia,PA,19103,United States,610 208 2000,610 208 3716,https://www.carpentertechnology.com,Metal Fabrication,Industrials,"Carpenter Technology Corporation engages in the manufacture, fabrication, and distribution of specialty metals in the United States, Europe, the Asia Pacific, Mexico, Canada, and internationally. It operates in two segments, Specialty Alloys Operations and Performance Engineered Products. The company offers specialty alloys, including titanium alloys, powder metals, stainless steels, alloy steels, and tool steels, as well as additives, and metal powders and parts. It serves to aerospace, defense, medical, transportation, energy, industrial, and consumer markets. The company was founded in 1889 and is headquartered in Philadelphia, Pennsylvania.",4500,"{'maxAge': 1, 'name': 'Mr. Joseph E. Haniford', 'age': 63, 'title': 'Sr. VP of Continuous Improvement', 'yearBorn': 1959, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,2,5,3,1693526400,1672444800,86400,2,69.33,68.98,66.51,68.98,69.33,68.98,66.51,68.98,0.8,0.0119,1692576000,0.7018,2.26,1.781466,58.78947,13.991649,1155101,1155101,391500,632120,632120,66.67,66.82,900,800,3273792768,31.02,71.19,1.2836894,59.399,49.48805,0.8,0.011539016,USD,3974990592,0.022119999,47830951,48848000,1191436,1307589,1690761600,1693440000,0.024400001,0.023629999,0.95614,3.35,0.0251,28.705,2.3347847,1688083200,1719705600,1688083200,13.769,56000000,1.14,4.79,0.83,2:1,1195171200,1.559,16.716,NYQ,EQUITY,CRS,CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,99153000,America/New_York,EDT,-14400000,67.02,100.0,72.0,81.67,73.0,1.8,buy,3,44500000,0.911,237800000,745699968,1.253,2.79,2550299904,53.413,52.26,0.0257,0.04137,-79375000,14700000,13.548,0.345,0.13226,0.09324,0.048270002,USD,
9,1735 Market Street,15th Floor,Philadelphia,PA,19103,United States,610 208 2000,610 208 3716,https://www.carpentertechnology.com,Metal Fabrication,Industrials,"Carpenter Technology Corporation engages in the manufacture, fabrication, and distribution of specialty metals in the United States, Europe, the Asia Pacific, Mexico, Canada, and internationally. It operates in two segments, Specialty Alloys Operations and Performance Engineered Products. The company offers specialty alloys, including titanium alloys, powder metals, stainless steels, alloy steels, and tool steels, as well as additives, and metal powders and parts. It serves to aerospace, defense, medical, transportation, energy, industrial, and consumer markets. The company was founded in 1889 and is headquartered in Philadelphia, Pennsylvania.",4500,"{'maxAge': 1, 'name': 'Mr. Shakthimani  Logasundaram', 'title': 'Chief Digital Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,2,2,5,3,1693526400,1672444800,86400,2,69.33,68.98,66.51,68.98,69.33,68.98,66.51,68.98,0.8,0.0119,1692576000,0.7018,2.26,1.781466,58.78947,13.991649,1155101,1155101,391500,632120,632120,66.67,66.82,900,800,3273792768,31.02,71.19,1.2836894,59.399,49.48805,0.8,0.011539016,USD,3974990592,0.022119999,47830951,48848000,1191436,1307589,1690761600,1693440000,0.024400001,0.023629999,0.95614,3.35,0.0251,28.705,2.3347847,1688083200,1719705600,1688083200,13.769,56000000,1.14,4.79,0.83,2:1,1195171200,1.559,16.716,NYQ,EQUITY,CRS,CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,99153000,America/New_York,EDT,-14400000,67.02,100.0,72.0,81.67,73.0,1.8,buy,3,44500000,0.911,237800000,745699968,1.253,2.79,2550299904,53.413,52.26,0.0257,0.04137,-79375000,14700000,13.548,0.345,0.13226,0.09324,0.048270002,USD,
