,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,370 St Kilda Road,"Suite 614, Level 6",Melbourne,VIC,3004,Australia,61 3 9686 7000,https://www.keybridge.com.au,Asset Management,Asset Management,Financial Services,Financial Services,Jam Development Capital Ltd is engaged in investment in Australian small and medium enterprises.,"{'maxAge': 1, 'name': 'Mr. Nicholas Francis John Bolton', 'title': 'CEO, MD & Director', 'fiscalYear': 2022, 'totalPay': 388391, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,1537401600,0.0,0.277777,3,3,894,0,0,0.025,0.047,0,0,9744886,0.036,0.07,0.18033749,0.0468,0.050015,0.0,0.0,AUD,9659268,-0.16554001,132455688,207338000,0.37101,0.467,207338000,0.02,2.35,1688083200,1719705600,1688083200,-8945509,-0.04,1.0442:1,1178841600,0.179,-0.32857144,0.14113986,0.005,1537401600,ASX,EQUITY,KBC.AX,KBC.AX,KEYBRIDGE FPO,Keybridge Capital Limited,945817200,Australia/Sydney,AEST,e046c4c5-ceba-3b1e-a7b2-b96fdcecb87c,finmb_9454154,36000000,0.047,none,6179943,0.029,5906514,1.335,1.373,54036940,141.448,0.26,-0.56224996,-1.0362899,-1060016,-4373326,-0.909,-0.01962,0.0,-0.09664,AUD,
1,370 St Kilda Road,"Suite 614, Level 6",Melbourne,VIC,3004,Australia,61 3 9686 7000,https://www.keybridge.com.au,Asset Management,Asset Management,Financial Services,Financial Services,Jam Development Capital Ltd is engaged in investment in Australian small and medium enterprises.,"{'maxAge': 1, 'name': 'Mr. John Dean Patton B.Ec., CA, F Fin', 'title': 'Company Sec. & Non-Exec. Director', 'fiscalYear': 2022, 'totalPay': 61395, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,1537401600,0.0,0.277777,3,3,894,0,0,0.025,0.047,0,0,9744886,0.036,0.07,0.18033749,0.0468,0.050015,0.0,0.0,AUD,9659268,-0.16554001,132455688,207338000,0.37101,0.467,207338000,0.02,2.35,1688083200,1719705600,1688083200,-8945509,-0.04,1.0442:1,1178841600,0.179,-0.32857144,0.14113986,0.005,1537401600,ASX,EQUITY,KBC.AX,KBC.AX,KEYBRIDGE FPO,Keybridge Capital Limited,945817200,Australia/Sydney,AEST,e046c4c5-ceba-3b1e-a7b2-b96fdcecb87c,finmb_9454154,36000000,0.047,none,6179943,0.029,5906514,1.335,1.373,54036940,141.448,0.26,-0.56224996,-1.0362899,-1060016,-4373326,-0.909,-0.01962,0.0,-0.09664,AUD,
2,370 St Kilda Road,"Suite 614, Level 6",Melbourne,VIC,3004,Australia,61 3 9686 7000,https://www.keybridge.com.au,Asset Management,Asset Management,Financial Services,Financial Services,Jam Development Capital Ltd is engaged in investment in Australian small and medium enterprises.,"{'maxAge': 1, 'name': 'Ms. Janet  Robertson', 'title': 'Head of Corp. Support & Marketing of Mariner Financial Group', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,1537401600,0.0,0.277777,3,3,894,0,0,0.025,0.047,0,0,9744886,0.036,0.07,0.18033749,0.0468,0.050015,0.0,0.0,AUD,9659268,-0.16554001,132455688,207338000,0.37101,0.467,207338000,0.02,2.35,1688083200,1719705600,1688083200,-8945509,-0.04,1.0442:1,1178841600,0.179,-0.32857144,0.14113986,0.005,1537401600,ASX,EQUITY,KBC.AX,KBC.AX,KEYBRIDGE FPO,Keybridge Capital Limited,945817200,Australia/Sydney,AEST,e046c4c5-ceba-3b1e-a7b2-b96fdcecb87c,finmb_9454154,36000000,0.047,none,6179943,0.029,5906514,1.335,1.373,54036940,141.448,0.26,-0.56224996,-1.0362899,-1060016,-4373326,-0.909,-0.01962,0.0,-0.09664,AUD,
