,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,20 Iroquois Street,Niagara Falls,NY,14303,United States,716-278-0015,716-242-7989,https://www.plastic2oil.com,Waste Management,Industrials,"Plastic2Oil, Inc. engages in the transforming waste plastics to oil and other fuel products in the United States. It produces light and heavy fuel products, such as naphtha, fuel oil No. 2 and fuel oil No. 6. The company also produces by-products, including a reusable off-gas similar to natural gas and a carbon residue known as petcoke. Plastic2Oil, Inc. sells its products through fuel wholesalers, as well as directly to commercial and industrial end-users. The company was formerly known as JBI, Inc. and changed its name to Plastic2Oil, Inc. in August 2014. Plastic2Oil, Inc. was incorporated in 2006 and is headquartered in Niagara Falls, New York.","{'maxAge': 1, 'name': 'Mr. Richard W. Heddle', 'age': 56, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1966, 'fiscalYear': 2018, 'totalPay': 240000, 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,0.00459,0.006,0.0013,0.006,0.00459,0.006,0.0013,0.006,0.0,1.186376,0.00034391534,5550,5550,28246,22272,22272,2632357,0.0007,0.0145,0.0031988,0.00467775,0.0,0.0,USD,12041181,0.0,117348137,124756000,0.0,0.0,-0.13,1546214400,1577750400,1569801600,-2558682,-0.0,3.78,-21.057,PNK,EQUITY,PTOI,PTOI,PLASTIC2OIL INC,"Plastic2Oil, Inc.",1201098600,America/New_York,EDT,-14400000,0.0013,none,1033,0.0,-571830,11880031,0.0,0.001,-0.35197,-809330,-437340,0.0,0.0,0.0,USD,
1,20 Iroquois Street,Niagara Falls,NY,14303,United States,716-278-0015,716-242-7989,https://www.plastic2oil.com,Waste Management,Industrials,"Plastic2Oil, Inc. engages in the transforming waste plastics to oil and other fuel products in the United States. It produces light and heavy fuel products, such as naphtha, fuel oil No. 2 and fuel oil No. 6. The company also produces by-products, including a reusable off-gas similar to natural gas and a carbon residue known as petcoke. Plastic2Oil, Inc. sells its products through fuel wholesalers, as well as directly to commercial and industrial end-users. The company was formerly known as JBI, Inc. and changed its name to Plastic2Oil, Inc. in August 2014. Plastic2Oil, Inc. was incorporated in 2006 and is headquartered in Niagara Falls, New York.","{'maxAge': 1, 'name': 'Mr. Steven  Bacon', 'title': 'Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",1546214400,86400,4,0.00459,0.006,0.0013,0.006,0.00459,0.006,0.0013,0.006,0.0,1.186376,0.00034391534,5550,5550,28246,22272,22272,2632357,0.0007,0.0145,0.0031988,0.00467775,0.0,0.0,USD,12041181,0.0,117348137,124756000,0.0,0.0,-0.13,1546214400,1577750400,1569801600,-2558682,-0.0,3.78,-21.057,PNK,EQUITY,PTOI,PTOI,PLASTIC2OIL INC,"Plastic2Oil, Inc.",1201098600,America/New_York,EDT,-14400000,0.0013,none,1033,0.0,-571830,11880031,0.0,0.001,-0.35197,-809330,-437340,0.0,0.0,0.0,USD,
