,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Toyosu Center Building,3-3-3 Toyosu Koto-ku,Tokyo,135-6033,Japan,81 3 5546 8202,https://www.nttdata.com,Information Technology Services,Technology,"NTT DATA Group Corporation provides IT and business services worldwide. It offers cloud, cybersecurity, data and intelligence, salesforce, SAP, ServiceNow, and application development and management, as well as 5G services. The company also provides consulting, industry solutions, business process services, and IT modernization and managed services. It serves automotive, healthcare, life sciences, media, banking, and insurance industries. The company was formerly known as NTT DATA Corporation. NTT DATA Group Corporation was founded in 1988 and is headquartered in Tokyo, Japan. NTT DATA Group Corporation is a subsidiary of Nippon Telegraph and Telephone Corporation.",195106,"{'maxAge': 1, 'name': 'Mr. Yo  Honma', 'age': 66, 'title': 'Pres, CEO & Representative Director', 'yearBorn': 1956, 'fiscalYear': 2023, 'totalPay': 583080, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,2,4,1693526400,1703980800,86400,2,13.6,13.5,13.5,13.5,13.6,13.5,13.5,13.5,0.15,0.0115,1695859200,0.2237,1.17,0.842342,21.428572,387,387,22,38,38,13.3,13.7,0,0,19365883904,11.5,14.8,0.0050593135,12.24,12.8635,22.0,1.617647,EUR,2610771787776,0.03602,572840087,1402489984,0.58752996,0.20347,1108.41,0.012179608,1680220800,1711843200,1688083200,-0.304,137895002112,0.63,5:1,1498608000,0.682,4.676,FRA,EQUITY,NT5.F,NT5.F,NTT DATA GROUP CORP.,NTT DATA Group Corporation,946882800,Europe/Berlin,CEST,7200000,13.5,none,586558013440,418.375,558343979008,2171722006528,0.89,1.202,3827769016320,84.811,2730.12,0.03341,0.07615,922234000000,-184872370176,454679003136,-0.304,0.498,0.26424998,0.14587,0.06741,JPY,
1,Toyosu Center Building,3-3-3 Toyosu Koto-ku,Tokyo,135-6033,Japan,81 3 5546 8202,https://www.nttdata.com,Information Technology Services,Technology,"NTT DATA Group Corporation provides IT and business services worldwide. It offers cloud, cybersecurity, data and intelligence, salesforce, SAP, ServiceNow, and application development and management, as well as 5G services. The company also provides consulting, industry solutions, business process services, and IT modernization and managed services. It serves automotive, healthcare, life sciences, media, banking, and insurance industries. The company was formerly known as NTT DATA Corporation. NTT DATA Group Corporation was founded in 1988 and is headquartered in Tokyo, Japan. NTT DATA Group Corporation is a subsidiary of Nippon Telegraph and Telephone Corporation.",195106,"{'maxAge': 1, 'name': 'Kazuo  Kakeya', 'title': 'Sr. VP & Head of Fin. Department - Corp. Headquarters', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,2,4,1693526400,1703980800,86400,2,13.6,13.5,13.5,13.5,13.6,13.5,13.5,13.5,0.15,0.0115,1695859200,0.2237,1.17,0.842342,21.428572,387,387,22,38,38,13.3,13.7,0,0,19365883904,11.5,14.8,0.0050593135,12.24,12.8635,22.0,1.617647,EUR,2610771787776,0.03602,572840087,1402489984,0.58752996,0.20347,1108.41,0.012179608,1680220800,1711843200,1688083200,-0.304,137895002112,0.63,5:1,1498608000,0.682,4.676,FRA,EQUITY,NT5.F,NT5.F,NTT DATA GROUP CORP.,NTT DATA Group Corporation,946882800,Europe/Berlin,CEST,7200000,13.5,none,586558013440,418.375,558343979008,2171722006528,0.89,1.202,3827769016320,84.811,2730.12,0.03341,0.07615,922234000000,-184872370176,454679003136,-0.304,0.498,0.26424998,0.14587,0.06741,JPY,
2,Toyosu Center Building,3-3-3 Toyosu Koto-ku,Tokyo,135-6033,Japan,81 3 5546 8202,https://www.nttdata.com,Information Technology Services,Technology,"NTT DATA Group Corporation provides IT and business services worldwide. It offers cloud, cybersecurity, data and intelligence, salesforce, SAP, ServiceNow, and application development and management, as well as 5G services. The company also provides consulting, industry solutions, business process services, and IT modernization and managed services. It serves automotive, healthcare, life sciences, media, banking, and insurance industries. The company was formerly known as NTT DATA Corporation. NTT DATA Group Corporation was founded in 1988 and is headquartered in Tokyo, Japan. NTT DATA Group Corporation is a subsidiary of Nippon Telegraph and Telephone Corporation.",195106,"{'maxAge': 1, 'name': 'Hiroshi  Tomiyasu', 'title': 'Sr. VP and Head of Technology & Innovation Gen. Headquarters', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,2,4,1693526400,1703980800,86400,2,13.6,13.5,13.5,13.5,13.6,13.5,13.5,13.5,0.15,0.0115,1695859200,0.2237,1.17,0.842342,21.428572,387,387,22,38,38,13.3,13.7,0,0,19365883904,11.5,14.8,0.0050593135,12.24,12.8635,22.0,1.617647,EUR,2610771787776,0.03602,572840087,1402489984,0.58752996,0.20347,1108.41,0.012179608,1680220800,1711843200,1688083200,-0.304,137895002112,0.63,5:1,1498608000,0.682,4.676,FRA,EQUITY,NT5.F,NT5.F,NTT DATA GROUP CORP.,NTT DATA Group Corporation,946882800,Europe/Berlin,CEST,7200000,13.5,none,586558013440,418.375,558343979008,2171722006528,0.89,1.202,3827769016320,84.811,2730.12,0.03341,0.07615,922234000000,-184872370176,454679003136,-0.304,0.498,0.26424998,0.14587,0.06741,JPY,
3,Toyosu Center Building,3-3-3 Toyosu Koto-ku,Tokyo,135-6033,Japan,81 3 5546 8202,https://www.nttdata.com,Information Technology Services,Technology,"NTT DATA Group Corporation provides IT and business services worldwide. It offers cloud, cybersecurity, data and intelligence, salesforce, SAP, ServiceNow, and application development and management, as well as 5G services. The company also provides consulting, industry solutions, business process services, and IT modernization and managed services. It serves automotive, healthcare, life sciences, media, banking, and insurance industries. The company was formerly known as NTT DATA Corporation. NTT DATA Group Corporation was founded in 1988 and is headquartered in Tokyo, Japan. NTT DATA Group Corporation is a subsidiary of Nippon Telegraph and Telephone Corporation.",195106,"{'maxAge': 1, 'name': 'Sota  Endo', 'title': 'Sr. Exec. Mang. of Investor Relations Office', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,2,4,1693526400,1703980800,86400,2,13.6,13.5,13.5,13.5,13.6,13.5,13.5,13.5,0.15,0.0115,1695859200,0.2237,1.17,0.842342,21.428572,387,387,22,38,38,13.3,13.7,0,0,19365883904,11.5,14.8,0.0050593135,12.24,12.8635,22.0,1.617647,EUR,2610771787776,0.03602,572840087,1402489984,0.58752996,0.20347,1108.41,0.012179608,1680220800,1711843200,1688083200,-0.304,137895002112,0.63,5:1,1498608000,0.682,4.676,FRA,EQUITY,NT5.F,NT5.F,NTT DATA GROUP CORP.,NTT DATA Group Corporation,946882800,Europe/Berlin,CEST,7200000,13.5,none,586558013440,418.375,558343979008,2171722006528,0.89,1.202,3827769016320,84.811,2730.12,0.03341,0.07615,922234000000,-184872370176,454679003136,-0.304,0.498,0.26424998,0.14587,0.06741,JPY,
4,Toyosu Center Building,3-3-3 Toyosu Koto-ku,Tokyo,135-6033,Japan,81 3 5546 8202,https://www.nttdata.com,Information Technology Services,Technology,"NTT DATA Group Corporation provides IT and business services worldwide. It offers cloud, cybersecurity, data and intelligence, salesforce, SAP, ServiceNow, and application development and management, as well as 5G services. The company also provides consulting, industry solutions, business process services, and IT modernization and managed services. It serves automotive, healthcare, life sciences, media, banking, and insurance industries. The company was formerly known as NTT DATA Corporation. NTT DATA Group Corporation was founded in 1988 and is headquartered in Tokyo, Japan. NTT DATA Group Corporation is a subsidiary of Nippon Telegraph and Telephone Corporation.",195106,"{'maxAge': 1, 'name': 'Mr. Robb  Rasmussen', 'title': 'Head of Global Marketing Hqtrs., Head of Global Acc. & Industries Div. and Global Marketing Hqtrs.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,2,4,1693526400,1703980800,86400,2,13.6,13.5,13.5,13.5,13.6,13.5,13.5,13.5,0.15,0.0115,1695859200,0.2237,1.17,0.842342,21.428572,387,387,22,38,38,13.3,13.7,0,0,19365883904,11.5,14.8,0.0050593135,12.24,12.8635,22.0,1.617647,EUR,2610771787776,0.03602,572840087,1402489984,0.58752996,0.20347,1108.41,0.012179608,1680220800,1711843200,1688083200,-0.304,137895002112,0.63,5:1,1498608000,0.682,4.676,FRA,EQUITY,NT5.F,NT5.F,NTT DATA GROUP CORP.,NTT DATA Group Corporation,946882800,Europe/Berlin,CEST,7200000,13.5,none,586558013440,418.375,558343979008,2171722006528,0.89,1.202,3827769016320,84.811,2730.12,0.03341,0.07615,922234000000,-184872370176,454679003136,-0.304,0.498,0.26424998,0.14587,0.06741,JPY,
5,Toyosu Center Building,3-3-3 Toyosu Koto-ku,Tokyo,135-6033,Japan,81 3 5546 8202,https://www.nttdata.com,Information Technology Services,Technology,"NTT DATA Group Corporation provides IT and business services worldwide. It offers cloud, cybersecurity, data and intelligence, salesforce, SAP, ServiceNow, and application development and management, as well as 5G services. The company also provides consulting, industry solutions, business process services, and IT modernization and managed services. It serves automotive, healthcare, life sciences, media, banking, and insurance industries. The company was formerly known as NTT DATA Corporation. NTT DATA Group Corporation was founded in 1988 and is headquartered in Tokyo, Japan. NTT DATA Group Corporation is a subsidiary of Nippon Telegraph and Telephone Corporation.",195106,"{'maxAge': 1, 'name': 'Mr. Kazuhiro  Nishihata', 'age': 65, 'title': 'Sr. EVP & Director', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,2,4,1693526400,1703980800,86400,2,13.6,13.5,13.5,13.5,13.6,13.5,13.5,13.5,0.15,0.0115,1695859200,0.2237,1.17,0.842342,21.428572,387,387,22,38,38,13.3,13.7,0,0,19365883904,11.5,14.8,0.0050593135,12.24,12.8635,22.0,1.617647,EUR,2610771787776,0.03602,572840087,1402489984,0.58752996,0.20347,1108.41,0.012179608,1680220800,1711843200,1688083200,-0.304,137895002112,0.63,5:1,1498608000,0.682,4.676,FRA,EQUITY,NT5.F,NT5.F,NTT DATA GROUP CORP.,NTT DATA Group Corporation,946882800,Europe/Berlin,CEST,7200000,13.5,none,586558013440,418.375,558343979008,2171722006528,0.89,1.202,3827769016320,84.811,2730.12,0.03341,0.07615,922234000000,-184872370176,454679003136,-0.304,0.498,0.26424998,0.14587,0.06741,JPY,
6,Toyosu Center Building,3-3-3 Toyosu Koto-ku,Tokyo,135-6033,Japan,81 3 5546 8202,https://www.nttdata.com,Information Technology Services,Technology,"NTT DATA Group Corporation provides IT and business services worldwide. It offers cloud, cybersecurity, data and intelligence, salesforce, SAP, ServiceNow, and application development and management, as well as 5G services. The company also provides consulting, industry solutions, business process services, and IT modernization and managed services. It serves automotive, healthcare, life sciences, media, banking, and insurance industries. The company was formerly known as NTT DATA Corporation. NTT DATA Group Corporation was founded in 1988 and is headquartered in Tokyo, Japan. NTT DATA Group Corporation is a subsidiary of Nippon Telegraph and Telephone Corporation.",195106,"{'maxAge': 1, 'name': 'Mr. Tadashi  Uhira', 'title': 'Sr. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,2,4,1693526400,1703980800,86400,2,13.6,13.5,13.5,13.5,13.6,13.5,13.5,13.5,0.15,0.0115,1695859200,0.2237,1.17,0.842342,21.428572,387,387,22,38,38,13.3,13.7,0,0,19365883904,11.5,14.8,0.0050593135,12.24,12.8635,22.0,1.617647,EUR,2610771787776,0.03602,572840087,1402489984,0.58752996,0.20347,1108.41,0.012179608,1680220800,1711843200,1688083200,-0.304,137895002112,0.63,5:1,1498608000,0.682,4.676,FRA,EQUITY,NT5.F,NT5.F,NTT DATA GROUP CORP.,NTT DATA Group Corporation,946882800,Europe/Berlin,CEST,7200000,13.5,none,586558013440,418.375,558343979008,2171722006528,0.89,1.202,3827769016320,84.811,2730.12,0.03341,0.07615,922234000000,-184872370176,454679003136,-0.304,0.498,0.26424998,0.14587,0.06741,JPY,
7,Toyosu Center Building,3-3-3 Toyosu Koto-ku,Tokyo,135-6033,Japan,81 3 5546 8202,https://www.nttdata.com,Information Technology Services,Technology,"NTT DATA Group Corporation provides IT and business services worldwide. It offers cloud, cybersecurity, data and intelligence, salesforce, SAP, ServiceNow, and application development and management, as well as 5G services. The company also provides consulting, industry solutions, business process services, and IT modernization and managed services. It serves automotive, healthcare, life sciences, media, banking, and insurance industries. The company was formerly known as NTT DATA Corporation. NTT DATA Group Corporation was founded in 1988 and is headquartered in Tokyo, Japan. NTT DATA Group Corporation is a subsidiary of Nippon Telegraph and Telephone Corporation.",195106,"{'maxAge': 1, 'name': 'Shinichiro  Miyake', 'title': 'Sr. VP & Head of Fourth Financial Sector', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,2,4,1693526400,1703980800,86400,2,13.6,13.5,13.5,13.5,13.6,13.5,13.5,13.5,0.15,0.0115,1695859200,0.2237,1.17,0.842342,21.428572,387,387,22,38,38,13.3,13.7,0,0,19365883904,11.5,14.8,0.0050593135,12.24,12.8635,22.0,1.617647,EUR,2610771787776,0.03602,572840087,1402489984,0.58752996,0.20347,1108.41,0.012179608,1680220800,1711843200,1688083200,-0.304,137895002112,0.63,5:1,1498608000,0.682,4.676,FRA,EQUITY,NT5.F,NT5.F,NTT DATA GROUP CORP.,NTT DATA Group Corporation,946882800,Europe/Berlin,CEST,7200000,13.5,none,586558013440,418.375,558343979008,2171722006528,0.89,1.202,3827769016320,84.811,2730.12,0.03341,0.07615,922234000000,-184872370176,454679003136,-0.304,0.498,0.26424998,0.14587,0.06741,JPY,
8,Toyosu Center Building,3-3-3 Toyosu Koto-ku,Tokyo,135-6033,Japan,81 3 5546 8202,https://www.nttdata.com,Information Technology Services,Technology,"NTT DATA Group Corporation provides IT and business services worldwide. It offers cloud, cybersecurity, data and intelligence, salesforce, SAP, ServiceNow, and application development and management, as well as 5G services. The company also provides consulting, industry solutions, business process services, and IT modernization and managed services. It serves automotive, healthcare, life sciences, media, banking, and insurance industries. The company was formerly known as NTT DATA Corporation. NTT DATA Group Corporation was founded in 1988 and is headquartered in Tokyo, Japan. NTT DATA Group Corporation is a subsidiary of Nippon Telegraph and Telephone Corporation.",195106,"{'maxAge': 1, 'name': 'Mr. Yutaka  Sasaki', 'age': 57, 'title': 'Representative Director, Sr. EVP & CEO of NTT DATA Japan', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,2,4,1693526400,1703980800,86400,2,13.6,13.5,13.5,13.5,13.6,13.5,13.5,13.5,0.15,0.0115,1695859200,0.2237,1.17,0.842342,21.428572,387,387,22,38,38,13.3,13.7,0,0,19365883904,11.5,14.8,0.0050593135,12.24,12.8635,22.0,1.617647,EUR,2610771787776,0.03602,572840087,1402489984,0.58752996,0.20347,1108.41,0.012179608,1680220800,1711843200,1688083200,-0.304,137895002112,0.63,5:1,1498608000,0.682,4.676,FRA,EQUITY,NT5.F,NT5.F,NTT DATA GROUP CORP.,NTT DATA Group Corporation,946882800,Europe/Berlin,CEST,7200000,13.5,none,586558013440,418.375,558343979008,2171722006528,0.89,1.202,3827769016320,84.811,2730.12,0.03341,0.07615,922234000000,-184872370176,454679003136,-0.304,0.498,0.26424998,0.14587,0.06741,JPY,
9,Toyosu Center Building,3-3-3 Toyosu Koto-ku,Tokyo,135-6033,Japan,81 3 5546 8202,https://www.nttdata.com,Information Technology Services,Technology,"NTT DATA Group Corporation provides IT and business services worldwide. It offers cloud, cybersecurity, data and intelligence, salesforce, SAP, ServiceNow, and application development and management, as well as 5G services. The company also provides consulting, industry solutions, business process services, and IT modernization and managed services. It serves automotive, healthcare, life sciences, media, banking, and insurance industries. The company was formerly known as NTT DATA Corporation. NTT DATA Group Corporation was founded in 1988 and is headquartered in Tokyo, Japan. NTT DATA Group Corporation is a subsidiary of Nippon Telegraph and Telephone Corporation.",195106,"{'maxAge': 1, 'name': 'Mr. Ken  Tsuchihashi', 'age': 59, 'title': 'Sr. VP and Head of China & APAC Sector', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,5,2,4,1693526400,1703980800,86400,2,13.6,13.5,13.5,13.5,13.6,13.5,13.5,13.5,0.15,0.0115,1695859200,0.2237,1.17,0.842342,21.428572,387,387,22,38,38,13.3,13.7,0,0,19365883904,11.5,14.8,0.0050593135,12.24,12.8635,22.0,1.617647,EUR,2610771787776,0.03602,572840087,1402489984,0.58752996,0.20347,1108.41,0.012179608,1680220800,1711843200,1688083200,-0.304,137895002112,0.63,5:1,1498608000,0.682,4.676,FRA,EQUITY,NT5.F,NT5.F,NTT DATA GROUP CORP.,NTT DATA Group Corporation,946882800,Europe/Berlin,CEST,7200000,13.5,none,586558013440,418.375,558343979008,2171722006528,0.89,1.202,3827769016320,84.811,2730.12,0.03341,0.07615,922234000000,-184872370176,454679003136,-0.304,0.498,0.26424998,0.14587,0.06741,JPY,
