,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,750 West Pender Street,Suite 804,Vancouver,BC,V6C 2T7,Canada,604 833 4278,604 685 6905,https://canamexgold.com,Gold,Basic Materials,"Canamex Gold Corp. engages in the acquisition, exploration, and development of mining properties. Its flagship property is the Bruner gold project, which comprises unpatented and patented mining claims covering a total of approximately 3,520 acres located in central Nevada, the United States. The company was formerly known as Canamex Resources Corp. and changed its name to Canamex Gold Corp. in November 2017. Canamex Gold Corp. was founded in 1987 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. David John Vincent B.E.', 'title': 'Pres, CEO & Director', 'fiscalYear': 2020, 'totalPay': 75466, 'exercisedValue': 0, 'unexercisedValue': 0}",1609372800,86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.29864,1250,1250,1278,0,0,0.0,0.0,0,0,18707,1e-06,0.0001,8.02e-05,3.52e-05,0.0,0.0,USD,5522033,0.0,56390034,61496100,0.08303001,0.0,0.024,4.1666666e-05,1546214400,1577750400,1569801600,-4497119,-0.06,1:4,1476921600,PNK,EQUITY,CNMXF,CNMXF,CANAMEX GOLD CORP,Canamex Gold Corp.,1330439400,America/New_York,EDT,-14400000,1e-06,none,72529,0.001,5594501,0.013,0.013,382.173,-0.16361,-1.22887,-1979068,-144177,0.0,0.0,0.0,CAD,
1,750 West Pender Street,Suite 804,Vancouver,BC,V6C 2T7,Canada,604 833 4278,604 685 6905,https://canamexgold.com,Gold,Basic Materials,"Canamex Gold Corp. engages in the acquisition, exploration, and development of mining properties. Its flagship property is the Bruner gold project, which comprises unpatented and patented mining claims covering a total of approximately 3,520 acres located in central Nevada, the United States. The company was formerly known as Canamex Resources Corp. and changed its name to Canamex Gold Corp. in November 2017. Canamex Gold Corp. was founded in 1987 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Dong Hyun  Shim (Illinois), B.B.A., C.A., CPA, CA, CPA', 'age': 38, 'title': 'CFO & Sec.', 'yearBorn': 1984, 'fiscalYear': 2020, 'totalPay': 26635, 'exercisedValue': 0, 'unexercisedValue': 0}",1609372800,86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.29864,1250,1250,1278,0,0,0.0,0.0,0,0,18707,1e-06,0.0001,8.02e-05,3.52e-05,0.0,0.0,USD,5522033,0.0,56390034,61496100,0.08303001,0.0,0.024,4.1666666e-05,1546214400,1577750400,1569801600,-4497119,-0.06,1:4,1476921600,PNK,EQUITY,CNMXF,CNMXF,CANAMEX GOLD CORP,Canamex Gold Corp.,1330439400,America/New_York,EDT,-14400000,1e-06,none,72529,0.001,5594501,0.013,0.013,382.173,-0.16361,-1.22887,-1979068,-144177,0.0,0.0,0.0,CAD,
2,750 West Pender Street,Suite 804,Vancouver,BC,V6C 2T7,Canada,604 833 4278,604 685 6905,https://canamexgold.com,Gold,Basic Materials,"Canamex Gold Corp. engages in the acquisition, exploration, and development of mining properties. Its flagship property is the Bruner gold project, which comprises unpatented and patented mining claims covering a total of approximately 3,520 acres located in central Nevada, the United States. The company was formerly known as Canamex Resources Corp. and changed its name to Canamex Gold Corp. in November 2017. Canamex Gold Corp. was founded in 1987 and is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Gregory A. Hahn B.A, CPG, M.S., P.Geo.', 'age': 70, 'title': 'VP & Exec. Director', 'yearBorn': 1952, 'fiscalYear': 2020, 'totalPay': 55490, 'exercisedValue': 0, 'unexercisedValue': 0}",1609372800,86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.29864,1250,1250,1278,0,0,0.0,0.0,0,0,18707,1e-06,0.0001,8.02e-05,3.52e-05,0.0,0.0,USD,5522033,0.0,56390034,61496100,0.08303001,0.0,0.024,4.1666666e-05,1546214400,1577750400,1569801600,-4497119,-0.06,1:4,1476921600,PNK,EQUITY,CNMXF,CNMXF,CANAMEX GOLD CORP,Canamex Gold Corp.,1330439400,America/New_York,EDT,-14400000,1e-06,none,72529,0.001,5594501,0.013,0.013,382.173,-0.16361,-1.22887,-1979068,-144177,0.0,0.0,0.0,CAD,
