,address1,city,state,zip,country,phone,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,6619 North Scottsdale Road,Scottsdale,AZ,85250,United States,480-296-2065,Business Services,Services,"Intertech Solutions , Inc. operates as gold project finance, management, and services consulting company in Arizona. The company provides development capital, engineering, project supervision, and technical management services to gold projects. It has a gold stream agreement with West Port Gold for the West Port Gold project in Arizona. The company was formerly known as Amwest Imaging Incorporated and changed its name to Intertech Solutions , Inc. in July 2013. Intertech Solutions, Inc. was founded in 2010 and is based in Scottsdale, Arizona.","{'maxAge': 1, 'name': 'Mr. Patrick  Kadlec', 'age': 77, 'title': 'Treasurer and Director', 'yearBorn': 1945, 'fiscalYear': 2012, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1356912000,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,35.897472,1,1,1727,600,600,0.0,0.0,0,0,115834,0.0001,0.011,47.395252,0.00072058826,0.0014642336,0.0,0.0,USD,87414,0.0,74513600,0.0,0.0,1.229,8.136696e-05,1362009600,1393545600,1362009600,-608660,-2.184,1:2000,1375228800,35.767,-0.337,PNK,EQUITY,ITEC,ITEC,INTERTECH SOLUTIONS INC,"Intertech Solutions , Inc.",1320676200,America/New_York,EDT,-14400000,0.0001,none,115,0.0,-259249,87500,0.0,1.002,2444,24.087,0.009,-0.39946997,-0.8918,-361058,188729,-5824,-0.884,0.0,0.0,-254.8122,USD,
1,6619 North Scottsdale Road,Scottsdale,AZ,85250,United States,480-296-2065,Business Services,Services,"Intertech Solutions , Inc. operates as gold project finance, management, and services consulting company in Arizona. The company provides development capital, engineering, project supervision, and technical management services to gold projects. It has a gold stream agreement with West Port Gold for the West Port Gold project in Arizona. The company was formerly known as Amwest Imaging Incorporated and changed its name to Intertech Solutions , Inc. in July 2013. Intertech Solutions, Inc. was founded in 2010 and is based in Scottsdale, Arizona.","{'maxAge': 1, 'name': 'Mr. David  Naylor', 'title': 'Chief Financial Officer and Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1356912000,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,35.897472,1,1,1727,600,600,0.0,0.0,0,0,115834,0.0001,0.011,47.395252,0.00072058826,0.0014642336,0.0,0.0,USD,87414,0.0,74513600,0.0,0.0,1.229,8.136696e-05,1362009600,1393545600,1362009600,-608660,-2.184,1:2000,1375228800,35.767,-0.337,PNK,EQUITY,ITEC,ITEC,INTERTECH SOLUTIONS INC,"Intertech Solutions , Inc.",1320676200,America/New_York,EDT,-14400000,0.0001,none,115,0.0,-259249,87500,0.0,1.002,2444,24.087,0.009,-0.39946997,-0.8918,-361058,188729,-5824,-0.884,0.0,0.0,-254.8122,USD,
