,address1,address2,city,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Sen Tou Zhi Gu Building,7th Floor Block 412 Bagua 4th Road Futian District,Shenzhen,China,https://www.shirble.net,Department Stores,Consumer Cyclical,"Shirble Department Store Holdings (China) Limited, an investment holding company, operates and manages department stores and community shopping malls in the People's Republic of China. It also offers property development, consulting, trading, decoration design, and software development services. The company was founded in 1996 and is headquartered in Shenzhen, the People's Republic of China. Shirble Department Store Holdings (China) Limited is a subsidiary of Shirble Department Store Limited.",236,"{'maxAge': 1, 'name': 'Mr. Ti Wei  Yang', 'age': 35, 'title': 'Deputy Exec. Chairman of Board & CEO', 'yearBorn': 1987, 'fiscalYear': 2022, 'totalPay': 244230, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.066,0.068,0.068,0.068,0.066,0.068,0.068,0.068,1600214400,0.0,-0.390765,100000,100000,113365,58600,58600,0.057,0.064,0,0,159680016,0.053,0.149,0.72818816,0.07222,0.08629,0.0,0.0,HKD,1309575040,-2.23714,2118255000,2495000064,0.7051,0.0,0.425,0.15058824,1672444800,1703980800,1688083200,-490569984,-0.21,5.972,13.877,HKG,EQUITY,0312.HK,0312.HK,SHIRBLE STORE,Shirble Department Store Holdings (China) Limited,1052357400,Asia/Hong_Kong,HKT,28800000,0.064,none,65477000,0.026,94371000,1215940992,0.133,0.515,219284000,114.811,0.088,0.01653,-0.38342997,-0.021,0.97613996,0.43036,0.39276,CNY,
1,Sen Tou Zhi Gu Building,7th Floor Block 412 Bagua 4th Road Futian District,Shenzhen,China,https://www.shirble.net,Department Stores,Consumer Cyclical,"Shirble Department Store Holdings (China) Limited, an investment holding company, operates and manages department stores and community shopping malls in the People's Republic of China. It also offers property development, consulting, trading, decoration design, and software development services. The company was founded in 1996 and is headquartered in Shenzhen, the People's Republic of China. Shirble Department Store Holdings (China) Limited is a subsidiary of Shirble Department Store Limited.",236,"{'maxAge': 1, 'name': 'Mr. Chun Pong Chow', 'age': 44, 'title': 'Company Sec.', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.066,0.068,0.068,0.068,0.066,0.068,0.068,0.068,1600214400,0.0,-0.390765,100000,100000,113365,58600,58600,0.057,0.064,0,0,159680016,0.053,0.149,0.72818816,0.07222,0.08629,0.0,0.0,HKD,1309575040,-2.23714,2118255000,2495000064,0.7051,0.0,0.425,0.15058824,1672444800,1703980800,1688083200,-490569984,-0.21,5.972,13.877,HKG,EQUITY,0312.HK,0312.HK,SHIRBLE STORE,Shirble Department Store Holdings (China) Limited,1052357400,Asia/Hong_Kong,HKT,28800000,0.064,none,65477000,0.026,94371000,1215940992,0.133,0.515,219284000,114.811,0.088,0.01653,-0.38342997,-0.021,0.97613996,0.43036,0.39276,CNY,
