,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,RioCan Yonge Eglinton Centre,"2300 Yonge Street, Suite 500",Toronto,ON,M4P 1E4,Canada,416 866 3033,416 866 3020,https://www.riocan.com,REIT—Retail,Real Estate,"RioCan is one of Canada's largest real estate investment trusts. RioCan owns, manages and develops retail-focused, increasingly mixed-use properties located in prime, high-density transit-oriented areas where Canadians want to shop, live and work. As at June 30, 2023, our portfolio is comprised of 193 properties with an aggregate net leasable area of approximately 33.5 million square feet (at RioCan's interest) including office, residential rental and 11 development properties.",581,"{'maxAge': 1, 'name': 'Mr. Jonathan  Gitlin', 'age': 49, 'title': 'Pres, CEO & Non-Independent Trustee', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 1568032, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,8,1,5,1693526400,1672444800,86400,2,14.55,13.98,13.98,14.68,14.55,13.98,13.98,14.68,0.79,0.0542,1693353600,1.3571,5.99,1.184072,25.754387,3131,3131,10648,15910,15910,4433712640,12.99,17.65,3.6812625,14.5652,15.3019,1.045,0.0718213,USD,11226127360,0.18948999,298927795,300400000,0.00263,0.34452,25.998,0.5646588,1672444800,1703980800,1688083200,0.427,228224992,0.57,9.321,16.608,PNK,EQUITY,RIOCF,RIOCF,RIOCAN REAL ESTATE INVESTMENT T,RioCan Real Estate Investment Trust,1132065000,America/New_York,EDT,-14400000,14.68,none,267423008,0.89,675955008,7122734080,0.167,0.47,1204400000,91.2,3.992,0.027090002,0.028970001,727027000,206242624,447545984,0.48,-0.076,0.61519,0.56124,0.55775,CAD,
1,RioCan Yonge Eglinton Centre,"2300 Yonge Street, Suite 500",Toronto,ON,M4P 1E4,Canada,416 866 3033,416 866 3020,https://www.riocan.com,REIT—Retail,Real Estate,"RioCan is one of Canada's largest real estate investment trusts. RioCan owns, manages and develops retail-focused, increasingly mixed-use properties located in prime, high-density transit-oriented areas where Canadians want to shop, live and work. As at June 30, 2023, our portfolio is comprised of 193 properties with an aggregate net leasable area of approximately 33.5 million square feet (at RioCan's interest) including office, residential rental and 11 development properties.",581,"{'maxAge': 1, 'name': 'Mr. Dennis  Blasutti', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 745761, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,8,1,5,1693526400,1672444800,86400,2,14.55,13.98,13.98,14.68,14.55,13.98,13.98,14.68,0.79,0.0542,1693353600,1.3571,5.99,1.184072,25.754387,3131,3131,10648,15910,15910,4433712640,12.99,17.65,3.6812625,14.5652,15.3019,1.045,0.0718213,USD,11226127360,0.18948999,298927795,300400000,0.00263,0.34452,25.998,0.5646588,1672444800,1703980800,1688083200,0.427,228224992,0.57,9.321,16.608,PNK,EQUITY,RIOCF,RIOCF,RIOCAN REAL ESTATE INVESTMENT T,RioCan Real Estate Investment Trust,1132065000,America/New_York,EDT,-14400000,14.68,none,267423008,0.89,675955008,7122734080,0.167,0.47,1204400000,91.2,3.992,0.027090002,0.028970001,727027000,206242624,447545984,0.48,-0.076,0.61519,0.56124,0.55775,CAD,
2,RioCan Yonge Eglinton Centre,"2300 Yonge Street, Suite 500",Toronto,ON,M4P 1E4,Canada,416 866 3033,416 866 3020,https://www.riocan.com,REIT—Retail,Real Estate,"RioCan is one of Canada's largest real estate investment trusts. RioCan owns, manages and develops retail-focused, increasingly mixed-use properties located in prime, high-density transit-oriented areas where Canadians want to shop, live and work. As at June 30, 2023, our portfolio is comprised of 193 properties with an aggregate net leasable area of approximately 33.5 million square feet (at RioCan's interest) including office, residential rental and 11 development properties.",581,"{'maxAge': 1, 'name': 'Dr. John  Ballantyne Ph.D.', 'title': 'Chief Operating Officer', 'fiscalYear': 2022, 'totalPay': 721374, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,8,1,5,1693526400,1672444800,86400,2,14.55,13.98,13.98,14.68,14.55,13.98,13.98,14.68,0.79,0.0542,1693353600,1.3571,5.99,1.184072,25.754387,3131,3131,10648,15910,15910,4433712640,12.99,17.65,3.6812625,14.5652,15.3019,1.045,0.0718213,USD,11226127360,0.18948999,298927795,300400000,0.00263,0.34452,25.998,0.5646588,1672444800,1703980800,1688083200,0.427,228224992,0.57,9.321,16.608,PNK,EQUITY,RIOCF,RIOCF,RIOCAN REAL ESTATE INVESTMENT T,RioCan Real Estate Investment Trust,1132065000,America/New_York,EDT,-14400000,14.68,none,267423008,0.89,675955008,7122734080,0.167,0.47,1204400000,91.2,3.992,0.027090002,0.028970001,727027000,206242624,447545984,0.48,-0.076,0.61519,0.56124,0.55775,CAD,
3,RioCan Yonge Eglinton Centre,"2300 Yonge Street, Suite 500",Toronto,ON,M4P 1E4,Canada,416 866 3033,416 866 3020,https://www.riocan.com,REIT—Retail,Real Estate,"RioCan is one of Canada's largest real estate investment trusts. RioCan owns, manages and develops retail-focused, increasingly mixed-use properties located in prime, high-density transit-oriented areas where Canadians want to shop, live and work. As at June 30, 2023, our portfolio is comprised of 193 properties with an aggregate net leasable area of approximately 33.5 million square feet (at RioCan's interest) including office, residential rental and 11 development properties.",581,"{'maxAge': 1, 'name': 'Mr. Andrew  Duncan', 'title': 'Chief Investment Officer', 'fiscalYear': 2022, 'totalPay': 736180, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,8,1,5,1693526400,1672444800,86400,2,14.55,13.98,13.98,14.68,14.55,13.98,13.98,14.68,0.79,0.0542,1693353600,1.3571,5.99,1.184072,25.754387,3131,3131,10648,15910,15910,4433712640,12.99,17.65,3.6812625,14.5652,15.3019,1.045,0.0718213,USD,11226127360,0.18948999,298927795,300400000,0.00263,0.34452,25.998,0.5646588,1672444800,1703980800,1688083200,0.427,228224992,0.57,9.321,16.608,PNK,EQUITY,RIOCF,RIOCF,RIOCAN REAL ESTATE INVESTMENT T,RioCan Real Estate Investment Trust,1132065000,America/New_York,EDT,-14400000,14.68,none,267423008,0.89,675955008,7122734080,0.167,0.47,1204400000,91.2,3.992,0.027090002,0.028970001,727027000,206242624,447545984,0.48,-0.076,0.61519,0.56124,0.55775,CAD,
4,RioCan Yonge Eglinton Centre,"2300 Yonge Street, Suite 500",Toronto,ON,M4P 1E4,Canada,416 866 3033,416 866 3020,https://www.riocan.com,REIT—Retail,Real Estate,"RioCan is one of Canada's largest real estate investment trusts. RioCan owns, manages and develops retail-focused, increasingly mixed-use properties located in prime, high-density transit-oriented areas where Canadians want to shop, live and work. As at June 30, 2023, our portfolio is comprised of 193 properties with an aggregate net leasable area of approximately 33.5 million square feet (at RioCan's interest) including office, residential rental and 11 development properties.",581,"{'maxAge': 1, 'name': 'Ms. Jennifer  Suess', 'title': 'Sr. VP of ESG, Gen. Counsel & Corp. Sec.', 'fiscalYear': 2022, 'totalPay': 609706, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,8,1,5,1693526400,1672444800,86400,2,14.55,13.98,13.98,14.68,14.55,13.98,13.98,14.68,0.79,0.0542,1693353600,1.3571,5.99,1.184072,25.754387,3131,3131,10648,15910,15910,4433712640,12.99,17.65,3.6812625,14.5652,15.3019,1.045,0.0718213,USD,11226127360,0.18948999,298927795,300400000,0.00263,0.34452,25.998,0.5646588,1672444800,1703980800,1688083200,0.427,228224992,0.57,9.321,16.608,PNK,EQUITY,RIOCF,RIOCF,RIOCAN REAL ESTATE INVESTMENT T,RioCan Real Estate Investment Trust,1132065000,America/New_York,EDT,-14400000,14.68,none,267423008,0.89,675955008,7122734080,0.167,0.47,1204400000,91.2,3.992,0.027090002,0.028970001,727027000,206242624,447545984,0.48,-0.076,0.61519,0.56124,0.55775,CAD,
5,RioCan Yonge Eglinton Centre,"2300 Yonge Street, Suite 500",Toronto,ON,M4P 1E4,Canada,416 866 3033,416 866 3020,https://www.riocan.com,REIT—Retail,Real Estate,"RioCan is one of Canada's largest real estate investment trusts. RioCan owns, manages and develops retail-focused, increasingly mixed-use properties located in prime, high-density transit-oriented areas where Canadians want to shop, live and work. As at June 30, 2023, our portfolio is comprised of 193 properties with an aggregate net leasable area of approximately 33.5 million square feet (at RioCan's interest) including office, residential rental and 11 development properties.",581,"{'maxAge': 1, 'name': 'Kim  Lee', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,8,1,5,1693526400,1672444800,86400,2,14.55,13.98,13.98,14.68,14.55,13.98,13.98,14.68,0.79,0.0542,1693353600,1.3571,5.99,1.184072,25.754387,3131,3131,10648,15910,15910,4433712640,12.99,17.65,3.6812625,14.5652,15.3019,1.045,0.0718213,USD,11226127360,0.18948999,298927795,300400000,0.00263,0.34452,25.998,0.5646588,1672444800,1703980800,1688083200,0.427,228224992,0.57,9.321,16.608,PNK,EQUITY,RIOCF,RIOCF,RIOCAN REAL ESTATE INVESTMENT T,RioCan Real Estate Investment Trust,1132065000,America/New_York,EDT,-14400000,14.68,none,267423008,0.89,675955008,7122734080,0.167,0.47,1204400000,91.2,3.992,0.027090002,0.028970001,727027000,206242624,447545984,0.48,-0.076,0.61519,0.56124,0.55775,CAD,
6,RioCan Yonge Eglinton Centre,"2300 Yonge Street, Suite 500",Toronto,ON,M4P 1E4,Canada,416 866 3033,416 866 3020,https://www.riocan.com,REIT—Retail,Real Estate,"RioCan is one of Canada's largest real estate investment trusts. RioCan owns, manages and develops retail-focused, increasingly mixed-use properties located in prime, high-density transit-oriented areas where Canadians want to shop, live and work. As at June 30, 2023, our portfolio is comprised of 193 properties with an aggregate net leasable area of approximately 33.5 million square feet (at RioCan's interest) including office, residential rental and 11 development properties.",581,"{'maxAge': 1, 'name': 'Ms. Terri  Andrianopoulos', 'title': 'Sr. VP of People & Brand', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,8,1,5,1693526400,1672444800,86400,2,14.55,13.98,13.98,14.68,14.55,13.98,13.98,14.68,0.79,0.0542,1693353600,1.3571,5.99,1.184072,25.754387,3131,3131,10648,15910,15910,4433712640,12.99,17.65,3.6812625,14.5652,15.3019,1.045,0.0718213,USD,11226127360,0.18948999,298927795,300400000,0.00263,0.34452,25.998,0.5646588,1672444800,1703980800,1688083200,0.427,228224992,0.57,9.321,16.608,PNK,EQUITY,RIOCF,RIOCF,RIOCAN REAL ESTATE INVESTMENT T,RioCan Real Estate Investment Trust,1132065000,America/New_York,EDT,-14400000,14.68,none,267423008,0.89,675955008,7122734080,0.167,0.47,1204400000,91.2,3.992,0.027090002,0.028970001,727027000,206242624,447545984,0.48,-0.076,0.61519,0.56124,0.55775,CAD,
7,RioCan Yonge Eglinton Centre,"2300 Yonge Street, Suite 500",Toronto,ON,M4P 1E4,Canada,416 866 3033,416 866 3020,https://www.riocan.com,REIT—Retail,Real Estate,"RioCan is one of Canada's largest real estate investment trusts. RioCan owns, manages and develops retail-focused, increasingly mixed-use properties located in prime, high-density transit-oriented areas where Canadians want to shop, live and work. As at June 30, 2023, our portfolio is comprised of 193 properties with an aggregate net leasable area of approximately 33.5 million square feet (at RioCan's interest) including office, residential rental and 11 development properties.",581,"{'maxAge': 1, 'name': 'Mr. Jeff  Ross', 'title': 'Sr. VP of Leasing & Tenant Construction', 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,8,1,5,1693526400,1672444800,86400,2,14.55,13.98,13.98,14.68,14.55,13.98,13.98,14.68,0.79,0.0542,1693353600,1.3571,5.99,1.184072,25.754387,3131,3131,10648,15910,15910,4433712640,12.99,17.65,3.6812625,14.5652,15.3019,1.045,0.0718213,USD,11226127360,0.18948999,298927795,300400000,0.00263,0.34452,25.998,0.5646588,1672444800,1703980800,1688083200,0.427,228224992,0.57,9.321,16.608,PNK,EQUITY,RIOCF,RIOCF,RIOCAN REAL ESTATE INVESTMENT T,RioCan Real Estate Investment Trust,1132065000,America/New_York,EDT,-14400000,14.68,none,267423008,0.89,675955008,7122734080,0.167,0.47,1204400000,91.2,3.992,0.027090002,0.028970001,727027000,206242624,447545984,0.48,-0.076,0.61519,0.56124,0.55775,CAD,
8,RioCan Yonge Eglinton Centre,"2300 Yonge Street, Suite 500",Toronto,ON,M4P 1E4,Canada,416 866 3033,416 866 3020,https://www.riocan.com,REIT—Retail,Real Estate,"RioCan is one of Canada's largest real estate investment trusts. RioCan owns, manages and develops retail-focused, increasingly mixed-use properties located in prime, high-density transit-oriented areas where Canadians want to shop, live and work. As at June 30, 2023, our portfolio is comprised of 193 properties with an aggregate net leasable area of approximately 33.5 million square feet (at RioCan's interest) including office, residential rental and 11 development properties.",581,"{'maxAge': 1, 'name': 'Mr. Oliver  Harrison', 'title': 'Sr. VP of Leasing & Tenant Experience', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,8,1,5,1693526400,1672444800,86400,2,14.55,13.98,13.98,14.68,14.55,13.98,13.98,14.68,0.79,0.0542,1693353600,1.3571,5.99,1.184072,25.754387,3131,3131,10648,15910,15910,4433712640,12.99,17.65,3.6812625,14.5652,15.3019,1.045,0.0718213,USD,11226127360,0.18948999,298927795,300400000,0.00263,0.34452,25.998,0.5646588,1672444800,1703980800,1688083200,0.427,228224992,0.57,9.321,16.608,PNK,EQUITY,RIOCF,RIOCF,RIOCAN REAL ESTATE INVESTMENT T,RioCan Real Estate Investment Trust,1132065000,America/New_York,EDT,-14400000,14.68,none,267423008,0.89,675955008,7122734080,0.167,0.47,1204400000,91.2,3.992,0.027090002,0.028970001,727027000,206242624,447545984,0.48,-0.076,0.61519,0.56124,0.55775,CAD,
9,RioCan Yonge Eglinton Centre,"2300 Yonge Street, Suite 500",Toronto,ON,M4P 1E4,Canada,416 866 3033,416 866 3020,https://www.riocan.com,REIT—Retail,Real Estate,"RioCan is one of Canada's largest real estate investment trusts. RioCan owns, manages and develops retail-focused, increasingly mixed-use properties located in prime, high-density transit-oriented areas where Canadians want to shop, live and work. As at June 30, 2023, our portfolio is comprised of 193 properties with an aggregate net leasable area of approximately 33.5 million square feet (at RioCan's interest) including office, residential rental and 11 development properties.",581,"{'maxAge': 1, 'name': 'Ms. Franca  Smith', 'title': 'Sr. VP of Fin.', 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,8,1,5,1693526400,1672444800,86400,2,14.55,13.98,13.98,14.68,14.55,13.98,13.98,14.68,0.79,0.0542,1693353600,1.3571,5.99,1.184072,25.754387,3131,3131,10648,15910,15910,4433712640,12.99,17.65,3.6812625,14.5652,15.3019,1.045,0.0718213,USD,11226127360,0.18948999,298927795,300400000,0.00263,0.34452,25.998,0.5646588,1672444800,1703980800,1688083200,0.427,228224992,0.57,9.321,16.608,PNK,EQUITY,RIOCF,RIOCF,RIOCAN REAL ESTATE INVESTMENT T,RioCan Real Estate Investment Trust,1132065000,America/New_York,EDT,-14400000,14.68,none,267423008,0.89,675955008,7122734080,0.167,0.47,1204400000,91.2,3.992,0.027090002,0.028970001,727027000,206242624,447545984,0.48,-0.076,0.61519,0.56124,0.55775,CAD,
