,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,33 King William Street,London,EC4R 9AS,United Kingdom,011 44 020 7743 2253,011 44 020 7743 1000,https://www.blackrock.co.uk/individual/products/investment-trust/blackrock-world-mining-trust,Asset Management,Financial Services,"BlackRock World Mining Trust plc is a closed-ended equity mutual fund launched by BlackRock Fund Managers Limited. It is managed by BlackRock Investment Management (UK) Limited. The fund invests in public equity markets across the globe. It seeks to invest in stocks of companies operating in the mining and metal sectors. The fund benchmarks the performance of its portfolio against the Euromoney Global Mining Index. It was formerly known as Merrill Lynch World Mining Trust PLC. BlackRock World Mining Trust plc was formed on December 15, 1993 and is domiciled in the United Kingdom.","{'maxAge': 1, 'name': 'Mr. J. Richard Kushel', 'age': 55, 'title': 'Vie Chairman', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,610.0,607.0,601.0,615.025,610.0,607.0,601.0,615.025,0.4,0.069,1694044800,0.5795,5.36,1.098723,884.058,382880,382880,294253,288658,288658,609.0,617.0,0,0,1190348032,538.0,775.0,8.337756,597.64,652.74,0.4,0.0006557377,GBp,1216888576,0.8926,191183008,0.0627,0.1075,6.127,99.559326,1672444800,1703980800,1688083200,127433000,0.69,8.524,LSE,EQUITY,BRWM.L,BRWM.L,BLACKROCK WORLD MINING TRUST PL,BlackRock World Mining Trust plc,755942400,Europe/London,BST,3600000,610.0,3.0,hold,42207000,0.221,150234000,0.294,0.294,142766000,12.825,0.754,0.06258,0.112229995,239744000,73938496,73852000,1.0,0.0,0.92021006,GBP,
1,33 King William Street,London,EC4R 9AS,United Kingdom,011 44 020 7743 2253,011 44 020 7743 1000,https://www.blackrock.co.uk/individual/products/investment-trust/blackrock-world-mining-trust,Asset Management,Financial Services,"BlackRock World Mining Trust plc is a closed-ended equity mutual fund launched by BlackRock Fund Managers Limited. It is managed by BlackRock Investment Management (UK) Limited. The fund invests in public equity markets across the globe. It seeks to invest in stocks of companies operating in the mining and metal sectors. The fund benchmarks the performance of its portfolio against the Euromoney Global Mining Index. It was formerly known as Merrill Lynch World Mining Trust PLC. BlackRock World Mining Trust plc was formed on December 15, 1993 and is domiciled in the United Kingdom.","{'maxAge': 1, 'name': 'Mr. Evy Piers George Hambro', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,610.0,607.0,601.0,615.025,610.0,607.0,601.0,615.025,0.4,0.069,1694044800,0.5795,5.36,1.098723,884.058,382880,382880,294253,288658,288658,609.0,617.0,0,0,1190348032,538.0,775.0,8.337756,597.64,652.74,0.4,0.0006557377,GBp,1216888576,0.8926,191183008,0.0627,0.1075,6.127,99.559326,1672444800,1703980800,1688083200,127433000,0.69,8.524,LSE,EQUITY,BRWM.L,BRWM.L,BLACKROCK WORLD MINING TRUST PL,BlackRock World Mining Trust plc,755942400,Europe/London,BST,3600000,610.0,3.0,hold,42207000,0.221,150234000,0.294,0.294,142766000,12.825,0.754,0.06258,0.112229995,239744000,73938496,73852000,1.0,0.0,0.92021006,GBP,
2,33 King William Street,London,EC4R 9AS,United Kingdom,011 44 020 7743 2253,011 44 020 7743 1000,https://www.blackrock.co.uk/individual/products/investment-trust/blackrock-world-mining-trust,Asset Management,Financial Services,"BlackRock World Mining Trust plc is a closed-ended equity mutual fund launched by BlackRock Fund Managers Limited. It is managed by BlackRock Investment Management (UK) Limited. The fund invests in public equity markets across the globe. It seeks to invest in stocks of companies operating in the mining and metal sectors. The fund benchmarks the performance of its portfolio against the Euromoney Global Mining Index. It was formerly known as Merrill Lynch World Mining Trust PLC. BlackRock World Mining Trust plc was formed on December 15, 1993 and is domiciled in the United Kingdom.","{'maxAge': 1, 'name': 'Ms. Olivia  Markham', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,610.0,607.0,601.0,615.025,610.0,607.0,601.0,615.025,0.4,0.069,1694044800,0.5795,5.36,1.098723,884.058,382880,382880,294253,288658,288658,609.0,617.0,0,0,1190348032,538.0,775.0,8.337756,597.64,652.74,0.4,0.0006557377,GBp,1216888576,0.8926,191183008,0.0627,0.1075,6.127,99.559326,1672444800,1703980800,1688083200,127433000,0.69,8.524,LSE,EQUITY,BRWM.L,BRWM.L,BLACKROCK WORLD MINING TRUST PL,BlackRock World Mining Trust plc,755942400,Europe/London,BST,3600000,610.0,3.0,hold,42207000,0.221,150234000,0.294,0.294,142766000,12.825,0.754,0.06258,0.112229995,239744000,73938496,73852000,1.0,0.0,0.92021006,GBP,
