,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Mike  Crawley', 'title': 'Pres and Chief Exec. Officer', 'fiscalYear': 2022, 'totalPay': 1068564, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,18.158,18.365,17.82,18.398,18.158,18.365,17.82,18.398,0.89,0.048899997,1693353600,0.6936,3.74,0.384358,13.921875,6315,6315,20501,78460,78460,0.0,0.0,0,0,4510330880,16.29,33.79,1.9693731,18.829,23.2731,1.2,0.066086575,USD,11402234880,0.18985,252717731,253104992,0.00101,0.42533,16.968,1.0502121,1672444800,1703980800,1688083200,-0.982,426025984,1.28,4.979,7.861,PNK,EQUITY,NPIFF,NPIFF,NORTHLAND POWER INC,Northland Power Inc.,1207229400,America/New_York,EDT,-14400000,17.82,none,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
1,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Ms. Pauline  Alimchandani C.F.A.', 'age': 39, 'title': 'Chief Financial Officer', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 581039, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,18.158,18.365,17.82,18.398,18.158,18.365,17.82,18.398,0.89,0.048899997,1693353600,0.6936,3.74,0.384358,13.921875,6315,6315,20501,78460,78460,0.0,0.0,0,0,4510330880,16.29,33.79,1.9693731,18.829,23.2731,1.2,0.066086575,USD,11402234880,0.18985,252717731,253104992,0.00101,0.42533,16.968,1.0502121,1672444800,1703980800,1688083200,-0.982,426025984,1.28,4.979,7.861,PNK,EQUITY,NPIFF,NPIFF,NORTHLAND POWER INC,Northland Power Inc.,1207229400,America/New_York,EDT,-14400000,17.82,none,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
2,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Ms. Rachel  Stephenson', 'title': 'Chief People Officer', 'fiscalYear': 2022, 'totalPay': 391083, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,18.158,18.365,17.82,18.398,18.158,18.365,17.82,18.398,0.89,0.048899997,1693353600,0.6936,3.74,0.384358,13.921875,6315,6315,20501,78460,78460,0.0,0.0,0,0,4510330880,16.29,33.79,1.9693731,18.829,23.2731,1.2,0.066086575,USD,11402234880,0.18985,252717731,253104992,0.00101,0.42533,16.968,1.0502121,1672444800,1703980800,1688083200,-0.982,426025984,1.28,4.979,7.861,PNK,EQUITY,NPIFF,NPIFF,NORTHLAND POWER INC,Northland Power Inc.,1207229400,America/New_York,EDT,-14400000,17.82,none,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
3,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. David Edward Povall', 'title': 'Exec. VP of Offshore Wind', 'fiscalYear': 2022, 'totalPay': 445489, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,18.158,18.365,17.82,18.398,18.158,18.365,17.82,18.398,0.89,0.048899997,1693353600,0.6936,3.74,0.384358,13.921875,6315,6315,20501,78460,78460,0.0,0.0,0,0,4510330880,16.29,33.79,1.9693731,18.829,23.2731,1.2,0.066086575,USD,11402234880,0.18985,252717731,253104992,0.00101,0.42533,16.968,1.0502121,1672444800,1703980800,1688083200,-0.982,426025984,1.28,4.979,7.861,PNK,EQUITY,NPIFF,NPIFF,NORTHLAND POWER INC,Northland Power Inc.,1207229400,America/New_York,EDT,-14400000,17.82,none,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
4,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Adam  Beaumont', 'title': 'Sr. Director of Corp. Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,18.158,18.365,17.82,18.398,18.158,18.365,17.82,18.398,0.89,0.048899997,1693353600,0.6936,3.74,0.384358,13.921875,6315,6315,20501,78460,78460,0.0,0.0,0,0,4510330880,16.29,33.79,1.9693731,18.829,23.2731,1.2,0.066086575,USD,11402234880,0.18985,252717731,253104992,0.00101,0.42533,16.968,1.0502121,1672444800,1703980800,1688083200,-0.982,426025984,1.28,4.979,7.861,PNK,EQUITY,NPIFF,NPIFF,NORTHLAND POWER INC,Northland Power Inc.,1207229400,America/New_York,EDT,-14400000,17.82,none,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
5,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Wassem  Khalil', 'title': 'Sr. Director of Investor Relations & Strategy', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,18.158,18.365,17.82,18.398,18.158,18.365,17.82,18.398,0.89,0.048899997,1693353600,0.6936,3.74,0.384358,13.921875,6315,6315,20501,78460,78460,0.0,0.0,0,0,4510330880,16.29,33.79,1.9693731,18.829,23.2731,1.2,0.066086575,USD,11402234880,0.18985,252717731,253104992,0.00101,0.42533,16.968,1.0502121,1672444800,1703980800,1688083200,-0.982,426025984,1.28,4.979,7.861,PNK,EQUITY,NPIFF,NPIFF,NORTHLAND POWER INC,Northland Power Inc.,1207229400,America/New_York,EDT,-14400000,17.82,none,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
6,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Yonni  Fushman', 'title': 'Chief Legal Officer & Exec. VP of Sustainability', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,18.158,18.365,17.82,18.398,18.158,18.365,17.82,18.398,0.89,0.048899997,1693353600,0.6936,3.74,0.384358,13.921875,6315,6315,20501,78460,78460,0.0,0.0,0,0,4510330880,16.29,33.79,1.9693731,18.829,23.2731,1.2,0.066086575,USD,11402234880,0.18985,252717731,253104992,0.00101,0.42533,16.968,1.0502121,1672444800,1703980800,1688083200,-0.982,426025984,1.28,4.979,7.861,PNK,EQUITY,NPIFF,NPIFF,NORTHLAND POWER INC,Northland Power Inc.,1207229400,America/New_York,EDT,-14400000,17.82,none,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
7,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Susan  Sperling', 'title': 'Director of Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,18.158,18.365,17.82,18.398,18.158,18.365,17.82,18.398,0.89,0.048899997,1693353600,0.6936,3.74,0.384358,13.921875,6315,6315,20501,78460,78460,0.0,0.0,0,0,4510330880,16.29,33.79,1.9693731,18.829,23.2731,1.2,0.066086575,USD,11402234880,0.18985,252717731,253104992,0.00101,0.42533,16.968,1.0502121,1672444800,1703980800,1688083200,-0.982,426025984,1.28,4.979,7.861,PNK,EQUITY,NPIFF,NPIFF,NORTHLAND POWER INC,Northland Power Inc.,1207229400,America/New_York,EDT,-14400000,17.82,none,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
8,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Ms. Barbara  Bokla', 'title': 'Mang. of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,18.158,18.365,17.82,18.398,18.158,18.365,17.82,18.398,0.89,0.048899997,1693353600,0.6936,3.74,0.384358,13.921875,6315,6315,20501,78460,78460,0.0,0.0,0,0,4510330880,16.29,33.79,1.9693731,18.829,23.2731,1.2,0.066086575,USD,11402234880,0.18985,252717731,253104992,0.00101,0.42533,16.968,1.0502121,1672444800,1703980800,1688083200,-0.982,426025984,1.28,4.979,7.861,PNK,EQUITY,NPIFF,NPIFF,NORTHLAND POWER INC,Northland Power Inc.,1207229400,America/New_York,EDT,-14400000,17.82,none,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
9,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Nigel  Slater', 'title': 'Managing Director of Devel. for Europe', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,18.158,18.365,17.82,18.398,18.158,18.365,17.82,18.398,0.89,0.048899997,1693353600,0.6936,3.74,0.384358,13.921875,6315,6315,20501,78460,78460,0.0,0.0,0,0,4510330880,16.29,33.79,1.9693731,18.829,23.2731,1.2,0.066086575,USD,11402234880,0.18985,252717731,253104992,0.00101,0.42533,16.968,1.0502121,1672444800,1703980800,1688083200,-0.982,426025984,1.28,4.979,7.861,PNK,EQUITY,NPIFF,NPIFF,NORTHLAND POWER INC,Northland Power Inc.,1207229400,America/New_York,EDT,-14400000,17.82,none,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
