,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1601 Airport Road,Ukiah,CA,95482,United States,707-463-2627,https://www.mendobrew.com,Beverages—Brewers,Consumer Defensive,"Mendocino Brewing Company, Inc., together with its subsidiaries, engages in the brewing, production, and sale of beer and malt beverages in the United States, Canada, and Europe. It operates through two segments, the North American Territory and the Foreign Territory. The company produces and markets craft beers primarily under the Red Tail Ale, Blue Heron Pale Ale, Black Hawk Stout, Eye of the Hawk Select Ale, and White Hawk Original IPA. It also owns and operates brewpub and gift store in Ukiah, California; brews its products for various other brands on contract basis; and distributes alcoholic beverages, primarily under Kingfisher Premium Lager brand in the United Kingdom and Europe. The company sells its products through wholesale distributors to consumers at supermarkets, warehouse stores, liquor stores, taverns and bars, restaurants, and convenience stores in North America; Indian restaurants by restaurant trade distributors, as well as through supermarkets, liquor stores, and licensed shops and convenience stores in the European Union;; and through provincial liquor boards and independent distributors in Canada. Mendocino Brewing Company, Inc. was founded in 1982 and is based in Ukiah, California.",77,"{'maxAge': 1, 'name': 'Mr. Yashpal  Singh', 'age': 76, 'title': 'CEO, Pres & Director', 'yearBorn': 1946, 'fiscalYear': 2015, 'totalPay': 358900, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,17.644535,400,400,351,0,0,0.0,0.0,0,0,272400,0.0001,0.0002,0.009316802,0.0001,0.0001195,0.0,0.0,USD,10725861,-0.05929,2222838,12611100,0.82374,0.0,-0.25,1451520000,1483142400,1475193600,-1733400,-0.0,0.367,-146.93,PNK,EQUITY,MENB,MENB,MENDOCINO BREWING CO,"Mendocino Brewing Company, Inc.",1020691800,America/New_York,EDT,-14400000,0.0001,none,84700,0.007,-73000,10581700,0.179,0.299,29237500,2.318,-0.04698,9776200,927187,970900,-0.187,0.30818,-0.0025,-0.041589998,USD,
1,1601 Airport Road,Ukiah,CA,95482,United States,707-463-2627,https://www.mendobrew.com,Beverages—Brewers,Consumer Defensive,"Mendocino Brewing Company, Inc., together with its subsidiaries, engages in the brewing, production, and sale of beer and malt beverages in the United States, Canada, and Europe. It operates through two segments, the North American Territory and the Foreign Territory. The company produces and markets craft beers primarily under the Red Tail Ale, Blue Heron Pale Ale, Black Hawk Stout, Eye of the Hawk Select Ale, and White Hawk Original IPA. It also owns and operates brewpub and gift store in Ukiah, California; brews its products for various other brands on contract basis; and distributes alcoholic beverages, primarily under Kingfisher Premium Lager brand in the United Kingdom and Europe. The company sells its products through wholesale distributors to consumers at supermarkets, warehouse stores, liquor stores, taverns and bars, restaurants, and convenience stores in North America; Indian restaurants by restaurant trade distributors, as well as through supermarkets, liquor stores, and licensed shops and convenience stores in the European Union;; and through provincial liquor boards and independent distributors in Canada. Mendocino Brewing Company, Inc. was founded in 1982 and is based in Ukiah, California.",77,"{'maxAge': 1, 'name': 'Mr. Mahadevan  Narayanan', 'age': 64, 'title': 'CFO, Corp. Controller & Sec.', 'yearBorn': 1958, 'fiscalYear': 2015, 'totalPay': 213300, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,17.644535,400,400,351,0,0,0.0,0.0,0,0,272400,0.0001,0.0002,0.009316802,0.0001,0.0001195,0.0,0.0,USD,10725861,-0.05929,2222838,12611100,0.82374,0.0,-0.25,1451520000,1483142400,1475193600,-1733400,-0.0,0.367,-146.93,PNK,EQUITY,MENB,MENB,MENDOCINO BREWING CO,"Mendocino Brewing Company, Inc.",1020691800,America/New_York,EDT,-14400000,0.0001,none,84700,0.007,-73000,10581700,0.179,0.299,29237500,2.318,-0.04698,9776200,927187,970900,-0.187,0.30818,-0.0025,-0.041589998,USD,
