,address1,city,state,zip,country,phone,fax,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,mostRecentQuarter,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalDebt,debtToEquity,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3545 Geary Boulevard,San Francisco,CA,94118,United States,415-386-3700,415-386-3701,Medical Instruments & Supplies,Healthcare,"OJsys, Inc. develops and manufactures broadcasting receivers. Its products include satellite receiver, terrestrial receiver, IP set-top boxes, media center PC devices, and receiver-plus-DVD-RW combos. It markets its products to Europe, Japan, the Middle East, Asia, and the United States. The company was founded in 2000 and is headquartered in San Francisco, California.","{'maxAge': 1, 'name': 'Mr. Henri  Joubaud', 'title': 'Chief Exec. Officer and Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,96,96,1,0,0,3494,0.0001,0.002,0.0001,0.0001,0.0,0.0,USD,0.0,34945000,1191110400,1:20,1162857600,PNK,EQUITY,OJSY,OJSY,OJSYS INC,"OJsys, Inc.",954253800,America/New_York,EDT,-14400000,0.0001,none,581578,27.383,10.56,0.0,0.0,0.0,USD,
1,3545 Geary Boulevard,San Francisco,CA,94118,United States,415-386-3700,415-386-3701,Medical Instruments & Supplies,Healthcare,"OJsys, Inc. develops and manufactures broadcasting receivers. Its products include satellite receiver, terrestrial receiver, IP set-top boxes, media center PC devices, and receiver-plus-DVD-RW combos. It markets its products to Europe, Japan, the Middle East, Asia, and the United States. The company was founded in 2000 and is headquartered in San Francisco, California.","{'maxAge': 1, 'name': 'Mr. Luisito L. Canteras', 'title': 'Director and Chief Management Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,96,96,1,0,0,3494,0.0001,0.002,0.0001,0.0001,0.0,0.0,USD,0.0,34945000,1191110400,1:20,1162857600,PNK,EQUITY,OJSY,OJSY,OJSYS INC,"OJsys, Inc.",954253800,America/New_York,EDT,-14400000,0.0001,none,581578,27.383,10.56,0.0,0.0,0.0,USD,
