,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1441 Gardiner Lane,Louisville,KY,40213,United States,502 874 8300,https://www.yum.com,Restaurants,Consumer Cyclical,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through four segments: the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division. It operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.",36000,"{'maxAge': 1, 'name': 'Mr. David W. Gibbs', 'age': 59, 'title': 'CEO & Director', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 4540275, 'exercisedValue': 731175, 'unexercisedValue': 60135528}",1,4,6,7,3,1693526400,1672444800,86400,2,119.5,124.65,124.65,124.65,119.5,124.65,124.65,124.65,2.26,0.018099999,1693180800,0.4747,1.71,1.010373,26.806452,11,11,51,10,10,120.9,121.6,34928304128,108.74,130.8,4.9961815,121.35,121.9241,1.175,0.0098326355,EUR,46770335744,0.20312001,279760141,280211008,0.001,0.8057,-30.129,1672444800,1703980800,1688083200,0.866,1420000000,4.65,6.69,19.61,GER,EQUITY,TGR.DE,TGR.DE,YUM BRANDS,"Yum! Brands, Inc.",962607600,Europe/Berlin,CEST,7200000,124.65,none,470000000,1.677,2384999936,12312000512,0.757,1.019,6991000064,24.747,0.24091,3307000000,940499968,1583000064,0.896,0.031,0.48949,0.34115002,0.32084,USD,1.6492
1,1441 Gardiner Lane,Louisville,KY,40213,United States,502 874 8300,https://www.yum.com,Restaurants,Consumer Cyclical,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through four segments: the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division. It operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.",36000,"{'maxAge': 1, 'name': 'Mr. Christopher Lee Turner', 'age': 47, 'title': 'Chief Financial Officer', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 2233191, 'exercisedValue': 0, 'unexercisedValue': 1009711}",1,4,6,7,3,1693526400,1672444800,86400,2,119.5,124.65,124.65,124.65,119.5,124.65,124.65,124.65,2.26,0.018099999,1693180800,0.4747,1.71,1.010373,26.806452,11,11,51,10,10,120.9,121.6,34928304128,108.74,130.8,4.9961815,121.35,121.9241,1.175,0.0098326355,EUR,46770335744,0.20312001,279760141,280211008,0.001,0.8057,-30.129,1672444800,1703980800,1688083200,0.866,1420000000,4.65,6.69,19.61,GER,EQUITY,TGR.DE,TGR.DE,YUM BRANDS,"Yum! Brands, Inc.",962607600,Europe/Berlin,CEST,7200000,124.65,none,470000000,1.677,2384999936,12312000512,0.757,1.019,6991000064,24.747,0.24091,3307000000,940499968,1583000064,0.896,0.031,0.48949,0.34115002,0.32084,USD,1.6492
2,1441 Gardiner Lane,Louisville,KY,40213,United States,502 874 8300,https://www.yum.com,Restaurants,Consumer Cyclical,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through four segments: the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division. It operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.",36000,"{'maxAge': 1, 'name': 'Ms. Tracy L. Skeans', 'age': 49, 'title': 'COO & Chief People Officer', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 2165902, 'exercisedValue': 0, 'unexercisedValue': 9043601}",1,4,6,7,3,1693526400,1672444800,86400,2,119.5,124.65,124.65,124.65,119.5,124.65,124.65,124.65,2.26,0.018099999,1693180800,0.4747,1.71,1.010373,26.806452,11,11,51,10,10,120.9,121.6,34928304128,108.74,130.8,4.9961815,121.35,121.9241,1.175,0.0098326355,EUR,46770335744,0.20312001,279760141,280211008,0.001,0.8057,-30.129,1672444800,1703980800,1688083200,0.866,1420000000,4.65,6.69,19.61,GER,EQUITY,TGR.DE,TGR.DE,YUM BRANDS,"Yum! Brands, Inc.",962607600,Europe/Berlin,CEST,7200000,124.65,none,470000000,1.677,2384999936,12312000512,0.757,1.019,6991000064,24.747,0.24091,3307000000,940499968,1583000064,0.896,0.031,0.48949,0.34115002,0.32084,USD,1.6492
3,1441 Gardiner Lane,Louisville,KY,40213,United States,502 874 8300,https://www.yum.com,Restaurants,Consumer Cyclical,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through four segments: the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division. It operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.",36000,"{'maxAge': 1, 'name': 'Mr. Mark James King', 'age': 62, 'title': 'Chief Exec. Officer of Taco Bell Division', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 3544949, 'exercisedValue': 0, 'unexercisedValue': 766336}",1,4,6,7,3,1693526400,1672444800,86400,2,119.5,124.65,124.65,124.65,119.5,124.65,124.65,124.65,2.26,0.018099999,1693180800,0.4747,1.71,1.010373,26.806452,11,11,51,10,10,120.9,121.6,34928304128,108.74,130.8,4.9961815,121.35,121.9241,1.175,0.0098326355,EUR,46770335744,0.20312001,279760141,280211008,0.001,0.8057,-30.129,1672444800,1703980800,1688083200,0.866,1420000000,4.65,6.69,19.61,GER,EQUITY,TGR.DE,TGR.DE,YUM BRANDS,"Yum! Brands, Inc.",962607600,Europe/Berlin,CEST,7200000,124.65,none,470000000,1.677,2384999936,12312000512,0.757,1.019,6991000064,24.747,0.24091,3307000000,940499968,1583000064,0.896,0.031,0.48949,0.34115002,0.32084,USD,1.6492
4,1441 Gardiner Lane,Louisville,KY,40213,United States,502 874 8300,https://www.yum.com,Restaurants,Consumer Cyclical,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through four segments: the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division. It operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.",36000,"{'maxAge': 1, 'name': 'Mr. Aaron M. Powell', 'age': 50, 'title': 'Chief Exec. Officer of Pizza Hut Division', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 2622227, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,6,7,3,1693526400,1672444800,86400,2,119.5,124.65,124.65,124.65,119.5,124.65,124.65,124.65,2.26,0.018099999,1693180800,0.4747,1.71,1.010373,26.806452,11,11,51,10,10,120.9,121.6,34928304128,108.74,130.8,4.9961815,121.35,121.9241,1.175,0.0098326355,EUR,46770335744,0.20312001,279760141,280211008,0.001,0.8057,-30.129,1672444800,1703980800,1688083200,0.866,1420000000,4.65,6.69,19.61,GER,EQUITY,TGR.DE,TGR.DE,YUM BRANDS,"Yum! Brands, Inc.",962607600,Europe/Berlin,CEST,7200000,124.65,none,470000000,1.677,2384999936,12312000512,0.757,1.019,6991000064,24.747,0.24091,3307000000,940499968,1583000064,0.896,0.031,0.48949,0.34115002,0.32084,USD,1.6492
5,1441 Gardiner Lane,Louisville,KY,40213,United States,502 874 8300,https://www.yum.com,Restaurants,Consumer Cyclical,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through four segments: the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division. It operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.",36000,"{'maxAge': 1, 'name': 'Mr. Clay M. Johnson', 'age': 51, 'title': 'Chief Digital & Technology Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,6,7,3,1693526400,1672444800,86400,2,119.5,124.65,124.65,124.65,119.5,124.65,124.65,124.65,2.26,0.018099999,1693180800,0.4747,1.71,1.010373,26.806452,11,11,51,10,10,120.9,121.6,34928304128,108.74,130.8,4.9961815,121.35,121.9241,1.175,0.0098326355,EUR,46770335744,0.20312001,279760141,280211008,0.001,0.8057,-30.129,1672444800,1703980800,1688083200,0.866,1420000000,4.65,6.69,19.61,GER,EQUITY,TGR.DE,TGR.DE,YUM BRANDS,"Yum! Brands, Inc.",962607600,Europe/Berlin,CEST,7200000,124.65,none,470000000,1.677,2384999936,12312000512,0.757,1.019,6991000064,24.747,0.24091,3307000000,940499968,1583000064,0.896,0.031,0.48949,0.34115002,0.32084,USD,1.6492
6,1441 Gardiner Lane,Louisville,KY,40213,United States,502 874 8300,https://www.yum.com,Restaurants,Consumer Cyclical,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through four segments: the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division. It operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.",36000,"{'maxAge': 1, 'name': 'Ms. Jodi  Dyer', 'age': 34, 'title': 'VP of Investor Relations', 'yearBorn': 1988, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,6,7,3,1693526400,1672444800,86400,2,119.5,124.65,124.65,124.65,119.5,124.65,124.65,124.65,2.26,0.018099999,1693180800,0.4747,1.71,1.010373,26.806452,11,11,51,10,10,120.9,121.6,34928304128,108.74,130.8,4.9961815,121.35,121.9241,1.175,0.0098326355,EUR,46770335744,0.20312001,279760141,280211008,0.001,0.8057,-30.129,1672444800,1703980800,1688083200,0.866,1420000000,4.65,6.69,19.61,GER,EQUITY,TGR.DE,TGR.DE,YUM BRANDS,"Yum! Brands, Inc.",962607600,Europe/Berlin,CEST,7200000,124.65,none,470000000,1.677,2384999936,12312000512,0.757,1.019,6991000064,24.747,0.24091,3307000000,940499968,1583000064,0.896,0.031,0.48949,0.34115002,0.32084,USD,1.6492
7,1441 Gardiner Lane,Louisville,KY,40213,United States,502 874 8300,https://www.yum.com,Restaurants,Consumer Cyclical,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through four segments: the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division. It operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.",36000,"{'maxAge': 1, 'name': 'Mr. Scott A. Catlett', 'age': 45, 'title': 'Chief Legal & Franchise Officer and Corp. Sec.', 'yearBorn': 1977, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,6,7,3,1693526400,1672444800,86400,2,119.5,124.65,124.65,124.65,119.5,124.65,124.65,124.65,2.26,0.018099999,1693180800,0.4747,1.71,1.010373,26.806452,11,11,51,10,10,120.9,121.6,34928304128,108.74,130.8,4.9961815,121.35,121.9241,1.175,0.0098326355,EUR,46770335744,0.20312001,279760141,280211008,0.001,0.8057,-30.129,1672444800,1703980800,1688083200,0.866,1420000000,4.65,6.69,19.61,GER,EQUITY,TGR.DE,TGR.DE,YUM BRANDS,"Yum! Brands, Inc.",962607600,Europe/Berlin,CEST,7200000,124.65,none,470000000,1.677,2384999936,12312000512,0.757,1.019,6991000064,24.747,0.24091,3307000000,940499968,1583000064,0.896,0.031,0.48949,0.34115002,0.32084,USD,1.6492
8,1441 Gardiner Lane,Louisville,KY,40213,United States,502 874 8300,https://www.yum.com,Restaurants,Consumer Cyclical,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through four segments: the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division. It operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.",36000,"{'maxAge': 1, 'name': 'Mr. Ken  Muench', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,6,7,3,1693526400,1672444800,86400,2,119.5,124.65,124.65,124.65,119.5,124.65,124.65,124.65,2.26,0.018099999,1693180800,0.4747,1.71,1.010373,26.806452,11,11,51,10,10,120.9,121.6,34928304128,108.74,130.8,4.9961815,121.35,121.9241,1.175,0.0098326355,EUR,46770335744,0.20312001,279760141,280211008,0.001,0.8057,-30.129,1672444800,1703980800,1688083200,0.866,1420000000,4.65,6.69,19.61,GER,EQUITY,TGR.DE,TGR.DE,YUM BRANDS,"Yum! Brands, Inc.",962607600,Europe/Berlin,CEST,7200000,124.65,none,470000000,1.677,2384999936,12312000512,0.757,1.019,6991000064,24.747,0.24091,3307000000,940499968,1583000064,0.896,0.031,0.48949,0.34115002,0.32084,USD,1.6492
9,1441 Gardiner Lane,Louisville,KY,40213,United States,502 874 8300,https://www.yum.com,Restaurants,Consumer Cyclical,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. The company operates through four segments: the KFC Division, the Taco Bell Division, the Pizza Hut Division, and the Habit Burger Grill Division. It operates restaurants under the KFC, Pizza Hut, Taco Bell, and The Habit Burger Grill brands, which specialize in chicken, pizza, made-to-order chargrilled burgers, sandwiches, Mexican-style food categories, and other food products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is headquartered in Louisville, Kentucky.",36000,"{'maxAge': 1, 'name': 'Mr. Gavin  Felder', 'age': 42, 'title': 'Chief Strategy Officer', 'yearBorn': 1980, 'exercisedValue': 0, 'unexercisedValue': 0}",1,4,6,7,3,1693526400,1672444800,86400,2,119.5,124.65,124.65,124.65,119.5,124.65,124.65,124.65,2.26,0.018099999,1693180800,0.4747,1.71,1.010373,26.806452,11,11,51,10,10,120.9,121.6,34928304128,108.74,130.8,4.9961815,121.35,121.9241,1.175,0.0098326355,EUR,46770335744,0.20312001,279760141,280211008,0.001,0.8057,-30.129,1672444800,1703980800,1688083200,0.866,1420000000,4.65,6.69,19.61,GER,EQUITY,TGR.DE,TGR.DE,YUM BRANDS,"Yum! Brands, Inc.",962607600,Europe/Berlin,CEST,7200000,124.65,none,470000000,1.677,2384999936,12312000512,0.757,1.019,6991000064,24.747,0.24091,3307000000,940499968,1583000064,0.896,0.031,0.48949,0.34115002,0.32084,USD,1.6492
