,address1,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,185 Farringdon Road,London,EC1A 1AA,United Kingdom,44 34 5774 0740,https://www.internationaldistributionsservices.com/en,Integrated Freight & Logistics,Industrials,"International Distributions Services plc, together with its subsidiaries, operates as a universal postal service provider in the United Kingdom and internationally. The company offers parcels and letter delivery services under the Royal Mail and Parcelforce Worldwide brands. It also provides services for the collection, sorting, and delivery of parcels and letters. In addition, the company operates ground-based parcel delivery networks in Europe that covers 40 countries and nation states. Further, it provides express parcel delivery and logistics services. Additionally, the company engages in property holdings and facilities management activities. It serves consumers, and small and medium-sized enterprises. The company was formerly known as Royal Mail plc and changed its name to International Distributions Services plc in October 2022. International Distributions Services plc was founded in 1516 and is based in London, the United Kingdom.",165329,"{'maxAge': 1, 'name': 'Mr. Keith  Williams ACA, C.A.', 'age': 66, 'title': 'Independent Non-Exec. Chairman & Member of Management Board', 'yearBorn': 1956, 'fiscalYear': 2023, 'totalPay': 388392, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1703980800,86400,2,6.3401,6.34,6.34,6.34,6.3401,6.34,6.34,6.34,1658966400,1.773273,275,275,4437,380,380,0.0,0.0,0,0,3059715840,3.9,7.0,0.25404483,6.42072,5.74967,0.0,0.0,USD,4530345472,-0.07248,305529538,478096992,0.0,0.00027000002,7.954,0.79708326,1679788800,1711411200,1679788800,-873000000,-2.33,0.376,19.527,PNK,EQUITY,ROYMY,ROYMY,INTL DISTRIBUTIONS SVCS PLC UNS,International Distributions Services plc,1399383000,America/New_York,EDT,-14400000,6.34,none,898000000,1.879,232000000,2398000128,0.899,0.99,12044000256,63.072,25.196,-0.00198,-0.19111,4466000000,23750000,373000000,-0.065,0.37081,0.01926,-0.00257,GBP,
1,185 Farringdon Road,London,EC1A 1AA,United Kingdom,44 34 5774 0740,https://www.internationaldistributionsservices.com/en,Integrated Freight & Logistics,Industrials,"International Distributions Services plc, together with its subsidiaries, operates as a universal postal service provider in the United Kingdom and internationally. The company offers parcels and letter delivery services under the Royal Mail and Parcelforce Worldwide brands. It also provides services for the collection, sorting, and delivery of parcels and letters. In addition, the company operates ground-based parcel delivery networks in Europe that covers 40 countries and nation states. Further, it provides express parcel delivery and logistics services. Additionally, the company engages in property holdings and facilities management activities. It serves consumers, and small and medium-sized enterprises. The company was formerly known as Royal Mail plc and changed its name to International Distributions Services plc in October 2022. International Distributions Services plc was founded in 1516 and is based in London, the United Kingdom.",165329,"{'maxAge': 1, 'name': 'Mr. Martin  Seidenberg', 'age': 49, 'title': 'Group CEO & Exec. Director', 'yearBorn': 1973, 'fiscalYear': 2023, 'totalPay': 1617260, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1703980800,86400,2,6.3401,6.34,6.34,6.34,6.3401,6.34,6.34,6.34,1658966400,1.773273,275,275,4437,380,380,0.0,0.0,0,0,3059715840,3.9,7.0,0.25404483,6.42072,5.74967,0.0,0.0,USD,4530345472,-0.07248,305529538,478096992,0.0,0.00027000002,7.954,0.79708326,1679788800,1711411200,1679788800,-873000000,-2.33,0.376,19.527,PNK,EQUITY,ROYMY,ROYMY,INTL DISTRIBUTIONS SVCS PLC UNS,International Distributions Services plc,1399383000,America/New_York,EDT,-14400000,6.34,none,898000000,1.879,232000000,2398000128,0.899,0.99,12044000256,63.072,25.196,-0.00198,-0.19111,4466000000,23750000,373000000,-0.065,0.37081,0.01926,-0.00257,GBP,
2,185 Farringdon Road,London,EC1A 1AA,United Kingdom,44 34 5774 0740,https://www.internationaldistributionsservices.com/en,Integrated Freight & Logistics,Industrials,"International Distributions Services plc, together with its subsidiaries, operates as a universal postal service provider in the United Kingdom and internationally. The company offers parcels and letter delivery services under the Royal Mail and Parcelforce Worldwide brands. It also provides services for the collection, sorting, and delivery of parcels and letters. In addition, the company operates ground-based parcel delivery networks in Europe that covers 40 countries and nation states. Further, it provides express parcel delivery and logistics services. Additionally, the company engages in property holdings and facilities management activities. It serves consumers, and small and medium-sized enterprises. The company was formerly known as Royal Mail plc and changed its name to International Distributions Services plc in October 2022. International Distributions Services plc was founded in 1516 and is based in London, the United Kingdom.",165329,"{'maxAge': 1, 'name': 'Mr. Michael John Jeavons', 'age': 53, 'title': 'Group CFO & Exec. Director', 'yearBorn': 1969, 'fiscalYear': 2023, 'totalPay': 950374, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1703980800,86400,2,6.3401,6.34,6.34,6.34,6.3401,6.34,6.34,6.34,1658966400,1.773273,275,275,4437,380,380,0.0,0.0,0,0,3059715840,3.9,7.0,0.25404483,6.42072,5.74967,0.0,0.0,USD,4530345472,-0.07248,305529538,478096992,0.0,0.00027000002,7.954,0.79708326,1679788800,1711411200,1679788800,-873000000,-2.33,0.376,19.527,PNK,EQUITY,ROYMY,ROYMY,INTL DISTRIBUTIONS SVCS PLC UNS,International Distributions Services plc,1399383000,America/New_York,EDT,-14400000,6.34,none,898000000,1.879,232000000,2398000128,0.899,0.99,12044000256,63.072,25.196,-0.00198,-0.19111,4466000000,23750000,373000000,-0.065,0.37081,0.01926,-0.00257,GBP,
3,185 Farringdon Road,London,EC1A 1AA,United Kingdom,44 34 5774 0740,https://www.internationaldistributionsservices.com/en,Integrated Freight & Logistics,Industrials,"International Distributions Services plc, together with its subsidiaries, operates as a universal postal service provider in the United Kingdom and internationally. The company offers parcels and letter delivery services under the Royal Mail and Parcelforce Worldwide brands. It also provides services for the collection, sorting, and delivery of parcels and letters. In addition, the company operates ground-based parcel delivery networks in Europe that covers 40 countries and nation states. Further, it provides express parcel delivery and logistics services. Additionally, the company engages in property holdings and facilities management activities. It serves consumers, and small and medium-sized enterprises. The company was formerly known as Royal Mail plc and changed its name to International Distributions Services plc in October 2022. International Distributions Services plc was founded in 1516 and is based in London, the United Kingdom.",165329,"{'maxAge': 1, 'name': ""Mr. Shane  O'Riordain"", 'title': 'MD of Corp. Affairs, Regulation & Marketing and Member of the Exec. Board', 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1703980800,86400,2,6.3401,6.34,6.34,6.34,6.3401,6.34,6.34,6.34,1658966400,1.773273,275,275,4437,380,380,0.0,0.0,0,0,3059715840,3.9,7.0,0.25404483,6.42072,5.74967,0.0,0.0,USD,4530345472,-0.07248,305529538,478096992,0.0,0.00027000002,7.954,0.79708326,1679788800,1711411200,1679788800,-873000000,-2.33,0.376,19.527,PNK,EQUITY,ROYMY,ROYMY,INTL DISTRIBUTIONS SVCS PLC UNS,International Distributions Services plc,1399383000,America/New_York,EDT,-14400000,6.34,none,898000000,1.879,232000000,2398000128,0.899,0.99,12044000256,63.072,25.196,-0.00198,-0.19111,4466000000,23750000,373000000,-0.065,0.37081,0.01926,-0.00257,GBP,
4,185 Farringdon Road,London,EC1A 1AA,United Kingdom,44 34 5774 0740,https://www.internationaldistributionsservices.com/en,Integrated Freight & Logistics,Industrials,"International Distributions Services plc, together with its subsidiaries, operates as a universal postal service provider in the United Kingdom and internationally. The company offers parcels and letter delivery services under the Royal Mail and Parcelforce Worldwide brands. It also provides services for the collection, sorting, and delivery of parcels and letters. In addition, the company operates ground-based parcel delivery networks in Europe that covers 40 countries and nation states. Further, it provides express parcel delivery and logistics services. Additionally, the company engages in property holdings and facilities management activities. It serves consumers, and small and medium-sized enterprises. The company was formerly known as Royal Mail plc and changed its name to International Distributions Services plc in October 2022. International Distributions Services plc was founded in 1516 and is based in London, the United Kingdom.",165329,"{'maxAge': 1, 'name': 'Mr. Mark  Amsden', 'title': 'Group Gen. Counsel, Company Sec., Chief Risk & Governance Officer and Member of Exec. Board', 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1703980800,86400,2,6.3401,6.34,6.34,6.34,6.3401,6.34,6.34,6.34,1658966400,1.773273,275,275,4437,380,380,0.0,0.0,0,0,3059715840,3.9,7.0,0.25404483,6.42072,5.74967,0.0,0.0,USD,4530345472,-0.07248,305529538,478096992,0.0,0.00027000002,7.954,0.79708326,1679788800,1711411200,1679788800,-873000000,-2.33,0.376,19.527,PNK,EQUITY,ROYMY,ROYMY,INTL DISTRIBUTIONS SVCS PLC UNS,International Distributions Services plc,1399383000,America/New_York,EDT,-14400000,6.34,none,898000000,1.879,232000000,2398000128,0.899,0.99,12044000256,63.072,25.196,-0.00198,-0.19111,4466000000,23750000,373000000,-0.065,0.37081,0.01926,-0.00257,GBP,
5,185 Farringdon Road,London,EC1A 1AA,United Kingdom,44 34 5774 0740,https://www.internationaldistributionsservices.com/en,Integrated Freight & Logistics,Industrials,"International Distributions Services plc, together with its subsidiaries, operates as a universal postal service provider in the United Kingdom and internationally. The company offers parcels and letter delivery services under the Royal Mail and Parcelforce Worldwide brands. It also provides services for the collection, sorting, and delivery of parcels and letters. In addition, the company operates ground-based parcel delivery networks in Europe that covers 40 countries and nation states. Further, it provides express parcel delivery and logistics services. Additionally, the company engages in property holdings and facilities management activities. It serves consumers, and small and medium-sized enterprises. The company was formerly known as Royal Mail plc and changed its name to International Distributions Services plc in October 2022. International Distributions Services plc was founded in 1516 and is based in London, the United Kingdom.",165329,"{'maxAge': 1, 'name': 'Ms. Mel  Tomlin', 'title': 'Chief of Staff & Member of Exec. Board', 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1703980800,86400,2,6.3401,6.34,6.34,6.34,6.3401,6.34,6.34,6.34,1658966400,1.773273,275,275,4437,380,380,0.0,0.0,0,0,3059715840,3.9,7.0,0.25404483,6.42072,5.74967,0.0,0.0,USD,4530345472,-0.07248,305529538,478096992,0.0,0.00027000002,7.954,0.79708326,1679788800,1711411200,1679788800,-873000000,-2.33,0.376,19.527,PNK,EQUITY,ROYMY,ROYMY,INTL DISTRIBUTIONS SVCS PLC UNS,International Distributions Services plc,1399383000,America/New_York,EDT,-14400000,6.34,none,898000000,1.879,232000000,2398000128,0.899,0.99,12044000256,63.072,25.196,-0.00198,-0.19111,4466000000,23750000,373000000,-0.065,0.37081,0.01926,-0.00257,GBP,
6,185 Farringdon Road,London,EC1A 1AA,United Kingdom,44 34 5774 0740,https://www.internationaldistributionsservices.com/en,Integrated Freight & Logistics,Industrials,"International Distributions Services plc, together with its subsidiaries, operates as a universal postal service provider in the United Kingdom and internationally. The company offers parcels and letter delivery services under the Royal Mail and Parcelforce Worldwide brands. It also provides services for the collection, sorting, and delivery of parcels and letters. In addition, the company operates ground-based parcel delivery networks in Europe that covers 40 countries and nation states. Further, it provides express parcel delivery and logistics services. Additionally, the company engages in property holdings and facilities management activities. It serves consumers, and small and medium-sized enterprises. The company was formerly known as Royal Mail plc and changed its name to International Distributions Services plc in October 2022. International Distributions Services plc was founded in 1516 and is based in London, the United Kingdom.",165329,"{'maxAge': 1, 'name': 'Ms. Sally Anne Ashford', 'age': 52, 'title': 'Chief HR Officer & Member of Exec. Board', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1703980800,86400,2,6.3401,6.34,6.34,6.34,6.3401,6.34,6.34,6.34,1658966400,1.773273,275,275,4437,380,380,0.0,0.0,0,0,3059715840,3.9,7.0,0.25404483,6.42072,5.74967,0.0,0.0,USD,4530345472,-0.07248,305529538,478096992,0.0,0.00027000002,7.954,0.79708326,1679788800,1711411200,1679788800,-873000000,-2.33,0.376,19.527,PNK,EQUITY,ROYMY,ROYMY,INTL DISTRIBUTIONS SVCS PLC UNS,International Distributions Services plc,1399383000,America/New_York,EDT,-14400000,6.34,none,898000000,1.879,232000000,2398000128,0.899,0.99,12044000256,63.072,25.196,-0.00198,-0.19111,4466000000,23750000,373000000,-0.065,0.37081,0.01926,-0.00257,GBP,
7,185 Farringdon Road,London,EC1A 1AA,United Kingdom,44 34 5774 0740,https://www.internationaldistributionsservices.com/en,Integrated Freight & Logistics,Industrials,"International Distributions Services plc, together with its subsidiaries, operates as a universal postal service provider in the United Kingdom and internationally. The company offers parcels and letter delivery services under the Royal Mail and Parcelforce Worldwide brands. It also provides services for the collection, sorting, and delivery of parcels and letters. In addition, the company operates ground-based parcel delivery networks in Europe that covers 40 countries and nation states. Further, it provides express parcel delivery and logistics services. Additionally, the company engages in property holdings and facilities management activities. It serves consumers, and small and medium-sized enterprises. The company was formerly known as Royal Mail plc and changed its name to International Distributions Services plc in October 2022. International Distributions Services plc was founded in 1516 and is based in London, the United Kingdom.",165329,"{'maxAge': 1, 'name': 'Mr. Christian  Herrlich', 'title': 'Group Chief Information Officer & Member of the Exec. Board', 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1703980800,86400,2,6.3401,6.34,6.34,6.34,6.3401,6.34,6.34,6.34,1658966400,1.773273,275,275,4437,380,380,0.0,0.0,0,0,3059715840,3.9,7.0,0.25404483,6.42072,5.74967,0.0,0.0,USD,4530345472,-0.07248,305529538,478096992,0.0,0.00027000002,7.954,0.79708326,1679788800,1711411200,1679788800,-873000000,-2.33,0.376,19.527,PNK,EQUITY,ROYMY,ROYMY,INTL DISTRIBUTIONS SVCS PLC UNS,International Distributions Services plc,1399383000,America/New_York,EDT,-14400000,6.34,none,898000000,1.879,232000000,2398000128,0.899,0.99,12044000256,63.072,25.196,-0.00198,-0.19111,4466000000,23750000,373000000,-0.065,0.37081,0.01926,-0.00257,GBP,
8,185 Farringdon Road,London,EC1A 1AA,United Kingdom,44 34 5774 0740,https://www.internationaldistributionsservices.com/en,Integrated Freight & Logistics,Industrials,"International Distributions Services plc, together with its subsidiaries, operates as a universal postal service provider in the United Kingdom and internationally. The company offers parcels and letter delivery services under the Royal Mail and Parcelforce Worldwide brands. It also provides services for the collection, sorting, and delivery of parcels and letters. In addition, the company operates ground-based parcel delivery networks in Europe that covers 40 countries and nation states. Further, it provides express parcel delivery and logistics services. Additionally, the company engages in property holdings and facilities management activities. It serves consumers, and small and medium-sized enterprises. The company was formerly known as Royal Mail plc and changed its name to International Distributions Services plc in October 2022. International Distributions Services plc was founded in 1516 and is based in London, the United Kingdom.",165329,"{'maxAge': 1, 'name': 'Mr. Achim  Dünnwald', 'title': 'COO & Member of the Exec. Board', 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1703980800,86400,2,6.3401,6.34,6.34,6.34,6.3401,6.34,6.34,6.34,1658966400,1.773273,275,275,4437,380,380,0.0,0.0,0,0,3059715840,3.9,7.0,0.25404483,6.42072,5.74967,0.0,0.0,USD,4530345472,-0.07248,305529538,478096992,0.0,0.00027000002,7.954,0.79708326,1679788800,1711411200,1679788800,-873000000,-2.33,0.376,19.527,PNK,EQUITY,ROYMY,ROYMY,INTL DISTRIBUTIONS SVCS PLC UNS,International Distributions Services plc,1399383000,America/New_York,EDT,-14400000,6.34,none,898000000,1.879,232000000,2398000128,0.899,0.99,12044000256,63.072,25.196,-0.00198,-0.19111,4466000000,23750000,373000000,-0.065,0.37081,0.01926,-0.00257,GBP,
9,185 Farringdon Road,London,EC1A 1AA,United Kingdom,44 34 5774 0740,https://www.internationaldistributionsservices.com/en,Integrated Freight & Logistics,Industrials,"International Distributions Services plc, together with its subsidiaries, operates as a universal postal service provider in the United Kingdom and internationally. The company offers parcels and letter delivery services under the Royal Mail and Parcelforce Worldwide brands. It also provides services for the collection, sorting, and delivery of parcels and letters. In addition, the company operates ground-based parcel delivery networks in Europe that covers 40 countries and nation states. Further, it provides express parcel delivery and logistics services. Additionally, the company engages in property holdings and facilities management activities. It serves consumers, and small and medium-sized enterprises. The company was formerly known as Royal Mail plc and changed its name to International Distributions Services plc in October 2022. International Distributions Services plc was founded in 1516 and is based in London, the United Kingdom.",165329,"{'maxAge': 1, 'name': 'Mr. James  Rietkerk', 'title': 'Member of the Exec. Board', 'exercisedValue': 0, 'unexercisedValue': 0}",10,1,1,1,3,1693526400,1703980800,86400,2,6.3401,6.34,6.34,6.34,6.3401,6.34,6.34,6.34,1658966400,1.773273,275,275,4437,380,380,0.0,0.0,0,0,3059715840,3.9,7.0,0.25404483,6.42072,5.74967,0.0,0.0,USD,4530345472,-0.07248,305529538,478096992,0.0,0.00027000002,7.954,0.79708326,1679788800,1711411200,1679788800,-873000000,-2.33,0.376,19.527,PNK,EQUITY,ROYMY,ROYMY,INTL DISTRIBUTIONS SVCS PLC UNS,International Distributions Services plc,1399383000,America/New_York,EDT,-14400000,6.34,none,898000000,1.879,232000000,2398000128,0.899,0.99,12044000256,63.072,25.196,-0.00198,-0.19111,4466000000,23750000,373000000,-0.065,0.37081,0.01926,-0.00257,GBP,
