,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,UBC II Building,"14th Floor 591 Sukhumvit Road Klongton Nua, Wattana",Bangkok,10110,Thailand,66 2 828 5059,66 2 828 5064,https://www.ktc.co.th,Credit Services,Financial Services,"Krungthai Card Public Company Limited engages in the credit card, personal loan, and other related businesses in Thailand. It also engages in the merchant acquiring, payment services, retail lending business, occupational retail lending business, e-money business, and hire purchase and leasing business. Krungthai Card Public Company Limited was incorporated in 1996 and is based in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Dr. Rathian  Srimongkol M.D.', 'age': 62, 'title': 'CEO, Pres & Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 3401260, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,46.25,46.5,46.5,47.0,46.25,46.5,46.5,47.0,1.15,0.024500001,1681776000,0.4152,1.85,0.665558,16.787004,2963500,2963500,375252,0,0,46.75,46.75,0,0,119892353024,40.5,60.75,6.9622765,46.75499,53.246708,1.15,0.024864864,THB,73632178176,0.41323003,104935618,2578330112,0.02325,0.01619,124.37,0.37388438,1672444800,1703980800,1688083200,-0.046,7115915264,2.77,10:1,1531440000,4.276,SET,EQUITY,KTC-R.BK,KTC-R.BK,KTC_KRUNGTHAI CARD,Krungthai Card Public Company Limited,1198810800,Asia/Bangkok,ICT,25200000,46.5,none,1855362048,7.196,63351205888,4.378,4.378,17220280320,196.271,67.03,0.07317,0.23416,16909392568,-3312551168,-0.041,0.001,1.0,0.0,0.50918,THB,
1,UBC II Building,"14th Floor 591 Sukhumvit Road Klongton Nua, Wattana",Bangkok,10110,Thailand,66 2 828 5059,66 2 828 5064,https://www.ktc.co.th,Credit Services,Financial Services,"Krungthai Card Public Company Limited engages in the credit card, personal loan, and other related businesses in Thailand. It also engages in the merchant acquiring, payment services, retail lending business, occupational retail lending business, e-money business, and hire purchase and leasing business. Krungthai Card Public Company Limited was incorporated in 1996 and is based in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Chutidej  Chayuti', 'age': 59, 'title': 'Chief Financial Officer', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,46.25,46.5,46.5,47.0,46.25,46.5,46.5,47.0,1.15,0.024500001,1681776000,0.4152,1.85,0.665558,16.787004,2963500,2963500,375252,0,0,46.75,46.75,0,0,119892353024,40.5,60.75,6.9622765,46.75499,53.246708,1.15,0.024864864,THB,73632178176,0.41323003,104935618,2578330112,0.02325,0.01619,124.37,0.37388438,1672444800,1703980800,1688083200,-0.046,7115915264,2.77,10:1,1531440000,4.276,SET,EQUITY,KTC-R.BK,KTC-R.BK,KTC_KRUNGTHAI CARD,Krungthai Card Public Company Limited,1198810800,Asia/Bangkok,ICT,25200000,46.5,none,1855362048,7.196,63351205888,4.378,4.378,17220280320,196.271,67.03,0.07317,0.23416,16909392568,-3312551168,-0.041,0.001,1.0,0.0,0.50918,THB,
2,UBC II Building,"14th Floor 591 Sukhumvit Road Klongton Nua, Wattana",Bangkok,10110,Thailand,66 2 828 5059,66 2 828 5064,https://www.ktc.co.th,Credit Services,Financial Services,"Krungthai Card Public Company Limited engages in the credit card, personal loan, and other related businesses in Thailand. It also engages in the merchant acquiring, payment services, retail lending business, occupational retail lending business, e-money business, and hire purchase and leasing business. Krungthai Card Public Company Limited was incorporated in 1996 and is based in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Virach  Paisitsavet', 'age': 61, 'title': 'Chief Operations Officer', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,46.25,46.5,46.5,47.0,46.25,46.5,46.5,47.0,1.15,0.024500001,1681776000,0.4152,1.85,0.665558,16.787004,2963500,2963500,375252,0,0,46.75,46.75,0,0,119892353024,40.5,60.75,6.9622765,46.75499,53.246708,1.15,0.024864864,THB,73632178176,0.41323003,104935618,2578330112,0.02325,0.01619,124.37,0.37388438,1672444800,1703980800,1688083200,-0.046,7115915264,2.77,10:1,1531440000,4.276,SET,EQUITY,KTC-R.BK,KTC-R.BK,KTC_KRUNGTHAI CARD,Krungthai Card Public Company Limited,1198810800,Asia/Bangkok,ICT,25200000,46.5,none,1855362048,7.196,63351205888,4.378,4.378,17220280320,196.271,67.03,0.07317,0.23416,16909392568,-3312551168,-0.041,0.001,1.0,0.0,0.50918,THB,
3,UBC II Building,"14th Floor 591 Sukhumvit Road Klongton Nua, Wattana",Bangkok,10110,Thailand,66 2 828 5059,66 2 828 5064,https://www.ktc.co.th,Credit Services,Financial Services,"Krungthai Card Public Company Limited engages in the credit card, personal loan, and other related businesses in Thailand. It also engages in the merchant acquiring, payment services, retail lending business, occupational retail lending business, e-money business, and hire purchase and leasing business. Krungthai Card Public Company Limited was incorporated in 1996 and is based in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Ms. Rojjana  Ussayaporn', 'age': 55, 'title': 'Head of Financial Accounting Division', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,46.25,46.5,46.5,47.0,46.25,46.5,46.5,47.0,1.15,0.024500001,1681776000,0.4152,1.85,0.665558,16.787004,2963500,2963500,375252,0,0,46.75,46.75,0,0,119892353024,40.5,60.75,6.9622765,46.75499,53.246708,1.15,0.024864864,THB,73632178176,0.41323003,104935618,2578330112,0.02325,0.01619,124.37,0.37388438,1672444800,1703980800,1688083200,-0.046,7115915264,2.77,10:1,1531440000,4.276,SET,EQUITY,KTC-R.BK,KTC-R.BK,KTC_KRUNGTHAI CARD,Krungthai Card Public Company Limited,1198810800,Asia/Bangkok,ICT,25200000,46.5,none,1855362048,7.196,63351205888,4.378,4.378,17220280320,196.271,67.03,0.07317,0.23416,16909392568,-3312551168,-0.041,0.001,1.0,0.0,0.50918,THB,
4,UBC II Building,"14th Floor 591 Sukhumvit Road Klongton Nua, Wattana",Bangkok,10110,Thailand,66 2 828 5059,66 2 828 5064,https://www.ktc.co.th,Credit Services,Financial Services,"Krungthai Card Public Company Limited engages in the credit card, personal loan, and other related businesses in Thailand. It also engages in the merchant acquiring, payment services, retail lending business, occupational retail lending business, e-money business, and hire purchase and leasing business. Krungthai Card Public Company Limited was incorporated in 1996 and is based in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Woottichai  Jarernpol', 'age': 60, 'title': 'Head of Information Technology', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,46.25,46.5,46.5,47.0,46.25,46.5,46.5,47.0,1.15,0.024500001,1681776000,0.4152,1.85,0.665558,16.787004,2963500,2963500,375252,0,0,46.75,46.75,0,0,119892353024,40.5,60.75,6.9622765,46.75499,53.246708,1.15,0.024864864,THB,73632178176,0.41323003,104935618,2578330112,0.02325,0.01619,124.37,0.37388438,1672444800,1703980800,1688083200,-0.046,7115915264,2.77,10:1,1531440000,4.276,SET,EQUITY,KTC-R.BK,KTC-R.BK,KTC_KRUNGTHAI CARD,Krungthai Card Public Company Limited,1198810800,Asia/Bangkok,ICT,25200000,46.5,none,1855362048,7.196,63351205888,4.378,4.378,17220280320,196.271,67.03,0.07317,0.23416,16909392568,-3312551168,-0.041,0.001,1.0,0.0,0.50918,THB,
5,UBC II Building,"14th Floor 591 Sukhumvit Road Klongton Nua, Wattana",Bangkok,10110,Thailand,66 2 828 5059,66 2 828 5064,https://www.ktc.co.th,Credit Services,Financial Services,"Krungthai Card Public Company Limited engages in the credit card, personal loan, and other related businesses in Thailand. It also engages in the merchant acquiring, payment services, retail lending business, occupational retail lending business, e-money business, and hire purchase and leasing business. Krungthai Card Public Company Limited was incorporated in 1996 and is based in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Peerapong  Pitrpibulpatit', 'age': 52, 'title': 'Director of Legal Consult & Service Line and Company secretary', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,46.25,46.5,46.5,47.0,46.25,46.5,46.5,47.0,1.15,0.024500001,1681776000,0.4152,1.85,0.665558,16.787004,2963500,2963500,375252,0,0,46.75,46.75,0,0,119892353024,40.5,60.75,6.9622765,46.75499,53.246708,1.15,0.024864864,THB,73632178176,0.41323003,104935618,2578330112,0.02325,0.01619,124.37,0.37388438,1672444800,1703980800,1688083200,-0.046,7115915264,2.77,10:1,1531440000,4.276,SET,EQUITY,KTC-R.BK,KTC-R.BK,KTC_KRUNGTHAI CARD,Krungthai Card Public Company Limited,1198810800,Asia/Bangkok,ICT,25200000,46.5,none,1855362048,7.196,63351205888,4.378,4.378,17220280320,196.271,67.03,0.07317,0.23416,16909392568,-3312551168,-0.041,0.001,1.0,0.0,0.50918,THB,
6,UBC II Building,"14th Floor 591 Sukhumvit Road Klongton Nua, Wattana",Bangkok,10110,Thailand,66 2 828 5059,66 2 828 5064,https://www.ktc.co.th,Credit Services,Financial Services,"Krungthai Card Public Company Limited engages in the credit card, personal loan, and other related businesses in Thailand. It also engages in the merchant acquiring, payment services, retail lending business, occupational retail lending business, e-money business, and hire purchase and leasing business. Krungthai Card Public Company Limited was incorporated in 1996 and is based in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Sakda  Chantrasuriyarat', 'age': 59, 'title': 'Head of Compliance', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,46.25,46.5,46.5,47.0,46.25,46.5,46.5,47.0,1.15,0.024500001,1681776000,0.4152,1.85,0.665558,16.787004,2963500,2963500,375252,0,0,46.75,46.75,0,0,119892353024,40.5,60.75,6.9622765,46.75499,53.246708,1.15,0.024864864,THB,73632178176,0.41323003,104935618,2578330112,0.02325,0.01619,124.37,0.37388438,1672444800,1703980800,1688083200,-0.046,7115915264,2.77,10:1,1531440000,4.276,SET,EQUITY,KTC-R.BK,KTC-R.BK,KTC_KRUNGTHAI CARD,Krungthai Card Public Company Limited,1198810800,Asia/Bangkok,ICT,25200000,46.5,none,1855362048,7.196,63351205888,4.378,4.378,17220280320,196.271,67.03,0.07317,0.23416,16909392568,-3312551168,-0.041,0.001,1.0,0.0,0.50918,THB,
7,UBC II Building,"14th Floor 591 Sukhumvit Road Klongton Nua, Wattana",Bangkok,10110,Thailand,66 2 828 5059,66 2 828 5064,https://www.ktc.co.th,Credit Services,Financial Services,"Krungthai Card Public Company Limited engages in the credit card, personal loan, and other related businesses in Thailand. It also engages in the merchant acquiring, payment services, retail lending business, occupational retail lending business, e-money business, and hire purchase and leasing business. Krungthai Card Public Company Limited was incorporated in 1996 and is based in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Mr. Khan  Kachonboon', 'age': 59, 'title': 'Exec. VP of Corp. Communications', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,46.25,46.5,46.5,47.0,46.25,46.5,46.5,47.0,1.15,0.024500001,1681776000,0.4152,1.85,0.665558,16.787004,2963500,2963500,375252,0,0,46.75,46.75,0,0,119892353024,40.5,60.75,6.9622765,46.75499,53.246708,1.15,0.024864864,THB,73632178176,0.41323003,104935618,2578330112,0.02325,0.01619,124.37,0.37388438,1672444800,1703980800,1688083200,-0.046,7115915264,2.77,10:1,1531440000,4.276,SET,EQUITY,KTC-R.BK,KTC-R.BK,KTC_KRUNGTHAI CARD,Krungthai Card Public Company Limited,1198810800,Asia/Bangkok,ICT,25200000,46.5,none,1855362048,7.196,63351205888,4.378,4.378,17220280320,196.271,67.03,0.07317,0.23416,16909392568,-3312551168,-0.041,0.001,1.0,0.0,0.50918,THB,
8,UBC II Building,"14th Floor 591 Sukhumvit Road Klongton Nua, Wattana",Bangkok,10110,Thailand,66 2 828 5059,66 2 828 5064,https://www.ktc.co.th,Credit Services,Financial Services,"Krungthai Card Public Company Limited engages in the credit card, personal loan, and other related businesses in Thailand. It also engages in the merchant acquiring, payment services, retail lending business, occupational retail lending business, e-money business, and hire purchase and leasing business. Krungthai Card Public Company Limited was incorporated in 1996 and is based in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Ms. Pittaya  Vorapanyasakul', 'age': 60, 'title': 'Chief Marketing & Communication Officer', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,46.25,46.5,46.5,47.0,46.25,46.5,46.5,47.0,1.15,0.024500001,1681776000,0.4152,1.85,0.665558,16.787004,2963500,2963500,375252,0,0,46.75,46.75,0,0,119892353024,40.5,60.75,6.9622765,46.75499,53.246708,1.15,0.024864864,THB,73632178176,0.41323003,104935618,2578330112,0.02325,0.01619,124.37,0.37388438,1672444800,1703980800,1688083200,-0.046,7115915264,2.77,10:1,1531440000,4.276,SET,EQUITY,KTC-R.BK,KTC-R.BK,KTC_KRUNGTHAI CARD,Krungthai Card Public Company Limited,1198810800,Asia/Bangkok,ICT,25200000,46.5,none,1855362048,7.196,63351205888,4.378,4.378,17220280320,196.271,67.03,0.07317,0.23416,16909392568,-3312551168,-0.041,0.001,1.0,0.0,0.50918,THB,
9,UBC II Building,"14th Floor 591 Sukhumvit Road Klongton Nua, Wattana",Bangkok,10110,Thailand,66 2 828 5059,66 2 828 5064,https://www.ktc.co.th,Credit Services,Financial Services,"Krungthai Card Public Company Limited engages in the credit card, personal loan, and other related businesses in Thailand. It also engages in the merchant acquiring, payment services, retail lending business, occupational retail lending business, e-money business, and hire purchase and leasing business. Krungthai Card Public Company Limited was incorporated in 1996 and is based in Bangkok, Thailand.","{'maxAge': 1, 'name': 'Ms. Piyasuda  Kwaennonsee', 'age': 49, 'title': 'Head of HR', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,46.25,46.5,46.5,47.0,46.25,46.5,46.5,47.0,1.15,0.024500001,1681776000,0.4152,1.85,0.665558,16.787004,2963500,2963500,375252,0,0,46.75,46.75,0,0,119892353024,40.5,60.75,6.9622765,46.75499,53.246708,1.15,0.024864864,THB,73632178176,0.41323003,104935618,2578330112,0.02325,0.01619,124.37,0.37388438,1672444800,1703980800,1688083200,-0.046,7115915264,2.77,10:1,1531440000,4.276,SET,EQUITY,KTC-R.BK,KTC-R.BK,KTC_KRUNGTHAI CARD,Krungthai Card Public Company Limited,1198810800,Asia/Bangkok,ICT,25200000,46.5,none,1855362048,7.196,63351205888,4.378,4.378,17220280320,196.271,67.03,0.07317,0.23416,16909392568,-3312551168,-0.041,0.001,1.0,0.0,0.50918,THB,
