,address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,B1/431 Roberts Road,Subiaco,WA,6008,Australia,61 8 6383 9969,61 2 8316 3999,https://www.gatewaymining.com.au,Gold,Gold,Basic Materials,Basic Materials,"Gateway Mining Limited primarily explores for gold and base metal properties in Western Australia. It owns 100% interest in its flagship Montague Gold project covering an area of approximately 1000 square kilometers located in the town of Sandstone. Gateway Mining Limited was incorporated in 1957 and is based in Subiaco, Australia.","{'maxAge': 1, 'name': 'Mr. Mark  Cossom B.Sc., BSc. (Hons), M.Sc., MAusIMM, MSc(MinEcon)', 'title': 'MD & Director', 'fiscalYear': 2022, 'totalPay': 319000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.039,0.037,0.037,0.039,0.039,0.037,0.037,0.039,0.0,1.53078,78254,78254,140865,55664,55664,0.039,0.04,0,0,10387026,0.031,0.092,745.81934,0.03978,0.049035,0.0,0.0,AUD,7957842,0.0,142319102,266334000,0.42848,0.0,266334000,0.103,0.37864077,1656547200,1688083200,1672444800,-1254969,-0.06,1:10,1661126400,571.397,-6.736,-0.56666666,0.14113986,ASX,EQUITY,GML.AX,GML.AX,GATEWAY FPO,Gateway Mining Limited,570409200,Australia/Sydney,AEST,88c3d60d-dea8-3b05-a4f8-db4319cd1683,finmb_7683514,36000000,0.039,none,925350,0.004,-1181411,68765,1.456,1.466,13927,0.294,0.0,-0.02928,-0.0504,10000,-4689687,-993456,0.041,1.0,0.0,-85.81976,AUD,
1,B1/431 Roberts Road,Subiaco,WA,6008,Australia,61 8 6383 9969,61 2 8316 3999,https://www.gatewaymining.com.au,Gold,Gold,Basic Materials,Basic Materials,"Gateway Mining Limited primarily explores for gold and base metal properties in Western Australia. It owns 100% interest in its flagship Montague Gold project covering an area of approximately 1000 square kilometers located in the town of Sandstone. Gateway Mining Limited was incorporated in 1957 and is based in Subiaco, Australia.","{'maxAge': 1, 'name': 'Mr. Kar  Chua B.Com.', 'title': 'Company Sec.', 'fiscalYear': 2022, 'totalPay': 67516, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.039,0.037,0.037,0.039,0.039,0.037,0.037,0.039,0.0,1.53078,78254,78254,140865,55664,55664,0.039,0.04,0,0,10387026,0.031,0.092,745.81934,0.03978,0.049035,0.0,0.0,AUD,7957842,0.0,142319102,266334000,0.42848,0.0,266334000,0.103,0.37864077,1656547200,1688083200,1672444800,-1254969,-0.06,1:10,1661126400,571.397,-6.736,-0.56666666,0.14113986,ASX,EQUITY,GML.AX,GML.AX,GATEWAY FPO,Gateway Mining Limited,570409200,Australia/Sydney,AEST,88c3d60d-dea8-3b05-a4f8-db4319cd1683,finmb_7683514,36000000,0.039,none,925350,0.004,-1181411,68765,1.456,1.466,13927,0.294,0.0,-0.02928,-0.0504,10000,-4689687,-993456,0.041,1.0,0.0,-85.81976,AUD,
2,B1/431 Roberts Road,Subiaco,WA,6008,Australia,61 8 6383 9969,61 2 8316 3999,https://www.gatewaymining.com.au,Gold,Gold,Basic Materials,Basic Materials,"Gateway Mining Limited primarily explores for gold and base metal properties in Western Australia. It owns 100% interest in its flagship Montague Gold project covering an area of approximately 1000 square kilometers located in the town of Sandstone. Gateway Mining Limited was incorporated in 1957 and is based in Subiaco, Australia.","{'maxAge': 1, 'name': 'Mr. Stuart  Stephens', 'title': 'Exploration Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.039,0.037,0.037,0.039,0.039,0.037,0.037,0.039,0.0,1.53078,78254,78254,140865,55664,55664,0.039,0.04,0,0,10387026,0.031,0.092,745.81934,0.03978,0.049035,0.0,0.0,AUD,7957842,0.0,142319102,266334000,0.42848,0.0,266334000,0.103,0.37864077,1656547200,1688083200,1672444800,-1254969,-0.06,1:10,1661126400,571.397,-6.736,-0.56666666,0.14113986,ASX,EQUITY,GML.AX,GML.AX,GATEWAY FPO,Gateway Mining Limited,570409200,Australia/Sydney,AEST,88c3d60d-dea8-3b05-a4f8-db4319cd1683,finmb_7683514,36000000,0.039,none,925350,0.004,-1181411,68765,1.456,1.466,13927,0.294,0.0,-0.02928,-0.0504,10000,-4689687,-993456,0.041,1.0,0.0,-85.81976,AUD,
