,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,4730 Tejon Street,Denver,CO,80211,United States,303-396-1756,https://www.marleycoffee.com,Real Estate Services,Real Estate,"Jammin Java Corp. produces and sells roasted coffee under the Marley Coffee brand name in the United States and internationally. It distributes roasted coffee to grocery, retail, online, service, hospitality, office coffee service, and big box store industries. The company was formerly known as Marley Coffee Inc. and changed its name to Jammin Java Corp. in July 2009. Jammin Java Corp. was founded in 2004 and is headquartered in Denver, Colorado.",12,"{'maxAge': 1, 'name': 'Mr. Anh Tien Tran', 'age': 45, 'title': 'Principal Financial & Accounting Officer', 'yearBorn': 1977, 'fiscalYear': 2016, 'totalPay': 166490, 'exercisedValue': 0, 'unexercisedValue': 0}",1483142400,86400,4,5e-05,5e-05,1e-06,0.0001,5e-05,5e-05,1e-06,0.0001,0.0,17.873789,0.005,11488103,11488103,545983,1150219,1150219,0.0,0.0,0,0,22931,1e-06,0.00015,0.0020476657,5.7e-05,5.815e-05,0.0,0.0,USD,1401315,-0.83381,188389055,229307008,0.0,1.0000001e-05,-0.038,1454198400,1485820800,1477872000,-9910244,-0.04,0.01,3:1,1267401600,0.125,-0.354,PNK,EQUITY,JAMN,JAMN,JAMMIN JAVA CORP,Jammin Java Corp.,1234276200,America/New_York,EDT,-14400000,5e-05,none,10277,0.0,-3957074,1400127,0.002,0.118,11198605,0.078,-1.99634,3173237,-180174,-588448,0.28336,-0.35334998,-0.39986,USD,
1,4730 Tejon Street,Denver,CO,80211,United States,303-396-1756,https://www.marleycoffee.com,Real Estate Services,Real Estate,"Jammin Java Corp. produces and sells roasted coffee under the Marley Coffee brand name in the United States and internationally. It distributes roasted coffee to grocery, retail, online, service, hospitality, office coffee service, and big box store industries. The company was formerly known as Marley Coffee Inc. and changed its name to Jammin Java Corp. in July 2009. Jammin Java Corp. was founded in 2004 and is headquartered in Denver, Colorado.",12,"{'maxAge': 1, 'name': 'Mr. Paul  Strickland', 'title': 'Sec., Treasurer & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1483142400,86400,4,5e-05,5e-05,1e-06,0.0001,5e-05,5e-05,1e-06,0.0001,0.0,17.873789,0.005,11488103,11488103,545983,1150219,1150219,0.0,0.0,0,0,22931,1e-06,0.00015,0.0020476657,5.7e-05,5.815e-05,0.0,0.0,USD,1401315,-0.83381,188389055,229307008,0.0,1.0000001e-05,-0.038,1454198400,1485820800,1477872000,-9910244,-0.04,0.01,3:1,1267401600,0.125,-0.354,PNK,EQUITY,JAMN,JAMN,JAMMIN JAVA CORP,Jammin Java Corp.,1234276200,America/New_York,EDT,-14400000,5e-05,none,10277,0.0,-3957074,1400127,0.002,0.118,11198605,0.078,-1.99634,3173237,-180174,-588448,0.28336,-0.35334998,-0.39986,USD,
