,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"20-1-21, Kita 24 Johigashi",Higashi-ku,Sapporo,065-0024,Japan,81 1 1783 2755,https://www.tsuruha-hd.com,Pharmaceutical Retailers,Healthcare,"Tsuruha Holdings Inc. operates drugstores in Japan. It sells pharmaceutical, cosmetic, miscellaneous goods and food products. The company was founded in 1929 and is headquartered in Sapporo, Japan.",11298,"{'maxAge': 1, 'name': 'Mr. Jun  Tsuruha', 'age': 48, 'title': 'Pres, CEO & Representative Director', 'yearBorn': 1974, 'fiscalYear': 2021, 'totalPay': 629331, 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,9,10,8,1693526400,1640908800,86400,2,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,1.87,0.0251,1699920000,0.5014,0.233108,21.107956,100,100,1,0,0,3611106560,55.26,77.0,0.003722487,74.3,75.2978,0.0,0.0,USD,5221066752,0.02604,30221664,48601700,0.21991,0.61064,5727.146,0.012973304,1684108800,1715731200,1684108800,0.427,25258000384,3.52,0.005,0.084,PNK,EQUITY,TSUSF,TSUSF,TSURUHA HOLDINGS INC,Tsuruha Holdings Inc.,1389709800,America/New_York,EDT,-14400000,74.3,none,79049998336,1626.504,62128001024,54862999552,0.706,1.637,970079010816,18.038,19967.072,0.051680002,0.09739,293362000000,-30161000448,804000000,0.423,0.066,0.30241,0.06404,0.04698,JPY,
1,"20-1-21, Kita 24 Johigashi",Higashi-ku,Sapporo,065-0024,Japan,81 1 1783 2755,https://www.tsuruha-hd.com,Pharmaceutical Retailers,Healthcare,"Tsuruha Holdings Inc. operates drugstores in Japan. It sells pharmaceutical, cosmetic, miscellaneous goods and food products. The company was founded in 1929 and is headquartered in Sapporo, Japan.",11298,"{'maxAge': 1, 'name': 'Makoto  Murakami', 'title': 'Exec. Officer & Chief Admin. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,9,10,8,1693526400,1640908800,86400,2,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,1.87,0.0251,1699920000,0.5014,0.233108,21.107956,100,100,1,0,0,3611106560,55.26,77.0,0.003722487,74.3,75.2978,0.0,0.0,USD,5221066752,0.02604,30221664,48601700,0.21991,0.61064,5727.146,0.012973304,1684108800,1715731200,1684108800,0.427,25258000384,3.52,0.005,0.084,PNK,EQUITY,TSUSF,TSUSF,TSURUHA HOLDINGS INC,Tsuruha Holdings Inc.,1389709800,America/New_York,EDT,-14400000,74.3,none,79049998336,1626.504,62128001024,54862999552,0.706,1.637,970079010816,18.038,19967.072,0.051680002,0.09739,293362000000,-30161000448,804000000,0.423,0.066,0.30241,0.06404,0.04698,JPY,
2,"20-1-21, Kita 24 Johigashi",Higashi-ku,Sapporo,065-0024,Japan,81 1 1783 2755,https://www.tsuruha-hd.com,Pharmaceutical Retailers,Healthcare,"Tsuruha Holdings Inc. operates drugstores in Japan. It sells pharmaceutical, cosmetic, miscellaneous goods and food products. The company was founded in 1929 and is headquartered in Sapporo, Japan.",11298,"{'maxAge': 1, 'name': 'Mr. Hisaya  Ogawa', 'age': 64, 'title': 'Exec. Officer & Director', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,9,10,8,1693526400,1640908800,86400,2,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,1.87,0.0251,1699920000,0.5014,0.233108,21.107956,100,100,1,0,0,3611106560,55.26,77.0,0.003722487,74.3,75.2978,0.0,0.0,USD,5221066752,0.02604,30221664,48601700,0.21991,0.61064,5727.146,0.012973304,1684108800,1715731200,1684108800,0.427,25258000384,3.52,0.005,0.084,PNK,EQUITY,TSUSF,TSUSF,TSURUHA HOLDINGS INC,Tsuruha Holdings Inc.,1389709800,America/New_York,EDT,-14400000,74.3,none,79049998336,1626.504,62128001024,54862999552,0.706,1.637,970079010816,18.038,19967.072,0.051680002,0.09739,293362000000,-30161000448,804000000,0.423,0.066,0.30241,0.06404,0.04698,JPY,
3,"20-1-21, Kita 24 Johigashi",Higashi-ku,Sapporo,065-0024,Japan,81 1 1783 2755,https://www.tsuruha-hd.com,Pharmaceutical Retailers,Healthcare,"Tsuruha Holdings Inc. operates drugstores in Japan. It sells pharmaceutical, cosmetic, miscellaneous goods and food products. The company was founded in 1929 and is headquartered in Sapporo, Japan.",11298,"{'maxAge': 1, 'name': 'Mr. Shoichi  Murakami', 'age': 55, 'title': 'Exec. Officer & Director', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,9,10,8,1693526400,1640908800,86400,2,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,1.87,0.0251,1699920000,0.5014,0.233108,21.107956,100,100,1,0,0,3611106560,55.26,77.0,0.003722487,74.3,75.2978,0.0,0.0,USD,5221066752,0.02604,30221664,48601700,0.21991,0.61064,5727.146,0.012973304,1684108800,1715731200,1684108800,0.427,25258000384,3.52,0.005,0.084,PNK,EQUITY,TSUSF,TSUSF,TSURUHA HOLDINGS INC,Tsuruha Holdings Inc.,1389709800,America/New_York,EDT,-14400000,74.3,none,79049998336,1626.504,62128001024,54862999552,0.706,1.637,970079010816,18.038,19967.072,0.051680002,0.09739,293362000000,-30161000448,804000000,0.423,0.066,0.30241,0.06404,0.04698,JPY,
4,"20-1-21, Kita 24 Johigashi",Higashi-ku,Sapporo,065-0024,Japan,81 1 1783 2755,https://www.tsuruha-hd.com,Pharmaceutical Retailers,Healthcare,"Tsuruha Holdings Inc. operates drugstores in Japan. It sells pharmaceutical, cosmetic, miscellaneous goods and food products. The company was founded in 1929 and is headquartered in Sapporo, Japan.",11298,"{'maxAge': 1, 'name': 'Kazuto  Toyama', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,9,10,8,1693526400,1640908800,86400,2,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,1.87,0.0251,1699920000,0.5014,0.233108,21.107956,100,100,1,0,0,3611106560,55.26,77.0,0.003722487,74.3,75.2978,0.0,0.0,USD,5221066752,0.02604,30221664,48601700,0.21991,0.61064,5727.146,0.012973304,1684108800,1715731200,1684108800,0.427,25258000384,3.52,0.005,0.084,PNK,EQUITY,TSUSF,TSUSF,TSURUHA HOLDINGS INC,Tsuruha Holdings Inc.,1389709800,America/New_York,EDT,-14400000,74.3,none,79049998336,1626.504,62128001024,54862999552,0.706,1.637,970079010816,18.038,19967.072,0.051680002,0.09739,293362000000,-30161000448,804000000,0.423,0.066,0.30241,0.06404,0.04698,JPY,
5,"20-1-21, Kita 24 Johigashi",Higashi-ku,Sapporo,065-0024,Japan,81 1 1783 2755,https://www.tsuruha-hd.com,Pharmaceutical Retailers,Healthcare,"Tsuruha Holdings Inc. operates drugstores in Japan. It sells pharmaceutical, cosmetic, miscellaneous goods and food products. The company was founded in 1929 and is headquartered in Sapporo, Japan.",11298,"{'maxAge': 1, 'name': 'Mr. Masahiro  Yahata', 'age': 54, 'title': 'Exec. Officer & Director', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,9,10,8,1693526400,1640908800,86400,2,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,1.87,0.0251,1699920000,0.5014,0.233108,21.107956,100,100,1,0,0,3611106560,55.26,77.0,0.003722487,74.3,75.2978,0.0,0.0,USD,5221066752,0.02604,30221664,48601700,0.21991,0.61064,5727.146,0.012973304,1684108800,1715731200,1684108800,0.427,25258000384,3.52,0.005,0.084,PNK,EQUITY,TSUSF,TSUSF,TSURUHA HOLDINGS INC,Tsuruha Holdings Inc.,1389709800,America/New_York,EDT,-14400000,74.3,none,79049998336,1626.504,62128001024,54862999552,0.706,1.637,970079010816,18.038,19967.072,0.051680002,0.09739,293362000000,-30161000448,804000000,0.423,0.066,0.30241,0.06404,0.04698,JPY,
6,"20-1-21, Kita 24 Johigashi",Higashi-ku,Sapporo,065-0024,Japan,81 1 1783 2755,https://www.tsuruha-hd.com,Pharmaceutical Retailers,Healthcare,"Tsuruha Holdings Inc. operates drugstores in Japan. It sells pharmaceutical, cosmetic, miscellaneous goods and food products. The company was founded in 1929 and is headquartered in Sapporo, Japan.",11298,"{'maxAge': 1, 'name': 'Yoshihiro  Kobashi', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,9,10,8,1693526400,1640908800,86400,2,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,1.87,0.0251,1699920000,0.5014,0.233108,21.107956,100,100,1,0,0,3611106560,55.26,77.0,0.003722487,74.3,75.2978,0.0,0.0,USD,5221066752,0.02604,30221664,48601700,0.21991,0.61064,5727.146,0.012973304,1684108800,1715731200,1684108800,0.427,25258000384,3.52,0.005,0.084,PNK,EQUITY,TSUSF,TSUSF,TSURUHA HOLDINGS INC,Tsuruha Holdings Inc.,1389709800,America/New_York,EDT,-14400000,74.3,none,79049998336,1626.504,62128001024,54862999552,0.706,1.637,970079010816,18.038,19967.072,0.051680002,0.09739,293362000000,-30161000448,804000000,0.423,0.066,0.30241,0.06404,0.04698,JPY,
7,"20-1-21, Kita 24 Johigashi",Higashi-ku,Sapporo,065-0024,Japan,81 1 1783 2755,https://www.tsuruha-hd.com,Pharmaceutical Retailers,Healthcare,"Tsuruha Holdings Inc. operates drugstores in Japan. It sells pharmaceutical, cosmetic, miscellaneous goods and food products. The company was founded in 1929 and is headquartered in Sapporo, Japan.",11298,"{'maxAge': 1, 'name': 'Mr. Akio  Shiraishi', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,9,10,8,1693526400,1640908800,86400,2,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,1.87,0.0251,1699920000,0.5014,0.233108,21.107956,100,100,1,0,0,3611106560,55.26,77.0,0.003722487,74.3,75.2978,0.0,0.0,USD,5221066752,0.02604,30221664,48601700,0.21991,0.61064,5727.146,0.012973304,1684108800,1715731200,1684108800,0.427,25258000384,3.52,0.005,0.084,PNK,EQUITY,TSUSF,TSUSF,TSURUHA HOLDINGS INC,Tsuruha Holdings Inc.,1389709800,America/New_York,EDT,-14400000,74.3,none,79049998336,1626.504,62128001024,54862999552,0.706,1.637,970079010816,18.038,19967.072,0.051680002,0.09739,293362000000,-30161000448,804000000,0.423,0.066,0.30241,0.06404,0.04698,JPY,
8,"20-1-21, Kita 24 Johigashi",Higashi-ku,Sapporo,065-0024,Japan,81 1 1783 2755,https://www.tsuruha-hd.com,Pharmaceutical Retailers,Healthcare,"Tsuruha Holdings Inc. operates drugstores in Japan. It sells pharmaceutical, cosmetic, miscellaneous goods and food products. The company was founded in 1929 and is headquartered in Sapporo, Japan.",11298,"{'maxAge': 1, 'name': 'Mr. Naotaka  Kokawaji', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,9,10,8,1693526400,1640908800,86400,2,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,1.87,0.0251,1699920000,0.5014,0.233108,21.107956,100,100,1,0,0,3611106560,55.26,77.0,0.003722487,74.3,75.2978,0.0,0.0,USD,5221066752,0.02604,30221664,48601700,0.21991,0.61064,5727.146,0.012973304,1684108800,1715731200,1684108800,0.427,25258000384,3.52,0.005,0.084,PNK,EQUITY,TSUSF,TSUSF,TSURUHA HOLDINGS INC,Tsuruha Holdings Inc.,1389709800,America/New_York,EDT,-14400000,74.3,none,79049998336,1626.504,62128001024,54862999552,0.706,1.637,970079010816,18.038,19967.072,0.051680002,0.09739,293362000000,-30161000448,804000000,0.423,0.066,0.30241,0.06404,0.04698,JPY,
9,"20-1-21, Kita 24 Johigashi",Higashi-ku,Sapporo,065-0024,Japan,81 1 1783 2755,https://www.tsuruha-hd.com,Pharmaceutical Retailers,Healthcare,"Tsuruha Holdings Inc. operates drugstores in Japan. It sells pharmaceutical, cosmetic, miscellaneous goods and food products. The company was founded in 1929 and is headquartered in Sapporo, Japan.",11298,"{'maxAge': 1, 'name': 'Akiko  Kamijo', 'title': 'Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",4,5,9,10,8,1693526400,1640908800,86400,2,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,1.87,0.0251,1699920000,0.5014,0.233108,21.107956,100,100,1,0,0,3611106560,55.26,77.0,0.003722487,74.3,75.2978,0.0,0.0,USD,5221066752,0.02604,30221664,48601700,0.21991,0.61064,5727.146,0.012973304,1684108800,1715731200,1684108800,0.427,25258000384,3.52,0.005,0.084,PNK,EQUITY,TSUSF,TSUSF,TSURUHA HOLDINGS INC,Tsuruha Holdings Inc.,1389709800,America/New_York,EDT,-14400000,74.3,none,79049998336,1626.504,62128001024,54862999552,0.706,1.637,970079010816,18.038,19967.072,0.051680002,0.09739,293362000000,-30161000448,804000000,0.423,0.066,0.30241,0.06404,0.04698,JPY,
