,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,15415 Katy Freeway,Suite 100,Houston,TX,77094-1810,United States,281 492 5300,https://www.diamondoffshore.com,Oil & Gas Drilling,Energy,"Diamond Offshore Drilling, Inc. provides contract drilling services to the energy industry worldwide. As of December 31, 2022, the company operated a fleet of 14 offshore drilling rigs, including four drillships, eight semisubmersible rigs, and two managed rigs. It serves independent oil and gas companies, and government-owned oil companies. The company was founded in 1953 and is headquartered in Houston, Texas.",2100,"{'maxAge': 1, 'name': 'Mr. Bernie G. Wolford', 'age': 62, 'title': 'Pres, CEO & Director', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 1349638, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,7,5,1693526400,1672444800,86400,2,16.16,16.1,15.63,16.29,16.16,16.1,15.63,16.29,0.0,8.06701,14.626167,1890170,1890170,1331338,1618340,1618340,15.68,15.58,1000,800,1601339264,6.12,17.32,1.8259577,15.3968,12.3728,0.0,0.0,USD,2124581248,0.22701,93284825,102322000,1744321,1745101,1690761600,1693440000,0.017,0.01011,0.8919,1.64,0.0172,9.176,1.7055362,1672444800,1703980800,1688083200,199084000,1.94,1.07,2.423,23.913,NYQ,EQUITY,DO,DO,"Diamond Offshore Drilling, Inc.","Diamond Offshore Drilling, Inc.",1648647000,America/New_York,EDT,-14400000,15.65,20.0,16.0,18.0,18.0,1.7,buy,4,29685000,0.292,88848000,510875008,1.238,1.492,876985984,54.761,8.664,-0.00674,0.24033001,162462000,-97440872,30412000,0.498,0.24552,0.10130999,-0.02029,USD,
1,15415 Katy Freeway,Suite 100,Houston,TX,77094-1810,United States,281 492 5300,https://www.diamondoffshore.com,Oil & Gas Drilling,Energy,"Diamond Offshore Drilling, Inc. provides contract drilling services to the energy industry worldwide. As of December 31, 2022, the company operated a fleet of 14 offshore drilling rigs, including four drillships, eight semisubmersible rigs, and two managed rigs. It serves independent oil and gas companies, and government-owned oil companies. The company was founded in 1953 and is headquartered in Houston, Texas.",2100,"{'maxAge': 1, 'name': 'Mr. Dominic A. Savarino', 'age': 52, 'title': 'Sr. VP & CFO', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 727609, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,7,5,1693526400,1672444800,86400,2,16.16,16.1,15.63,16.29,16.16,16.1,15.63,16.29,0.0,8.06701,14.626167,1890170,1890170,1331338,1618340,1618340,15.68,15.58,1000,800,1601339264,6.12,17.32,1.8259577,15.3968,12.3728,0.0,0.0,USD,2124581248,0.22701,93284825,102322000,1744321,1745101,1690761600,1693440000,0.017,0.01011,0.8919,1.64,0.0172,9.176,1.7055362,1672444800,1703980800,1688083200,199084000,1.94,1.07,2.423,23.913,NYQ,EQUITY,DO,DO,"Diamond Offshore Drilling, Inc.","Diamond Offshore Drilling, Inc.",1648647000,America/New_York,EDT,-14400000,15.65,20.0,16.0,18.0,18.0,1.7,buy,4,29685000,0.292,88848000,510875008,1.238,1.492,876985984,54.761,8.664,-0.00674,0.24033001,162462000,-97440872,30412000,0.498,0.24552,0.10130999,-0.02029,USD,
2,15415 Katy Freeway,Suite 100,Houston,TX,77094-1810,United States,281 492 5300,https://www.diamondoffshore.com,Oil & Gas Drilling,Energy,"Diamond Offshore Drilling, Inc. provides contract drilling services to the energy industry worldwide. As of December 31, 2022, the company operated a fleet of 14 offshore drilling rigs, including four drillships, eight semisubmersible rigs, and two managed rigs. It serves independent oil and gas companies, and government-owned oil companies. The company was founded in 1953 and is headquartered in Houston, Texas.",2100,"{'maxAge': 1, 'name': 'Mr. David Lynn Roland', 'age': 60, 'title': 'Sr. VP, Gen. Counsel & Sec.', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 702174, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,7,5,1693526400,1672444800,86400,2,16.16,16.1,15.63,16.29,16.16,16.1,15.63,16.29,0.0,8.06701,14.626167,1890170,1890170,1331338,1618340,1618340,15.68,15.58,1000,800,1601339264,6.12,17.32,1.8259577,15.3968,12.3728,0.0,0.0,USD,2124581248,0.22701,93284825,102322000,1744321,1745101,1690761600,1693440000,0.017,0.01011,0.8919,1.64,0.0172,9.176,1.7055362,1672444800,1703980800,1688083200,199084000,1.94,1.07,2.423,23.913,NYQ,EQUITY,DO,DO,"Diamond Offshore Drilling, Inc.","Diamond Offshore Drilling, Inc.",1648647000,America/New_York,EDT,-14400000,15.65,20.0,16.0,18.0,18.0,1.7,buy,4,29685000,0.292,88848000,510875008,1.238,1.492,876985984,54.761,8.664,-0.00674,0.24033001,162462000,-97440872,30412000,0.498,0.24552,0.10130999,-0.02029,USD,
3,15415 Katy Freeway,Suite 100,Houston,TX,77094-1810,United States,281 492 5300,https://www.diamondoffshore.com,Oil & Gas Drilling,Energy,"Diamond Offshore Drilling, Inc. provides contract drilling services to the energy industry worldwide. As of December 31, 2022, the company operated a fleet of 14 offshore drilling rigs, including four drillships, eight semisubmersible rigs, and two managed rigs. It serves independent oil and gas companies, and government-owned oil companies. The company was founded in 1953 and is headquartered in Houston, Texas.",2100,"{'maxAge': 1, 'name': 'Mr. Tim  Osburn', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,7,5,1693526400,1672444800,86400,2,16.16,16.1,15.63,16.29,16.16,16.1,15.63,16.29,0.0,8.06701,14.626167,1890170,1890170,1331338,1618340,1618340,15.68,15.58,1000,800,1601339264,6.12,17.32,1.8259577,15.3968,12.3728,0.0,0.0,USD,2124581248,0.22701,93284825,102322000,1744321,1745101,1690761600,1693440000,0.017,0.01011,0.8919,1.64,0.0172,9.176,1.7055362,1672444800,1703980800,1688083200,199084000,1.94,1.07,2.423,23.913,NYQ,EQUITY,DO,DO,"Diamond Offshore Drilling, Inc.","Diamond Offshore Drilling, Inc.",1648647000,America/New_York,EDT,-14400000,15.65,20.0,16.0,18.0,18.0,1.7,buy,4,29685000,0.292,88848000,510875008,1.238,1.492,876985984,54.761,8.664,-0.00674,0.24033001,162462000,-97440872,30412000,0.498,0.24552,0.10130999,-0.02029,USD,
4,15415 Katy Freeway,Suite 100,Houston,TX,77094-1810,United States,281 492 5300,https://www.diamondoffshore.com,Oil & Gas Drilling,Energy,"Diamond Offshore Drilling, Inc. provides contract drilling services to the energy industry worldwide. As of December 31, 2022, the company operated a fleet of 14 offshore drilling rigs, including four drillships, eight semisubmersible rigs, and two managed rigs. It serves independent oil and gas companies, and government-owned oil companies. The company was founded in 1953 and is headquartered in Houston, Texas.",2100,"{'maxAge': 1, 'name': 'Samir  Ali', 'title': 'VP of Investor Relations & Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,7,5,1693526400,1672444800,86400,2,16.16,16.1,15.63,16.29,16.16,16.1,15.63,16.29,0.0,8.06701,14.626167,1890170,1890170,1331338,1618340,1618340,15.68,15.58,1000,800,1601339264,6.12,17.32,1.8259577,15.3968,12.3728,0.0,0.0,USD,2124581248,0.22701,93284825,102322000,1744321,1745101,1690761600,1693440000,0.017,0.01011,0.8919,1.64,0.0172,9.176,1.7055362,1672444800,1703980800,1688083200,199084000,1.94,1.07,2.423,23.913,NYQ,EQUITY,DO,DO,"Diamond Offshore Drilling, Inc.","Diamond Offshore Drilling, Inc.",1648647000,America/New_York,EDT,-14400000,15.65,20.0,16.0,18.0,18.0,1.7,buy,4,29685000,0.292,88848000,510875008,1.238,1.492,876985984,54.761,8.664,-0.00674,0.24033001,162462000,-97440872,30412000,0.498,0.24552,0.10130999,-0.02029,USD,
5,15415 Katy Freeway,Suite 100,Houston,TX,77094-1810,United States,281 492 5300,https://www.diamondoffshore.com,Oil & Gas Drilling,Energy,"Diamond Offshore Drilling, Inc. provides contract drilling services to the energy industry worldwide. As of December 31, 2022, the company operated a fleet of 14 offshore drilling rigs, including four drillships, eight semisubmersible rigs, and two managed rigs. It serves independent oil and gas companies, and government-owned oil companies. The company was founded in 1953 and is headquartered in Houston, Texas.",2100,"{'maxAge': 1, 'name': 'Mr. Aaron  Sobel', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,7,5,1693526400,1672444800,86400,2,16.16,16.1,15.63,16.29,16.16,16.1,15.63,16.29,0.0,8.06701,14.626167,1890170,1890170,1331338,1618340,1618340,15.68,15.58,1000,800,1601339264,6.12,17.32,1.8259577,15.3968,12.3728,0.0,0.0,USD,2124581248,0.22701,93284825,102322000,1744321,1745101,1690761600,1693440000,0.017,0.01011,0.8919,1.64,0.0172,9.176,1.7055362,1672444800,1703980800,1688083200,199084000,1.94,1.07,2.423,23.913,NYQ,EQUITY,DO,DO,"Diamond Offshore Drilling, Inc.","Diamond Offshore Drilling, Inc.",1648647000,America/New_York,EDT,-14400000,15.65,20.0,16.0,18.0,18.0,1.7,buy,4,29685000,0.292,88848000,510875008,1.238,1.492,876985984,54.761,8.664,-0.00674,0.24033001,162462000,-97440872,30412000,0.498,0.24552,0.10130999,-0.02029,USD,
6,15415 Katy Freeway,Suite 100,Houston,TX,77094-1810,United States,281 492 5300,https://www.diamondoffshore.com,Oil & Gas Drilling,Energy,"Diamond Offshore Drilling, Inc. provides contract drilling services to the energy industry worldwide. As of December 31, 2022, the company operated a fleet of 14 offshore drilling rigs, including four drillships, eight semisubmersible rigs, and two managed rigs. It serves independent oil and gas companies, and government-owned oil companies. The company was founded in 1953 and is headquartered in Houston, Texas.",2100,"{'maxAge': 1, 'name': 'Mr. Karl S. Sellers', 'title': 'Sr. VP of Technical Services', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,7,5,1693526400,1672444800,86400,2,16.16,16.1,15.63,16.29,16.16,16.1,15.63,16.29,0.0,8.06701,14.626167,1890170,1890170,1331338,1618340,1618340,15.68,15.58,1000,800,1601339264,6.12,17.32,1.8259577,15.3968,12.3728,0.0,0.0,USD,2124581248,0.22701,93284825,102322000,1744321,1745101,1690761600,1693440000,0.017,0.01011,0.8919,1.64,0.0172,9.176,1.7055362,1672444800,1703980800,1688083200,199084000,1.94,1.07,2.423,23.913,NYQ,EQUITY,DO,DO,"Diamond Offshore Drilling, Inc.","Diamond Offshore Drilling, Inc.",1648647000,America/New_York,EDT,-14400000,15.65,20.0,16.0,18.0,18.0,1.7,buy,4,29685000,0.292,88848000,510875008,1.238,1.492,876985984,54.761,8.664,-0.00674,0.24033001,162462000,-97440872,30412000,0.498,0.24552,0.10130999,-0.02029,USD,
7,15415 Katy Freeway,Suite 100,Houston,TX,77094-1810,United States,281 492 5300,https://www.diamondoffshore.com,Oil & Gas Drilling,Energy,"Diamond Offshore Drilling, Inc. provides contract drilling services to the energy industry worldwide. As of December 31, 2022, the company operated a fleet of 14 offshore drilling rigs, including four drillships, eight semisubmersible rigs, and two managed rigs. It serves independent oil and gas companies, and government-owned oil companies. The company was founded in 1953 and is headquartered in Houston, Texas.",2100,"{'maxAge': 1, 'name': 'Mr. Jon L. Richards', 'age': 48, 'title': 'Sr. VP of Worldwide Operations', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,7,5,1693526400,1672444800,86400,2,16.16,16.1,15.63,16.29,16.16,16.1,15.63,16.29,0.0,8.06701,14.626167,1890170,1890170,1331338,1618340,1618340,15.68,15.58,1000,800,1601339264,6.12,17.32,1.8259577,15.3968,12.3728,0.0,0.0,USD,2124581248,0.22701,93284825,102322000,1744321,1745101,1690761600,1693440000,0.017,0.01011,0.8919,1.64,0.0172,9.176,1.7055362,1672444800,1703980800,1688083200,199084000,1.94,1.07,2.423,23.913,NYQ,EQUITY,DO,DO,"Diamond Offshore Drilling, Inc.","Diamond Offshore Drilling, Inc.",1648647000,America/New_York,EDT,-14400000,15.65,20.0,16.0,18.0,18.0,1.7,buy,4,29685000,0.292,88848000,510875008,1.238,1.492,876985984,54.761,8.664,-0.00674,0.24033001,162462000,-97440872,30412000,0.498,0.24552,0.10130999,-0.02029,USD,
8,15415 Katy Freeway,Suite 100,Houston,TX,77094-1810,United States,281 492 5300,https://www.diamondoffshore.com,Oil & Gas Drilling,Energy,"Diamond Offshore Drilling, Inc. provides contract drilling services to the energy industry worldwide. As of December 31, 2022, the company operated a fleet of 14 offshore drilling rigs, including four drillships, eight semisubmersible rigs, and two managed rigs. It serves independent oil and gas companies, and government-owned oil companies. The company was founded in 1953 and is headquartered in Houston, Texas.",2100,"{'maxAge': 1, 'name': 'Mr. Neil  Hall', 'title': 'VP of HSE, QA & Maintenance', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,7,5,1693526400,1672444800,86400,2,16.16,16.1,15.63,16.29,16.16,16.1,15.63,16.29,0.0,8.06701,14.626167,1890170,1890170,1331338,1618340,1618340,15.68,15.58,1000,800,1601339264,6.12,17.32,1.8259577,15.3968,12.3728,0.0,0.0,USD,2124581248,0.22701,93284825,102322000,1744321,1745101,1690761600,1693440000,0.017,0.01011,0.8919,1.64,0.0172,9.176,1.7055362,1672444800,1703980800,1688083200,199084000,1.94,1.07,2.423,23.913,NYQ,EQUITY,DO,DO,"Diamond Offshore Drilling, Inc.","Diamond Offshore Drilling, Inc.",1648647000,America/New_York,EDT,-14400000,15.65,20.0,16.0,18.0,18.0,1.7,buy,4,29685000,0.292,88848000,510875008,1.238,1.492,876985984,54.761,8.664,-0.00674,0.24033001,162462000,-97440872,30412000,0.498,0.24552,0.10130999,-0.02029,USD,
9,15415 Katy Freeway,Suite 100,Houston,TX,77094-1810,United States,281 492 5300,https://www.diamondoffshore.com,Oil & Gas Drilling,Energy,"Diamond Offshore Drilling, Inc. provides contract drilling services to the energy industry worldwide. As of December 31, 2022, the company operated a fleet of 14 offshore drilling rigs, including four drillships, eight semisubmersible rigs, and two managed rigs. It serves independent oil and gas companies, and government-owned oil companies. The company was founded in 1953 and is headquartered in Houston, Texas.",2100,"{'maxAge': 1, 'name': 'Mr. Kane  Liddelow', 'title': 'VP of Contracts & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",6,4,5,7,5,1693526400,1672444800,86400,2,16.16,16.1,15.63,16.29,16.16,16.1,15.63,16.29,0.0,8.06701,14.626167,1890170,1890170,1331338,1618340,1618340,15.68,15.58,1000,800,1601339264,6.12,17.32,1.8259577,15.3968,12.3728,0.0,0.0,USD,2124581248,0.22701,93284825,102322000,1744321,1745101,1690761600,1693440000,0.017,0.01011,0.8919,1.64,0.0172,9.176,1.7055362,1672444800,1703980800,1688083200,199084000,1.94,1.07,2.423,23.913,NYQ,EQUITY,DO,DO,"Diamond Offshore Drilling, Inc.","Diamond Offshore Drilling, Inc.",1648647000,America/New_York,EDT,-14400000,15.65,20.0,16.0,18.0,18.0,1.7,buy,4,29685000,0.292,88848000,510875008,1.238,1.492,876985984,54.761,8.664,-0.00674,0.24033001,162462000,-97440872,30412000,0.498,0.24552,0.10130999,-0.02029,USD,
