,address1,address2,city,state,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,4 King Street West,Suite 401,Toronto,ON,M5H 1A1,Canada,https://www.urumetals.com,Other Industrial Metals & Mining,Basic Materials,"URU Metals Limited is involved in the exploration and development of mineral projects primarily in South Africa. The company explores for uranium, nickel, copper, and platinum group metals. Its flagship property is the Zebedelia Nickel Project located in the Limpopo Province of South Africa. The company was formerly known as Niger Uranium Limited and changed its name to URU Metals Limited. URU Metals Limited was incorporated in 2007 and is based in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. John  Zorbas', 'age': 51, 'title': 'CEO & Director', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 191000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,125.0,100.0,100.0,100.0,125.0,100.0,100.0,100.0,1273449600,0.0,-0.067192,100,100,132,59,59,100.0,200.0,0,0,2058362,1.5,265.0,139.0,142.17,0.0,0.0,GBp,4878364,0.0,835251,1646690,0.65032,0.032560002,0.22,568.1818,1648684800,1680220800,1664496000,-907000,-0.55,1:1000,1542758400,LSE,EQUITY,URU.L,URU.L,URU METALS LIMITED ORD NPV (DI),URU Metals Limited,1189580400,Europe/London,BST,3600000,125.0,none,1060000,0.644,1183000,0.458,0.458,38.66,-0.118140005,-0.32875,-718375,-91000,0.0,0.0,0.0,USD,
1,4 King Street West,Suite 401,Toronto,ON,M5H 1A1,Canada,https://www.urumetals.com,Other Industrial Metals & Mining,Basic Materials,"URU Metals Limited is involved in the exploration and development of mineral projects primarily in South Africa. The company explores for uranium, nickel, copper, and platinum group metals. Its flagship property is the Zebedelia Nickel Project located in the Limpopo Province of South Africa. The company was formerly known as Niger Uranium Limited and changed its name to URU Metals Limited. URU Metals Limited was incorporated in 2007 and is based in Toronto, Canada.","{'maxAge': 1, 'name': 'J  Peng', 'title': 'Exec. Officer', 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,125.0,100.0,100.0,100.0,125.0,100.0,100.0,100.0,1273449600,0.0,-0.067192,100,100,132,59,59,100.0,200.0,0,0,2058362,1.5,265.0,139.0,142.17,0.0,0.0,GBp,4878364,0.0,835251,1646690,0.65032,0.032560002,0.22,568.1818,1648684800,1680220800,1664496000,-907000,-0.55,1:1000,1542758400,LSE,EQUITY,URU.L,URU.L,URU METALS LIMITED ORD NPV (DI),URU Metals Limited,1189580400,Europe/London,BST,3600000,125.0,none,1060000,0.644,1183000,0.458,0.458,38.66,-0.118140005,-0.32875,-718375,-91000,0.0,0.0,0.0,USD,
