,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,10701 Corporate Drive,Suite 150,Stafford,TX,77477,United States,(281) 240-1787,https://www.enerteckchemical.com,Specialty Chemicals,Basic Materials,"EnerTeck Corporation, through its subsidiary, EnerTeck Chemical Corp., manufactures, markets, and sells fuel borne catalytic engine treatment products for diesel engines in the United States and internationally. The company offers EnerBurn that functions as an engine treatment application by removing carbon deposits from the combustion surfaces of the engine and reducing further carbon deposit buildup to fleet and vessel operators. It also provides volumetric proportioning injection equipment, which is used to deliver proper dosage ratios of EnerBurn to the diesel fuel. The company's products are primarily used in on-road vehicles, locomotives, and diesel marine engines. Its principal target markets comprise trucking, heavy construction, maritime shipping, railroad, and mining industries, as well as federal, state, and international government applications. The company was formerly known as Gold Bond Resources, Inc. and changed its name to EnerTeck Corporation in November 2003. EnerTeck Corporation is based in Stafford, Texas.",4,"{'maxAge': 1, 'name': 'Mr. Gary B. Aman', 'age': 74, 'title': 'Acting CEO, Pres & Director', 'yearBorn': 1948, 'fiscalYear': 2022, 'totalPay': 200000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.02025,0.02025,0.02025,0.02025,0.02025,0.02025,0.02025,0.02025,0.0,-1.260719,17925,17925,2796,2040,2040,0.55,0.75,2500,2500,736709,0.02,0.08,24.769989,0.02,0.03465,0.0,0.0,USD,5184931,0.0,15286075,36380700,0.57983,0.00021,-0.342,1672444800,1703980800,1688083200,-1284744,-0.03,4:1,1097798400,174.33,-5.352,PNK,EQUITY,ETCK,ETCK,ENERTECK CORP,EnerTeck Corporation,990019800,America/New_York,EDT,-14400000,0.02025,none,24278,0.001,-968763,4472500,0.002,0.02,29742,0.001,-1.55768,35959,-154148,-534064,-0.877,-0.48106998,0.0,-32.99465,USD,
1,10701 Corporate Drive,Suite 150,Stafford,TX,77477,United States,(281) 240-1787,https://www.enerteckchemical.com,Specialty Chemicals,Basic Materials,"EnerTeck Corporation, through its subsidiary, EnerTeck Chemical Corp., manufactures, markets, and sells fuel borne catalytic engine treatment products for diesel engines in the United States and internationally. The company offers EnerBurn that functions as an engine treatment application by removing carbon deposits from the combustion surfaces of the engine and reducing further carbon deposit buildup to fleet and vessel operators. It also provides volumetric proportioning injection equipment, which is used to deliver proper dosage ratios of EnerBurn to the diesel fuel. The company's products are primarily used in on-road vehicles, locomotives, and diesel marine engines. Its principal target markets comprise trucking, heavy construction, maritime shipping, railroad, and mining industries, as well as federal, state, and international government applications. The company was formerly known as Gold Bond Resources, Inc. and changed its name to EnerTeck Corporation in November 2003. EnerTeck Corporation is based in Stafford, Texas.",4,"{'maxAge': 1, 'name': 'Mr. Richard B. Dicks', 'age': 74, 'title': 'Chief Financial Officer', 'yearBorn': 1948, 'fiscalYear': 2022, 'totalPay': 150000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.02025,0.02025,0.02025,0.02025,0.02025,0.02025,0.02025,0.02025,0.0,-1.260719,17925,17925,2796,2040,2040,0.55,0.75,2500,2500,736709,0.02,0.08,24.769989,0.02,0.03465,0.0,0.0,USD,5184931,0.0,15286075,36380700,0.57983,0.00021,-0.342,1672444800,1703980800,1688083200,-1284744,-0.03,4:1,1097798400,174.33,-5.352,PNK,EQUITY,ETCK,ETCK,ENERTECK CORP,EnerTeck Corporation,990019800,America/New_York,EDT,-14400000,0.02025,none,24278,0.001,-968763,4472500,0.002,0.02,29742,0.001,-1.55768,35959,-154148,-534064,-0.877,-0.48106998,0.0,-32.99465,USD,
